,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,JINDALSTEL,EQ,N,163.95,149.45,161.1,153.35,153.85,153.9,24188438,3867026327.45,202.4,91.05,122691,INE749A01030,2020-03-02,159.87
996,JINDALSTEL,EQ,N,162.2,155.35,158.0,160.65,161.2,153.35,25472220,4047394819.1,202.4,91.05,139182,INE749A01030,2020-03-03,158.89
1001,JINDALSTEL,EQ,N,162.5,148.1,161.0,154.25,154.2,160.65,24252742,3727889140.15,202.4,91.05,108930,INE749A01030,2020-03-04,153.71
1007,JINDALSTEL,EQ,N,159.8,152.8,156.8,154.4,153.4,154.25,18929214,2945932185.7,202.4,91.05,103670,INE749A01030,2020-03-05,155.63
1008,JINDALSTEL,EQ,N,149.25,140.0,140.0,146.3,146.1,154.4,17133704,2511946418.05,202.4,91.05,110337,INE749A01030,2020-03-06,146.61
1009,JINDALSTEL,EQ,N,142.0,126.55,141.25,131.2,130.35,146.3,21051651,2841102548.8,202.4,91.05,77433,INE749A01030,2020-03-09,134.96
1010,JINDALSTEL,EQ,N,133.15,125.0,130.6,126.9,125.8,131.2,27035595,3466108591.55,202.4,91.05,94634,INE749A01030,2020-03-11,128.21
1011,JINDALSTEL,EQ,N,121.35,107.9,119.75,113.9,114.0,126.9,22695629,2625832828.9,202.4,91.05,82035,INE749A01030,2020-03-12,115.7
1012,JINDALSTEL,EQ,N,130.5,99.2,103.0,121.4,120.5,113.9,25213969,2895002769.95,202.4,91.05,107793,INE749A01030,2020-03-13,114.82
1013,JINDALSTEL,EQ,N,115.85,106.8,112.3,108.95,108.05,121.4,15440675,1715669884.95,202.4,91.05,80873,INE749A01030,2020-03-16,111.11
1014,JINDALSTEL,EQ,N,116.8,105.45,111.0,107.2,107.05,108.95,18388456,2066684421.4,202.4,91.05,102139,INE749A01030,2020-03-17,112.39
1015,JINDALSTEL,EQ,N,112.1,100.0,112.0,101.25,101.25,107.2,17132960,1792070752.45,202.4,91.05,84858,INE749A01030,2020-03-18,104.6
1016,JINDALSTEL,EQ,N,100.45,91.45,95.15,93.0,94.0,101.25,18965959,1833913531.8,202.4,91.05,94543,INE749A01030,2020-03-19,96.7
1017,JINDALSTEL,EQ,N,108.5,92.9,96.1,104.55,105.9,93.0,26516602,2635903259.6,202.4,91.05,106966,INE749A01030,2020-03-20,99.41
1018,JINDALSTEL,EQ,N,99.5,86.0,94.1,89.0,88.2,104.55,5355785,501045094.7,202.4,86.0,32995,INE749A01030,2020-03-23,93.55
1019,JINDALSTEL,EQ,N,94.45,86.5,94.0,90.4,90.45,89.0,9732048,875151555.7,202.4,86.0,120859,INE749A01030,2020-03-24,89.92
1020,JINDALSTEL,EQ,N,94.9,87.25,88.0,92.2,91.25,90.4,12549140,1148836787.55,202.4,86.0,105622,INE749A01030,2020-03-25,91.55
1021,JINDALSTEL,EQ,N,96.0,87.5,92.35,88.85,88.3,92.2,13486297,1237139183.3,202.4,86.0,77946,INE749A01030,2020-03-26,91.73
1022,JINDALSTEL,EQ,N,94.5,87.8,92.0,88.85,89.0,88.85,14012061,1270719276.1,202.4,86.0,83310,INE749A01030,2020-03-27,90.69
1023,JINDALSTEL,EQ,N,87.3,79.35,84.25,80.0,79.6,88.85,12837752,1063167321.1,202.4,79.35,65194,INE749A01030,2020-03-30,82.82
1024,JINDALSTEL,EQ,N,85.65,81.75,82.5,82.2,82.35,80.0,15816135,1321650013.45,202.4,79.35,67175,INE749A01030,2020-03-31,83.56
1025,JINDALSTEL,EQ,N,82.85,62.1,81.55,70.25,70.85,82.2,49775611,3532914901.6,202.4,62.1,182543,INE749A01030,2020-04-01,70.98
1026,JINDALSTEL,EQ,N,74.8,62.0,74.25,63.15,62.5,70.25,46620044,3150811325.85,202.4,62.0,167301,INE749A01030,2020-04-03,67.58
1027,JINDALSTEL,EQ,N,82.05,66.5,67.0,81.4,82.05,63.15,58702036,4379399283.4,202.4,62.0,244179,INE749A01030,2020-04-07,74.6
1028,JINDALSTEL,EQ,N,97.5,77.1,77.3,84.9,84.45,81.4,62924356,5441550541.95,202.4,62.0,251829,INE749A01030,2020-04-08,86.48
1029,JINDALSTEL,EQ,N,93.35,85.6,88.0,91.6,91.1,84.9,38987033,3494866537.4,202.4,62.0,213813,INE749A01030,2020-04-09,89.64
968,JINDALSTEL,EQ,N,93.25,84.5,92.0,91.65,91.8,91.6,32561993,2893781385.6,202.4,62.0,185238,INE749A01030,2020-04-13,88.87
969,JINDALSTEL,EQ,N,95.85,87.0,93.6,88.0,88.0,91.65,33151508,3051552814.1,202.4,62.0,163115,INE749A01030,2020-04-15,92.05
970,JINDALSTEL,EQ,N,91.4,86.15,86.95,88.3,88.55,88.0,21890027,1959435714.1,202.4,62.0,95579,INE749A01030,2020-04-16,89.51
971,JINDALSTEL,EQ,N,93.15,88.8,92.3,92.25,92.8,88.3,18261618,1662294419.75,202.4,62.0,79727,INE749A01030,2020-04-17,91.03
972,JINDALSTEL,EQ,N,93.6,89.3,93.25,90.6,90.25,92.25,13853528,1268006349.4,202.4,62.0,69301,INE749A01030,2020-04-20,91.53
973,JINDALSTEL,EQ,N,87.0,78.85,87.0,82.9,83.6,90.6,32750979,2692978786.2,202.4,62.0,182266,INE749A01030,2020-04-21,82.23
974,JINDALSTEL,EQ,N,86.35,80.45,82.1,85.1,86.1,82.9,20090402,1668261112.1,202.4,62.0,73731,INE749A01030,2020-04-22,83.04
975,JINDALSTEL,EQ,N,90.35,84.8,85.55,86.45,86.4,85.1,22241512,1957135253.3,202.4,62.0,89738,INE749A01030,2020-04-23,87.99
976,JINDALSTEL,EQ,N,87.0,78.25,85.0,79.15,79.0,86.45,24339173,2024879252.25,202.4,62.0,99100,INE749A01030,2020-04-24,83.19
977,JINDALSTEL,EQ,N,83.0,79.6,81.1,82.25,82.2,79.15,18036513,1473688826.2,202.4,62.0,79140,INE749A01030,2020-04-27,81.71
978,JINDALSTEL,EQ,N,84.45,81.5,83.0,83.9,83.85,82.25,14289354,1186648794.75,202.4,62.0,55667,INE749A01030,2020-04-28,83.04
979,JINDALSTEL,EQ,N,89.85,83.0,83.9,88.75,87.6,83.9,25785510,2274882172.4,202.4,62.0,89713,INE749A01030,2020-04-29,88.22
980,JINDALSTEL,EQ,N,96.15,89.7,91.0,95.0,94.45,88.75,31628041,2936956609.15,202.4,62.0,126567,INE749A01030,2020-04-30,92.86
981,JINDALSTEL,EQ,N,88.9,83.35,88.9,85.4,85.45,95.0,20169754,1723628018.15,202.4,62.0,96768,INE749A01030,2020-05-04,85.46
982,JINDALSTEL,EQ,N,90.3,85.4,88.65,85.95,86.1,85.4,22260539,1948825226.15,202.4,62.0,84868,INE749A01030,2020-05-05,87.55
983,JINDALSTEL,EQ,N,90.25,85.25,87.0,89.5,89.3,85.95,22020978,1938077529.9,202.4,62.0,78478,INE749A01030,2020-05-06,88.01
984,JINDALSTEL,EQ,N,92.6,87.7,88.5,90.75,91.3,89.5,18495594,1676781823.0,202.4,62.0,81073,INE749A01030,2020-05-07,90.66
985,JINDALSTEL,EQ,N,94.0,88.25,93.5,89.1,89.05,90.75,16445831,1493934407.5,202.4,62.0,102599,INE749A01030,2020-05-08,90.84
986,JINDALSTEL,EQ,N,92.3,88.3,90.3,89.6,90.0,89.1,11132385,1011265646.75,202.4,62.0,52201,INE749A01030,2020-05-11,90.84
987,JINDALSTEL,EQ,N,90.6,84.25,89.0,89.75,89.95,89.6,16957849,1484130055.75,202.4,62.0,74219,INE749A01030,2020-05-12,87.52
988,JINDALSTEL,EQ,N,100.9,91.35,94.05,97.35,97.65,89.75,38176069,3703939128.95,202.4,62.0,129134,INE749A01030,2020-05-13,97.02
989,JINDALSTEL,EQ,N,97.6,92.7,95.0,93.5,93.7,97.35,15152491,1440922744.05,202.4,62.0,60817,INE749A01030,2020-05-14,95.09
990,JINDALSTEL,EQ,N,96.6,91.9,94.45,94.55,93.8,93.5,22661797,2147783389.2,202.4,62.0,86208,INE749A01030,2020-05-15,94.78
991,JINDALSTEL,EQ,N,95.6,86.75,94.95,88.05,87.55,94.55,23716579,2130097611.75,202.4,62.0,77905,INE749A01030,2020-05-18,89.81
992,JINDALSTEL,EQ,N,94.2,89.1,90.0,91.65,92.0,88.05,25065212,2309358779.1,202.4,62.0,81448,INE749A01030,2020-05-19,92.13
993,JINDALSTEL,EQ,N,95.7,90.65,91.0,94.95,95.2,91.65,15272019,1429659961.85,202.4,62.0,58235,INE749A01030,2020-05-20,93.61
941,JINDALSTEL,EQ,N,99.1,94.15,94.95,98.0,97.45,94.95,23227274,2254425912.95,202.4,62.0,77454,INE749A01030,2020-05-21,97.06
942,JINDALSTEL,EQ,N,99.0,92.9,96.8,96.6,98.95,98.0,19186991,1823572771.95,202.4,62.0,67917,INE749A01030,2020-05-22,95.04
943,JINDALSTEL,EQ,N,110.85,99.1,100.2,109.15,109.95,96.6,57513757,6071929431.15,202.4,62.0,229120,INE749A01030,2020-05-26,105.57
944,JINDALSTEL,EQ,N,116.35,106.5,109.15,115.05,114.65,109.15,37506243,4133330502.05,202.4,62.0,143226,INE749A01030,2020-05-27,110.2
945,JINDALSTEL,EQ,N,120.75,113.8,115.05,119.1,120.1,115.05,28096868,3330385416.35,202.4,62.0,111579,INE749A01030,2020-05-28,118.53
946,JINDALSTEL,EQ,N,122.4,115.25,116.1,121.55,121.2,119.1,22712017,2715721191.25,202.4,62.0,91833,INE749A01030,2020-05-29,119.57
947,JINDALSTEL,EQ,N,131.85,123.15,123.2,129.6,129.0,121.55,25817509,3324762549.8,202.4,62.0,99006,INE749A01030,2020-06-01,128.78
948,JINDALSTEL,EQ,N,131.3,127.0,129.6,129.3,128.9,129.6,20594390,2662318959.2,202.4,62.0,84534,INE749A01030,2020-06-02,129.27
949,JINDALSTEL,EQ,N,132.9,126.0,131.0,127.4,127.5,129.3,14628700,1903417923.65,202.4,62.0,58557,INE749A01030,2020-06-03,130.12
950,JINDALSTEL,EQ,N,138.6,129.0,129.5,137.05,137.8,127.4,37112550,4995572764.1,202.4,62.0,167670,INE749A01030,2020-06-04,134.61
951,JINDALSTEL,EQ,N,147.2,138.35,138.95,145.45,146.5,137.05,34572646,4961209262.85,202.4,62.0,151767,INE749A01030,2020-06-05,143.5
952,JINDALSTEL,EQ,N,150.85,142.05,149.45,143.7,143.9,145.45,21469702,3132263736.4,202.4,62.0,94337,INE749A01030,2020-06-08,145.89
953,JINDALSTEL,EQ,N,149.0,142.2,144.7,144.2,142.95,143.7,17744119,2591562268.15,202.4,62.0,83567,INE749A01030,2020-06-09,146.05
954,JINDALSTEL,EQ,N,145.15,140.5,142.5,142.25,141.6,144.2,11736385,1674968760.75,202.4,62.0,75644,INE749A01030,2020-06-10,142.72
955,JINDALSTEL,EQ,N,147.95,139.4,142.0,141.0,140.4,142.25,13322128,1930383107.45,202.4,62.0,77887,INE749A01030,2020-06-11,144.9
956,JINDALSTEL,EQ,N,143.0,131.2,131.25,141.65,142.25,141.0,9828008,1355306408.45,202.4,62.0,60316,INE749A01030,2020-06-12,137.9
957,JINDALSTEL,EQ,N,143.3,135.1,142.7,135.9,135.5,141.65,13178170,1822865964.35,202.4,62.0,68181,INE749A01030,2020-06-15,138.32
958,JINDALSTEL,EQ,N,146.75,138.15,139.5,143.5,142.3,135.9,28554167,4090780081.05,202.4,62.0,133944,INE749A01030,2020-06-16,143.26
959,JINDALSTEL,EQ,N,142.15,139.0,142.15,140.0,139.1,143.5,7375628,1036529159.15,202.4,62.0,47849,INE749A01030,2020-06-17,140.53
960,JINDALSTEL,EQ,N,145.95,138.55,138.55,145.15,143.75,140.0,11223999,1606097754.05,202.4,62.0,70722,INE749A01030,2020-06-18,143.09
961,JINDALSTEL,EQ,N,148.05,143.6,146.05,145.7,145.2,145.15,6879079,1003400576.95,202.4,62.0,39326,INE749A01030,2020-06-19,145.86
962,JINDALSTEL,EQ,N,146.25,143.0,146.0,144.4,144.3,145.7,5207599,752645048.15,202.4,62.0,38661,INE749A01030,2020-06-22,144.53
