,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,JSL,EQ,N,42.9,39.1,40.5,39.7,39.3,39.0,1733523,71054648.4,47.25,26.8,6023,INE220G01021,2020-03-02,40.99
996,JSL,EQ,N,41.0,39.5,40.1,39.7,39.65,39.7,810469,32433516.9,47.25,26.8,3793,INE220G01021,2020-03-03,40.02
1001,JSL,EQ,N,40.2,38.4,39.95,39.8,39.7,39.7,1171025,45957238.65,47.25,26.8,5291,INE220G01021,2020-03-04,39.25
1007,JSL,EQ,N,40.8,39.5,40.4,40.0,40.15,39.8,1134299,45452832.4,47.25,26.8,8996,INE220G01021,2020-03-05,40.07
1008,JSL,EQ,N,41.6,38.0,39.0,41.15,41.2,40.0,961886,38576534.85,47.25,26.8,6086,INE220G01021,2020-03-06,40.11
1009,JSL,EQ,N,40.4,38.1,39.55,38.35,38.15,41.15,615930,23941135.85,47.25,26.8,4221,INE220G01021,2020-03-09,38.87
1010,JSL,EQ,N,39.0,35.25,38.5,35.95,35.7,38.35,810905,29985540.95,47.25,26.8,2287,INE220G01021,2020-03-11,36.98
1011,JSL,EQ,N,33.95,29.3,33.5,29.85,30.2,35.95,4073490,125581979.4,47.25,26.8,4384,INE220G01021,2020-03-12,30.83
1012,JSL,EQ,N,32.6,27.0,27.7,31.65,32.0,29.85,1162714,34497012.55,47.25,26.8,3905,INE220G01021,2020-03-13,29.67
1013,JSL,EQ,N,32.0,29.55,31.25,30.3,30.0,31.65,437796,13490768.5,47.25,26.8,3027,INE220G01021,2020-03-16,30.82
1014,JSL,EQ,N,31.5,29.5,30.9,29.85,29.8,30.3,296918,9080154.85,47.25,26.8,1660,INE220G01021,2020-03-17,30.58
