,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
807,JSWENERGY,EQ,N,59.5,53.65,58.8,54.95,53.7,57.3,664245,38165382.1,80.0,53.65,5442,INE121E01018,2020-03-02,57.46
809,JSWENERGY,EQ,N,58.05,54.5,54.5,57.35,58.0,54.95,763293,42753427.8,80.0,53.65,4306,INE121E01018,2020-03-03,56.01
814,JSWENERGY,EQ,N,57.6,53.5,57.35,53.85,54.2,57.35,867339,47652412.9,80.0,53.5,5516,INE121E01018,2020-03-04,54.94
820,JSWENERGY,EQ,N,55.2,53.15,54.15,54.85,54.8,53.85,625078,33831923.2,80.0,53.15,5885,INE121E01018,2020-03-05,54.12
821,JSWENERGY,EQ,N,53.25,51.8,52.55,52.85,52.55,54.85,540296,28437887.2,80.0,51.8,3599,INE121E01018,2020-03-06,52.63
822,JSWENERGY,EQ,N,52.0,46.4,51.1,47.3,46.5,52.85,1213795,58895814.1,80.0,46.4,11043,INE121E01018,2020-03-09,48.52
823,JSWENERGY,EQ,N,49.9,45.85,47.1,48.5,48.8,47.3,1113884,52932480.25,80.0,45.85,4921,INE121E01018,2020-03-11,47.52
824,JSWENERGY,EQ,N,46.95,43.8,46.05,46.15,46.1,48.5,1295721,59299300.0,80.0,43.8,5650,INE121E01018,2020-03-12,45.77
825,JSWENERGY,EQ,N,49.75,42.5,46.0,47.95,47.65,46.15,1113576,51388972.2,80.0,42.5,3889,INE121E01018,2020-03-13,46.15
826,JSWENERGY,EQ,N,47.9,42.1,47.9,45.65,45.3,47.95,1653889,75190433.3,80.0,42.1,5754,INE121E01018,2020-03-16,45.46
827,JSWENERGY,EQ,N,45.7,41.4,45.7,42.5,43.85,45.65,2737541,116245287.0,80.0,41.4,9968,INE121E01018,2020-03-17,42.46
828,JSWENERGY,EQ,N,46.7,34.75,44.0,42.0,44.0,42.5,2102371,82659060.8,80.0,34.75,13359,INE121E01018,2020-03-18,39.32
829,JSWENERGY,EQ,N,46.4,37.85,40.45,44.0,45.9,42.0,3384662,143750701.2,80.0,34.75,7040,INE121E01018,2020-03-19,42.47
830,JSWENERGY,EQ,N,50.7,42.5,43.25,46.75,47.05,44.0,1334768,62790855.8,80.0,34.75,5843,INE121E01018,2020-03-20,47.04
831,JSWENERGY,EQ,N,45.65,37.4,38.1,43.75,45.0,46.75,1987108,81921750.75,80.0,34.75,6672,INE121E01018,2020-03-23,41.23
