,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
100,JSWINFRA,EQ,N,157.3,142.2,143.0,157.3,157.3,119.0,122117170,18405044850.2,157.3,142.2,259747,INE880J01026,2023-10-03,150.72
101,JSWINFRA,EQ,N,168.7,160.4,165.1,164.95,163.9,157.3,55015128,9040229144.0,168.7,142.2,278152,INE880J01026,2023-10-04,164.32
102,JSWINFRA,EQ,N,167.85,159.3,166.5,163.8,164.15,164.95,14856340,2435452867.15,168.7,142.2,94819,INE880J01026,2023-10-05,163.93
103,JSWINFRA,EQ,N,173.35,164.0,165.15,171.6,170.95,163.8,14529445,2458664588.0,173.35,142.2,87146,INE880J01026,2023-10-06,169.22
104,JSWINFRA,EQ,N,169.05,161.2,168.0,162.85,161.95,171.6,8685101,1435851640.95,173.35,142.2,77946,INE880J01026,2023-10-09,165.32
105,JSWINFRA,EQ,N,174.8,163.05,164.0,169.75,169.8,162.85,11096550,1879981308.9,174.8,142.2,66943,INE880J01026,2023-10-10,169.42
106,JSWINFRA,EQ,N,175.8,170.2,171.75,172.7,172.9,169.75,6367753,1103372030.8,175.8,142.2,50656,INE880J01026,2023-10-11,173.27
107,JSWINFRA,EQ,N,174.8,171.2,173.65,172.15,172.15,172.7,3980057,688178097.15,175.8,142.2,33308,INE880J01026,2023-10-12,172.91
73,JSWINFRA,EQ,N,174.65,169.35,170.55,170.25,170.95,172.15,3828930,658593666.9,175.8,142.2,28893,INE880J01026,2023-10-13,172.0
74,JSWINFRA,EQ,N,171.0,165.75,170.9,167.85,168.0,170.25,3230784,542654601.95,175.8,142.2,26935,INE880J01026,2023-10-16,167.96
75,JSWINFRA,EQ,N,177.75,168.3,169.7,177.0,177.5,167.85,11425814,1990614600.15,177.75,142.2,54494,INE880J01026,2023-10-17,174.22
76,JSWINFRA,EQ,N,186.35,173.5,178.9,175.1,175.35,177.0,16767224,3019714165.5,186.35,142.2,72884,INE880J01026,2023-10-18,180.1
77,JSWINFRA,EQ,N,181.55,174.3,175.0,178.9,178.0,175.1,6152869,1099587612.15,186.35,142.2,36131,INE880J01026,2023-10-19,178.71
78,JSWINFRA,EQ,N,181.5,175.35,179.45,176.1,176.35,178.9,3401682,606499408.5,186.35,142.2,24237,INE880J01026,2023-10-20,178.29
79,JSWINFRA,EQ,N,178.45,166.5,177.2,167.35,167.25,176.1,5466657,930036747.85,186.35,142.2,41466,INE880J01026,2023-10-23,170.13
80,JSWINFRA,EQ,N,170.8,162.35,170.0,165.65,166.0,167.35,3701887,617588088.55,186.35,142.2,29662,INE880J01026,2023-10-25,166.83
81,JSWINFRA,EQ,N,173.45,162.05,166.0,172.2,172.6,165.65,5038029,847114260.65,186.35,142.2,46355,INE880J01026,2023-10-26,168.14
82,JSWINFRA,EQ,N,179.95,172.75,174.0,176.2,175.9,172.2,4251314,751901678.85,186.35,142.2,36442,INE880J01026,2023-10-27,176.86
83,JSWINFRA,EQ,N,177.4,168.5,177.4,169.75,170.2,176.2,5625385,960188111.45,186.35,142.2,66430,INE880J01026,2023-10-30,170.69
84,JSWINFRA,EQ,N,172.9,168.0,171.45,169.55,169.8,169.75,2413657,412433290.4,186.35,142.2,18483,INE880J01026,2023-10-31,170.87
85,JSWINFRA,EQ,N,173.5,167.65,170.85,168.15,168.1,169.55,2823188,481877854.2,186.35,142.2,18778,INE880J01026,2023-11-01,170.69
86,JSWINFRA,EQ,N,173.0,169.55,170.5,171.75,171.4,168.15,1766150,302017948.75,186.35,142.2,15464,INE880J01026,2023-11-02,171.0
87,JSWINFRA,EQ,N,174.7,170.2,172.05,171.45,171.3,171.75,2521359,434612551.35,186.35,142.2,23002,INE880J01026,2023-11-03,172.37
88,JSWINFRA,EQ,N,188.55,177.2,179.0,188.3,188.55,171.45,20256529,3769491423.45,188.55,142.2,67192,INE880J01026,2023-11-06,186.09
89,JSWINFRA,EQ,N,207.1,187.35,194.4,205.9,206.1,188.3,23030252,4588851399.4,207.1,142.2,102866,INE880J01026,2023-11-07,199.25
90,JSWINFRA,EQ,N,215.45,201.5,208.4,202.35,202.0,205.9,18757436,3921367814.65,215.45,142.2,102491,INE880J01026,2023-11-08,209.06
91,JSWINFRA,EQ,N,206.5,198.2,202.5,199.4,200.15,202.35,5998279,1215435429.65,215.45,142.2,39869,INE880J01026,2023-11-09,202.63
92,JSWINFRA,EQ,N,206.6,194.85,199.35,197.0,196.85,199.4,7928580,1579418718.05,215.45,142.2,53044,INE880J01026,2023-11-10,199.21
93,JSWINFRA,EQ,N,203.8,199.5,200.0,203.1,203.0,197.0,2376223,479557469.85,215.45,142.2,22018,INE880J01026,2023-11-12,201.82
94,JSWINFRA,EQ,N,202.95,199.25,202.95,200.4,201.05,203.1,3623579,727020923.2,215.45,142.2,25998,INE880J01026,2023-11-13,200.64
95,JSWINFRA,EQ,N,202.25,197.15,202.0,197.85,197.85,200.4,2728869,544992952.7,215.45,142.2,21573,INE880J01026,2023-11-15,199.71
96,JSWINFRA,EQ,N,206.65,196.5,198.45,202.8,203.3,197.85,6737642,1368491617.0,215.45,142.2,43871,INE880J01026,2023-11-16,203.11
97,JSWINFRA,EQ,N,220.0,207.75,213.45,209.3,209.95,202.8,16087741,3432246104.1,220.0,142.2,96880,INE880J01026,2023-11-17,213.35
98,JSWINFRA,EQ,N,212.45,205.5,211.0,206.55,206.7,209.3,3768056,788134264.65,220.0,142.2,31868,INE880J01026,2023-11-20,209.16
99,JSWINFRA,EQ,N,209.8,204.05,207.95,207.25,206.9,206.55,3695871,764689513.45,220.0,142.2,24696,INE880J01026,2023-11-21,206.9
46,JSWINFRA,EQ,N,211.95,205.2,207.5,208.2,208.05,207.25,3523114,733267839.6,220.0,142.2,26227,INE880J01026,2023-11-22,208.13
47,JSWINFRA,EQ,N,210.3,204.4,209.4,205.9,205.0,208.2,2434510,505093340.0,220.0,142.2,23421,INE880J01026,2023-11-23,207.47
48,JSWINFRA,EQ,N,207.9,202.55,205.8,206.0,205.35,205.9,3374870,692053489.75,220.0,142.2,25704,INE880J01026,2023-11-24,205.06
49,JSWINFRA,EQ,N,209.4,202.6,206.75,208.4,207.85,206.0,3513501,727226393.8,220.0,142.2,26477,INE880J01026,2023-11-28,206.98
50,JSWINFRA,EQ,N,217.15,207.55,208.9,210.75,211.0,208.4,6690057,1423319211.65,220.0,142.2,42122,INE880J01026,2023-11-29,212.75
51,JSWINFRA,EQ,N,215.4,207.8,215.0,210.5,210.65,210.75,3401542,718075394.45,220.0,142.2,30177,INE880J01026,2023-11-30,211.1
52,JSWINFRA,EQ,N,224.5,211.1,211.85,219.85,219.55,210.5,10488871,2298095291.85,224.5,142.2,66028,INE880J01026,2023-12-01,219.1
53,JSWINFRA,EQ,N,227.6,216.55,227.6,217.6,218.0,219.85,5283493,1167717696.55,227.6,142.2,38925,INE880J01026,2023-12-04,221.01
54,JSWINFRA,EQ,N,234.8,222.0,222.8,227.05,227.0,217.6,11620466,2648586649.9,234.8,142.2,75606,INE880J01026,2023-12-05,227.92
55,JSWINFRA,EQ,N,244.9,229.0,229.5,238.95,239.0,227.05,10704712,2544249610.95,244.9,142.2,70091,INE880J01026,2023-12-06,237.68
56,JSWINFRA,EQ,N,247.5,235.0,241.0,236.2,236.1,238.95,9396753,2255758023.1,247.5,142.2,60511,INE880J01026,2023-12-07,240.06
57,JSWINFRA,EQ,N,240.0,224.8,237.85,228.4,229.0,236.2,7482839,1721166368.55,247.5,142.2,55830,INE880J01026,2023-12-08,230.02
58,JSWINFRA,EQ,N,235.5,229.65,230.0,231.15,230.0,228.4,4621566,1072299895.25,247.5,142.2,35090,INE880J01026,2023-12-11,232.02
59,JSWINFRA,EQ,N,241.25,229.45,232.0,237.95,238.45,231.15,6968428,1650431939.25,247.5,142.2,44156,INE880J01026,2023-12-12,236.84
60,JSWINFRA,EQ,N,242.0,236.0,239.0,238.85,238.95,237.95,3906056,930748983.4,247.5,142.2,28048,INE880J01026,2023-12-13,238.28
61,JSWINFRA,EQ,N,242.4,235.25,241.4,236.2,237.0,238.85,3414212,814247245.8,247.5,142.2,29762,INE880J01026,2023-12-14,238.49
62,JSWINFRA,EQ,N,238.8,230.8,237.7,231.6,231.7,236.2,3399180,797035786.8,247.5,142.2,25996,INE880J01026,2023-12-15,234.48
63,JSWINFRA,EQ,N,235.85,220.0,220.0,232.0,232.1,231.6,7612490,1745849230.55,247.5,142.2,58052,INE880J01026,2023-12-18,229.34
64,JSWINFRA,EQ,N,233.5,223.55,232.9,224.8,225.35,232.0,4194862,955419952.5,247.5,142.2,43260,INE880J01026,2023-12-19,227.76
65,JSWINFRA,EQ,N,229.6,210.0,225.5,210.85,211.0,224.8,6646370,1452785753.65,247.5,142.2,66492,INE880J01026,2023-12-20,218.58
66,JSWINFRA,EQ,N,218.0,205.65,208.0,214.3,216.2,210.85,5087234,1086502012.25,247.5,142.2,43768,INE880J01026,2023-12-21,213.57
67,JSWINFRA,EQ,N,221.65,214.0,216.9,220.5,220.8,214.3,4041864,883372671.85,247.5,142.2,34672,INE880J01026,2023-12-22,218.56
68,JSWINFRA,EQ,N,222.9,219.1,221.3,220.9,221.2,220.5,2093766,462332399.85,247.5,142.2,20156,INE880J01026,2023-12-26,220.81
69,JSWINFRA,EQ,N,223.0,211.25,222.0,212.2,212.8,220.9,4343792,937487616.3,247.5,142.2,56603,INE880J01026,2023-12-27,215.82
70,JSWINFRA,EQ,N,215.1,210.2,214.0,210.85,211.0,212.2,4210099,891625877.4,247.5,142.2,40941,INE880J01026,2023-12-28,211.78
71,JSWINFRA,EQ,N,214.2,208.0,211.25,208.3,208.05,210.85,4144780,870880518.2,247.5,142.2,36468,INE880J01026,2023-12-29,210.12
16,JSWINFRA,EQ,N,212.4,208.3,208.3,210.65,210.3,208.3,4134909,870557701.5,247.5,142.2,29448,INE880J01026,2024-01-01,210.54
17,JSWINFRA,EQ,N,213.45,207.5,210.65,210.25,210.25,210.65,3179497,667650572.1,247.5,142.2,25506,INE880J01026,2024-01-02,209.99
18,JSWINFRA,EQ,N,216.8,209.5,210.25,213.65,213.4,210.25,4654889,992982971.0,247.5,142.2,33904,INE880J01026,2024-01-03,213.32
19,JSWINFRA,EQ,N,216.25,213.4,214.2,214.3,214.6,213.65,2952871,633562764.8,247.5,142.2,28038,INE880J01026,2024-01-04,214.56
20,JSWINFRA,EQ,N,223.6,215.05,215.5,218.9,219.0,214.3,6384087,1402936204.45,247.5,142.2,45221,INE880J01026,2024-01-05,219.76
21,JSWINFRA,EQ,N,219.75,215.15,219.7,216.3,216.95,218.9,2256603,489763475.75,247.5,142.2,23976,INE880J01026,2024-01-08,217.04
22,JSWINFRA,EQ,N,219.4,215.6,217.6,217.5,217.7,216.3,4749897,1035380571.75,247.5,142.2,29361,INE880J01026,2024-01-09,217.98
23,JSWINFRA,EQ,N,218.4,211.7,217.45,215.2,215.5,217.5,3367638,723906517.75,247.5,142.2,35097,INE880J01026,2024-01-10,214.96
24,JSWINFRA,EQ,N,216.3,211.55,216.0,212.25,212.9,215.2,3436557,735351954.1,247.5,142.2,31503,INE880J01026,2024-01-11,213.98
25,JSWINFRA,EQ,N,214.8,210.5,213.1,211.0,211.2,212.25,3362976,715111842.0,247.5,142.2,34005,INE880J01026,2024-01-12,212.64
26,JSWINFRA,EQ,N,213.35,210.35,212.0,210.8,211.4,211.0,2736148,579093307.85,247.5,142.2,31532,INE880J01026,2024-01-15,211.65
27,JSWINFRA,EQ,N,213.55,208.1,211.0,212.35,212.55,210.8,3478621,734242362.6,247.5,142.2,32647,INE880J01026,2024-01-16,211.07
28,JSWINFRA,EQ,N,212.35,207.5,211.0,207.95,208.15,212.35,2893194,606963679.25,247.5,142.2,29563,INE880J01026,2024-01-17,209.79
29,JSWINFRA,EQ,N,210.55,202.0,208.0,209.9,209.95,207.95,3320307,691171176.15,247.5,142.2,30159,INE880J01026,2024-01-18,208.16
30,JSWINFRA,EQ,N,212.9,210.05,211.75,211.75,211.9,209.9,2176755,460284328.8,247.5,142.2,20644,INE880J01026,2024-01-19,211.45
31,JSWINFRA,EQ,N,217.6,209.8,212.25,214.1,214.4,211.75,3066362,656946510.05,247.5,142.2,20637,INE880J01026,2024-01-20,214.24
32,JSWINFRA,EQ,N,215.6,204.2,215.2,206.05,206.9,214.1,3079613,645232198.05,247.5,142.2,34813,INE880J01026,2024-01-23,209.52
33,JSWINFRA,EQ,N,213.4,203.65,206.5,207.7,207.6,206.05,2322967,485058109.05,247.5,142.2,18421,INE880J01026,2024-01-24,208.81
34,JSWINFRA,EQ,N,210.9,205.7,208.65,206.85,206.4,207.7,3282843,682511863.35,247.5,142.2,26065,INE880J01026,2024-01-25,207.9
35,JSWINFRA,EQ,N,212.5,205.15,207.5,211.85,212.0,206.85,3889195,817832373.05,247.5,142.2,40492,INE880J01026,2024-01-29,210.28
36,JSWINFRA,EQ,N,217.25,209.55,212.9,213.4,213.75,211.85,4124606,882635533.3,247.5,142.2,29776,INE880J01026,2024-01-30,213.99
