,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,JSWSTEEL,EQ,N,246.5,230.85,242.2,235.0,234.55,235.7,10865535,2625473695.65,314.0,201.75,79748,INE019A01038,2020-03-02,241.63
996,JSWSTEEL,EQ,N,249.1,238.65,239.25,246.45,245.8,235.0,11580274,2822666426.6,314.0,201.75,69735,INE019A01038,2020-03-03,243.75
1000,JSWSTEEL,EQ,N,248.8,236.85,246.55,245.6,245.5,246.45,10790561,2613400144.75,314.0,201.75,60596,INE019A01038,2020-03-04,242.19
1006,JSWSTEEL,EQ,N,252.75,244.35,248.7,247.15,247.0,245.6,7130730,1767870875.75,314.0,201.75,51930,INE019A01038,2020-03-05,247.92
1007,JSWSTEEL,EQ,N,240.0,228.2,235.0,238.8,238.45,247.15,6850161,1617636430.05,314.0,201.75,46392,INE019A01038,2020-03-06,236.15
1008,JSWSTEEL,EQ,N,231.65,225.1,229.05,229.05,229.0,238.8,7888019,1802415097.85,314.0,201.75,53967,INE019A01038,2020-03-09,228.5
1009,JSWSTEEL,EQ,N,228.5,220.1,227.0,223.5,222.8,229.05,10073347,2253008054.55,314.0,201.75,76565,INE019A01038,2020-03-11,223.66
1010,JSWSTEEL,EQ,N,214.3,199.05,210.0,203.2,203.3,223.5,14115039,2897029816.5,314.0,199.05,77264,INE019A01038,2020-03-12,205.24
1011,JSWSTEEL,EQ,N,217.95,175.2,188.0,214.9,214.55,203.2,12883941,2639056552.0,314.0,175.2,109317,INE019A01038,2020-03-13,204.83
1012,JSWSTEEL,EQ,N,207.15,181.55,202.0,186.0,183.05,214.9,15167108,2937489475.55,314.0,175.2,95745,INE019A01038,2020-03-16,193.67
1013,JSWSTEEL,EQ,N,193.5,175.15,188.9,176.45,176.0,186.0,14096871,2624925188.6,314.0,175.15,80719,INE019A01038,2020-03-17,186.21
1014,JSWSTEEL,EQ,N,181.15,156.45,180.05,164.35,163.1,176.45,18951014,3156733636.15,314.0,156.45,95464,INE019A01038,2020-03-18,166.57
1015,JSWSTEEL,EQ,N,168.7,151.7,157.8,163.3,166.05,164.35,12583063,2012689730.8,314.0,151.7,72568,INE019A01038,2020-03-19,159.95
1016,JSWSTEEL,EQ,N,179.1,164.65,167.0,175.75,177.65,163.3,7449415,1281121145.25,314.0,151.7,58942,INE019A01038,2020-03-20,171.98
1017,JSWSTEEL,EQ,N,164.25,136.1,158.2,144.4,145.9,175.75,7422941,1081977968.8,314.0,136.1,63976,INE019A01038,2020-03-23,145.76
1018,JSWSTEEL,EQ,N,155.0,140.35,149.25,147.1,148.0,144.4,6487043,951577728.15,314.0,136.1,60942,INE019A01038,2020-03-24,146.69
1019,JSWSTEEL,EQ,N,156.0,142.55,145.0,151.8,146.55,147.1,4384700,662787382.6,314.0,136.1,47879,INE019A01038,2020-03-25,151.16
1020,JSWSTEEL,EQ,N,157.45,144.5,151.0,149.8,149.9,151.8,8021131,1213047237.7,314.0,136.1,60005,INE019A01038,2020-03-26,151.23
1021,JSWSTEEL,EQ,N,156.45,146.2,152.1,151.45,151.3,149.8,6108830,923287774.9,314.0,136.1,46663,INE019A01038,2020-03-27,151.14
1022,JSWSTEEL,EQ,N,148.45,136.5,148.45,142.4,142.35,151.45,11851157,1670173777.7,314.0,136.1,84472,INE019A01038,2020-03-30,140.93
1023,JSWSTEEL,EQ,N,152.4,144.5,145.95,146.25,145.6,142.4,9965197,1470481760.3,314.0,136.1,76992,INE019A01038,2020-03-31,147.56
1024,JSWSTEEL,EQ,N,145.95,139.05,145.95,143.0,143.0,146.25,5967565,845501114.1,314.0,136.1,55798,INE019A01038,2020-04-01,141.68
1025,JSWSTEEL,EQ,N,148.15,132.5,143.25,140.7,143.0,143.0,18559602,2559520293.1,314.0,132.5,150511,INE019A01038,2020-04-03,137.91
1026,JSWSTEEL,EQ,N,159.85,145.45,148.05,158.1,157.7,140.7,16440328,2529038554.75,314.0,132.5,109248,INE019A01038,2020-04-07,153.83
1027,JSWSTEEL,EQ,N,170.75,152.15,155.0,154.6,154.2,158.1,15245833,2451026258.1,314.0,132.5,99848,INE019A01038,2020-04-08,160.77
1028,JSWSTEEL,EQ,N,170.0,158.0,159.0,166.3,165.45,154.6,15243084,2522584524.75,314.0,132.5,103537,INE019A01038,2020-04-09,165.49
968,JSWSTEEL,EQ,N,172.4,161.15,167.5,167.65,167.65,166.3,11554655,1925345724.25,314.0,132.5,91293,INE019A01038,2020-04-13,166.63
969,JSWSTEEL,EQ,N,174.95,165.85,170.0,171.4,172.2,167.65,17616485,3015095883.55,314.0,132.5,110097,INE019A01038,2020-04-15,171.15
970,JSWSTEEL,EQ,N,174.6,167.4,169.3,170.65,170.25,171.4,10428942,1795152424.95,314.0,132.5,60409,INE019A01038,2020-04-16,172.13
971,JSWSTEEL,EQ,N,179.85,170.35,175.0,177.3,178.75,170.65,10104852,1759349838.0,314.0,132.5,59940,INE019A01038,2020-04-17,174.11
972,JSWSTEEL,EQ,N,183.0,166.1,183.0,167.5,167.45,177.3,12629035,2166068212.25,314.0,132.5,90158,INE019A01038,2020-04-20,171.51
973,JSWSTEEL,EQ,N,164.4,156.8,164.0,159.6,159.4,167.5,10887919,1734287524.7,314.0,132.5,90196,INE019A01038,2020-04-21,159.29
