,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
742,KALYANKJIL,EQ,N,81.0,72.9,73.95,75.2,74.35,87.0,51421860,3966430116.2,81.0,72.9,360101,INE303R01014,2021-03-26,77.14
743,KALYANKJIL,EQ,N,77.9,69.65,75.95,70.85,71.15,75.2,11092972,813994902.85,81.0,69.65,100487,INE303R01014,2021-03-30,73.38
744,KALYANKJIL,EQ,N,71.75,67.65,71.75,68.1,68.0,70.85,4659613,322461684.1,81.0,67.65,39047,INE303R01014,2021-03-31,69.2
745,KALYANKJIL,EQ,N,72.75,68.2,68.6,71.4,70.9,68.1,7403570,529292113.7,81.0,67.65,48608,INE303R01014,2021-04-01,71.49
746,KALYANKJIL,EQ,N,71.5,68.55,71.5,69.9,70.05,71.4,2399032,167411593.6,81.0,67.65,21877,INE303R01014,2021-04-05,69.78
716,KALYANKJIL,EQ,N,71.25,69.1,70.3,70.35,70.35,69.9,2379469,167552589.35,81.0,67.65,15437,INE303R01014,2021-04-06,70.42
717,KALYANKJIL,EQ,N,70.9,69.8,70.55,69.9,70.0,70.35,1625067,113979470.35,81.0,67.65,12288,INE303R01014,2021-04-07,70.14
718,KALYANKJIL,EQ,N,75.0,71.4,71.9,72.85,72.75,69.9,4824848,352990855.1,81.0,67.65,31839,INE303R01014,2021-04-08,73.16
719,KALYANKJIL,EQ,N,73.1,70.45,73.0,71.0,71.0,72.85,2357516,168583530.4,81.0,67.65,14790,INE303R01014,2021-04-09,71.51
720,KALYANKJIL,EQ,N,70.9,68.0,70.9,68.35,68.4,71.0,2042113,140229964.2,81.0,67.65,18127,INE303R01014,2021-04-12,68.67
721,KALYANKJIL,EQ,N,69.85,68.05,69.0,69.3,69.35,68.35,1439847,99383862.6,81.0,67.65,11258,INE303R01014,2021-04-13,69.02
722,KALYANKJIL,EQ,N,69.85,68.55,69.0,69.0,68.95,69.3,896321,61791025.85,81.0,67.65,8901,INE303R01014,2021-04-15,68.94
723,KALYANKJIL,EQ,N,69.7,68.8,69.0,68.9,68.85,69.0,909629,62891815.45,81.0,67.65,9114,INE303R01014,2021-04-16,69.14
724,KALYANKJIL,EQ,N,67.8,65.7,67.8,66.85,66.85,68.9,1228866,82054483.3,81.0,65.7,13911,INE303R01014,2021-04-19,66.77
