,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,KPITTECH,EQ,N,89.1,76.15,81.0,81.75,85.0,81.75,169068,13894382.3,112.5,69.8,3459,INE04I401011,2020-03-02,82.18
996,KPITTECH,EQ,N,84.9,79.15,84.0,81.45,81.2,81.75,102652,8368625.95,112.5,69.8,2161,INE04I401011,2020-03-03,81.52
1001,KPITTECH,EQ,N,84.7,76.8,81.2,78.65,77.8,81.45,134921,10651487.7,112.5,69.8,3982,INE04I401011,2020-03-04,78.95
1007,KPITTECH,EQ,N,81.2,78.0,79.3,80.55,79.6,78.65,123260,9856571.55,112.5,69.8,2809,INE04I401011,2020-03-05,79.97
1008,KPITTECH,EQ,N,79.3,76.0,76.0,78.55,78.0,80.55,129998,10159034.8,112.5,69.8,2182,INE04I401011,2020-03-06,78.15
1009,KPITTECH,EQ,N,79.7,72.3,75.05,76.0,75.9,78.55,220593,16820032.35,112.5,69.8,13349,INE04I401011,2020-03-09,76.25
1010,KPITTECH,EQ,N,79.5,73.0,73.0,77.75,78.0,76.0,142776,10913131.35,112.5,69.8,3782,INE04I401011,2020-03-11,76.44
1011,KPITTECH,EQ,N,77.35,71.0,75.0,72.15,72.55,77.75,353994,25749855.65,112.5,69.8,5849,INE04I401011,2020-03-12,72.74
1012,KPITTECH,EQ,N,73.4,61.0,61.0,70.0,69.5,72.15,140172,9697104.5,112.5,61.0,2435,INE04I401011,2020-03-13,69.18
1013,KPITTECH,EQ,N,70.6,65.45,70.0,66.8,66.0,70.0,142676,9561758.15,112.5,61.0,5273,INE04I401011,2020-03-16,67.02
1014,KPITTECH,EQ,N,74.45,62.15,74.45,65.8,62.15,66.8,190919,12987292.85,112.5,61.0,5235,INE04I401011,2020-03-17,68.03
1015,KPITTECH,EQ,N,67.6,52.65,66.0,54.45,57.45,65.8,199255,11718210.5,112.5,52.65,3894,INE04I401011,2020-03-18,58.81
1016,KPITTECH,EQ,N,53.0,43.65,53.0,46.4,44.95,54.45,331837,15317743.15,112.5,43.65,4818,INE04I401011,2020-03-19,46.16
1017,KPITTECH,EQ,N,49.8,42.7,49.8,44.3,44.7,46.4,223396,9864483.05,112.5,42.7,4594,INE04I401011,2020-03-20,44.16
1018,KPITTECH,EQ,N,42.5,39.9,39.9,39.9,39.9,44.3,58295,2342413.2,112.5,39.9,1014,INE04I401011,2020-03-23,40.18
1019,KPITTECH,EQ,N,42.6,35.95,41.95,36.9,36.0,39.9,306871,11388638.65,112.5,35.95,6152,INE04I401011,2020-03-24,37.11
1020,KPITTECH,EQ,N,39.9,35.65,39.9,36.1,35.9,36.9,145598,5337912.7,112.5,35.65,5104,INE04I401011,2020-03-25,36.66
1021,KPITTECH,EQ,N,37.9,34.35,36.5,34.85,34.45,36.1,240803,8882632.45,112.5,34.35,3082,INE04I401011,2020-03-26,36.89
1022,KPITTECH,EQ,N,36.55,35.05,35.3,36.3,36.55,34.85,366800,13324619.3,112.5,34.35,1510,INE04I401011,2020-03-27,36.33
1023,KPITTECH,EQ,N,38.1,34.85,37.9,35.05,35.35,36.3,1080739,38444309.9,112.5,34.35,3939,INE04I401011,2020-03-30,35.57
1024,KPITTECH,EQ,N,36.8,34.8,36.0,35.25,35.0,35.05,884212,31283523.95,112.5,34.35,6513,INE04I401011,2020-03-31,35.38
1025,KPITTECH,EQ,N,37.0,34.95,35.8,36.15,36.5,35.25,731020,26015229.75,112.5,34.35,2473,INE04I401011,2020-04-01,35.59
1026,KPITTECH,EQ,N,37.95,35.5,36.25,37.9,37.95,36.15,178328,6600198.55,112.5,34.35,1814,INE04I401011,2020-04-03,37.01
1027,KPITTECH,EQ,N,39.75,38.0,39.7,39.7,39.75,37.9,214362,8468736.95,112.5,34.35,1465,INE04I401011,2020-04-07,39.51
1028,KPITTECH,EQ,N,41.65,39.0,40.0,41.65,41.65,39.7,340590,14163581.8,112.5,34.35,1802,INE04I401011,2020-04-08,41.59
1029,KPITTECH,EQ,N,43.7,42.0,43.7,42.8,42.9,41.65,135771,5902951.6,112.5,34.35,1236,INE04I401011,2020-04-09,43.48
968,KPITTECH,EQ,N,44.9,40.7,41.65,40.95,40.85,42.8,299216,12485837.9,112.5,34.35,2538,INE04I401011,2020-04-13,41.73
969,KPITTECH,EQ,N,41.9,40.0,41.9,40.5,40.3,40.95,676867,27640253.9,112.5,34.35,9649,INE04I401011,2020-04-15,40.84
970,KPITTECH,EQ,N,42.1,40.1,41.75,41.6,42.0,40.5,152227,6257861.6,112.5,34.35,2294,INE04I401011,2020-04-16,41.11
971,KPITTECH,EQ,N,43.65,42.1,43.0,43.6,43.65,41.6,151262,6542790.45,112.5,34.35,1910,INE04I401011,2020-04-17,43.25
972,KPITTECH,EQ,N,45.75,44.2,45.6,45.75,45.75,43.6,127911,5849895.5,112.5,34.35,459,INE04I401011,2020-04-20,45.73
973,KPITTECH,EQ,N,48.0,45.75,45.75,47.95,48.0,45.75,377907,18116866.65,112.5,34.35,1602,INE04I401011,2020-04-21,47.94
974,KPITTECH,EQ,N,50.3,45.7,50.0,48.95,49.0,47.95,244070,12082868.8,112.5,34.35,2512,INE04I401011,2020-04-22,49.51
