,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,L&TFH,EQ,N,107.25,101.25,103.0,102.7,102.65,99.95,13951164,1465001749.8,155.9,78.6,72765,INE498L01015,2020-03-02,105.01
996,L&TFH,EQ,N,108.3,103.15,105.0,107.3,107.6,102.7,9915296,1046798262.6,155.9,78.6,66704,INE498L01015,2020-03-03,105.57
1000,L&TFH,EQ,N,108.7,102.4,107.95,105.65,105.35,107.3,10229637,1070638945.05,155.9,78.6,63283,INE498L01015,2020-03-04,104.66
1005,L&TFH,EQ,N,109.5,104.0,106.0,106.8,106.7,105.65,8462531,905616170.85,155.9,78.6,42188,INE498L01015,2020-03-05,107.01
1006,L&TFH,EQ,N,101.75,94.95,100.0,100.85,100.8,106.8,15265426,1513043221.85,155.9,78.6,73044,INE498L01015,2020-03-06,99.12
1007,L&TFH,EQ,N,98.2,93.4,95.8,94.45,94.2,100.85,11747390,1124098479.75,155.9,78.6,44119,INE498L01015,2020-03-09,95.69
1008,L&TFH,EQ,N,99.0,93.4,94.45,97.35,97.75,94.45,12775072,1236614283.65,155.9,78.6,53426,INE498L01015,2020-03-11,96.8
1009,L&TFH,EQ,N,91.55,80.5,90.0,81.65,82.5,97.35,15260836,1295653510.5,155.9,78.6,57728,INE498L01015,2020-03-12,84.9
1010,L&TFH,EQ,N,86.3,70.0,75.4,83.45,83.45,81.65,20793977,1695618100.95,155.9,70.0,74358,INE498L01015,2020-03-13,81.54
1011,L&TFH,EQ,N,80.0,70.2,80.0,71.0,71.0,83.45,21506722,1606763081.55,155.9,70.0,85988,INE498L01015,2020-03-16,74.71
1012,L&TFH,EQ,N,73.7,66.0,72.0,66.5,66.3,71.0,19750093,1395179389.35,155.9,66.0,63193,INE498L01015,2020-03-17,70.64
1013,L&TFH,EQ,N,68.75,61.8,67.8,62.85,62.65,66.5,18567849,1195947579.95,155.9,61.8,69435,INE498L01015,2020-03-18,64.41
1014,L&TFH,EQ,N,62.7,56.4,60.0,58.25,58.0,62.85,19568668,1158486996.75,155.9,56.4,67074,INE498L01015,2020-03-19,59.2
1015,L&TFH,EQ,N,62.4,56.75,60.0,59.55,59.55,58.25,20412114,1214680175.7,155.9,56.4,57166,INE498L01015,2020-03-20,59.51
1016,L&TFH,EQ,N,55.0,48.2,53.6,48.55,48.2,59.55,10758015,542994759.6,155.9,48.2,47612,INE498L01015,2020-03-23,50.47
