,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,LINDEINDIA,EQ,N,679.0,581.0,665.0,618.85,627.5,651.7,59584,38216086.2,801.0,460.0,2971,INE473A01011,2020-03-02,641.38
996,LINDEINDIA,EQ,N,652.8,608.0,639.85,630.95,636.0,618.85,63541,39966899.4,801.0,460.0,2473,INE473A01011,2020-03-03,628.99
1002,LINDEINDIA,EQ,N,665.0,608.0,630.05,649.35,646.65,630.95,61410,39151848.45,801.0,460.0,3266,INE473A01011,2020-03-04,637.55
1005,LINDEINDIA,EQ,N,655.0,637.0,645.15,639.4,637.0,649.35,25705,16586524.65,801.0,460.0,1256,INE473A01011,2020-03-05,645.26
1006,LINDEINDIA,EQ,N,623.25,591.7,605.25,600.55,603.0,639.4,48844,29700491.15,801.0,460.0,2142,INE473A01011,2020-03-06,608.07
1007,LINDEINDIA,EQ,N,595.0,561.55,595.0,565.75,568.0,600.55,46392,26691336.55,801.0,460.0,2010,INE473A01011,2020-03-09,575.34
1008,LINDEINDIA,EQ,N,584.15,556.1,564.9,561.85,558.05,565.75,32180,18231576.1,801.0,460.0,1603,INE473A01011,2020-03-11,566.55
1009,LINDEINDIA,EQ,N,540.25,501.0,540.0,513.7,519.5,561.85,73888,38233662.9,801.0,460.0,2470,INE473A01011,2020-03-12,517.45
1010,LINDEINDIA,EQ,N,544.0,440.0,492.15,536.25,532.0,513.7,67934,34371839.7,801.0,440.0,2116,INE473A01011,2020-03-13,505.96
1011,LINDEINDIA,EQ,N,515.25,464.95,510.0,477.8,472.0,536.25,61854,30286125.75,801.0,440.0,3848,INE473A01011,2020-03-16,489.64
1012,LINDEINDIA,EQ,N,503.9,475.0,479.9,479.1,480.6,477.8,38157,18542970.2,801.0,440.0,2179,INE473A01011,2020-03-17,485.97
1013,LINDEINDIA,EQ,N,534.5,443.0,488.0,455.55,450.0,479.1,56854,26302839.05,801.0,440.0,2556,INE473A01011,2020-03-18,462.64
1014,LINDEINDIA,EQ,N,479.55,423.5,442.8,459.85,458.0,455.55,40543,18176177.95,801.0,423.5,2279,INE473A01011,2020-03-19,448.32
1015,LINDEINDIA,EQ,N,485.0,428.2,460.05,472.15,473.0,459.85,28462,13209026.95,801.0,423.5,2105,INE473A01011,2020-03-20,464.09
1016,LINDEINDIA,EQ,N,448.8,405.0,445.0,413.5,415.0,472.15,20586,8640469.2,801.0,405.0,1324,INE473A01011,2020-03-23,419.73
1017,LINDEINDIA,EQ,N,436.8,401.0,423.0,425.85,426.9,413.5,20609,8625081.5,801.0,401.0,1184,INE473A01011,2020-03-24,418.51
1018,LINDEINDIA,EQ,N,496.8,416.0,420.0,481.85,486.1,425.85,37070,17065133.35,801.0,401.0,1711,INE473A01011,2020-03-25,460.35
1019,LINDEINDIA,EQ,N,494.0,465.25,486.0,480.1,482.0,481.85,29483,14129649.8,801.0,401.0,1626,INE473A01011,2020-03-26,479.25
1020,LINDEINDIA,EQ,N,508.0,472.65,494.0,488.0,489.95,480.1,26633,12955559.85,801.0,401.0,1612,INE473A01011,2020-03-27,486.45
1021,LINDEINDIA,EQ,N,478.9,452.0,478.9,466.35,470.0,488.0,11486,5375544.8,801.0,401.0,972,INE473A01011,2020-03-30,468.01
1022,LINDEINDIA,EQ,N,494.6,464.65,494.6,485.3,488.2,466.35,24586,11705830.5,801.0,401.0,1276,INE473A01011,2020-03-31,476.12
1023,LINDEINDIA,EQ,N,485.35,460.0,485.3,464.4,465.0,485.3,12092,5664932.7,801.0,401.0,703,INE473A01011,2020-04-01,468.49
1024,LINDEINDIA,EQ,N,474.75,447.2,474.75,458.85,458.0,464.4,11059,5059965.2,801.0,401.0,743,INE473A01011,2020-04-03,457.54
1025,LINDEINDIA,EQ,N,485.0,458.5,472.0,467.65,466.0,458.85,49653,23090091.0,801.0,401.0,1833,INE473A01011,2020-04-07,465.03
1026,LINDEINDIA,EQ,N,493.0,472.1,484.0,478.85,480.0,467.65,32773,15792480.65,801.0,401.0,1505,INE473A01011,2020-04-08,481.87
1027,LINDEINDIA,EQ,N,526.0,480.65,486.95,506.9,510.0,478.85,182250,93083010.65,801.0,401.0,7276,INE473A01011,2020-04-09,510.74
968,LINDEINDIA,EQ,N,527.45,496.0,518.0,511.95,511.6,506.9,31129,15920118.45,801.0,401.0,1903,INE473A01011,2020-04-13,511.42
969,LINDEINDIA,EQ,N,550.0,514.0,518.7,515.8,515.0,511.95,69461,36991180.0,801.0,401.0,3219,INE473A01011,2020-04-15,532.55
970,LINDEINDIA,EQ,N,542.0,512.55,523.6,533.95,540.0,515.8,37020,19450085.0,801.0,401.0,2421,INE473A01011,2020-04-16,525.39
971,LINDEINDIA,EQ,N,578.6,540.0,549.95,570.05,570.1,533.95,78724,44210715.3,801.0,401.0,3851,INE473A01011,2020-04-17,561.59
972,LINDEINDIA,EQ,N,588.0,531.25,577.0,537.0,535.0,570.05,104332,58094527.0,801.0,401.0,5237,INE473A01011,2020-04-20,556.82
973,LINDEINDIA,EQ,N,535.95,516.0,524.0,523.2,522.0,537.0,58666,30726279.55,801.0,401.0,3265,INE473A01011,2020-04-21,523.75
