,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
715,LODHA,EQ,N,478.0,422.6,436.0,465.25,457.95,486.0,11051365,5129653703.1,478.0,422.6,189323,INE670K01029,2021-04-19,464.16
716,LODHA,EQ,N,513.85,457.35,468.0,503.1,501.45,465.25,5852536,2864156254.4,513.85,422.6,108274,INE670K01029,2021-04-20,489.39
717,LODHA,EQ,N,542.75,491.6,498.0,523.75,519.15,503.1,2364148,1231854217.85,542.75,422.6,67555,INE670K01029,2021-04-22,521.06
718,LODHA,EQ,N,536.9,517.7,522.8,530.7,531.25,523.75,1150419,607699124.4,542.75,422.6,39106,INE670K01029,2021-04-23,528.24
719,LODHA,EQ,N,586.0,532.0,532.0,580.1,576.0,530.7,2069788,1169728554.8,586.0,422.6,59175,INE670K01029,2021-04-26,565.14
720,LODHA,EQ,N,612.75,571.05,576.0,604.4,599.95,580.1,2186988,1302786931.45,612.75,422.6,45239,INE670K01029,2021-04-27,595.7
721,LODHA,EQ,N,620.0,596.2,604.8,615.65,612.05,604.4,985170,601614244.05,620.0,422.6,27476,INE670K01029,2021-04-28,610.67
722,LODHA,EQ,N,619.0,581.15,618.75,601.65,605.0,615.65,1874805,1125021875.9,620.0,422.6,18880,INE670K01029,2021-04-29,600.07
723,LODHA,EQ,N,621.9,588.1,592.0,593.7,590.0,601.65,344790,208422233.05,621.9,422.6,9923,INE670K01029,2021-04-30,604.49
724,LODHA,EQ,N,605.0,570.2,590.0,599.3,605.0,593.7,424237,249535945.9,621.9,422.6,9572,INE670K01029,2021-05-03,588.2
725,LODHA,EQ,N,608.0,582.7,601.25,597.7,590.0,599.3,293950,175627740.55,621.9,422.6,6695,INE670K01029,2021-05-04,597.47
726,LODHA,EQ,N,612.0,587.5,591.0,606.0,605.0,597.7,291004,174639427.5,621.9,422.6,7329,INE670K01029,2021-05-05,600.13
727,LODHA,EQ,N,612.25,595.55,606.0,601.95,597.15,606.0,140792,85027375.8,621.9,422.6,4732,INE670K01029,2021-05-06,603.92
728,LODHA,EQ,N,638.0,603.0,603.0,631.75,629.8,601.95,1348921,836168393.95,638.0,422.6,19689,INE670K01029,2021-05-07,619.88
