,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,LT,EQ,N,1212.35,1150.55,1205.0,1160.9,1153.9,1187.55,3177486,3761531946.55,1607.0,1150.55,109785,INE018A01030,2020-03-02,1183.81
996,LT,EQ,N,1186.8,1162.05,1166.0,1181.3,1183.15,1160.9,3134527,3682673621.6,1607.0,1150.55,91823,INE018A01030,2020-03-03,1174.87
1001,LT,EQ,N,1187.85,1158.0,1185.0,1176.65,1175.9,1181.3,3135151,3684710472.75,1607.0,1150.55,115524,INE018A01030,2020-03-04,1175.29
1007,LT,EQ,N,1187.25,1166.2,1180.1,1182.45,1180.5,1176.65,2625152,3095317673.9,1607.0,1150.55,99673,INE018A01030,2020-03-05,1179.1
1008,LT,EQ,N,1164.0,1130.85,1148.0,1158.9,1154.85,1182.45,3956575,4531107106.6,1607.0,1130.85,146183,INE018A01030,2020-03-06,1145.21
1009,LT,EQ,N,1135.8,1067.3,1135.8,1101.95,1101.0,1158.9,8038432,8796146953.45,1607.0,1067.3,244516,INE018A01030,2020-03-09,1094.26
1010,LT,EQ,N,1120.95,1085.8,1090.0,1116.95,1119.0,1101.95,5628178,6251463448.65,1607.0,1067.3,212206,INE018A01030,2020-03-11,1110.74
1011,LT,EQ,N,1070.05,1004.1,1070.0,1016.55,1020.0,1116.95,9200492,9497883360.2,1607.0,1004.1,294935,INE018A01030,2020-03-12,1032.32
1012,LT,EQ,N,1060.45,890.0,950.0,1051.45,1060.0,1016.55,8117968,8130374172.6,1607.0,890.0,300693,INE018A01030,2020-03-13,1001.53
1013,LT,EQ,N,1042.0,961.9,1014.25,968.7,968.0,1051.45,6672579,6663538125.85,1607.0,890.0,316173,INE018A01030,2020-03-16,998.65
1014,LT,EQ,N,1005.0,940.15,972.0,956.75,953.0,968.7,4720357,4601054980.65,1607.0,890.0,186154,INE018A01030,2020-03-17,974.73
1015,LT,EQ,N,974.75,900.0,968.0,904.55,912.0,956.75,5586629,5201494538.8,1607.0,890.0,211669,INE018A01030,2020-03-18,931.06
1016,LT,EQ,N,884.0,837.7,873.9,843.1,839.0,904.55,7252149,6230612555.85,1607.0,837.7,311401,INE018A01030,2020-03-19,859.14
1017,LT,EQ,N,877.8,831.3,849.0,864.7,852.0,843.1,6130498,5236035985.8,1607.0,831.3,222198,INE018A01030,2020-03-20,854.1
1018,LT,EQ,N,809.95,706.0,809.0,724.05,721.0,864.7,7310033,5447578090.3,1607.0,706.0,290747,INE018A01030,2020-03-23,745.22
1019,LT,EQ,N,755.75,672.0,755.0,707.9,710.0,724.05,7113438,5030656705.3,1607.0,672.0,263108,INE018A01030,2020-03-24,707.2
