,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,LTI,EQ,N,1947.0,1877.1,1901.05,1906.75,1938.7,1910.15,108079,208530084.9,2050.0,1435.8,22529,INE214T01019,2020-03-02,1929.42
996,LTI,EQ,N,1985.0,1926.05,1938.0,1961.1,1962.0,1906.75,82575,161980736.7,2050.0,1435.8,15878,INE214T01019,2020-03-03,1961.62
1001,LTI,EQ,N,1972.95,1873.85,1966.0,1897.65,1890.8,1961.1,67995,129849524.15,2050.0,1435.8,13988,INE214T01019,2020-03-04,1909.69
1006,LTI,EQ,N,1919.0,1880.0,1896.0,1892.2,1882.0,1897.65,43705,82903401.1,2050.0,1435.8,9420,INE214T01019,2020-03-05,1896.89
1007,LTI,EQ,N,1934.95,1846.0,1860.0,1897.5,1912.0,1892.2,91570,173908725.6,2050.0,1435.8,8488,INE214T01019,2020-03-06,1899.19
1008,LTI,EQ,N,1890.0,1850.15,1885.0,1870.85,1875.0,1897.5,164511,308064337.6,2050.0,1435.8,16617,INE214T01019,2020-03-09,1872.61
1009,LTI,EQ,N,1900.0,1712.25,1870.75,1772.4,1775.4,1870.85,145955,259970455.8,2050.0,1435.8,20962,INE214T01019,2020-03-11,1781.17
1010,LTI,EQ,N,1705.0,1550.0,1682.25,1610.4,1603.05,1772.4,198483,322454224.05,2050.0,1435.8,27356,INE214T01019,2020-03-12,1624.59
1011,LTI,EQ,N,1900.3,1355.0,1499.0,1620.35,1612.0,1610.4,234804,365492583.05,2050.0,1355.0,23042,INE214T01019,2020-03-13,1556.59
1012,LTI,EQ,N,1588.0,1494.0,1588.0,1527.3,1515.0,1620.35,168799,258108233.0,2050.0,1355.0,45387,INE214T01019,2020-03-16,1529.09
1013,LTI,EQ,N,1524.35,1425.0,1515.0,1490.65,1480.0,1527.3,163058,242762251.75,2050.0,1355.0,29644,INE214T01019,2020-03-17,1488.81
1014,LTI,EQ,N,1560.0,1360.0,1505.5,1376.45,1380.0,1490.65,216457,309117168.4,2050.0,1355.0,39203,INE214T01019,2020-03-18,1428.08
1015,LTI,EQ,N,1414.0,1210.0,1326.0,1362.0,1384.1,1376.45,226828,292350557.4,2050.0,1210.0,35761,INE214T01019,2020-03-19,1288.86
1016,LTI,EQ,N,1600.0,1311.7,1350.0,1511.45,1520.0,1362.0,275061,399144930.85,2050.0,1210.0,48841,INE214T01019,2020-03-20,1451.11
1017,LTI,EQ,N,1490.0,1228.0,1240.0,1293.1,1292.0,1511.45,116594,152979276.55,2050.0,1210.0,17461,INE214T01019,2020-03-23,1312.07
1018,LTI,EQ,N,1405.0,1273.15,1330.0,1386.6,1388.15,1293.1,83425,113054590.85,2050.0,1210.0,9455,INE214T01019,2020-03-24,1355.16
1019,LTI,EQ,N,1440.0,1302.5,1382.0,1421.8,1425.0,1386.6,151453,206287927.8,2050.0,1210.0,20540,INE214T01019,2020-03-25,1362.06
1020,LTI,EQ,N,1510.0,1375.0,1440.0,1428.25,1475.0,1421.8,147627,209391555.25,2050.0,1210.0,22967,INE214T01019,2020-03-26,1418.38
1021,LTI,EQ,N,1479.0,1380.0,1440.0,1393.85,1383.0,1428.25,78304,110810924.65,2050.0,1210.0,13111,INE214T01019,2020-03-27,1415.14
1022,LTI,EQ,N,1399.05,1340.1,1365.8,1343.95,1345.0,1393.85,90379,123432154.45,2050.0,1210.0,17699,INE214T01019,2020-03-30,1365.72
1023,LTI,EQ,N,1469.0,1346.1,1360.0,1428.85,1445.0,1343.95,71659,99794164.55,2050.0,1210.0,10929,INE214T01019,2020-03-31,1392.63
1024,LTI,EQ,N,1490.0,1380.0,1446.0,1392.25,1382.2,1428.85,126718,182538900.75,2050.0,1210.0,19322,INE214T01019,2020-04-01,1440.51
1025,LTI,EQ,N,1392.25,1345.0,1380.0,1354.15,1346.0,1392.25,76517,104246826.45,2050.0,1210.0,16448,INE214T01019,2020-04-03,1362.4
1026,LTI,EQ,N,1395.0,1355.0,1395.0,1367.15,1358.0,1354.15,88451,120935841.35,2050.0,1210.0,15609,INE214T01019,2020-04-07,1367.26
1027,LTI,EQ,N,1377.25,1335.55,1360.0,1355.5,1356.0,1367.15,92221,125210558.35,2050.0,1210.0,20040,INE214T01019,2020-04-08,1357.72
1028,LTI,EQ,N,1445.0,1365.05,1377.0,1398.65,1389.25,1355.5,247088,350165440.8,2050.0,1210.0,28781,INE214T01019,2020-04-09,1417.17
968,LTI,EQ,N,1424.95,1393.55,1413.0,1399.25,1400.0,1398.65,110210,154875656.45,2050.0,1210.0,21942,INE214T01019,2020-04-13,1405.28
969,LTI,EQ,N,1489.1,1404.35,1413.95,1470.5,1465.0,1399.25,146529,213574587.5,2050.0,1210.0,27981,INE214T01019,2020-04-15,1457.56
970,LTI,EQ,N,1524.5,1431.65,1446.05,1467.85,1465.1,1470.5,164504,243449911.6,2050.0,1210.0,13886,INE214T01019,2020-04-16,1479.9
971,LTI,EQ,N,1510.1,1435.0,1510.1,1444.7,1448.9,1467.85,131889,192642292.6,2050.0,1210.0,14592,INE214T01019,2020-04-17,1460.64
972,LTI,EQ,N,1510.0,1461.8,1474.95,1492.1,1495.0,1444.7,275764,411729653.8,2050.0,1210.0,10614,INE214T01019,2020-04-20,1493.05
973,LTI,EQ,N,1488.8,1435.35,1450.0,1449.9,1448.7,1492.1,147847,216320927.9,2050.0,1210.0,12481,INE214T01019,2020-04-21,1463.14
974,LTI,EQ,N,1448.0,1385.05,1448.0,1418.45,1418.0,1449.9,151232,213873500.05,2050.0,1210.0,21088,INE214T01019,2020-04-22,1414.21
975,LTI,EQ,N,1472.0,1420.0,1430.0,1459.15,1455.0,1418.45,122755,178258599.6,2050.0,1210.0,15598,INE214T01019,2020-04-23,1452.15
976,LTI,EQ,N,1470.0,1421.55,1455.0,1433.8,1438.8,1459.15,151941,219873226.6,2050.0,1210.0,10282,INE214T01019,2020-04-24,1447.1
977,LTI,EQ,N,1470.0,1421.35,1452.25,1450.65,1458.0,1433.8,447191,642675715.4,2050.0,1210.0,10260,INE214T01019,2020-04-27,1437.14
978,LTI,EQ,N,1471.95,1445.0,1463.85,1465.85,1465.0,1450.65,51626,75303592.3,2050.0,1210.0,9427,INE214T01019,2020-04-28,1458.64
979,LTI,EQ,N,1493.0,1445.2,1479.65,1465.05,1460.0,1465.85,101143,148733208.0,2050.0,1210.0,5843,INE214T01019,2020-04-29,1470.52
980,LTI,EQ,N,1650.0,1480.0,1488.0,1592.95,1599.0,1465.05,236847,363052719.65,2050.0,1210.0,29459,INE214T01019,2020-04-30,1532.86
981,LTI,EQ,N,1570.0,1503.25,1570.0,1545.35,1550.0,1592.95,78506,120955100.35,2050.0,1210.0,16277,INE214T01019,2020-05-04,1540.71
982,LTI,EQ,N,1588.5,1525.0,1552.2,1535.4,1538.0,1545.35,137671,212681027.45,2050.0,1210.0,14689,INE214T01019,2020-05-05,1544.85
983,LTI,EQ,N,1567.45,1510.05,1535.4,1536.1,1530.0,1535.4,148484,228317194.25,2050.0,1210.0,13365,INE214T01019,2020-05-06,1537.66
984,LTI,EQ,N,1601.0,1535.9,1536.1,1593.25,1592.95,1536.1,73425,115644126.3,2050.0,1210.0,8872,INE214T01019,2020-05-07,1575.0
985,LTI,EQ,N,1614.0,1570.1,1605.25,1584.65,1582.0,1593.25,84477,134170141.25,2050.0,1210.0,10728,INE214T01019,2020-05-08,1588.24
986,LTI,EQ,N,1674.7,1595.75,1600.0,1614.2,1606.0,1584.65,115873,189719515.85,2050.0,1210.0,20252,INE214T01019,2020-05-11,1637.31
987,LTI,EQ,N,1655.0,1590.8,1614.0,1648.35,1646.0,1614.2,82164,134075888.65,2050.0,1210.0,10793,INE214T01019,2020-05-12,1631.81
988,LTI,EQ,N,1689.0,1645.1,1689.0,1656.45,1660.0,1648.35,316636,525859694.05,2050.0,1210.0,12497,INE214T01019,2020-05-13,1660.77
989,LTI,EQ,N,1667.15,1628.0,1645.0,1648.25,1636.5,1656.45,173342,286730928.5,2050.0,1210.0,14041,INE214T01019,2020-05-14,1654.13
990,LTI,EQ,N,1657.95,1636.05,1650.0,1645.8,1654.7,1648.25,66726,110045047.1,2050.0,1210.0,12174,INE214T01019,2020-05-15,1649.21
991,LTI,EQ,N,1668.0,1600.0,1655.0,1645.65,1646.0,1645.8,205525,338037219.4,2050.0,1210.0,13210,INE214T01019,2020-05-18,1644.75
992,LTI,EQ,N,1680.0,1640.0,1661.0,1670.15,1668.1,1645.65,59442,98752708.95,2050.0,1210.0,7530,INE214T01019,2020-05-19,1661.33
993,LTI,EQ,N,1834.0,1711.0,1719.95,1784.0,1755.0,1670.15,842336,1505994421.4,2050.0,1210.0,54935,INE214T01019,2020-05-20,1787.88
941,LTI,EQ,N,1800.0,1745.8,1763.95,1784.9,1799.0,1784.0,104118,184432293.85,2050.0,1210.0,14524,INE214T01019,2020-05-21,1771.38
942,LTI,EQ,N,1839.0,1771.0,1784.95,1786.65,1775.0,1784.9,125113,225504496.4,2050.0,1210.0,18430,INE214T01019,2020-05-22,1802.41
943,LTI,EQ,N,1809.65,1767.05,1795.0,1787.25,1785.0,1786.65,82065,146241308.55,2050.0,1210.0,15999,INE214T01019,2020-05-26,1782.02
944,LTI,EQ,N,1809.05,1787.0,1787.0,1794.2,1791.0,1787.25,113020,203240523.8,2050.0,1210.0,10063,INE214T01019,2020-05-27,1798.27
945,LTI,EQ,N,1818.95,1775.1,1787.0,1793.4,1786.4,1794.2,90551,162704641.45,2050.0,1210.0,14055,INE214T01019,2020-05-28,1796.83
946,LTI,EQ,N,1812.0,1780.2,1780.2,1798.85,1799.0,1793.4,46008,82680336.85,2050.0,1210.0,12482,INE214T01019,2020-05-29,1797.09
947,LTI,EQ,N,1860.0,1795.0,1795.0,1842.95,1855.0,1798.85,170384,310720878.75,2050.0,1210.0,15447,INE214T01019,2020-06-01,1823.65
948,LTI,EQ,N,1894.0,1817.85,1846.0,1858.55,1841.75,1842.95,321389,600178637.4,2050.0,1210.0,21706,INE214T01019,2020-06-02,1867.45
949,LTI,EQ,N,1880.1,1844.05,1854.95,1848.35,1845.25,1858.55,154333,287727740.75,2050.0,1210.0,9518,INE214T01019,2020-06-03,1864.33
950,LTI,EQ,N,1869.3,1846.5,1849.95,1861.25,1862.0,1848.35,50397,93486795.25,2050.0,1210.0,6326,INE214T01019,2020-06-04,1855.01
951,LTI,EQ,N,1870.7,1849.1,1865.05,1857.25,1856.1,1861.25,54930,102085549.7,2050.0,1210.0,10534,INE214T01019,2020-06-05,1858.47
952,LTI,EQ,N,1884.85,1855.0,1873.15,1870.0,1865.05,1857.25,54423,101750328.5,2050.0,1210.0,8709,INE214T01019,2020-06-08,1869.62
953,LTI,EQ,N,1895.0,1850.2,1856.0,1885.4,1888.0,1870.0,210894,395524429.5,2050.0,1210.0,16915,INE214T01019,2020-06-09,1875.47
954,LTI,EQ,N,1899.0,1879.6,1885.0,1887.5,1887.15,1885.4,48949,92408601.65,2050.0,1210.0,4209,INE214T01019,2020-06-10,1887.85
955,LTI,EQ,N,1887.95,1866.8,1881.5,1870.4,1874.85,1887.5,44855,83909117.5,2050.0,1210.0,7368,INE214T01019,2020-06-11,1870.67
956,LTI,EQ,N,1870.4,1801.0,1820.0,1850.0,1850.85,1870.4,68224,125457387.7,2050.0,1210.0,8103,INE214T01019,2020-06-12,1838.9
957,LTI,EQ,N,1877.25,1841.0,1846.0,1860.4,1868.5,1850.0,44697,83219778.6,2050.0,1210.0,6971,INE214T01019,2020-06-15,1861.86
958,LTI,EQ,N,1882.6,1851.0,1860.0,1876.05,1879.85,1860.4,59204,110882505.55,2050.0,1210.0,5403,INE214T01019,2020-06-16,1872.89
959,LTI,EQ,N,1908.9,1860.0,1860.0,1882.4,1880.1,1876.05,57194,107775615.85,2050.0,1210.0,6838,INE214T01019,2020-06-17,1884.39
960,LTI,EQ,N,1888.0,1863.0,1879.95,1877.8,1880.0,1882.4,104370,195779866.45,2050.0,1210.0,8560,INE214T01019,2020-06-18,1875.83
961,LTI,EQ,N,1920.1,1860.0,1880.0,1869.85,1867.5,1877.8,159385,302782328.65,2050.0,1210.0,19045,INE214T01019,2020-06-19,1899.69
962,LTI,EQ,N,1894.95,1866.6,1870.0,1877.5,1883.0,1869.85,38770,72773828.35,2050.0,1210.0,3627,INE214T01019,2020-06-22,1877.07
963,LTI,EQ,N,1908.0,1863.4,1880.0,1885.3,1880.1,1877.5,91005,172133058.0,2050.0,1210.0,7224,INE214T01019,2020-06-23,1891.47
964,LTI,EQ,N,1940.0,1890.0,1890.0,1926.4,1920.6,1885.3,104080,199727618.5,2050.0,1210.0,8682,INE214T01019,2020-06-24,1918.98
965,LTI,EQ,N,1919.9,1881.0,1895.25,1892.8,1890.0,1926.4,148028,279581815.75,2050.0,1210.0,8210,INE214T01019,2020-06-25,1888.71
966,LTI,EQ,N,1953.0,1892.85,1906.95,1928.7,1940.0,1892.8,171354,330546719.05,2050.0,1210.0,15561,INE214T01019,2020-06-26,1929.03
967,LTI,EQ,N,1945.0,1890.15,1925.0,1936.45,1936.5,1928.7,61906,119275905.8,2050.0,1210.0,11216,INE214T01019,2020-06-29,1926.73
911,LTI,EQ,N,1980.0,1934.0,1940.0,1957.9,1955.2,1936.45,153842,302118212.2,2050.0,1210.0,18502,INE214T01019,2020-06-30,1963.82
912,LTI,EQ,N,1969.0,1925.0,1960.2,1937.4,1939.0,1957.9,84097,163537308.8,2050.0,1210.0,5541,INE214T01019,2020-07-01,1944.63
913,LTI,EQ,N,1970.0,1935.0,1942.0,1962.75,1953.0,1937.4,79240,154971083.9,2050.0,1210.0,7675,INE214T01019,2020-07-02,1955.72
914,LTI,EQ,N,1998.75,1957.05,1961.05,1978.25,1976.9,1962.75,203541,401620150.45,2050.0,1210.0,5875,INE214T01019,2020-07-03,1973.17
915,LTI,EQ,N,2010.0,1981.95,1995.25,2000.45,1995.0,1978.25,225866,451076666.9,2050.0,1210.0,13661,INE214T01019,2020-07-06,1997.1
916,LTI,EQ,N,2025.0,1980.0,2000.45,2009.1,2006.5,2000.45,225429,452886452.55,2050.0,1210.0,12125,INE214T01019,2020-07-07,2009.0
917,LTI,EQ,N,2070.0,2011.25,2020.0,2053.75,2052.0,2009.1,219843,451625840.65,2070.0,1210.0,29326,INE214T01019,2020-07-08,2054.31
918,LTI,EQ,N,2098.0,2035.65,2041.0,2082.0,2080.0,2053.75,229165,475887287.75,2098.0,1210.0,12453,INE214T01019,2020-07-09,2076.61
919,LTI,EQ,N,2120.0,2060.85,2079.9,2109.65,2115.9,2082.0,167527,351999569.3,2120.0,1210.0,21530,INE214T01019,2020-07-10,2101.15
920,LTI,EQ,N,2230.0,2116.5,2123.0,2196.05,2194.0,2109.65,478574,1050027702.15,2230.0,1210.0,44501,INE214T01019,2020-07-13,2194.08
921,LTI,EQ,N,2253.55,2170.0,2200.0,2240.6,2249.0,2196.05,266991,593709568.3,2253.55,1210.0,29491,INE214T01019,2020-07-14,2223.71
922,LTI,EQ,N,2310.0,2158.65,2250.3,2190.8,2209.0,2240.6,269713,608702165.65,2310.0,1210.0,33413,INE214T01019,2020-07-15,2256.85
923,LTI,EQ,N,2336.0,2211.3,2259.0,2291.2,2299.05,2190.8,365530,837532821.05,2336.0,1210.0,33740,INE214T01019,2020-07-16,2291.28
924,LTI,EQ,N,2308.0,2216.0,2308.0,2264.0,2269.0,2291.2,122822,277552152.15,2336.0,1210.0,19631,INE214T01019,2020-07-17,2259.79
925,LTI,EQ,N,2257.95,2195.0,2200.0,2249.7,2247.55,2264.0,110407,247524333.15,2336.0,1210.0,17383,INE214T01019,2020-07-20,2241.93
926,LTI,EQ,N,2285.0,2245.25,2250.0,2279.65,2282.0,2249.7,99336,225649108.85,2336.0,1210.0,10674,INE214T01019,2020-07-21,2271.57
927,LTI,EQ,N,2350.0,2280.0,2300.0,2330.65,2334.7,2279.65,315765,735936110.6,2350.0,1210.0,28790,INE214T01019,2020-07-22,2330.64
928,LTI,EQ,N,2359.0,2250.0,2330.65,2261.95,2272.0,2330.65,230141,523688049.2,2359.0,1210.0,46956,INE214T01019,2020-07-23,2275.51
