,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,M&M,EQ,N,472.45,444.35,453.55,458.3,461.9,457.05,9225488,4243793446.9,704.2,444.35,119400,INE101A01026,2020-03-02,460.01
996,M&M,EQ,N,471.0,455.25,462.0,466.25,470.0,458.3,4582866,2123764573.6,704.2,444.35,60825,INE101A01026,2020-03-03,463.41
1001,M&M,EQ,N,477.0,457.5,466.05,474.65,473.4,466.25,5912943,2760695025.3,704.2,444.35,92674,INE101A01026,2020-03-04,466.89
1007,M&M,EQ,N,482.5,469.0,472.7,479.3,478.45,474.65,4081050,1947865906.6,704.2,444.35,44892,INE101A01026,2020-03-05,477.3
1008,M&M,EQ,N,473.75,456.5,458.85,471.0,470.7,479.3,4502562,2100652971.75,704.2,444.35,59236,INE101A01026,2020-03-06,466.55
1009,M&M,EQ,N,465.7,441.0,453.55,463.2,465.0,471.0,4540695,2075851294.65,704.2,441.0,94537,INE101A01026,2020-03-09,457.17
1010,M&M,EQ,N,469.65,449.7,462.85,451.6,450.65,463.2,5104926,2348158391.05,704.2,441.0,97943,INE101A01026,2020-03-11,459.98
1011,M&M,EQ,N,435.95,399.65,427.9,423.35,421.7,451.6,9408371,3954269064.65,704.2,399.65,127409,INE101A01026,2020-03-12,420.29
1012,M&M,EQ,N,449.75,345.65,400.5,428.85,445.35,423.35,6230433,2599619968.8,704.2,345.65,123154,INE101A01026,2020-03-13,417.25
1013,M&M,EQ,N,428.6,388.8,421.0,391.8,394.8,428.85,3156668,1268951101.55,704.2,345.65,61242,INE101A01026,2020-03-16,401.99
1014,M&M,EQ,N,408.0,369.95,392.0,373.4,376.35,391.8,4526918,1772561694.8,704.2,345.65,84025,INE101A01026,2020-03-17,391.56
1015,M&M,EQ,N,383.7,339.1,379.0,346.4,345.3,373.4,6596185,2359710669.2,704.2,339.1,148085,INE101A01026,2020-03-18,357.74
1016,M&M,EQ,N,331.8,302.0,331.75,314.2,316.25,346.4,10486203,3312301157.65,704.2,302.0,144878,INE101A01026,2020-03-19,315.87
1017,M&M,EQ,N,328.2,308.25,316.0,322.6,321.3,314.2,8819560,2813668968.65,704.2,302.0,117438,INE101A01026,2020-03-20,319.03
1018,M&M,EQ,N,303.9,280.6,299.0,293.4,299.75,322.6,6001458,1745195704.4,695.5,280.6,98906,INE101A01026,2020-03-23,290.8
1019,M&M,EQ,N,309.9,264.4,300.0,269.0,270.0,293.4,6695822,1902966443.55,695.5,264.4,94116,INE101A01026,2020-03-24,284.2
1020,M&M,EQ,N,288.35,245.4,263.4,277.85,274.25,269.0,9393738,2539191091.7,695.5,245.4,139052,INE101A01026,2020-03-25,270.31
1021,M&M,EQ,N,294.0,273.1,277.85,285.5,286.0,277.85,7557611,2143901942.9,695.5,245.4,100986,INE101A01026,2020-03-26,283.67
