,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,M&MFIN,EQ,N,357.25,333.0,350.5,337.85,338.0,343.25,1667638,580252445.75,453.0,284.85,42786,INE774D01024,2020-03-02,347.95
996,M&MFIN,EQ,N,348.7,337.75,342.0,341.1,342.1,337.85,2039657,699394372.9,453.0,284.85,32718,INE774D01024,2020-03-03,342.9
1003,M&MFIN,EQ,N,346.9,325.75,344.9,334.95,336.15,341.1,2587993,868992109.15,453.0,284.85,61642,INE774D01024,2020-03-04,335.78
1006,M&MFIN,EQ,N,346.55,332.65,336.25,337.1,335.6,334.95,2346033,794118638.6,453.0,284.85,29455,INE774D01024,2020-03-05,338.49
1007,M&MFIN,EQ,N,339.25,310.0,310.0,336.25,335.0,337.1,3490996,1152477015.7,453.0,284.85,76453,INE774D01024,2020-03-06,330.13
1008,M&MFIN,EQ,N,332.8,318.55,325.1,322.8,324.0,336.25,1880208,611180226.65,453.0,284.85,31539,INE774D01024,2020-03-09,325.06
1009,M&MFIN,EQ,N,331.65,318.2,324.8,324.15,327.9,322.8,2609802,847917398.7,453.0,284.85,43447,INE774D01024,2020-03-11,324.9
1010,M&MFIN,EQ,N,315.0,279.15,315.0,284.8,288.0,324.15,4032086,1186264205.65,453.0,279.15,68850,INE774D01024,2020-03-12,294.21
1011,M&MFIN,EQ,N,313.2,251.0,260.35,282.6,283.2,284.8,6088845,1689193412.2,453.0,251.0,119357,INE774D01024,2020-03-13,277.42
1012,M&MFIN,EQ,N,275.8,258.0,271.8,261.55,258.0,282.6,2751066,735296192.45,442.0,251.0,67091,INE774D01024,2020-03-16,267.28
1013,M&MFIN,EQ,N,275.6,245.2,255.05,248.9,249.0,261.55,4452929,1149922070.9,442.0,245.2,97339,INE774D01024,2020-03-17,258.24
1014,M&MFIN,EQ,N,255.4,216.0,253.25,228.65,230.05,248.9,4599348,1045849038.85,442.0,216.0,90752,INE774D01024,2020-03-18,227.39
1015,M&MFIN,EQ,N,232.1,186.95,206.1,199.05,201.0,228.65,3994352,853769411.85,442.0,186.95,87031,INE774D01024,2020-03-19,213.74
1016,M&MFIN,EQ,N,218.95,189.6,202.8,210.0,210.0,199.05,8807612,1804165198.25,442.0,186.95,99743,INE774D01024,2020-03-20,204.84
1017,M&MFIN,EQ,N,195.0,145.05,189.0,149.85,153.15,210.0,3810864,584961163.65,442.0,145.05,36538,INE774D01024,2020-03-23,153.5
1018,M&MFIN,EQ,N,172.3,142.1,153.0,161.0,160.4,149.85,5003670,789824873.45,442.0,142.1,72748,INE774D01024,2020-03-24,157.85
1019,M&MFIN,EQ,N,172.75,149.0,153.0,165.2,165.25,161.0,2581455,423109989.55,442.0,142.1,30425,INE774D01024,2020-03-25,163.9
1020,M&MFIN,EQ,N,180.0,156.0,170.0,162.45,160.5,165.2,8161710,1376662851.8,442.0,142.1,114426,INE774D01024,2020-03-26,168.67
1021,M&MFIN,EQ,N,182.0,158.85,169.5,160.9,160.8,162.45,8113633,1405185061.2,442.0,142.1,80777,INE774D01024,2020-03-27,173.19
