,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
184,MANKIND,EQ,N,1430.0,1300.0,1300.0,1422.3,1430.0,1080.0,33193796,44815145255.85,1430.0,1300,930441,INE634S01028,2023-05-09,1350.11
185,MANKIND,EQ,N,1424.35,1340.0,1417.0,1382.85,1375.0,1422.3,5651542,7830254333.8,1430.0,1300,152836,INE634S01028,2023-05-10,1385.51
186,MANKIND,EQ,N,1386.0,1306.65,1370.0,1380.4,1374.0,1382.85,5111576,6884108458.3,1430.0,1300,157588,INE634S01028,2023-05-11,1346.77
187,MANKIND,EQ,N,1438.8,1357.05,1364.0,1394.45,1397.15,1380.4,1946969,2732401137.6,1438.8,1300,76488,INE634S01028,2023-05-12,1403.41
188,MANKIND,EQ,N,1409.8,1378.0,1397.9,1384.9,1384.15,1394.45,565868,787727109.15,1438.8,1300,32906,INE634S01028,2023-05-15,1392.07
189,MANKIND,EQ,N,1393.45,1351.95,1389.0,1359.0,1360.55,1384.9,728775,1002488244.35,1438.8,1300,21048,INE634S01028,2023-05-16,1375.58
190,MANKIND,EQ,N,1369.7,1343.4,1359.0,1354.4,1357.0,1359.0,525476,711663979.3,1438.8,1300,22560,INE634S01028,2023-05-17,1354.32
191,MANKIND,EQ,N,1369.95,1354.0,1360.55,1355.8,1357.0,1354.4,255442,347300886.25,1438.8,1300,19109,INE634S01028,2023-05-18,1359.61
192,MANKIND,EQ,N,1361.0,1325.75,1360.0,1330.8,1331.9,1355.8,373144,498873190.9,1438.8,1300,19286,INE634S01028,2023-05-19,1336.95
193,MANKIND,EQ,N,1349.0,1242.0,1330.0,1330.45,1327.05,1330.8,914898,1198427493.35,1438.8,1242,49604,INE634S01028,2023-05-22,1309.9
194,MANKIND,EQ,N,1348.95,1322.65,1339.95,1331.25,1330.0,1330.45,221060,295103276.4,1438.8,1242,20166,INE634S01028,2023-05-23,1334.95
195,MANKIND,EQ,N,1339.35,1314.0,1325.0,1322.65,1320.0,1331.25,177959,235528501.7,1438.8,1242,15741,INE634S01028,2023-05-24,1323.5
196,MANKIND,EQ,N,1343.85,1319.8,1329.0,1327.7,1328.5,1322.65,132683,176504990.45,1438.8,1242,12790,INE634S01028,2023-05-25,1330.28
197,MANKIND,EQ,N,1334.95,1320.5,1327.65,1323.6,1322.2,1327.7,83415,110700672.75,1438.8,1242,8995,INE634S01028,2023-05-26,1327.11
198,MANKIND,EQ,N,1375.0,1320.0,1328.0,1367.6,1370.2,1323.6,495981,674382499.15,1438.8,1242,22856,INE634S01028,2023-05-29,1359.69
199,MANKIND,EQ,N,1385.0,1345.0,1381.3,1355.95,1357.15,1367.6,258524,352823838.25,1438.8,1242,10618,INE634S01028,2023-05-30,1364.76
200,MANKIND,EQ,N,1398.6,1326.0,1379.95,1360.0,1360.0,1355.95,879563,1190503833.1,1438.8,1242,40895,INE634S01028,2023-05-31,1353.52
201,MANKIND,EQ,N,1401.0,1365.3,1368.0,1395.4,1393.9,1360.0,574856,796344862.35,1438.8,1242,29851,INE634S01028,2023-06-01,1385.29
202,MANKIND,EQ,N,1509.05,1399.05,1406.0,1466.25,1465.0,1395.4,1540408,2259910349.4,1509.05,1242,63276,INE634S01028,2023-06-02,1467.09
203,MANKIND,EQ,N,1469.9,1413.05,1443.95,1423.9,1430.0,1466.25,612827,880400680.75,1509.05,1242,26365,INE634S01028,2023-06-05,1436.62
204,MANKIND,EQ,N,1496.0,1430.0,1430.8,1488.5,1492.0,1423.9,687238,1015967715.85,1509.05,1242,26468,INE634S01028,2023-06-06,1478.33
205,MANKIND,EQ,N,1518.9,1473.0,1489.95,1486.15,1481.0,1488.5,542372,810590901.05,1518.9,1242,22188,INE634S01028,2023-06-07,1494.53
206,MANKIND,EQ,N,1491.35,1450.7,1490.95,1457.05,1455.15,1486.15,174292,255731805.65,1518.9,1242,8752,INE634S01028,2023-06-08,1467.26
207,MANKIND,EQ,N,1496.0,1456.05,1471.95,1485.3,1483.5,1457.05,182349,268943545.3,1518.9,1242,15367,INE634S01028,2023-06-09,1474.88
208,MANKIND,EQ,N,1488.7,1469.0,1478.25,1474.7,1474.25,1485.3,99106,146444649.2,1518.9,1242,7608,INE634S01028,2023-06-12,1477.66
209,MANKIND,EQ,N,1544.5,1502.15,1535.0,1521.2,1527.0,1474.7,580211,879540854.95,1544.5,1242,38925,INE634S01028,2023-06-13,1515.9
156,MANKIND,EQ,N,1662.0,1524.1,1527.05,1620.75,1595.5,1521.2,1505759,2404051575.0,1662.0,1242,74785,INE634S01028,2023-06-14,1596.57
157,MANKIND,EQ,N,1652.9,1585.0,1594.15,1622.65,1629.9,1620.75,1105604,1792500689.6,1662.0,1242,38619,INE634S01028,2023-06-15,1621.29
158,MANKIND,EQ,N,1680.0,1608.8,1630.0,1623.65,1622.0,1622.65,839183,1384901894.65,1680.0,1242,38156,INE634S01028,2023-06-16,1650.3
159,MANKIND,EQ,N,1724.0,1627.55,1631.8,1700.55,1711.1,1623.65,658756,1104606905.2,1724.0,1242,28383,INE634S01028,2023-06-19,1676.81
160,MANKIND,EQ,N,1755.0,1712.3,1719.0,1746.9,1748.85,1700.55,572514,994367058.45,1755.0,1242,27080,INE634S01028,2023-06-20,1736.84
161,MANKIND,EQ,N,1768.0,1680.05,1768.0,1696.1,1691.0,1746.9,911759,1561055114.35,1768.0,1242,35384,INE634S01028,2023-06-21,1712.14
162,MANKIND,EQ,N,1746.0,1645.05,1724.0,1681.4,1679.1,1696.1,1225846,2072821896.95,1768.0,1242,39792,INE634S01028,2023-06-22,1690.93
163,MANKIND,EQ,N,1758.0,1680.05,1684.7,1694.0,1702.1,1681.4,845406,1448891481.45,1768.0,1242,40332,INE634S01028,2023-06-23,1713.84
164,MANKIND,EQ,N,1720.0,1693.05,1701.0,1702.85,1705.5,1694.0,238572,406260792.05,1768.0,1242,15556,INE634S01028,2023-06-26,1702.89
165,MANKIND,EQ,N,1709.9,1675.0,1705.5,1677.7,1680.1,1702.85,248597,419480108.2,1768.0,1242,16430,INE634S01028,2023-06-27,1687.39
166,MANKIND,EQ,N,1720.0,1680.0,1681.0,1699.75,1704.0,1677.7,211474,359704970.4,1768.0,1242,14086,INE634S01028,2023-06-28,1700.94
167,MANKIND,EQ,N,1719.45,1701.0,1719.45,1706.8,1706.25,1699.75,162099,277019102.05,1768.0,1242,9050,INE634S01028,2023-06-30,1708.95
168,MANKIND,EQ,N,1716.95,1692.2,1707.95,1697.45,1695.0,1706.8,171333,291668972.65,1768.0,1242,13742,INE634S01028,2023-07-03,1702.35
169,MANKIND,EQ,N,1709.4,1661.05,1709.4,1677.1,1675.0,1697.45,463605,781980083.65,1768.0,1242,19150,INE634S01028,2023-07-04,1686.74
170,MANKIND,EQ,N,1727.0,1678.0,1685.0,1697.85,1698.0,1677.1,229369,391148615.75,1768.0,1242,12079,INE634S01028,2023-07-05,1705.32
171,MANKIND,EQ,N,1717.0,1699.0,1699.0,1707.9,1706.55,1697.85,206546,352775263.3,1768.0,1242,11120,INE634S01028,2023-07-06,1707.97
172,MANKIND,EQ,N,1749.95,1701.15,1708.5,1733.8,1724.05,1707.9,360481,624204633.8,1768.0,1242,19639,INE634S01028,2023-07-07,1731.59
173,MANKIND,EQ,N,1745.95,1717.8,1744.0,1727.5,1721.05,1733.8,192521,332640406.4,1768.0,1242,11447,INE634S01028,2023-07-10,1727.81
174,MANKIND,EQ,N,1743.0,1724.0,1728.2,1731.4,1733.0,1727.5,128332,222671396.2,1768.0,1242,7936,INE634S01028,2023-07-11,1735.12
175,MANKIND,EQ,N,1897.9,1730.6,1737.65,1878.45,1875.0,1731.4,972037,1795518472.2,1897.9,1242,49936,INE634S01028,2023-07-12,1847.17
176,MANKIND,EQ,N,1895.4,1785.0,1889.65,1820.3,1819.9,1878.45,482228,884237142.5,1897.9,1242,43889,INE634S01028,2023-07-13,1833.65
177,MANKIND,EQ,N,1854.0,1810.15,1829.95,1819.9,1818.0,1820.3,276149,505771214.85,1897.9,1242,20451,INE634S01028,2023-07-14,1831.52
