,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,MARICO,EQ,N,311.4,290.0,302.0,291.25,291.6,298.75,4185685,1252060601.35,404.0,290.0,67318,INE196A01026,2020-03-02,299.13
996,MARICO,EQ,N,298.1,290.5,297.5,296.1,297.35,291.25,3970650,1170850840.8,404.0,290.0,66446,INE196A01026,2020-03-03,294.88
1000,MARICO,EQ,N,301.25,292.25,298.35,295.05,295.0,296.1,2578871,762615252.35,404.0,290.0,66675,INE196A01026,2020-03-04,295.72
1006,MARICO,EQ,N,300.45,292.0,295.45,293.25,292.65,295.05,1666684,494016920.85,404.0,290.0,43769,INE196A01026,2020-03-05,296.41
1007,MARICO,EQ,N,290.0,280.5,290.0,282.55,281.0,293.25,4709414,1335108192.4,404.0,280.5,87103,INE196A01026,2020-03-06,283.5
1008,MARICO,EQ,N,281.9,262.25,281.9,266.05,267.6,282.55,4922160,1326522670.55,404.0,262.25,96949,INE196A01026,2020-03-09,269.5
1009,MARICO,EQ,N,276.0,265.2,266.05,269.75,270.0,266.05,3271005,887595308.85,404.0,262.25,57600,INE196A01026,2020-03-11,271.35
1010,MARICO,EQ,N,263.6,248.3,260.0,259.85,260.5,269.75,7679029,1979491347.65,404.0,248.3,84452,INE196A01026,2020-03-12,257.78
1011,MARICO,EQ,N,272.25,236.05,245.85,260.65,260.5,259.85,4096772,1067706044.1,404.0,236.05,67226,INE196A01026,2020-03-13,260.62
1012,MARICO,EQ,N,271.55,246.65,250.0,252.5,255.55,260.65,4370511,1128879630.8,404.0,236.05,72503,INE196A01026,2020-03-16,258.29
1013,MARICO,EQ,N,257.0,245.9,252.5,249.15,250.45,252.5,3816942,958915028.95,404.0,236.05,70070,INE196A01026,2020-03-17,251.23
1014,MARICO,EQ,N,253.95,241.5,253.5,248.85,248.7,249.15,3570030,883825715.7,404.0,236.05,69844,INE196A01026,2020-03-18,247.57
1015,MARICO,EQ,N,255.25,236.5,245.0,248.3,247.0,248.85,3059325,753624421.6,404.0,236.05,52010,INE196A01026,2020-03-19,246.34
1016,MARICO,EQ,N,260.9,247.8,250.55,255.9,255.0,248.3,3892214,995117655.7,404.0,236.05,62860,INE196A01026,2020-03-20,255.67
1017,MARICO,EQ,N,251.15,234.0,238.0,240.2,241.0,255.9,2700526,654238034.2,404.0,234.0,52319,INE196A01026,2020-03-23,242.26
