,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
881,MAXHEALTH,EQ,N,120.9,105.3,107.0,115.25,117.2,111.75,1514512,174902559.75,120.9,105.3,13767,INE027H01010,2020-09-04,115.48
882,MAXHEALTH,EQ,N,118.7,112.65,115.65,113.35,113.85,115.25,740174,84665946.15,120.9,105.3,8400,INE027H01010,2020-09-07,114.39
883,MAXHEALTH,EQ,N,116.25,107.45,114.6,110.0,110.0,113.35,845613,94049980.9,120.9,105.3,4059,INE027H01010,2020-09-08,111.22
884,MAXHEALTH,EQ,N,114.95,105.6,106.0,111.45,111.2,110.0,798343,88310531.1,120.9,105.3,5473,INE027H01010,2020-09-09,110.62
885,MAXHEALTH,EQ,N,115.95,111.0,113.25,111.7,112.0,111.45,731283,82473379.85,120.9,105.3,8381,INE027H01010,2020-09-10,112.78
886,MAXHEALTH,EQ,N,133.95,120.3,120.45,131.55,130.4,111.7,11028197,1420516145.15,133.95,105.3,68438,INE027H01010,2020-09-11,128.81
887,MAXHEALTH,EQ,N,129.35,120.15,127.0,120.9,120.7,131.55,3503925,434080178.5,133.95,105.3,42126,INE027H01010,2020-09-14,123.88
888,MAXHEALTH,EQ,N,125.4,117.3,122.0,118.75,118.95,120.9,1262738,152759998.9,133.95,105.3,15161,INE027H01010,2020-09-15,120.98
889,MAXHEALTH,EQ,N,122.0,116.9,119.9,120.7,121.4,118.75,749709,89512463.95,133.95,105.3,7298,INE027H01010,2020-09-16,119.4
890,MAXHEALTH,EQ,N,121.35,116.1,120.0,117.7,117.45,120.7,617657,73127908.05,133.95,105.3,5998,INE027H01010,2020-09-17,118.4
854,MAXHEALTH,EQ,N,120.9,115.25,118.6,116.85,116.8,117.7,1106408,130913477.4,133.95,105.3,7270,INE027H01010,2020-09-18,118.32
855,MAXHEALTH,EQ,N,119.3,107.85,117.95,110.9,111.5,116.85,1758972,198672582.3,133.95,105.3,9755,INE027H01010,2020-09-21,112.95
856,MAXHEALTH,EQ,N,112.4,107.0,110.95,109.05,109.6,110.9,574754,62680400.1,133.95,105.3,6234,INE027H01010,2020-09-22,109.06
857,MAXHEALTH,EQ,N,115.9,108.55,110.9,110.95,111.1,109.05,1230945,137345647.25,133.95,105.3,9856,INE027H01010,2020-09-23,111.58
858,MAXHEALTH,EQ,N,112.95,108.0,110.0,108.75,109.0,110.95,389947,42830299.0,133.95,105.3,4242,INE027H01010,2020-09-24,109.84
859,MAXHEALTH,EQ,N,112.0,109.25,110.1,109.9,109.85,108.75,473902,52340153.5,133.95,105.3,3769,INE027H01010,2020-09-25,110.45
860,MAXHEALTH,EQ,N,119.5,111.35,111.55,116.55,116.0,109.9,5292435,610516938.95,133.95,105.3,21823,INE027H01010,2020-09-28,115.36
861,MAXHEALTH,EQ,N,117.5,111.75,117.0,113.45,113.3,116.55,1304996,149021806.6,133.95,105.3,7918,INE027H01010,2020-09-29,114.19
862,MAXHEALTH,EQ,N,117.9,112.75,113.0,115.35,115.35,113.45,1287726,148808584.55,133.95,105.3,8898,INE027H01010,2020-09-30,115.56
863,MAXHEALTH,EQ,N,119.1,114.35,116.7,115.9,115.55,115.35,1656938,193993488.15,133.95,105.3,6673,INE027H01010,2020-10-01,117.08
864,MAXHEALTH,EQ,N,117.65,113.6,116.05,114.0,113.95,115.9,319243,36820401.9,133.95,105.3,2824,INE027H01010,2020-10-05,115.34
865,MAXHEALTH,EQ,N,117.3,114.1,114.15,115.55,116.0,114.0,440116,50859400.2,133.95,105.3,4023,INE027H01010,2020-10-06,115.56
866,MAXHEALTH,EQ,N,115.75,111.95,115.75,114.3,113.7,115.55,407970,46410474.15,133.95,105.3,3703,INE027H01010,2020-10-07,113.76
867,MAXHEALTH,EQ,N,115.9,112.1,115.45,112.65,113.0,114.3,550754,62801062.1,133.95,105.3,2843,INE027H01010,2020-10-08,114.03
868,MAXHEALTH,EQ,N,113.6,109.55,113.15,110.7,110.6,112.65,545288,60698827.8,133.95,105.3,5818,INE027H01010,2020-10-09,111.32
869,MAXHEALTH,EQ,N,112.8,107.6,111.25,108.55,109.35,110.7,415407,45614164.05,133.95,105.3,3748,INE027H01010,2020-10-12,109.81
870,MAXHEALTH,EQ,N,113.4,108.8,109.6,112.65,112.7,108.55,547097,60941694.65,133.95,105.3,3186,INE027H01010,2020-10-13,111.39
871,MAXHEALTH,EQ,N,113.6,109.5,113.6,109.95,109.95,112.65,305686,33930334.85,133.95,105.3,1882,INE027H01010,2020-10-14,111.0
872,MAXHEALTH,EQ,N,114.5,106.3,110.0,107.15,107.3,109.95,479087,52509444.45,133.95,105.3,3566,INE027H01010,2020-10-15,109.6
873,MAXHEALTH,EQ,N,109.15,106.6,107.5,108.1,107.9,107.15,170235,18420985.7,133.95,105.3,1753,INE027H01010,2020-10-16,108.21
874,MAXHEALTH,EQ,N,109.8,107.0,108.7,108.6,108.8,108.1,216811,23524764.1,133.95,105.3,1801,INE027H01010,2020-10-19,108.5
875,MAXHEALTH,EQ,N,108.9,106.55,108.8,106.95,106.95,108.6,156582,16817731.25,133.95,105.3,1913,INE027H01010,2020-10-20,107.41
876,MAXHEALTH,EQ,N,108.1,105.8,106.75,106.2,105.9,106.95,157747,16863243.2,133.95,105.3,1673,INE027H01010,2020-10-21,106.9
877,MAXHEALTH,EQ,N,107.0,104.4,106.55,105.65,105.4,106.2,265310,28016964.6,133.95,104.4,2621,INE027H01010,2020-10-22,105.6
878,MAXHEALTH,EQ,N,106.5,104.8,106.45,105.3,105.7,105.65,244630,25756314.65,133.95,104.4,3105,INE027H01010,2020-10-23,105.29
879,MAXHEALTH,EQ,N,106.6,104.0,105.05,105.2,105.0,105.3,240894,25436632.9,133.95,104.0,2161,INE027H01010,2020-10-26,105.59
880,MAXHEALTH,EQ,N,107.4,104.65,106.4,106.05,106.45,105.2,294750,31297039.35,133.95,104.0,3415,INE027H01010,2020-10-27,106.18
826,MAXHEALTH,EQ,N,106.65,104.0,106.25,104.55,105.95,106.05,152273,15937814.6,133.95,104.0,2177,INE027H01010,2020-10-28,104.67
827,MAXHEALTH,EQ,N,105.1,102.35,104.1,103.65,103.25,104.55,173698,17974828.55,133.95,102.35,2296,INE027H01010,2020-10-29,103.48
828,MAXHEALTH,EQ,N,110.9,104.1,105.0,106.55,106.3,103.65,383823,41376220.25,133.95,102.35,3993,INE027H01010,2020-10-30,107.8
829,MAXHEALTH,EQ,N,110.0,106.25,106.5,107.15,107.25,106.55,171594,18435685.8,133.95,102.35,1880,INE027H01010,2020-11-02,107.44
830,MAXHEALTH,EQ,N,108.05,107.15,108.05,107.8,107.65,107.15,123402,13291140.7,133.95,102.35,1643,INE027H01010,2020-11-03,107.71
831,MAXHEALTH,EQ,N,114.25,107.5,107.8,113.2,114.05,107.8,755686,84139970.8,133.95,102.35,5718,INE027H01010,2020-11-04,111.34
832,MAXHEALTH,EQ,N,116.8,113.0,115.05,114.55,113.55,113.2,1087721,125091184.4,133.95,102.35,6992,INE027H01010,2020-11-05,115.0
833,MAXHEALTH,EQ,N,115.55,112.4,114.2,114.5,114.45,114.55,239902,27411669.9,133.95,102.35,3056,INE027H01010,2020-11-06,114.26
834,MAXHEALTH,EQ,N,122.7,115.55,115.7,120.0,119.9,114.5,1570566,187584309.1,133.95,102.35,8968,INE027H01010,2020-11-09,119.44
835,MAXHEALTH,EQ,N,121.0,114.5,119.25,115.25,115.25,120.0,442920,51951729.8,133.95,102.35,7072,INE027H01010,2020-11-10,117.29
836,MAXHEALTH,EQ,N,123.0,115.1,115.35,121.2,120.75,115.25,1567207,188621099.95,133.95,102.35,15245,INE027H01010,2020-11-11,120.35
837,MAXHEALTH,EQ,N,120.0,97.15,120.0,118.15,118.2,121.2,568369,67200352.35,133.95,97.15,4909,INE027H01010,2020-11-12,118.23
838,MAXHEALTH,EQ,N,124.8,116.9,117.9,122.2,122.0,118.15,987877,120902868.25,133.95,97.15,12126,INE027H01010,2020-11-13,122.39
839,MAXHEALTH,EQ,N,124.75,121.5,124.0,122.25,121.8,122.2,188082,23160816.65,133.95,97.15,1629,INE027H01010,2020-11-14,123.14
840,MAXHEALTH,EQ,N,124.6,120.8,122.25,121.7,121.15,122.25,650720,79510173.15,133.95,97.15,5217,INE027H01010,2020-11-17,122.19
841,MAXHEALTH,EQ,N,122.4,119.55,121.5,119.95,120.0,121.7,272337,32813420.05,133.95,97.15,2783,INE027H01010,2020-11-18,120.49
842,MAXHEALTH,EQ,N,125.0,118.1,118.1,121.05,121.0,119.95,828513,101553044.65,133.95,97.15,7119,INE027H01010,2020-11-19,122.57
843,MAXHEALTH,EQ,N,124.95,120.6,121.55,123.9,124.05,121.05,526946,64938085.8,133.95,97.15,4410,INE027H01010,2020-11-20,123.23
844,MAXHEALTH,EQ,N,129.2,122.1,124.4,126.3,126.0,123.9,740615,93978210.55,133.95,97.15,6320,INE027H01010,2020-11-23,126.89
845,MAXHEALTH,EQ,N,129.0,125.0,127.7,125.65,125.5,126.3,464979,58923666.7,133.95,97.15,7476,INE027H01010,2020-11-24,126.72
846,MAXHEALTH,EQ,N,127.7,123.0,127.7,124.35,123.8,125.65,341364,42939199.6,133.95,97.15,15379,INE027H01010,2020-11-25,125.79
847,MAXHEALTH,EQ,N,126.2,123.75,124.55,124.1,124.3,124.35,183023,22837439.0,133.95,97.15,1748,INE027H01010,2020-11-26,124.78
