,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
853,MAZDOCK,EQ,N,216.95,171.95,214.9,171.95,171.95,145.0,39929204,7452475260.55,216.95,171.95,569001,INE249Z01012,2020-10-12,186.64
854,MAZDOCK,EQ,N,184.7,164.0,172.0,181.45,181.0,171.95,18862563,3318158044.75,216.95,164.0,221335,INE249Z01012,2020-10-13,175.91
855,MAZDOCK,EQ,N,187.4,178.1,180.45,182.25,181.5,181.45,6178509,1131476553.15,216.95,164.0,71868,INE249Z01012,2020-10-14,183.13
856,MAZDOCK,EQ,N,182.75,171.0,181.95,171.85,172.4,182.25,3193483,563802761.95,216.95,164.0,43870,INE249Z01012,2020-10-15,176.55
857,MAZDOCK,EQ,N,175.45,165.0,173.75,168.05,168.3,171.85,3072942,521071452.55,216.95,164.0,58615,INE249Z01012,2020-10-16,169.57
858,MAZDOCK,EQ,N,172.85,167.5,170.75,168.3,168.25,168.05,1922584,326350775.4,216.95,164.0,23663,INE249Z01012,2020-10-19,169.75
859,MAZDOCK,EQ,N,169.8,165.4,167.7,166.05,165.65,168.3,1262381,210921132.55,216.95,164.0,17825,INE249Z01012,2020-10-20,167.08
860,MAZDOCK,EQ,N,177.7,166.45,166.9,171.65,172.0,166.05,4477916,771878227.55,216.95,164.0,47898,INE249Z01012,2020-10-21,172.37
861,MAZDOCK,EQ,N,174.9,167.7,172.3,170.65,170.4,171.65,2003364,342763862.05,216.95,164.0,20782,INE249Z01012,2020-10-22,171.09
862,MAZDOCK,EQ,N,179.0,172.4,174.15,175.4,174.7,170.65,3573971,630358365.65,216.95,164.0,35261,INE249Z01012,2020-10-23,176.37
863,MAZDOCK,EQ,N,175.95,170.0,175.95,170.8,170.75,175.4,927445,159568722.65,216.95,164.0,11585,INE249Z01012,2020-10-26,172.05
864,MAZDOCK,EQ,N,171.55,167.45,170.9,168.85,168.7,170.8,774974,131120691.45,216.95,164.0,11082,INE249Z01012,2020-10-27,169.19
826,MAZDOCK,EQ,N,171.2,167.0,169.95,167.25,167.15,168.85,931754,157134344.05,216.95,164.0,13312,INE249Z01012,2020-10-28,168.64
827,MAZDOCK,EQ,N,169.0,166.2,167.15,167.0,167.25,167.25,905814,151668601.8,216.95,164.0,11411,INE249Z01012,2020-10-29,167.44
828,MAZDOCK,EQ,N,169.7,165.0,167.5,166.75,166.3,167.0,953836,159718629.85,216.95,164.0,11484,INE249Z01012,2020-10-30,167.45
829,MAZDOCK,EQ,N,172.5,165.3,166.75,168.35,168.55,166.75,1208681,203440983.6,216.95,164.0,14566,INE249Z01012,2020-11-02,168.32
830,MAZDOCK,EQ,N,169.95,166.05,169.2,166.6,166.25,168.35,610024,102458603.95,216.95,164.0,8464,INE249Z01012,2020-11-03,167.96
831,MAZDOCK,EQ,N,167.9,165.1,166.5,165.8,165.95,166.6,719104,119639597.7,216.95,164.0,8287,INE249Z01012,2020-11-04,166.37
832,MAZDOCK,EQ,N,172.2,166.45,166.75,169.25,169.45,165.8,1502066,254802017.25,216.95,164.0,12923,INE249Z01012,2020-11-05,169.63
833,MAZDOCK,EQ,N,174.0,169.0,169.55,170.05,169.65,169.25,1994558,343037254.25,216.95,164.0,19809,INE249Z01012,2020-11-06,171.99
834,MAZDOCK,EQ,N,181.95,171.4,172.0,179.45,178.15,170.05,6497799,1150295023.0,216.95,164.0,43311,INE249Z01012,2020-11-09,177.03
835,MAZDOCK,EQ,N,179.25,170.75,179.25,172.4,172.45,179.45,2379955,415267733.95,216.95,164.0,20443,INE249Z01012,2020-11-10,174.49
836,MAZDOCK,EQ,N,176.35,172.0,173.0,174.45,174.0,172.4,1638130,285693367.85,216.95,164.0,13596,INE249Z01012,2020-11-11,174.4
837,MAZDOCK,EQ,N,178.0,172.5,174.6,176.05,176.95,174.45,1423822,248418788.6,216.95,164.0,11596,INE249Z01012,2020-11-12,174.47
838,MAZDOCK,EQ,N,184.5,177.5,179.4,183.15,183.25,176.05,6506244,1184930958.25,216.95,164.0,50290,INE249Z01012,2020-11-13,182.12
839,MAZDOCK,EQ,N,190.8,184.0,184.9,188.25,190.0,183.15,2954791,553868552.0,216.95,164.0,23545,INE249Z01012,2020-11-14,187.45
840,MAZDOCK,EQ,N,192.8,181.25,191.4,183.9,184.05,188.25,3800604,715761725.0,216.95,164.0,29020,INE249Z01012,2020-11-17,188.33
841,MAZDOCK,EQ,N,186.5,183.0,184.0,183.4,183.2,183.9,1690667,311637982.3,216.95,164.0,14800,INE249Z01012,2020-11-18,184.33
842,MAZDOCK,EQ,N,187.0,181.6,183.2,184.55,184.05,183.4,2163334,398953270.35,216.95,164.0,17789,INE249Z01012,2020-11-19,184.42
843,MAZDOCK,EQ,N,188.8,183.8,185.75,184.45,184.4,184.55,2696783,501685844.65,216.95,164.0,21226,INE249Z01012,2020-11-20,186.03
844,MAZDOCK,EQ,N,185.95,180.75,185.0,182.2,181.9,184.45,1493301,273899242.2,216.95,164.0,12503,INE249Z01012,2020-11-23,183.42
845,MAZDOCK,EQ,N,185.5,180.9,182.75,181.4,181.35,182.2,1478112,270465296.95,216.95,164.0,11462,INE249Z01012,2020-11-24,182.98
846,MAZDOCK,EQ,N,183.35,179.2,182.8,179.8,180.4,181.4,1477833,267404396.65,216.95,164.0,12421,INE249Z01012,2020-11-25,180.94
847,MAZDOCK,EQ,N,181.45,178.35,180.45,179.25,179.5,179.8,1109635,199032224.3,216.95,164.0,8782,INE249Z01012,2020-11-26,179.37
848,MAZDOCK,EQ,N,182.65,178.1,179.75,179.0,178.7,179.25,1913953,345501589.7,216.95,164.0,12629,INE249Z01012,2020-11-27,180.52
849,MAZDOCK,EQ,N,183.5,180.35,180.45,182.0,182.25,179.0,1309783,238044461.25,216.95,164.0,10070,INE249Z01012,2020-12-01,181.74
850,MAZDOCK,EQ,N,183.0,180.0,182.8,180.9,181.05,182.0,797822,144648660.5,216.95,164.0,7156,INE249Z01012,2020-12-02,181.3
851,MAZDOCK,EQ,N,187.75,181.7,181.8,184.75,184.9,180.9,2529433,467758175.95,216.95,164.0,20548,INE249Z01012,2020-12-03,184.93
852,MAZDOCK,EQ,N,185.85,181.9,185.0,182.4,182.4,184.75,1040179,191071640.2,216.95,164.0,10318,INE249Z01012,2020-12-04,183.69
796,MAZDOCK,EQ,N,194.2,182.7,182.8,191.35,191.9,182.4,4321530,820824356.7,216.95,164.0,41590,INE249Z01012,2020-12-07,189.94
797,MAZDOCK,EQ,N,195.3,187.1,192.5,188.7,188.5,191.35,2381609,454158385.75,216.95,164.0,22306,INE249Z01012,2020-12-08,190.69
798,MAZDOCK,EQ,N,198.9,189.8,191.55,195.9,196.05,188.7,5333254,1043734276.75,216.95,164.0,55276,INE249Z01012,2020-12-09,195.7
799,MAZDOCK,EQ,N,196.75,190.0,195.45,191.8,192.25,195.9,1429930,274831217.5,216.95,164.0,14374,INE249Z01012,2020-12-10,192.2
800,MAZDOCK,EQ,N,194.6,188.0,192.5,188.75,188.35,191.8,1610208,308264809.7,216.95,164.0,12206,INE249Z01012,2020-12-11,191.44
801,MAZDOCK,EQ,N,195.3,189.05,189.35,194.15,194.65,188.75,1642855,315737002.25,216.95,164.0,14666,INE249Z01012,2020-12-14,192.19
802,MAZDOCK,EQ,N,194.0,190.0,194.0,191.05,190.65,194.15,1035176,198320731.0,216.95,164.0,9953,INE249Z01012,2020-12-15,191.58
803,MAZDOCK,EQ,N,227.9,191.5,191.75,220.3,219.05,191.05,20419578,4393820904.5,227.9,164.0,171698,INE249Z01012,2020-12-16,215.18
804,MAZDOCK,EQ,N,223.9,205.0,218.05,207.35,207.25,220.3,9138262,1980394531.1,227.9,164.0,76929,INE249Z01012,2020-12-17,216.71
805,MAZDOCK,EQ,N,225.7,202.5,208.8,221.95,221.7,207.35,15138674,3301724570.45,227.9,164.0,136974,INE249Z01012,2020-12-18,218.1
806,MAZDOCK,EQ,N,224.75,196.0,221.0,204.65,203.0,221.95,4318465,918176246.95,227.9,164.0,48915,INE249Z01012,2020-12-21,212.62
807,MAZDOCK,EQ,N,211.7,196.05,205.05,209.0,208.9,204.65,3005087,615983507.65,227.9,164.0,39003,INE249Z01012,2020-12-22,204.98
808,MAZDOCK,EQ,N,218.0,209.0,209.75,214.6,213.8,209.0,1662354,356662830.45,227.9,164.0,23946,INE249Z01012,2020-12-23,214.55
809,MAZDOCK,EQ,N,218.2,210.15,215.75,212.4,212.8,214.6,1053802,225445996.05,227.9,164.0,15629,INE249Z01012,2020-12-24,213.94
810,MAZDOCK,EQ,N,217.9,213.05,214.35,215.8,216.0,212.4,1408447,304023949.95,227.9,164.0,16204,INE249Z01012,2020-12-28,215.86
811,MAZDOCK,EQ,N,217.8,211.2,217.8,212.55,212.5,215.8,1004118,214579060.85,227.9,164.0,11577,INE249Z01012,2020-12-29,213.7
812,MAZDOCK,EQ,N,225.7,210.8,214.0,221.15,221.35,212.55,4562158,1000785045.55,227.9,164.0,48566,INE249Z01012,2020-12-30,219.37
