,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
546,METROBRAND,EQ,N,507.9,426.0,437.0,493.35,502.0,500.0,19716936,9377714129.1,507.9,426.0,302576,INE317I01021,2021-12-22,475.62
547,METROBRAND,EQ,N,512.0,478.0,499.9,480.6,480.0,493.35,2173869,1066546324.65,512.0,426.0,62470,INE317I01021,2021-12-23,490.62
548,METROBRAND,EQ,N,489.0,466.05,484.0,470.45,469.0,480.6,951656,453540465.95,512.0,426.0,32553,INE317I01021,2021-12-24,476.58
549,METROBRAND,EQ,N,464.9,444.2,460.1,449.95,452.0,470.45,540067,244860050.4,512.0,426.0,20141,INE317I01021,2021-12-27,453.39
550,METROBRAND,EQ,N,464.5,446.25,446.25,460.25,460.2,449.95,419620,192026987.2,512.0,426.0,17505,INE317I01021,2021-12-28,457.62
551,METROBRAND,EQ,N,469.7,450.0,459.0,453.95,451.0,460.25,572715,262488974.5,512.0,426.0,18959,INE317I01021,2021-12-29,458.32
552,METROBRAND,EQ,N,462.0,450.0,451.0,452.15,450.05,453.95,166176,75584055.35,512.0,426.0,5612,INE317I01021,2021-12-30,454.84
553,METROBRAND,EQ,N,460.9,451.0,451.0,458.2,455.75,452.15,247933,113470177.8,512.0,426.0,13188,INE317I01021,2021-12-31,457.66
554,METROBRAND,EQ,N,461.8,450.05,454.5,453.6,453.65,458.2,327782,148780458.6,512.0,426.0,20139,INE317I01021,2022-01-03,453.9
555,METROBRAND,EQ,N,458.7,434.8,458.7,436.6,437.6,453.6,374329,165829649.8,512.0,426.0,13799,INE317I01021,2022-01-04,443.01
556,METROBRAND,EQ,N,448.7,428.75,437.25,439.85,440.0,436.6,360297,158575675.2,512.0,426.0,13445,INE317I01021,2022-01-05,440.12
557,METROBRAND,EQ,N,457.0,431.65,432.1,455.2,456.1,439.85,408705,180999417.25,512.0,426.0,11836,INE317I01021,2022-01-06,442.86
558,METROBRAND,EQ,N,471.1,456.55,465.0,468.25,470.0,455.2,319032,147891795.95,512.0,426.0,12180,INE317I01021,2022-01-07,463.56
517,METROBRAND,EQ,N,480.0,458.65,468.0,478.25,477.5,468.25,295438,139096011.55,512.0,426.0,12924,INE317I01021,2022-01-10,470.81
518,METROBRAND,EQ,N,498.1,478.0,484.75,494.55,494.55,478.25,606349,296815324.45,512.0,426.0,31138,INE317I01021,2022-01-11,489.51
519,METROBRAND,EQ,N,502.0,484.25,488.3,499.0,499.0,494.55,459370,228100217.35,512.0,426.0,21089,INE317I01021,2022-01-12,496.55
520,METROBRAND,EQ,N,509.8,488.9,492.2,500.95,500.0,499.0,505248,252975031.85,512.0,426.0,19419,INE317I01021,2022-01-13,500.69
521,METROBRAND,EQ,N,512.0,492.95,500.9,507.95,506.0,500.95,508691,256849217.5,512.0,426.0,16751,INE317I01021,2022-01-14,504.92
522,METROBRAND,EQ,N,609.5,545.0,545.0,605.0,609.5,507.95,5552207,3291160351.85,609.5,426.0,145779,INE317I01021,2022-01-17,592.77
523,METROBRAND,EQ,N,673.0,595.25,621.0,605.2,605.2,605.0,5058331,3175774964.75,673.0,426.0,177616,INE317I01021,2022-01-18,627.83
524,METROBRAND,EQ,N,621.7,586.0,596.0,608.1,611.5,605.2,887038,534670447.55,673.0,426.0,35933,INE317I01021,2022-01-19,602.76
525,METROBRAND,EQ,N,627.0,600.0,611.9,608.55,608.0,608.1,865251,531686776.1,673.0,426.0,30016,INE317I01021,2022-01-20,614.49
526,METROBRAND,EQ,N,619.7,591.0,606.9,601.75,610.0,608.55,384543,233685825.9,673.0,426.0,13269,INE317I01021,2022-01-21,607.7
527,METROBRAND,EQ,N,609.9,556.5,600.0,597.45,602.0,601.75,441786,256656887.3,673.0,426.0,17713,INE317I01021,2022-01-24,580.95
528,METROBRAND,EQ,N,625.0,584.0,597.0,612.9,612.9,597.45,319471,195426221.65,673.0,426.0,18306,INE317I01021,2022-01-25,611.72
529,METROBRAND,EQ,N,630.0,595.3,600.0,625.8,626.0,612.9,397438,244957117.55,673.0,426.0,15167,INE317I01021,2022-01-27,616.34
530,METROBRAND,EQ,N,630.6,602.5,629.8,615.15,615.0,625.8,328952,202033865.95,673.0,426.0,17130,INE317I01021,2022-01-28,614.17
531,METROBRAND,EQ,N,625.0,600.5,616.0,608.9,605.0,615.15,321552,195715790.9,673.0,426.0,18778,INE317I01021,2022-01-31,608.66
532,METROBRAND,EQ,N,614.75,575.4,610.0,595.15,595.45,608.9,326331,193454395.8,673.0,426.0,15645,INE317I01021,2022-02-01,592.82
533,METROBRAND,EQ,N,608.25,585.15,595.45,598.7,599.95,595.15,361387,214279006.8,673.0,426.0,10662,INE317I01021,2022-02-02,592.94
534,METROBRAND,EQ,N,603.25,589.0,592.0,591.05,590.1,598.7,364061,215322848.45,673.0,426.0,5437,INE317I01021,2022-02-03,591.45
535,METROBRAND,EQ,N,592.7,581.1,592.0,582.5,581.5,591.05,92462,53995826.95,673.0,426.0,4062,INE317I01021,2022-02-04,583.98
536,METROBRAND,EQ,N,595.55,573.2,582.0,577.9,574.0,582.5,186031,108573641.05,673.0,426.0,5184,INE317I01021,2022-02-07,583.63
537,METROBRAND,EQ,N,589.5,565.0,575.0,567.2,568.05,577.9,136380,77825799.15,673.0,426.0,5428,INE317I01021,2022-02-08,570.65
538,METROBRAND,EQ,N,604.4,559.25,570.9,594.6,593.2,567.2,192902,113614566.65,673.0,426.0,11576,INE317I01021,2022-02-09,588.98
539,METROBRAND,EQ,N,597.0,580.1,595.1,586.45,584.8,594.6,63064,37006828.1,673.0,426.0,3952,INE317I01021,2022-02-10,586.81
540,METROBRAND,EQ,N,584.95,573.05,584.0,578.7,575.0,586.45,70637,40838308.65,673.0,426.0,3634,INE317I01021,2022-02-11,578.14
541,METROBRAND,EQ,N,589.75,550.1,565.25,559.6,555.25,578.7,250995,142557294.8,673.0,426.0,10914,INE317I01021,2022-02-14,567.97
542,METROBRAND,EQ,N,580.0,550.3,565.0,574.6,578.1,559.6,100356,56814402.6,673.0,426.0,5232,INE317I01021,2022-02-15,566.13
543,METROBRAND,EQ,N,582.25,570.0,580.0,572.15,570.5,574.6,91253,52488523.1,673.0,426.0,3041,INE317I01021,2022-02-16,575.2
544,METROBRAND,EQ,N,570.95,558.0,570.1,558.2,558.9,572.15,167101,93937753.4,673.0,426.0,3215,INE317I01021,2022-02-17,562.16
545,METROBRAND,EQ,N,559.9,551.25,557.0,554.4,555.0,558.2,123520,68484415.8,673.0,426.0,2723,INE317I01021,2022-02-18,554.44
490,METROBRAND,EQ,N,560.0,540.0,550.0,548.75,550.5,554.4,136516,74991653.95,673.0,426.0,4916,INE317I01021,2022-02-21,549.33
491,METROBRAND,EQ,N,552.9,526.0,534.0,547.5,547.0,548.75,86409,46621070.3,673.0,426.0,4066,INE317I01021,2022-02-22,539.54
492,METROBRAND,EQ,N,553.0,538.05,545.0,542.8,539.0,547.5,226462,124128485.3,673.0,426.0,8007,INE317I01021,2022-02-23,548.12
493,METROBRAND,EQ,N,532.25,510.55,520.0,522.8,520.15,542.8,564698,295647981.5,673.0,426.0,18243,INE317I01021,2022-02-24,523.55
494,METROBRAND,EQ,N,560.0,520.25,520.25,545.1,550.45,522.8,275706,147404166.25,673.0,426.0,8366,INE317I01021,2022-02-25,534.64
495,METROBRAND,EQ,N,550.0,533.0,550.0,544.0,542.0,545.1,112419,60881626.1,673.0,426.0,6712,INE317I01021,2022-02-28,541.56
496,METROBRAND,EQ,N,548.0,530.25,538.0,536.2,535.5,544.0,47030,25383301.25,673.0,426.0,3290,INE317I01021,2022-03-02,539.73
497,METROBRAND,EQ,N,547.0,528.0,544.75,531.95,530.0,536.2,79234,42515160.55,673.0,426.0,5880,INE317I01021,2022-03-03,536.58
498,METROBRAND,EQ,N,531.9,515.0,530.0,519.0,520.05,531.95,103406,53947515.85,673.0,426.0,6504,INE317I01021,2022-03-04,521.71
499,METROBRAND,EQ,N,531.6,505.1,515.0,518.25,517.0,519.0,147347,77052858.8,673.0,426.0,12688,INE317I01021,2022-03-07,522.93
500,METROBRAND,EQ,N,527.0,514.65,527.0,520.15,520.0,518.25,101245,52543932.6,673.0,426.0,15295,INE317I01021,2022-03-08,518.98
501,METROBRAND,EQ,N,530.0,519.0,520.05,522.0,519.45,520.15,171982,90127130.8,673.0,426.0,20031,INE317I01021,2022-03-09,524.05
502,METROBRAND,EQ,N,548.0,523.75,526.0,535.35,537.85,522.0,581113,310454606.45,673.0,426.0,19607,INE317I01021,2022-03-10,534.24
503,METROBRAND,EQ,N,550.0,540.1,544.75,548.8,547.0,535.35,202230,110827704.9,673.0,426.0,10464,INE317I01021,2022-03-11,548.03
504,METROBRAND,EQ,N,552.1,532.05,552.1,539.75,540.2,548.8,68068,36675870.7,673.0,426.0,4142,INE317I01021,2022-03-14,538.81
505,METROBRAND,EQ,N,558.75,539.5,541.0,551.6,552.0,539.75,243904,134124739.2,673.0,426.0,8943,INE317I01021,2022-03-15,549.91
506,METROBRAND,EQ,N,574.55,551.05,559.0,570.1,570.1,551.6,164931,93409551.15,673.0,426.0,8485,INE317I01021,2022-03-16,566.36
507,METROBRAND,EQ,N,589.45,565.75,575.0,573.15,566.0,570.1,283725,164513029.75,673.0,426.0,17562,INE317I01021,2022-03-17,579.83
508,METROBRAND,EQ,N,579.85,562.3,573.2,572.55,572.5,573.15,145451,83279504.5,673.0,426.0,12309,INE317I01021,2022-03-21,572.56
509,METROBRAND,EQ,N,583.95,565.65,571.0,570.1,572.3,572.55,417622,239165527.4,673.0,426.0,9088,INE317I01021,2022-03-22,572.68
510,METROBRAND,EQ,N,580.25,567.0,571.05,569.95,567.3,570.1,104992,60362588.05,673.0,426.0,5704,INE317I01021,2022-03-23,574.93
511,METROBRAND,EQ,N,584.5,565.15,574.0,575.45,575.0,569.95,93984,54089318.2,673.0,426.0,4909,INE317I01021,2022-03-24,575.52
512,METROBRAND,EQ,N,597.15,578.2,579.75,582.9,583.6,575.45,247121,145490950.95,673.0,426.0,15813,INE317I01021,2022-03-25,588.74
513,METROBRAND,EQ,N,599.2,576.0,579.0,594.35,596.65,582.9,178019,104825907.2,673.0,426.0,9402,INE317I01021,2022-03-28,588.85
514,METROBRAND,EQ,N,607.4,582.8,591.0,598.8,595.85,594.35,136544,81273254.5,673.0,426.0,6472,INE317I01021,2022-03-29,595.22
515,METROBRAND,EQ,N,610.0,591.0,596.0,606.5,603.0,598.8,210076,126736762.25,673.0,426.0,10599,INE317I01021,2022-03-30,603.29
516,METROBRAND,EQ,N,635.5,581.35,605.6,612.2,621.0,606.5,401020,241826411.1,673.0,426.0,12534,INE317I01021,2022-03-31,603.03
465,METROBRAND,EQ,N,624.0,601.6,611.0,606.25,604.0,612.2,169484,103553042.3,673.0,426.0,9453,INE317I01021,2022-04-01,610.99
466,METROBRAND,EQ,N,619.75,598.1,619.75,601.2,599.0,606.25,82918,50099538.9,673.0,426.0,5237,INE317I01021,2022-04-04,604.21
467,METROBRAND,EQ,N,610.0,595.05,604.0,597.7,598.0,601.2,72435,43397487.85,673.0,426.0,5647,INE317I01021,2022-04-05,599.12
468,METROBRAND,EQ,N,607.7,592.25,594.0,600.15,594.4,597.7,113163,67633914.05,673.0,426.0,5528,INE317I01021,2022-04-06,597.67
469,METROBRAND,EQ,N,610.0,588.4,595.0,596.75,589.9,600.15,82338,48927655.75,673.0,426.0,4701,INE317I01021,2022-04-07,594.23
470,METROBRAND,EQ,N,595.4,582.45,591.1,592.45,593.9,596.75,101489,59738446.75,673.0,426.0,5795,INE317I01021,2022-04-08,588.62
471,METROBRAND,EQ,N,612.15,594.0,594.0,603.65,606.0,592.45,156911,94927559.3,673.0,426.0,8840,INE317I01021,2022-04-11,604.98
472,METROBRAND,EQ,N,614.0,594.0,599.0,603.6,600.0,603.65,130259,78727215.15,673.0,426.0,7841,INE317I01021,2022-04-12,604.39
473,METROBRAND,EQ,N,611.0,599.0,602.15,600.7,600.85,603.6,53350,32265810.45,673.0,426.0,3629,INE317I01021,2022-04-13,604.79
474,METROBRAND,EQ,N,600.7,535.25,593.0,594.65,592.3,600.7,63276,37148014.55,673.0,426.0,5018,INE317I01021,2022-04-18,587.08
475,METROBRAND,EQ,N,603.55,565.85,602.0,574.2,570.0,594.65,70371,41225933.9,673.0,426.0,4756,INE317I01021,2022-04-19,585.84
476,METROBRAND,EQ,N,583.0,552.1,582.0,568.9,566.3,574.2,155842,87847367.4,673.0,426.0,12114,INE317I01021,2022-04-20,563.7
477,METROBRAND,EQ,N,575.7,565.7,567.0,570.15,570.0,568.9,41793,23870578.95,673.0,426.0,3449,INE317I01021,2022-04-21,571.16
478,METROBRAND,EQ,N,575.0,565.0,568.0,567.7,566.65,570.15,21859,12426639.2,673.0,426.0,2767,INE317I01021,2022-04-22,568.49
479,METROBRAND,EQ,N,570.0,555.1,555.1,566.2,565.0,567.7,66315,37397320.7,673.0,426.0,11083,INE317I01021,2022-04-25,563.93
480,METROBRAND,EQ,N,588.55,567.0,579.0,572.1,569.0,566.2,128639,74479059.35,673.0,426.0,8888,INE317I01021,2022-04-26,578.98
481,METROBRAND,EQ,N,574.15,555.4,571.7,558.85,557.4,572.1,30140,16909701.1,673.0,426.0,2770,INE317I01021,2022-04-27,561.04
482,METROBRAND,EQ,N,570.0,550.0,560.0,566.05,567.0,558.85,107186,59722047.8,673.0,426.0,4341,INE317I01021,2022-04-28,557.18
483,METROBRAND,EQ,N,579.0,553.0,566.15,570.1,565.5,566.05,194711,109817373.4,673.0,426.0,14481,INE317I01021,2022-04-29,564.0
484,METROBRAND,EQ,N,573.9,556.2,567.3,562.65,563.95,570.1,200218,112936183.2,673.0,426.0,13654,INE317I01021,2022-05-02,564.07
485,METROBRAND,EQ,N,564.5,535.1,561.0,552.75,552.1,562.65,71342,39461995.8,673.0,426.0,3686,INE317I01021,2022-05-04,553.14
486,METROBRAND,EQ,N,558.75,543.0,558.75,547.5,547.0,552.75,32909,18137264.3,673.0,426.0,2578,INE317I01021,2022-05-05,551.13
487,METROBRAND,EQ,N,550.1,534.05,535.0,542.85,540.0,547.5,71079,38546744.05,673.0,426.0,6355,INE317I01021,2022-05-06,542.31
488,METROBRAND,EQ,N,540.8,526.55,540.8,533.25,527.1,542.85,95648,51185013.1,673.0,426.0,12427,INE317I01021,2022-05-09,535.14
435,METROBRAND,EQ,N,550.0,520.15,528.8,537.3,530.3,533.25,91361,48999778.35,673.0,426.0,5584,INE317I01021,2022-05-10,536.33
436,METROBRAND,EQ,N,537.4,520.0,532.7,525.9,525.0,537.3,105327,55369455.95,673.0,426.0,8915,INE317I01021,2022-05-11,525.69
437,METROBRAND,EQ,N,524.75,505.1,518.0,517.45,516.3,525.9,69786,35851939.25,673.0,426.0,6649,INE317I01021,2022-05-12,513.74
438,METROBRAND,EQ,N,533.0,513.25,517.6,521.9,518.5,517.45,74621,38984712.6,673.0,426.0,10120,INE317I01021,2022-05-13,522.44
439,METROBRAND,EQ,N,528.75,505.4,518.25,515.05,513.15,521.9,66276,34047032.0,673.0,426.0,5638,INE317I01021,2022-05-16,513.72
440,METROBRAND,EQ,N,539.8,508.1,519.0,527.0,528.0,515.05,87796,46147537.45,673.0,426.0,9494,INE317I01021,2022-05-17,525.62
441,METROBRAND,EQ,N,536.0,521.1,535.0,528.2,524.55,527.0,59893,31611986.1,673.0,426.0,4696,INE317I01021,2022-05-18,527.81
442,METROBRAND,EQ,N,536.0,511.35,515.1,529.0,525.2,528.2,51143,26894078.8,673.0,426.0,4511,INE317I01021,2022-05-19,525.86
443,METROBRAND,EQ,N,545.0,526.7,534.0,536.9,537.1,529.0,85612,45941825.1,673.0,426.0,8570,INE317I01021,2022-05-20,536.63
444,METROBRAND,EQ,N,582.8,531.25,556.0,546.65,547.9,536.9,538524,297827776.95,673.0,426.0,27493,INE317I01021,2022-05-23,553.04
445,METROBRAND,EQ,N,554.75,531.0,554.75,538.65,531.55,546.65,105455,57122127.0,673.0,426.0,3645,INE317I01021,2022-05-24,541.67
446,METROBRAND,EQ,N,546.6,522.3,538.65,530.35,532.0,538.65,200781,106370249.45,673.0,426.0,13962,INE317I01021,2022-05-25,529.78
447,METROBRAND,EQ,N,535.1,520.7,527.0,530.75,528.0,530.35,93880,49688564.95,673.0,426.0,6727,INE317I01021,2022-05-26,529.28
448,METROBRAND,EQ,N,537.7,521.3,532.45,525.15,523.6,530.75,130504,68987936.35,673.0,426.0,4876,INE317I01021,2022-05-27,528.63
449,METROBRAND,EQ,N,596.05,525.2,530.0,574.8,568.0,525.15,1095155,628842409.9,673.0,426.0,45198,INE317I01021,2022-05-30,574.2
450,METROBRAND,EQ,N,607.0,565.25,572.2,596.4,596.0,574.8,762000,454128982.6,673.0,426.0,39460,INE317I01021,2022-05-31,595.97
451,METROBRAND,EQ,N,619.0,576.55,597.0,582.0,581.0,596.4,376957,227061679.5,673.0,426.0,20009,INE317I01021,2022-06-01,602.35
452,METROBRAND,EQ,N,594.5,572.5,580.9,588.2,588.95,582.0,107489,62889298.65,673.0,426.0,5834,INE317I01021,2022-06-02,585.08
453,METROBRAND,EQ,N,599.0,576.45,593.0,578.55,582.0,588.2,37976,22342961.9,673.0,426.0,2269,INE317I01021,2022-06-03,588.34
454,METROBRAND,EQ,N,587.6,567.15,583.4,573.8,575.0,578.55,87520,50612018.3,673.0,426.0,5648,INE317I01021,2022-06-06,578.29
455,METROBRAND,EQ,N,585.0,566.7,571.0,579.05,576.1,573.8,27010,15490849.95,673.0,426.0,1902,INE317I01021,2022-06-07,573.52
456,METROBRAND,EQ,N,581.0,551.0,579.0,560.7,555.1,579.05,37717,21423128.0,673.0,426.0,2961,INE317I01021,2022-06-08,568.0
457,METROBRAND,EQ,N,572.0,551.15,558.9,565.95,565.2,560.7,63106,35415106.05,673.0,426.0,7176,INE317I01021,2022-06-09,561.2
458,METROBRAND,EQ,N,580.0,553.1,560.1,574.1,577.15,565.95,82889,46764432.95,673.0,426.0,5393,INE317I01021,2022-06-10,564.18
459,METROBRAND,EQ,N,574.1,542.15,557.0,564.05,570.05,574.1,146885,82151290.15,673.0,426.0,16946,INE317I01021,2022-06-13,559.29
460,METROBRAND,EQ,N,572.0,557.55,569.75,566.35,567.0,564.05,29298,16583877.1,673.0,426.0,1839,INE317I01021,2022-06-14,566.04
461,METROBRAND,EQ,N,571.95,543.7,566.35,557.0,559.5,566.35,113255,62747249.55,673.0,426.0,11499,INE317I01021,2022-06-15,554.04
462,METROBRAND,EQ,N,567.0,535.6,567.0,549.65,542.85,557.0,165273,90976079.75,673.0,426.0,12207,INE317I01021,2022-06-16,550.46
463,METROBRAND,EQ,N,548.0,535.1,548.0,540.5,543.0,549.65,20960,11323887.0,673.0,426.0,1879,INE317I01021,2022-06-17,540.26
405,METROBRAND,EQ,N,544.8,525.5,544.8,536.8,535.95,540.5,279706,149705074.55,673.0,426.0,5393,INE317I01021,2022-06-20,535.22
406,METROBRAND,EQ,N,559.5,532.0,535.95,553.35,551.9,536.8,82169,45300899.6,673.0,426.0,5573,INE317I01021,2022-06-21,551.31
407,METROBRAND,EQ,N,567.75,548.4,567.75,561.95,562.0,553.35,165020,92304343.75,673.0,426.0,3460,INE317I01021,2022-06-22,559.35
408,METROBRAND,EQ,N,569.05,551.6,567.75,559.95,555.55,561.95,42865,24010898.95,673.0,426.0,3995,INE317I01021,2022-06-23,560.15
