,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,MPHASIS,EQ,N,888.15,864.45,876.1,876.55,868.0,871.55,141075,123214876.15,1027.9,827.75,17260,INE356A01018,2020-03-02,873.4
996,MPHASIS,EQ,N,893.55,862.15,878.95,873.45,862.15,876.55,551864,482929074.25,1027.9,827.75,19734,INE356A01018,2020-03-03,875.09
1003,MPHASIS,EQ,N,869.95,814.0,869.1,840.0,839.0,873.45,642750,545054875.2,1027.9,814.0,9929,INE356A01018,2020-03-04,848.0
1008,MPHASIS,EQ,N,863.35,820.1,853.9,831.7,842.0,840.0,549126,464663247.95,1027.9,814.0,10977,INE356A01018,2020-03-05,846.19
1009,MPHASIS,EQ,N,834.0,810.0,824.95,821.4,819.0,831.7,149805,122499750.05,1027.9,810.0,10854,INE356A01018,2020-03-06,817.73
1010,MPHASIS,EQ,N,818.8,786.8,815.05,793.1,800.0,821.4,124246,98869732.1,1017.9,786.8,12405,INE356A01018,2020-03-09,795.76
1011,MPHASIS,EQ,N,811.1,768.85,798.0,778.45,773.5,793.1,282634,220164686.05,1017.9,768.85,16136,INE356A01018,2020-03-11,778.97
1012,MPHASIS,EQ,N,766.45,720.0,759.95,735.0,735.0,778.45,597040,437435608.75,1017.9,720.0,11107,INE356A01018,2020-03-12,732.67
1013,MPHASIS,EQ,N,774.0,675.0,678.0,749.8,745.0,735.0,521938,376332435.15,1017.9,675.0,13059,INE356A01018,2020-03-13,721.03
1014,MPHASIS,EQ,N,741.65,678.0,741.65,691.85,681.7,749.8,175140,122659059.05,1017.9,675.0,17441,INE356A01018,2020-03-16,700.35
1015,MPHASIS,EQ,N,726.0,655.0,709.75,700.85,695.0,691.85,3789137,2630132359.45,1017.9,655.0,24719,INE356A01018,2020-03-17,694.12
1016,MPHASIS,EQ,N,730.0,679.0,705.15,687.55,688.45,700.85,125774,86453306.8,1017.9,655.0,8708,INE356A01018,2020-03-18,687.37
1017,MPHASIS,EQ,N,700.0,655.0,655.0,662.15,660.0,687.55,2652979,1837839320.95,1017.9,655.0,24132,INE356A01018,2020-03-19,692.75
1018,MPHASIS,EQ,N,706.25,653.4,662.15,699.15,706.25,662.15,797592,545743283.25,1017.9,653.4,22318,INE356A01018,2020-03-20,684.24
1019,MPHASIS,EQ,N,683.95,630.0,676.0,642.1,648.0,699.15,67623,44274129.3,1017.9,630.0,5447,INE356A01018,2020-03-23,654.72
1020,MPHASIS,EQ,N,696.5,638.75,669.95,680.95,678.4,642.1,126665,85411366.15,1017.9,630.0,17257,INE356A01018,2020-03-24,674.31
1021,MPHASIS,EQ,N,759.65,660.0,660.0,727.3,722.0,680.95,225930,162368629.45,1017.9,630.0,20026,INE356A01018,2020-03-25,718.67
1022,MPHASIS,EQ,N,750.0,681.8,712.0,689.7,689.0,727.3,187983,132678766.75,1017.9,630.0,22357,INE356A01018,2020-03-26,705.8
1023,MPHASIS,EQ,N,712.35,669.0,695.05,686.3,669.05,689.7,430960,298470720.1,1017.9,630.0,21223,INE356A01018,2020-03-27,692.57
1024,MPHASIS,EQ,N,670.9,636.0,670.9,641.4,643.8,686.3,364240,237380770.6,1017.9,630.0,22792,INE356A01018,2020-03-30,651.72
