,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,MRF,EQ,N,67595.9,65551.0,66891.0,65976.3,65900.0,66393.2,6419,428410051.55,73565.7,51586.3,4652,INE883A01011,2020-03-02,66740.93
996,MRF,EQ,N,68558.35,65600.0,66799.0,67740.7,67538.35,65976.3,8202,548631205.2,73565.7,51586.3,5618,INE883A01011,2020-03-03,66889.93
1003,MRF,EQ,N,67698.8,66100.0,67270.0,67053.35,66900.0,67740.7,8187,546713963.2,73565.7,51586.3,5557,INE883A01011,2020-03-04,66778.3
1007,MRF,EQ,N,68169.9,66809.5,67300.05,67325.15,67500.0,67053.35,5745,387652448.6,73565.7,51586.3,3748,INE883A01011,2020-03-05,67476.49
1008,MRF,EQ,N,66500.2,63858.55,66389.0,66348.15,66450.0,67325.15,9851,647390290.6,73565.7,51586.3,6019,INE883A01011,2020-03-06,65718.23
1009,MRF,EQ,N,65800.0,63052.45,65800.0,64261.85,64050.35,66348.15,9596,617823350.4,73565.7,51586.3,6054,INE883A01011,2020-03-09,64383.43
1010,MRF,EQ,N,65687.3,62703.0,64200.0,63589.85,63304.1,64261.85,15621,994128924.85,73565.7,51586.3,9050,INE883A01011,2020-03-11,63640.54
1011,MRF,EQ,N,62888.2,58000.0,62001.0,60555.25,60800.05,63589.85,17337,1053406893.65,73565.7,51586.3,10471,INE883A01011,2020-03-12,60760.62
1012,MRF,EQ,N,66300.0,56030.0,56030.0,65929.35,65985.0,60555.25,15213,953139450.65,73565.7,51586.3,9705,INE883A01011,2020-03-13,62652.96
1013,MRF,EQ,N,63899.85,60309.05,62000.0,61295.05,61148.1,65929.35,11325,708602427.15,73565.7,51586.3,8320,INE883A01011,2020-03-16,62569.75
1014,MRF,EQ,N,63749.8,60350.05,61295.05,62140.7,61850.05,61295.05,14677,914831221.65,73565.7,51586.3,9231,INE883A01011,2020-03-17,62330.94
1015,MRF,EQ,N,63395.1,59200.0,62899.95,59921.15,60000.0,62140.7,12224,739074287.85,73565.7,51586.3,7871,INE883A01011,2020-03-18,60460.92
1016,MRF,EQ,N,59870.0,56950.5,58950.0,57803.75,57808.85,59921.15,18082,1054393307.9,73565.7,51586.3,11932,INE883A01011,2020-03-19,58311.76
1017,MRF,EQ,N,61111.1,57534.7,58199.95,58988.95,58800.0,57803.75,12333,733060688.4,73565.7,51586.3,8163,INE883A01011,2020-03-20,59438.96
1018,MRF,EQ,N,56998.85,51500.0,55905.0,51970.25,52000.0,58988.95,20515,1095852865.4,73565.7,51500.0,8475,INE883A01011,2020-03-23,53417.15
1019,MRF,EQ,N,55000.0,49915.1,55000.0,52597.7,52600.0,51970.25,15772,827806669.65,73565.7,49915.1,11288,INE883A01011,2020-03-24,52485.84
1020,MRF,EQ,N,57700.0,50155.55,50155.55,56579.25,56368.85,52597.7,16480,898026125.15,73565.7,49915.1,9876,INE883A01011,2020-03-25,54491.88
1021,MRF,EQ,N,60742.65,54900.0,56600.0,55343.75,55250.0,56579.25,16476,948353733.65,73565.7,49915.1,12539,INE883A01011,2020-03-26,57559.71
1022,MRF,EQ,N,58200.0,53620.0,57940.0,56371.25,56033.45,55343.75,15883,888594316.3,73565.7,49915.1,11987,INE883A01011,2020-03-27,55946.25
1023,MRF,EQ,N,55270.0,53522.9,54700.0,54375.7,54020.0,56371.25,39105,2128847730.2,73565.7,49915.1,10718,INE883A01011,2020-03-30,54439.27
1024,MRF,EQ,N,59312.0,54121.05,54600.0,58164.45,58600.0,54375.7,25755,1437420042.1,73565.7,49915.1,10197,INE883A01011,2020-03-31,55811.3
1025,MRF,EQ,N,57900.0,54675.45,57900.0,55108.85,55150.0,58164.45,20661,1144539945.35,73565.7,49915.1,10504,INE883A01011,2020-04-01,55396.15
1026,MRF,EQ,N,56200.0,54500.0,55600.0,55062.25,54997.5,55108.85,33126,1827306599.45,73565.7,49915.1,8631,INE883A01011,2020-04-03,55162.31
1027,MRF,EQ,N,58088.0,56055.05,56500.0,57701.05,58050.0,55062.25,18689,1071405602.0,73565.7,49915.1,11657,INE883A01011,2020-04-07,57328.14
1028,MRF,EQ,N,59500.0,56300.0,56600.0,57172.75,57005.0,57701.05,15231,882975712.1,73565.7,49915.1,10247,INE883A01011,2020-04-08,57972.27
1029,MRF,EQ,N,60460.05,57700.2,58599.0,60017.9,60430.0,57172.75,17980,1065256214.65,73565.7,49915.1,11689,INE883A01011,2020-04-09,59246.73
968,MRF,EQ,N,59831.4,57101.0,59500.0,57399.2,57103.0,60017.9,13752,801089095.55,73565.7,49915.1,9793,INE883A01011,2020-04-13,58252.55
969,MRF,EQ,N,58500.0,56760.0,58500.0,57417.75,57400.0,57399.2,17187,988996918.9,73565.7,49915.1,10921,INE883A01011,2020-04-15,57543.31
970,MRF,EQ,N,62000.0,57012.1,57390.0,60441.9,60999.85,57417.75,22062,1303860148.8,73565.7,49915.1,14368,INE883A01011,2020-04-16,59099.82
971,MRF,EQ,N,62340.0,61000.0,61541.9,61638.3,61135.55,60441.9,15847,976260190.45,73565.7,49915.1,10960,INE883A01011,2020-04-17,61605.36
972,MRF,EQ,N,62000.0,61150.0,62000.0,61384.0,61200.0,61638.3,9847,606290688.3,73565.7,49915.1,6478,INE883A01011,2020-04-20,61571.11
973,MRF,EQ,N,60793.6,58500.7,60500.0,58864.75,58750.0,61384.0,12670,754369109.2,73565.7,49915.1,8044,INE883A01011,2020-04-21,59539.79
974,MRF,EQ,N,59489.9,57829.0,58875.0,58221.95,58198.0,58864.75,14951,875724406.2,73565.7,49915.1,9860,INE883A01011,2020-04-22,58572.97
975,MRF,EQ,N,59341.85,58500.0,58547.0,58712.35,58690.0,58221.95,8688,511712548.4,73565.7,49915.1,5458,INE883A01011,2020-04-23,58898.77
976,MRF,EQ,N,59200.0,58000.0,58225.0,58805.4,58750.3,58712.35,8119,476072941.85,73565.7,49915.1,5355,INE883A01011,2020-04-24,58636.89
977,MRF,EQ,N,60290.0,58805.4,59700.0,59206.55,59175.8,58805.4,7821,462956951.5,73565.7,49915.1,4731,INE883A01011,2020-04-27,59194.09
978,MRF,EQ,N,59800.0,58550.0,59800.0,59075.7,59000.0,59206.55,6233,367169499.55,73565.7,49915.1,4594,INE883A01011,2020-04-28,58907.35
979,MRF,EQ,N,59750.0,58900.0,59100.0,59203.7,59068.45,59075.7,8035,476154020.15,73565.7,49915.1,4927,INE883A01011,2020-04-29,59259.99
980,MRF,EQ,N,61800.0,59499.95,59800.0,60510.65,59910.0,59203.7,18800,1145159445.85,73565.7,49915.1,10645,INE883A01011,2020-04-30,60912.74
981,MRF,EQ,N,59499.95,57700.0,59499.95,57987.3,58000.0,60510.65,9677,563951094.5,73565.7,49915.1,6815,INE883A01011,2020-05-04,58277.47
982,MRF,EQ,N,59350.0,57500.0,58647.0,57750.0,57600.0,57987.3,9615,561495560.5,73565.7,49915.1,6713,INE883A01011,2020-05-05,58397.87
983,MRF,EQ,N,58790.0,57200.1,58350.0,58362.7,58500.0,57750.0,8360,484914739.85,73565.7,49915.1,5729,INE883A01011,2020-05-06,58004.16
984,MRF,EQ,N,59000.0,58000.0,58000.0,58831.05,58690.0,58362.7,7492,439371170.35,73565.7,49915.1,5167,INE883A01011,2020-05-07,58645.38
985,MRF,EQ,N,59783.05,58450.0,58902.0,58874.9,58642.05,58831.05,9752,576755328.2,73565.7,49915.1,6082,INE883A01011,2020-05-08,59142.26
986,MRF,EQ,N,59450.0,58286.0,59025.0,58791.2,58700.0,58874.9,12171,715229603.4,73565.7,49915.1,8219,INE883A01011,2020-05-11,58765.06
987,MRF,EQ,N,58629.9,57318.85,58500.0,57632.1,57505.05,58791.2,8179,473297313.65,73565.7,49915.1,5954,INE883A01011,2020-05-12,57867.38
988,MRF,EQ,N,60200.0,58221.5,58850.0,59645.15,59900.0,57632.1,16233,961970413.95,73565.7,49915.1,10975,INE883A01011,2020-05-13,59260.17
989,MRF,EQ,N,59125.0,57925.4,58676.0,58132.6,58200.0,59645.15,6586,384800180.35,73565.7,49915.1,4637,INE883A01011,2020-05-14,58426.99
990,MRF,EQ,N,58751.0,57775.0,58751.0,58135.55,58200.0,58132.6,8050,468471239.2,73565.7,49915.1,5910,INE883A01011,2020-05-15,58195.18
991,MRF,EQ,N,58499.95,56150.0,58235.0,56356.05,56350.0,58135.55,9020,513387929.65,73565.7,49915.1,6148,INE883A01011,2020-05-18,56916.62
992,MRF,EQ,N,57400.0,56600.0,56850.0,56828.2,56660.0,56356.05,6473,368990656.6,73565.7,49915.1,4482,INE883A01011,2020-05-19,57004.58
993,MRF,EQ,N,57400.0,56745.05,57200.0,57298.9,57250.0,56828.2,7045,402504491.35,73565.7,49915.1,5250,INE883A01011,2020-05-20,57133.36
941,MRF,EQ,N,58260.0,57300.0,57399.0,57451.5,57309.45,57298.9,4819,278530126.1,73565.7,49915.1,3292,INE883A01011,2020-05-21,57798.32
942,MRF,EQ,N,57890.0,57000.0,57309.45,57434.1,57410.0,57451.5,4097,235245842.85,73565.7,49915.1,2891,INE883A01011,2020-05-22,57419.05
943,MRF,EQ,N,58199.95,57195.15,57834.8,57726.1,57500.0,57434.1,6257,361523979.9,73565.7,49915.1,4412,INE883A01011,2020-05-26,57779.12
944,MRF,EQ,N,58200.0,57500.0,57825.0,58078.8,57952.0,57726.1,5430,314486212.25,73565.7,49915.1,3775,INE883A01011,2020-05-27,57916.43
945,MRF,EQ,N,58950.0,57951.95,57952.0,58466.2,58299.95,58078.8,6483,379574663.4,73565.7,49915.1,4342,INE883A01011,2020-05-28,58549.23
946,MRF,EQ,N,59350.5,58350.5,58350.5,59113.1,59113.4,58466.2,7484,441291138.35,73565.7,49915.1,5062,INE883A01011,2020-05-29,58964.61
947,MRF,EQ,N,62269.95,59365.6,59500.0,61446.05,61950.0,59113.1,11453,696389510.4,73565.7,49915.1,7109,INE883A01011,2020-06-01,60804.11
948,MRF,EQ,N,63738.45,61657.7,61999.0,62692.4,62499.95,61446.05,11887,742043325.1,73565.7,49915.1,7571,INE883A01011,2020-06-02,62424.78
949,MRF,EQ,N,64172.3,61129.25,63499.95,61744.25,61945.0,62692.4,14523,910347465.05,73565.7,49915.1,8114,INE883A01011,2020-06-03,62683.16
950,MRF,EQ,N,62487.9,60710.0,61844.25,61648.75,61600.0,61744.25,11209,688934540.65,73565.7,49915.1,6580,INE883A01011,2020-06-04,61462.62
951,MRF,EQ,N,63844.0,61521.1,61705.0,63526.2,63600.0,61648.75,13614,855313272.05,73565.7,49915.1,7988,INE883A01011,2020-06-05,62826.01
