,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,NAUKRI,EQ,N,2750.0,2628.0,2648.0,2685.25,2714.5,2593.35,462205,1243604400.75,3130.0,1689.6,41229,INE663F01024,2020-03-02,2690.59
996,NAUKRI,EQ,N,2805.0,2714.5,2715.2,2788.8,2789.95,2685.25,369971,1027347963.75,3130.0,1689.6,37071,INE663F01024,2020-03-03,2776.83
1000,NAUKRI,EQ,N,2802.55,2640.0,2780.0,2654.35,2644.0,2788.8,400834,1077479651.25,3130.0,1689.6,41763,INE663F01024,2020-03-04,2688.09
1006,NAUKRI,EQ,N,2738.0,2558.15,2625.3,2704.25,2700.05,2654.35,357343,946827725.0,3130.0,1689.6,33285,INE663F01024,2020-03-05,2649.63
1007,NAUKRI,EQ,N,2670.0,2550.0,2599.0,2648.3,2640.0,2704.25,245608,647854677.4,3130.0,1689.6,25212,INE663F01024,2020-03-06,2637.76
1008,NAUKRI,EQ,N,2598.2,2520.0,2575.0,2530.7,2533.0,2648.3,243496,618404506.5,3130.0,1777.0,31190,INE663F01024,2020-03-09,2539.69
1009,NAUKRI,EQ,N,2607.5,2465.5,2505.0,2548.2,2590.95,2530.7,341397,869881593.9,3130.0,1777.0,32927,INE663F01024,2020-03-11,2548.01
1010,NAUKRI,EQ,N,2479.0,2350.0,2478.0,2364.15,2375.2,2548.2,385192,923302795.85,3130.0,1777.0,38525,INE663F01024,2020-03-12,2396.99
1011,NAUKRI,EQ,N,2350.0,2131.55,2132.0,2292.45,2275.0,2364.15,525548,1198562756.75,3130.0,1777.0,53338,INE663F01024,2020-03-13,2280.6
1012,NAUKRI,EQ,N,2272.1,2172.65,2231.0,2182.95,2184.25,2292.45,257214,568340615.05,3130.0,1777.0,32150,INE663F01024,2020-03-16,2209.6
1013,NAUKRI,EQ,N,2199.95,2069.2,2181.0,2101.9,2079.95,2182.95,394723,841582020.85,3130.0,1777.0,51911,INE663F01024,2020-03-17,2132.08
1014,NAUKRI,EQ,N,2169.5,1970.0,2101.35,1983.85,1983.9,2101.9,341971,691519925.05,3130.0,1777.0,31662,INE663F01024,2020-03-18,2022.16
1015,NAUKRI,EQ,N,2069.8,1740.0,1831.0,1977.95,1976.95,1983.85,409973,772408736.85,3130.0,1740.0,35984,INE663F01024,2020-03-19,1884.05
1016,NAUKRI,EQ,N,2072.0,1856.65,1950.5,1951.6,1911.1,1977.95,395592,786201006.6,3130.0,1740.0,47444,INE663F01024,2020-03-20,1987.4
1017,NAUKRI,EQ,N,1848.4,1581.1,1800.0,1691.25,1714.85,1951.6,540755,923678405.15,3130.0,1581.1,52768,INE663F01024,2020-03-23,1708.13
1018,NAUKRI,EQ,N,1860.0,1674.35,1676.0,1772.85,1750.0,1691.25,356952,637882218.05,3130.0,1581.1,34871,INE663F01024,2020-03-24,1787.03
