,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,NIACL,EQ,N,114.7,103.15,111.55,108.7,107.9,109.45,243539,27206146.95,219.0,94.4,4772,INE470Y01017,2020-03-02,111.71
996,NIACL,EQ,N,111.7,107.0,110.3,109.6,109.9,108.7,180975,19793878.95,219.0,94.4,5596,INE470Y01017,2020-03-03,109.37
1000,NIACL,EQ,N,112.75,104.05,110.05,105.45,105.5,109.6,175930,18970106.3,219.0,94.4,3851,INE470Y01017,2020-03-04,107.83
1005,NIACL,EQ,N,109.0,104.2,107.0,105.4,104.9,105.45,175262,18599406.1,219.0,94.4,3581,INE470Y01017,2020-03-05,106.12
1006,NIACL,EQ,N,103.8,100.0,102.0,102.7,103.0,105.4,197615,20147312.15,219.0,94.4,4056,INE470Y01017,2020-03-06,101.95
1007,NIACL,EQ,N,101.95,93.95,101.75,97.1,97.3,102.7,337585,32848480.0,219.0,93.95,5026,INE470Y01017,2020-03-09,97.3
1008,NIACL,EQ,N,102.0,97.45,98.0,99.55,99.35,97.1,160629,16130328.3,219.0,93.95,3483,INE470Y01017,2020-03-11,100.42
1009,NIACL,EQ,N,96.5,89.0,96.5,90.5,90.6,99.55,213637,19525990.8,219.0,89.0,4948,INE470Y01017,2020-03-12,91.4
1010,NIACL,EQ,N,92.0,74.1,85.0,89.4,90.65,90.5,364330,31542394.05,219.0,74.1,6180,INE470Y01017,2020-03-13,86.58
1011,NIACL,EQ,N,88.7,80.1,88.7,82.5,83.0,89.4,190714,16155049.25,199.9,74.1,3805,INE470Y01017,2020-03-16,84.71
1012,NIACL,EQ,N,87.0,81.2,84.9,83.85,85.0,82.5,129015,10880834.6,199.9,74.1,2789,INE470Y01017,2020-03-17,84.34
1013,NIACL,EQ,N,99.0,81.0,84.95,90.45,93.5,83.85,216443,18807734.85,199.9,74.1,4634,INE470Y01017,2020-03-18,86.89
1014,NIACL,EQ,N,88.2,83.0,88.0,84.95,84.8,90.45,220557,18981005.15,199.9,74.1,4729,INE470Y01017,2020-03-19,86.06
1015,NIACL,EQ,N,94.75,82.75,86.0,89.05,89.0,84.95,316455,28152910.05,199.9,74.1,6565,INE470Y01017,2020-03-20,88.96
1016,NIACL,EQ,N,85.0,79.0,82.0,79.85,80.5,89.05,128711,10368638.85,199.9,74.1,2551,INE470Y01017,2020-03-23,80.56
1017,NIACL,EQ,N,82.95,75.0,81.1,78.25,78.75,79.85,106687,8369570.7,199.9,74.1,2542,INE470Y01017,2020-03-24,78.45
1018,NIACL,EQ,N,85.0,75.65,78.5,82.5,82.5,78.25,192348,15505412.4,199.9,74.1,4494,INE470Y01017,2020-03-25,80.61
1019,NIACL,EQ,N,97.9,82.8,83.0,94.85,95.9,82.5,606628,55634406.75,199.9,74.1,11947,INE470Y01017,2020-03-26,91.71
1020,NIACL,EQ,N,113.8,96.0,99.0,98.6,98.25,94.85,725984,75567328.0,199.9,74.1,14779,INE470Y01017,2020-03-27,104.09
1021,NIACL,EQ,N,116.75,91.0,91.45,112.15,116.75,98.6,1645423,180832896.6,195.45,74.1,20319,INE470Y01017,2020-03-30,109.9
1022,NIACL,EQ,N,120.95,110.25,120.95,112.3,110.25,112.15,721038,82125573.85,195.45,74.1,15498,INE470Y01017,2020-03-31,113.9
1023,NIACL,EQ,N,113.95,105.0,112.3,105.5,105.0,112.3,234415,25221269.55,195.45,74.1,5363,INE470Y01017,2020-04-01,107.59
1024,NIACL,EQ,N,110.8,98.85,105.5,107.1,105.95,105.5,306852,32469629.05,195.45,74.1,8954,INE470Y01017,2020-04-03,105.82
1025,NIACL,EQ,N,112.8,106.0,110.0,108.55,108.6,107.1,217428,23803939.65,195.45,74.1,5336,INE470Y01017,2020-04-07,109.48
1026,NIACL,EQ,N,111.0,105.05,108.9,106.4,106.3,108.55,159966,17323752.25,195.45,74.1,4389,INE470Y01017,2020-04-08,108.3
1027,NIACL,EQ,N,115.4,106.0,106.55,109.1,108.2,106.4,442426,48906548.35,195.45,74.1,7567,INE470Y01017,2020-04-09,110.54
968,NIACL,EQ,N,123.75,109.3,109.9,120.65,122.0,109.1,1825185,217291563.5,192.0,74.1,23482,INE470Y01017,2020-04-13,119.05
969,NIACL,EQ,N,131.25,120.75,126.85,123.35,122.0,120.65,1277852,162116445.9,192.0,74.1,22538,INE470Y01017,2020-04-15,126.87
970,NIACL,EQ,N,128.95,118.6,121.9,125.65,125.9,123.35,313296,39465965.15,192.0,74.1,6794,INE470Y01017,2020-04-16,125.97
971,NIACL,EQ,N,130.75,123.15,129.0,124.5,124.3,125.65,316509,39983083.4,192.0,74.1,6716,INE470Y01017,2020-04-17,126.33
972,NIACL,EQ,N,129.0,121.6,126.85,122.2,122.0,124.5,337796,42052070.85,188.95,74.1,6162,INE470Y01017,2020-04-20,124.49
973,NIACL,EQ,N,121.5,112.2,121.5,118.1,116.9,122.2,358050,41779521.15,188.95,74.1,7821,INE470Y01017,2020-04-21,116.69
974,NIACL,EQ,N,120.85,115.2,117.5,118.2,117.2,118.1,234525,27670633.15,188.95,74.1,4940,INE470Y01017,2020-04-22,117.99
975,NIACL,EQ,N,121.9,117.0,117.2,117.75,117.5,118.2,169227,20147074.9,188.95,74.1,3735,INE470Y01017,2020-04-23,119.05
976,NIACL,EQ,N,117.75,113.25,117.0,114.0,113.75,117.75,107970,12458137.0,188.95,74.1,2481,INE470Y01017,2020-04-24,115.39
977,NIACL,EQ,N,126.0,114.3,114.3,121.75,121.6,114.0,1802654,221125219.0,183.85,74.1,20249,INE470Y01017,2020-04-27,122.67
978,NIACL,EQ,N,123.9,118.0,122.05,119.3,119.4,121.75,213672,25664134.15,183.85,74.1,3807,INE470Y01017,2020-04-28,120.11
979,NIACL,EQ,N,123.55,118.5,119.0,119.95,119.45,119.3,294685,35424764.45,183.85,74.1,4597,INE470Y01017,2020-04-29,120.21
980,NIACL,EQ,N,123.2,119.1,120.55,119.85,119.6,119.95,202766,24475817.05,183.85,74.1,3362,INE470Y01017,2020-04-30,120.71
981,NIACL,EQ,N,116.0,112.0,116.0,113.65,113.5,119.85,188023,21372475.75,180.65,74.1,4097,INE470Y01017,2020-05-04,113.67
982,NIACL,EQ,N,127.4,114.25,114.25,124.95,123.4,113.65,1429631,176290728.65,180.65,74.1,24019,INE470Y01017,2020-05-05,123.31
983,NIACL,EQ,N,130.0,120.55,122.9,125.1,124.8,124.95,919579,116464205.6,180.65,74.1,16051,INE470Y01017,2020-05-06,126.65
984,NIACL,EQ,N,126.5,120.0,124.0,120.55,120.0,125.1,190540,23338774.95,180.65,74.1,4242,INE470Y01017,2020-05-07,122.49
985,NIACL,EQ,N,124.3,116.1,122.25,117.45,117.85,120.55,189857,22922469.2,180.65,74.1,4145,INE470Y01017,2020-05-08,120.74
986,NIACL,EQ,N,120.8,118.05,119.2,119.1,119.15,117.45,100337,11983357.25,179.15,74.1,2345,INE470Y01017,2020-05-11,119.43
987,NIACL,EQ,N,124.9,114.85,119.9,119.8,119.2,119.1,202252,24020107.45,179.15,74.1,4720,INE470Y01017,2020-05-12,118.76
988,NIACL,EQ,N,124.0,119.4,123.0,120.15,120.8,119.8,138848,16743897.75,179.15,74.1,2953,INE470Y01017,2020-05-13,120.59
989,NIACL,EQ,N,121.0,115.7,119.0,116.7,117.5,120.15,150288,17676641.75,179.15,74.1,4331,INE470Y01017,2020-05-14,117.62
