,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,NLCINDIA,EQ,N,62.45,59.85,61.9,60.15,60.0,59.95,2721894,165906574.15,80.8,46.05,13292,INE589A01014,2020-03-02,60.95
996,NLCINDIA,EQ,N,62.65,59.1,60.5,62.0,62.2,60.15,4336364,261349436.8,80.8,46.05,10627,INE589A01014,2020-03-03,60.27
1000,NLCINDIA,EQ,N,62.8,59.5,62.0,60.25,60.3,62.0,3664059,222049996.25,80.8,46.05,33519,INE589A01014,2020-03-04,60.6
1006,NLCINDIA,EQ,N,52.75,50.7,52.0,51.65,51.75,60.25,1588524,81704786.35,80.8,46.05,6654,INE589A01014,2020-03-05,51.43
1007,NLCINDIA,EQ,N,50.15,46.0,46.0,49.5,49.55,51.65,1617334,78873801.85,80.8,46.0,12972,INE589A01014,2020-03-06,48.77
1008,NLCINDIA,EQ,N,48.0,45.9,48.0,47.0,47.0,49.5,2865506,133480137.3,80.8,45.9,41346,INE589A01014,2020-03-09,46.58
1009,NLCINDIA,EQ,N,48.85,46.6,47.7,47.1,47.05,47.0,1441512,68265878.25,80.8,45.9,22467,INE589A01014,2020-03-11,47.36
1010,NLCINDIA,EQ,N,46.4,42.4,46.4,44.25,45.0,47.1,3368491,150339606.1,80.8,42.4,40625,INE589A01014,2020-03-12,44.63
1011,NLCINDIA,EQ,N,45.95,39.65,42.0,45.35,45.85,44.25,1872982,83132959.6,80.8,39.65,11089,INE589A01014,2020-03-13,44.39
1012,NLCINDIA,EQ,N,45.0,41.35,45.0,41.8,41.9,45.35,1370230,58551151.5,80.8,39.65,5982,INE589A01014,2020-03-16,42.73
1013,NLCINDIA,EQ,N,43.5,41.0,42.9,41.2,41.0,41.8,1135173,48022017.15,80.8,39.65,13208,INE589A01014,2020-03-17,42.3
1014,NLCINDIA,EQ,N,49.4,34.95,41.95,42.8,40.0,41.2,4404713,187464489.65,80.8,34.95,16508,INE589A01014,2020-03-18,42.56
1015,NLCINDIA,EQ,N,42.7,39.2,40.0,41.6,41.65,42.8,851665,35380536.55,80.8,34.95,5112,INE589A01014,2020-03-19,41.54
