,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,NTPC,EQ,N,110.0,102.7,109.35,103.9,104.45,106.55,15614944,1680519360.35,160.8,102.7,80012,INE733E01010,2020-03-02,107.62
996,NTPC,EQ,N,109.95,104.3,104.65,108.9,108.65,103.9,17194661,1840000306.2,160.8,102.7,70184,INE733E01010,2020-03-03,107.01
1000,NTPC,EQ,N,111.0,107.5,108.65,107.95,108.0,108.9,17095867,1858279051.25,160.8,102.7,77430,INE733E01010,2020-03-04,108.7
1005,NTPC,EQ,N,109.65,107.05,108.1,107.85,107.55,107.95,11579256,1251011673.45,160.8,102.7,88673,INE733E01010,2020-03-05,108.04
1006,NTPC,EQ,N,107.2,102.9,104.75,105.15,104.75,107.85,13533444,1432952029.9,160.8,102.7,81720,INE733E01010,2020-03-06,105.88
1007,NTPC,EQ,N,104.4,99.55,104.0,102.9,103.75,105.15,47383260,4844237964.15,160.8,99.55,127274,INE733E01010,2020-03-09,102.24
1008,NTPC,EQ,N,104.8,101.5,103.0,103.05,102.7,102.9,28434592,2923209984.65,160.8,99.55,125434,INE733E01010,2020-03-11,102.8
1009,NTPC,EQ,N,100.0,93.25,99.0,94.35,94.5,103.05,47225243,4523596537.6,160.8,93.25,151982,INE733E01010,2020-03-12,95.79
1010,NTPC,EQ,N,100.75,81.25,90.0,98.05,99.5,94.35,49533058,4746277852.95,160.8,81.25,143855,INE733E01010,2020-03-13,95.82
1011,NTPC,EQ,N,96.0,88.25,96.0,90.8,91.9,98.05,34649741,3186433646.85,160.8,81.25,127274,INE733E01010,2020-03-16,91.96
1012,NTPC,EQ,N,95.9,86.35,91.0,88.1,88.05,90.8,21246111,1941887818.35,160.8,81.25,117164,INE733E01010,2020-03-17,91.4
1013,NTPC,EQ,N,90.35,74.9,89.0,80.55,82.15,88.1,88659790,7302703467.05,160.8,74.9,172480,INE733E01010,2020-03-18,82.37
1014,NTPC,EQ,N,84.95,75.05,78.55,78.35,77.9,80.55,33847230,2715091908.75,160.8,74.9,307195,INE733E01010,2020-03-19,80.22
1015,NTPC,EQ,N,82.35,76.35,78.5,81.25,80.95,78.35,58502396,4647513078.75,160.8,74.9,141656,INE733E01010,2020-03-20,79.44
1016,NTPC,EQ,N,80.0,73.2,74.9,76.4,77.0,81.25,37653590,2903309697.75,145.85,73.2,95863,INE733E01010,2020-03-23,77.11
1017,NTPC,EQ,N,79.6,75.05,78.1,77.55,78.4,76.4,13742935,1063182918.05,145.85,73.2,119931,INE733E01010,2020-03-24,77.36
