,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
575,NYKAA,EQ,N,2248.0,2000.0,2018.0,2205.8,2208.0,1125.0,34324631,71723266794.85,2248.0,2000.0,1209630,INE388Y01029,2021-11-10,2089.56
576,NYKAA,EQ,N,2240.7,2043.75,2213.7,2213.55,2237.95,2205.8,7189777,15514846358.55,2248.0,2000.0,434788,INE388Y01029,2021-11-11,2157.9
577,NYKAA,EQ,N,2409.95,2180.1,2248.0,2358.3,2329.95,2213.55,5829703,13487318087.55,2409.95,2000.0,325462,INE388Y01029,2021-11-12,2313.55
578,NYKAA,EQ,N,2332.4,2185.0,2261.0,2282.25,2268.1,2358.3,3455853,7838254520.55,2409.95,2000.0,226614,INE388Y01029,2021-11-15,2268.11
579,NYKAA,EQ,N,2310.0,2228.0,2268.0,2236.75,2238.0,2282.25,1507125,3425053833.3,2409.95,2000.0,101540,INE388Y01029,2021-11-16,2272.57
580,NYKAA,EQ,N,2259.0,2101.0,2240.0,2123.05,2122.0,2236.75,2695454,5800636211.1,2409.95,2000.0,154551,INE388Y01029,2021-11-17,2152.01
581,NYKAA,EQ,N,2178.0,2090.0,2110.0,2125.25,2111.0,2123.05,1993152,4263110292.35,2409.95,2000.0,113058,INE388Y01029,2021-11-18,2138.88
582,NYKAA,EQ,N,2171.95,2082.0,2135.25,2097.7,2096.0,2125.25,1691290,3585655055.0,2409.95,2000.0,100079,INE388Y01029,2021-11-22,2120.07
583,NYKAA,EQ,N,2147.3,2057.7,2070.0,2134.9,2140.0,2097.7,839806,1769546755.05,2409.95,2000.0,57030,INE388Y01029,2021-11-23,2107.09
584,NYKAA,EQ,N,2318.8,2126.05,2150.0,2247.5,2236.0,2134.9,2508544,5666146092.8,2409.95,2000.0,182660,INE388Y01029,2021-11-24,2258.74
585,NYKAA,EQ,N,2431.15,2247.0,2247.45,2397.55,2424.0,2247.5,2634281,6197666769.55,2431.15,2000.0,174854,INE388Y01029,2021-11-25,2352.7
586,NYKAA,EQ,N,2573.7,2308.0,2385.0,2437.1,2435.95,2397.55,3721929,9191503470.2,2573.7,2000.0,212974,INE388Y01029,2021-11-26,2469.55
