,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,OFSS,EQ,N,2730.0,2640.0,2650.05,2695.75,2689.95,2648.4,39764,106643511.65,3634.35,2336.2,3214,INE881D01027,2020-03-02,2681.91
996,OFSS,EQ,N,2720.0,2640.1,2689.95,2660.55,2653.65,2695.75,20414,54453500.55,3634.35,2336.2,2929,INE881D01027,2020-03-03,2667.46
1000,OFSS,EQ,N,2709.75,2590.0,2660.55,2600.25,2590.1,2660.55,23586,62385485.05,3634.35,2336.2,3361,INE881D01027,2020-03-04,2645.02
1006,OFSS,EQ,N,2630.0,2570.0,2630.0,2582.65,2575.0,2600.25,21286,55229161.3,3634.35,2336.2,2113,INE881D01027,2020-03-05,2594.62
1007,OFSS,EQ,N,2600.0,2525.85,2550.0,2546.55,2545.0,2582.65,45868,117426390.0,3634.35,2336.2,6605,INE881D01027,2020-03-06,2560.09
1008,OFSS,EQ,N,2586.55,2386.8,2525.5,2425.05,2428.0,2546.55,13471,32903702.9,3634.35,2336.2,3217,INE881D01027,2020-03-09,2442.56
1009,OFSS,EQ,N,2460.0,2309.1,2449.0,2376.6,2352.1,2425.05,36379,86377120.5,3634.35,2309.1,6366,INE881D01027,2020-03-11,2374.37
1010,OFSS,EQ,N,2343.55,2055.0,2300.0,2177.8,2194.0,2376.6,58097,128156441.0,3634.35,2055.0,9228,INE881D01027,2020-03-12,2205.9
1011,OFSS,EQ,N,2251.1,1964.95,2000.0,2199.45,2215.0,2177.8,110289,237933327.75,3634.35,1964.95,4288,INE881D01027,2020-03-13,2157.36
1012,OFSS,EQ,N,2199.45,2000.0,2199.45,2009.65,2000.0,2199.45,81211,175354142.5,3634.35,1964.95,3979,INE881D01027,2020-03-16,2159.24
1013,OFSS,EQ,N,2059.15,1990.0,2010.0,2015.45,1990.0,2009.65,20484,41557237.25,3634.35,1964.95,5104,INE881D01027,2020-03-17,2028.77
1014,OFSS,EQ,N,2084.0,1884.5,2078.0,1917.5,1911.0,2015.45,31503,61550299.25,3634.35,1884.5,7191,INE881D01027,2020-03-18,1953.79
1015,OFSS,EQ,N,1919.0,1725.0,1919.0,1765.4,1790.0,1917.5,66872,119826631.15,3634.35,1725.0,7035,INE881D01027,2020-03-19,1791.88
1016,OFSS,EQ,N,1950.0,1782.1,1782.1,1879.35,1880.0,1765.4,21518,40364438.15,3634.35,1725.0,4363,INE881D01027,2020-03-20,1875.85
1017,OFSS,EQ,N,1823.9,1506.0,1566.05,1575.65,1600.0,1879.35,27579,44657226.1,3634.35,1506.0,3350,INE881D01027,2020-03-23,1619.25
1018,OFSS,EQ,N,1676.15,1562.25,1602.1,1591.95,1585.0,1575.65,17779,28660317.45,3634.35,1506.0,2482,INE881D01027,2020-03-24,1612.03
1019,OFSS,EQ,N,1650.0,1561.0,1561.0,1627.75,1650.0,1591.95,55613,89359851.55,3634.35,1506.0,2322,INE881D01027,2020-03-25,1606.82
1020,OFSS,EQ,N,1790.75,1659.55,1660.0,1745.8,1767.0,1627.75,65131,111604583.35,3634.35,1506.0,4922,INE881D01027,2020-03-26,1713.54
1021,OFSS,EQ,N,1852.0,1751.5,1790.0,1799.35,1812.0,1745.8,42125,76234300.3,3634.35,1506.0,4320,INE881D01027,2020-03-27,1809.72
1022,OFSS,EQ,N,1987.85,1732.85,1745.8,1943.0,1935.0,1799.35,40601,78435211.55,3634.35,1506.0,5356,INE881D01027,2020-03-30,1931.85
1023,OFSS,EQ,N,2041.0,1973.2,2014.95,2023.65,2028.0,1943.0,43622,87291950.15,3634.35,1506.0,7101,INE881D01027,2020-03-31,2001.1
1024,OFSS,EQ,N,2060.0,1888.25,2060.0,1921.0,1925.0,2023.65,24749,47921475.95,3634.35,1506.0,10950,INE881D01027,2020-04-01,1936.3
1025,OFSS,EQ,N,2209.2,1875.0,1920.0,2034.15,2022.05,1921.0,42499,87714189.75,3634.35,1506.0,9402,INE881D01027,2020-04-03,2063.91
1026,OFSS,EQ,N,2143.55,2021.75,2065.25,2077.9,2073.85,2034.15,51682,107175498.1,3634.35,1506.0,10831,INE881D01027,2020-04-07,2073.75
1027,OFSS,EQ,N,2175.2,2026.0,2049.0,2096.05,2060.1,2077.9,28005,58128220.0,3634.35,1506.0,7501,INE881D01027,2020-04-08,2075.64
1028,OFSS,EQ,N,2194.7,2090.05,2095.0,2145.25,2150.0,2096.05,12316,26583795.3,3634.35,1506.0,2886,INE881D01027,2020-04-09,2158.48
968,OFSS,EQ,N,2194.0,2083.25,2140.0,2188.15,2185.0,2145.25,14110,30389935.95,3634.35,1506.0,1830,INE881D01027,2020-04-13,2153.79
969,OFSS,EQ,N,2280.0,2150.0,2150.0,2239.55,2245.0,2188.15,27387,61284344.35,3634.35,1506.0,6374,INE881D01027,2020-04-15,2237.72
970,OFSS,EQ,N,2261.4,2180.0,2239.0,2197.3,2199.0,2239.55,14847,32964663.9,3634.35,1506.0,5015,INE881D01027,2020-04-16,2220.29
971,OFSS,EQ,N,2290.0,2150.25,2275.0,2167.1,2159.0,2197.3,232052,505436417.05,3634.35,1506.0,8448,INE881D01027,2020-04-17,2178.12
972,OFSS,EQ,N,2187.9,2025.0,2167.0,2035.3,2052.0,2167.1,149543,307901027.7,3585.0,1506.0,8796,INE881D01027,2020-04-20,2058.95
