,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,OIL,EQ,N,111.2,101.0,110.9,101.7,102.0,108.0,2429016,256607513.4,189.7,101.0,17598,INE274J01014,2020-03-02,105.64
996,OIL,EQ,N,108.05,101.7,102.6,106.9,106.8,101.7,3670670,382851710.55,189.7,101.0,22607,INE274J01014,2020-03-03,104.3
1001,OIL,EQ,N,111.45,104.3,106.0,110.45,109.8,106.9,5513162,597600059.95,189.7,101.0,30388,INE274J01014,2020-03-04,108.4
1007,OIL,EQ,N,115.05,104.45,111.6,105.65,105.2,110.45,3377344,368225832.25,189.7,101.0,20454,INE274J01014,2020-03-05,109.03
1008,OIL,EQ,N,104.7,101.0,102.35,102.0,102.6,105.65,1786440,184181039.95,189.7,101.0,16145,INE274J01014,2020-03-06,103.1
1009,OIL,EQ,N,99.45,89.2,98.95,91.25,90.05,102.0,6367353,588898728.6,189.7,89.2,35238,INE274J01014,2020-03-09,92.49
1010,OIL,EQ,N,92.75,84.15,91.25,84.9,84.65,91.25,7145839,620496407.1,189.7,84.15,50858,INE274J01014,2020-03-11,86.83
1011,OIL,EQ,N,79.95,73.55,78.0,74.7,75.35,84.9,6831020,519628570.15,189.7,73.55,51566,INE274J01014,2020-03-12,76.07
1012,OIL,EQ,N,85.45,63.5,70.0,81.2,82.05,74.7,6323407,486555629.8,189.7,63.5,42358,INE274J01014,2020-03-13,76.95
1013,OIL,EQ,N,79.75,69.6,79.75,70.35,70.25,81.2,4716063,354186592.65,189.7,63.5,25948,INE274J01014,2020-03-16,75.1
1014,OIL,EQ,N,73.9,68.3,70.0,71.55,72.0,70.35,5248185,374933345.45,189.7,63.5,26897,INE274J01014,2020-03-17,71.44
1015,OIL,EQ,N,100.15,67.85,71.8,83.25,81.0,71.55,9608702,756442015.55,189.7,63.5,34935,INE274J01014,2020-03-18,78.72
1016,OIL,EQ,N,82.0,68.0,74.95,76.5,76.6,83.25,8407277,637823902.2,189.7,63.5,53787,INE274J01014,2020-03-19,75.87
1017,OIL,EQ,N,85.4,75.05,77.85,81.55,80.7,76.5,12845436,1037478056.25,189.7,63.5,59774,INE274J01014,2020-03-20,80.77
1018,OIL,EQ,N,76.75,71.35,73.4,73.35,73.35,81.55,2075504,153317564.6,189.7,63.5,14476,INE274J01014,2020-03-23,73.87
1019,OIL,EQ,N,77.95,72.65,74.05,74.25,74.35,73.35,2507194,188468643.65,189.7,63.5,23188,INE274J01014,2020-03-24,75.17
