,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ONGC,EQ,N,95.0,88.25,94.0,89.1,89.1,91.95,24442896,2248479913.0,178.9,88.25,91359,INE213A01029,2020-03-02,91.99
996,ONGC,EQ,N,94.0,89.65,90.9,93.35,92.95,89.1,24098468,2208353977.05,178.9,88.25,87245,INE213A01029,2020-03-03,91.64
1000,ONGC,EQ,N,94.9,90.7,94.2,92.8,93.1,93.35,22998427,2141825872.85,178.9,88.25,91185,INE213A01029,2020-03-04,93.13
1007,ONGC,EQ,N,94.4,92.0,93.35,92.6,92.45,92.8,16357817,1523224147.25,178.9,88.25,82087,INE213A01029,2020-03-05,93.12
1008,ONGC,EQ,N,91.5,87.65,89.5,88.5,88.5,92.6,17823038,1598970293.05,178.9,87.65,79068,INE213A01029,2020-03-06,89.71
1009,ONGC,EQ,N,82.5,74.0,82.15,74.55,74.35,88.5,86674325,6694336806.0,178.9,74.0,258060,INE213A01029,2020-03-09,77.24
1010,ONGC,EQ,N,77.4,71.05,76.75,71.7,71.5,74.55,63570122,4687670349.9,178.9,71.05,219028,INE213A01029,2020-03-11,73.74
1011,ONGC,EQ,N,68.4,62.0,66.6,62.5,63.0,71.7,76138489,4964907960.1,178.9,62.0,240190,INE213A01029,2020-03-12,65.21
1012,ONGC,EQ,N,67.0,50.0,59.4,65.9,66.85,62.5,73052306,4456292329.6,178.9,50.0,253152,INE213A01029,2020-03-13,61.0
1013,ONGC,EQ,N,65.2,60.0,63.5,60.15,60.2,65.9,49834392,3103828235.3,178.9,50.0,156443,INE213A01029,2020-03-16,62.28
1014,ONGC,EQ,N,63.0,59.65,61.1,60.0,60.2,60.15,46722526,2861820753.9,178.9,50.0,172593,INE213A01029,2020-03-17,61.25
1015,ONGC,EQ,N,86.8,57.5,61.6,68.15,62.0,60.0,178593486,11924871974.5,178.9,50.0,257249,INE213A01029,2020-03-18,66.77
1016,ONGC,EQ,N,64.0,58.1,62.15,61.05,60.9,68.15,61261160,3779959784.05,178.9,50.0,220723,INE213A01029,2020-03-19,61.7
1017,ONGC,EQ,N,74.4,62.75,63.05,72.35,71.9,61.05,128784781,8900610618.55,178.9,50.0,357927,INE213A01029,2020-03-20,69.11
1018,ONGC,EQ,N,65.5,60.0,60.65,60.4,60.95,72.35,36059063,2245595966.7,178.9,50.0,167935,INE213A01029,2020-03-23,62.28
1019,ONGC,EQ,N,64.7,60.1,63.5,62.5,62.7,60.4,38810910,2414634837.25,178.9,50.0,132598,INE213A01029,2020-03-24,62.22
1020,ONGC,EQ,N,63.0,60.0,61.2,61.55,61.4,62.5,28639667,1753644274.25,178.9,50.0,122614,INE213A01029,2020-03-25,61.23
1021,ONGC,EQ,N,65.6,59.65,61.85,64.75,65.0,61.55,46474998,2924215603.15,178.9,50.0,146986,INE213A01029,2020-03-26,62.92
1022,ONGC,EQ,N,66.0,62.8,66.0,64.45,64.3,64.75,33298960,2139570492.1,178.9,50.0,136738,INE213A01029,2020-03-27,64.25
1023,ONGC,EQ,N,65.65,60.1,61.05,63.35,63.0,64.45,32935523,2082183719.65,178.9,50.0,127582,INE213A01029,2020-03-30,63.22
1024,ONGC,EQ,N,69.65,63.55,65.0,68.3,68.0,63.35,45892788,3092928301.45,178.9,50.0,162901,INE213A01029,2020-03-31,67.39
1025,ONGC,EQ,N,67.25,65.1,67.0,65.75,65.9,68.3,21883464,1441200637.3,178.9,50.0,88735,INE213A01029,2020-04-01,65.86
1026,ONGC,EQ,N,71.0,66.5,69.0,69.85,69.8,65.75,39761221,2737029159.5,178.9,50.0,154154,INE213A01029,2020-04-03,68.84
1027,ONGC,EQ,N,74.4,70.2,71.2,72.9,72.65,69.85,30983247,2226538421.15,178.9,50.0,128237,INE213A01029,2020-04-07,71.86
1028,ONGC,EQ,N,76.35,71.0,72.4,74.45,74.5,72.9,30556746,2281694888.5,178.9,50.0,119782,INE213A01029,2020-04-08,74.67
1029,ONGC,EQ,N,77.65,76.0,76.0,77.3,77.4,74.45,19210693,1477380705.0,178.9,50.0,86097,INE213A01029,2020-04-09,76.9
968,ONGC,EQ,N,78.8,72.65,78.8,75.05,75.15,77.3,22316547,1664979194.25,178.9,50.0,107552,INE213A01029,2020-04-13,74.61
969,ONGC,EQ,N,76.45,73.5,75.1,74.35,74.9,75.05,22311692,1675587741.15,178.9,50.0,102756,INE213A01029,2020-04-15,75.1
970,ONGC,EQ,N,76.5,73.4,74.0,75.45,76.0,74.35,24473642,1836858144.65,178.9,50.0,97729,INE213A01029,2020-04-16,75.05
971,ONGC,EQ,N,77.8,75.15,77.8,76.3,76.3,75.45,14565447,1110828913.35,178.9,50.0,65140,INE213A01029,2020-04-17,76.26
972,ONGC,EQ,N,75.65,73.8,75.35,74.0,74.0,76.3,15699082,1171801595.5,178.9,50.0,79116,INE213A01029,2020-04-20,74.64
973,ONGC,EQ,N,70.75,67.2,69.7,69.35,68.9,74.0,27607651,1917189151.2,178.9,50.0,136412,INE213A01029,2020-04-21,69.44
974,ONGC,EQ,N,66.35,60.8,65.9,65.35,65.45,69.35,73847573,4702073008.45,178.9,50.0,276257,INE213A01029,2020-04-22,63.67
975,ONGC,EQ,N,69.05,66.55,67.5,67.35,67.25,65.35,38208748,2585411487.25,178.9,50.0,143993,INE213A01029,2020-04-23,67.67
976,ONGC,EQ,N,69.5,66.6,67.15,67.6,67.3,67.35,31588406,2161815998.4,178.9,50.0,114031,INE213A01029,2020-04-24,68.44
977,ONGC,EQ,N,69.5,67.65,68.0,68.45,68.7,67.6,16723890,1146090053.2,178.9,50.0,71009,INE213A01029,2020-04-27,68.53
978,ONGC,EQ,N,69.7,67.1,67.8,69.2,68.8,68.45,20423140,1396382584.65,178.9,50.0,75155,INE213A01029,2020-04-28,68.37
