,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PAGEIND,EQ,N,22680.0,21423.05,22419.9,21643.75,21612.0,22146.15,24028,533374851.0,26882.6,17150.0,9781,INE761H01022,2020-03-02,22198.05
996,PAGEIND,EQ,N,22300.0,21802.15,21879.0,22091.0,22228.9,21643.75,39732,873174421.0,26882.6,17150.0,9539,INE761H01022,2020-03-03,21976.6
1001,PAGEIND,EQ,N,22286.7,21750.0,22175.0,22049.85,22215.0,22091.0,57269,1257747824.3,26882.6,17150.0,9654,INE761H01022,2020-03-04,21962.11
1006,PAGEIND,EQ,N,22513.0,22024.35,22199.0,22154.15,22212.3,22049.85,13775,306589464.2,26882.6,17150.0,5886,INE761H01022,2020-03-05,22256.95
1007,PAGEIND,EQ,N,22441.4,21500.0,21500.0,22131.55,22083.05,22154.15,15399,339052169.2,26882.6,17150.0,6452,INE761H01022,2020-03-06,22017.8
1008,PAGEIND,EQ,N,21950.0,21200.6,21900.0,21588.25,21699.95,22131.55,19671,425329070.05,26882.6,17150.0,9658,INE761H01022,2020-03-09,21622.14
1009,PAGEIND,EQ,N,21817.1,20750.0,21588.25,21000.7,21105.0,21588.25,23648,503468922.45,26882.6,17150.0,9101,INE761H01022,2020-03-11,21290.13
1010,PAGEIND,EQ,N,20943.95,19021.0,19600.05,19382.3,19467.95,21000.7,32889,649009150.2,26882.6,17150.0,13812,INE761H01022,2020-03-12,19733.32
1011,PAGEIND,EQ,N,21229.0,16475.0,18700.0,19918.75,19950.0,19382.3,40165,774668954.4,26882.6,16475.0,15929,INE761H01022,2020-03-13,19287.16
1012,PAGEIND,EQ,N,19700.95,18496.3,19630.0,18972.45,19300.0,19918.75,27421,522156166.25,26882.6,16475.0,11443,INE761H01022,2020-03-16,19042.2
1013,PAGEIND,EQ,N,19739.5,18650.05,19146.0,19027.45,19100.0,18972.45,52840,1014187207.55,26882.6,16475.0,12379,INE761H01022,2020-03-17,19193.55
1014,PAGEIND,EQ,N,19498.15,17593.2,19250.0,18643.4,18918.45,19027.45,34357,640382083.6,26882.6,16475.0,14881,INE761H01022,2020-03-18,18639.06
1015,PAGEIND,EQ,N,19500.0,17202.45,17524.8,18156.1,18240.8,18643.4,75926,1398017391.05,26882.6,16475.0,18523,INE761H01022,2020-03-19,18412.89
1016,PAGEIND,EQ,N,19018.7,17921.85,18269.5,18060.0,18000.0,18156.1,79927,1457229370.65,26882.6,16475.0,18562,INE761H01022,2020-03-20,18232.0
1017,PAGEIND,EQ,N,18200.0,16254.0,17000.0,16714.55,16820.85,18060.0,43060,736235830.25,26882.6,16254.0,15494,INE761H01022,2020-03-23,17097.91
1018,PAGEIND,EQ,N,17495.0,16419.0,16547.45,16891.9,16900.0,16714.55,35017,592142248.4,26882.6,16254.0,15048,INE761H01022,2020-03-24,16910.14
1019,PAGEIND,EQ,N,17049.0,16474.85,16891.0,16609.6,16565.0,16891.9,50185,836529134.45,26882.6,16254.0,17346,INE761H01022,2020-03-25,16668.91
1020,PAGEIND,EQ,N,18270.55,16300.0,16858.0,17717.6,17351.35,16609.6,68840,1176258800.9,26882.6,16254.0,26187,INE761H01022,2020-03-26,17086.85
1021,PAGEIND,EQ,N,18277.0,17060.25,18000.0,17349.8,17611.05,17717.6,35319,626747952.75,26882.6,16254.0,11223,INE761H01022,2020-03-27,17745.35
1022,PAGEIND,EQ,N,17493.0,16661.0,17300.0,16834.9,16862.5,17349.8,23710,404313657.55,26882.6,16254.0,9330,INE761H01022,2020-03-30,17052.45
1023,PAGEIND,EQ,N,17323.95,16709.85,16951.0,16963.5,16780.0,16834.9,18385,311883074.85,26882.6,16254.0,5901,INE761H01022,2020-03-31,16964.0
1024,PAGEIND,EQ,N,16950.0,16526.8,16900.0,16614.55,16600.0,16963.5,15705,261977319.55,26882.6,16254.0,6398,INE761H01022,2020-04-01,16681.14
1025,PAGEIND,EQ,N,17000.0,16330.1,17000.0,16503.0,16490.2,16614.55,20853,344525821.8,26882.6,16254.0,9914,INE761H01022,2020-04-03,16521.64
1026,PAGEIND,EQ,N,17094.0,16602.95,16749.0,16696.6,16724.5,16503.0,28414,477821338.7,26882.6,16254.0,9437,INE761H01022,2020-04-07,16816.41
1027,PAGEIND,EQ,N,17680.0,16603.95,16689.0,16757.0,16799.6,16696.6,24009,409647773.6,26882.6,16254.0,10291,INE761H01022,2020-04-08,17062.26
1028,PAGEIND,EQ,N,17338.0,16850.0,16999.0,17231.75,17152.2,16757.0,25775,441103459.45,26882.6,16254.0,10174,INE761H01022,2020-04-09,17113.62
