,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
463,RUCHI,EQ,N,65.1,65.1,65.1,65.1,65.1,62.0,1224,79682.4,65.1,28.65,39,INE619A01035,2020-03-02,65.1
469,RUCHI,EQ,N,68.35,68.35,68.35,68.35,68.35,65.1,430,29390.5,68.35,28.65,36,INE619A01035,2020-03-03,68.35
453,RUCHI,EQ,N,1028.7,1028.7,1028.7,1028.7,1028.7,979.75,44342,45614615.4,1028.7,28.65,1466,INE619A01035,2020-06-16,1028.7
454,RUCHI,EQ,N,1080.1,1080.1,1080.1,1080.1,1080.1,1028.7,28761,31064756.1,1080.1,28.65,851,INE619A01035,2020-06-17,1080.1
455,RUCHI,EQ,N,1134.1,1134.1,1134.1,1134.1,1134.1,1080.1,21968,24913908.8,1134.1,28.65,734,INE619A01035,2020-06-18,1134.1
456,RUCHI,EQ,N,1190.8,1077.4,1190.8,1190.8,1190.8,1134.1,466932,550807964.0,1190.8,28.65,14470,INE619A01035,2020-06-19,1179.63
457,RUCHI,EQ,N,1250.3,1250.3,1250.3,1250.3,1250.3,1190.8,32706,40892311.8,1250.3,28.65,1727,INE619A01035,2020-06-22,1250.3
458,RUCHI,EQ,N,1312.8,1312.8,1312.8,1312.8,1312.8,1250.3,11993,15744410.4,1312.8,28.65,770,INE619A01035,2020-06-23,1312.8
459,RUCHI,EQ,N,1378.4,1378.4,1378.4,1378.4,1378.4,1312.8,14804,20405833.6,1378.4,28.65,904,INE619A01035,2020-06-24,1378.4
460,RUCHI,EQ,N,1447.3,1380.0,1447.3,1447.3,1447.3,1378.4,146366,210933323.65,1447.3,28.65,7028,INE619A01035,2020-06-25,1441.14
461,RUCHI,EQ,N,1519.65,1519.0,1519.65,1519.65,1519.65,1447.3,99162,150691319.5,1519.65,28.65,5479,INE619A01035,2020-06-26,1519.65
462,RUCHI,EQ,N,1519.0,1443.7,1519.0,1443.7,1443.7,1519.65,114316,168002931.1,1519.65,28.65,9990,INE619A01035,2020-06-29,1469.64
436,RUCHI,EQ,N,1371.55,1371.55,1371.55,1371.55,1371.55,1443.7,13129,18007079.95,1519.65,28.65,2118,INE619A01035,2020-06-30,1371.55
437,RUCHI,EQ,N,1303.0,1303.0,1303.0,1303.0,1303.0,1371.55,9836,12816308.0,1519.65,28.65,1558,INE619A01035,2020-07-01,1303.0
438,RUCHI,EQ,N,1237.85,1237.85,1237.85,1237.85,1237.85,1303.0,8175,10119423.75,1519.65,28.65,1533,INE619A01035,2020-07-02,1237.85
439,RUCHI,EQ,N,1176.0,1176.0,1176.0,1176.0,1176.0,1237.85,9870,11607120.0,1519.65,28.65,1430,INE619A01035,2020-07-03,1176.0
440,RUCHI,EQ,N,1117.2,1117.2,1117.2,1117.2,1117.2,1176.0,8023,8963295.6,1519.65,28.65,1206,INE619A01035,2020-07-06,1117.2
441,RUCHI,EQ,N,1061.35,1061.35,1061.35,1061.35,1061.35,1117.2,6275,6659971.25,1519.65,28.65,911,INE619A01035,2020-07-07,1061.35
442,RUCHI,EQ,N,1008.3,1008.3,1008.3,1008.3,1008.3,1061.35,6014,6063916.2,1519.65,28.65,912,INE619A01035,2020-07-08,1008.3
443,RUCHI,EQ,N,957.9,957.9,957.9,957.9,957.9,1008.3,4956,4747352.4,1519.65,28.65,936,INE619A01035,2020-07-09,957.9
444,RUCHI,EQ,N,1005.75,910.05,910.05,1005.75,1005.75,957.9,707204,674857564.85,1519.65,28.65,28536,INE619A01035,2020-07-10,954.26
445,RUCHI,EQ,N,1056.0,1056.0,1056.0,1056.0,1056.0,1005.75,22922,24205632.0,1519.65,28.65,1480,INE619A01035,2020-07-13,1056.0
