,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
575,PAYTM,EQ,N,1955.0,1560.0,1950.0,1560.8,1560.0,2150.0,23955434,40870112754.65,1955.0,1560.0,1090130,INE982J01020,2021-11-18,1706.09
576,PAYTM,EQ,N,1519.0,1271.0,1509.0,1359.6,1362.0,1560.8,25114710,34684062469.45,1955.0,1271.0,1072555,INE982J01020,2021-11-22,1381.03
577,PAYTM,EQ,N,1525.0,1360.0,1360.0,1494.7,1489.8,1359.6,12954174,18962202133.8,1955.0,1271.0,609102,INE982J01020,2021-11-23,1463.79
578,PAYTM,EQ,N,1785.0,1502.95,1503.0,1752.45,1753.0,1494.7,21541021,36066477522.05,1955.0,1271.0,795626,INE982J01020,2021-11-24,1674.32
579,PAYTM,EQ,N,1873.7,1711.1,1766.7,1798.75,1785.0,1752.45,13018344,23403611871.7,1955.0,1271.0,715521,INE982J01020,2021-11-25,1797.74
580,PAYTM,EQ,N,1832.0,1663.0,1760.0,1782.6,1765.6,1798.75,6527364,11430564624.0,1955.0,1271.0,365030,INE982J01020,2021-11-26,1751.18
581,PAYTM,EQ,N,1810.0,1700.0,1700.0,1736.45,1706.95,1782.6,4564112,8054230891.1,1955.0,1271.0,278696,INE982J01020,2021-11-29,1764.69
582,PAYTM,EQ,N,1770.0,1678.2,1729.95,1699.6,1699.0,1736.45,2200149,3800245259.35,1955.0,1271.0,141342,INE982J01020,2021-11-30,1727.27
583,PAYTM,EQ,N,1725.0,1629.15,1715.0,1636.7,1640.0,1699.6,1294466,2167734948.35,1955.0,1271.0,91570,INE982J01020,2021-12-01,1674.62
547,PAYTM,EQ,N,1671.65,1592.0,1642.0,1600.85,1597.1,1636.7,1089716,1759103418.9,1955.0,1271.0,78161,INE982J01020,2021-12-02,1614.28
548,PAYTM,EQ,N,1698.0,1601.0,1615.0,1648.35,1645.0,1600.85,1322036,2184389021.6,1955.0,1271.0,98102,INE982J01020,2021-12-03,1652.29
549,PAYTM,EQ,N,1680.05,1598.7,1658.0,1604.45,1600.0,1648.35,632800,1035398476.25,1955.0,1271.0,45113,INE982J01020,2021-12-06,1636.22
550,PAYTM,EQ,N,1635.0,1571.0,1623.35,1577.5,1574.0,1604.45,631249,1006430469.75,1955.0,1271.0,51655,INE982J01020,2021-12-07,1594.35
551,PAYTM,EQ,N,1610.0,1546.25,1590.25,1553.4,1549.8,1577.5,726491,1141346634.4,1955.0,1271.0,51969,INE982J01020,2021-12-08,1571.04
552,PAYTM,EQ,N,1644.7,1525.1,1550.0,1593.95,1592.9,1553.4,2849040,4540399906.85,1955.0,1271.0,200053,INE982J01020,2021-12-09,1593.66
553,PAYTM,EQ,N,1609.0,1563.0,1605.0,1567.55,1564.6,1593.95,845711,1337262385.45,1955.0,1271.0,47835,INE982J01020,2021-12-10,1581.23
554,PAYTM,EQ,N,1578.75,1546.1,1578.0,1555.05,1552.0,1567.55,740610,1154082115.6,1955.0,1271.0,49649,INE982J01020,2021-12-13,1558.29
555,PAYTM,EQ,N,1555.05,1490.75,1547.0,1496.05,1492.0,1555.05,1386088,2103560760.85,1955.0,1271.0,95597,INE982J01020,2021-12-14,1517.62
556,PAYTM,EQ,N,1429.95,1296.0,1421.3,1379.95,1381.9,1496.05,13139593,17969273143.45,1955.0,1271.0,624089,INE982J01020,2021-12-15,1367.57
557,PAYTM,EQ,N,1435.0,1390.55,1435.0,1399.35,1401.0,1379.95,2323522,3277719443.15,1955.0,1271.0,114567,INE982J01020,2021-12-16,1410.67
558,PAYTM,EQ,N,1411.0,1307.0,1411.0,1321.0,1331.9,1399.35,2503637,3379447185.05,1955.0,1271.0,146838,INE982J01020,2021-12-17,1349.82
559,PAYTM,EQ,N,1327.6,1290.0,1321.0,1304.0,1306.85,1321.0,1740923,2272141803.05,1955.0,1271.0,104177,INE982J01020,2021-12-20,1305.14
560,PAYTM,EQ,N,1348.95,1306.0,1306.0,1311.45,1312.3,1304.0,995207,1318500620.85,1955.0,1271.0,51626,INE982J01020,2021-12-21,1324.85
561,PAYTM,EQ,N,1350.0,1330.55,1348.1,1342.2,1344.75,1311.45,966463,1295047598.7,1955.0,1271.0,54147,INE982J01020,2021-12-22,1339.99
562,PAYTM,EQ,N,1385.0,1344.0,1358.45,1348.8,1347.2,1342.2,1268283,1725893153.35,1955.0,1271.0,57725,INE982J01020,2021-12-23,1360.81
563,PAYTM,EQ,N,1381.0,1331.15,1348.7,1369.55,1368.0,1348.8,1340599,1815818979.45,1955.0,1271.0,49451,INE982J01020,2021-12-24,1354.48
564,PAYTM,EQ,N,1365.35,1335.3,1365.0,1344.95,1345.3,1369.55,717268,964532813.7,1955.0,1271.0,37672,INE982J01020,2021-12-27,1344.73
565,PAYTM,EQ,N,1364.2,1345.0,1350.0,1353.5,1348.0,1344.95,1112292,1509133596.25,1955.0,1271.0,29182,INE982J01020,2021-12-28,1356.78
566,PAYTM,EQ,N,1379.15,1340.0,1353.5,1341.55,1340.95,1353.5,1096725,1480510013.1,1955.0,1271.0,40620,INE982J01020,2021-12-29,1349.94
