,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PERSISTENT,EQ,N,720.0,686.0,700.0,698.75,701.0,696.4,84741,59687681.2,740.0,468.75,8338,INE262H01013,2020-03-02,704.35
996,PERSISTENT,EQ,N,713.8,692.4,699.0,708.0,710.0,698.75,47768,33693446.75,740.0,468.75,4823,INE262H01013,2020-03-03,705.36
1000,PERSISTENT,EQ,N,713.75,688.0,707.95,704.7,702.35,708.0,46490,32530198.9,740.0,468.75,7651,INE262H01013,2020-03-04,699.72
1005,PERSISTENT,EQ,N,711.25,693.95,705.1,706.35,705.0,704.7,44374,31236876.2,740.0,468.75,4215,INE262H01013,2020-03-05,703.95
1006,PERSISTENT,EQ,N,707.8,686.25,694.0,698.6,707.8,706.35,39436,27421271.45,740.0,468.75,6493,INE262H01013,2020-03-06,695.34
1007,PERSISTENT,EQ,N,708.9,685.0,696.9,687.15,686.05,698.6,87714,61078987.05,740.0,468.75,10518,INE262H01013,2020-03-09,696.34
1008,PERSISTENT,EQ,N,699.95,680.0,685.95,686.35,681.1,687.15,53807,36974022.25,740.0,468.75,10734,INE262H01013,2020-03-11,687.16
1009,PERSISTENT,EQ,N,676.0,630.05,671.0,647.6,642.65,686.35,110029,72162262.15,740.0,468.75,23578,INE262H01013,2020-03-12,655.85
1010,PERSISTENT,EQ,N,662.85,518.1,581.15,653.45,649.0,647.6,93798,57700833.05,740.0,468.75,12183,INE262H01013,2020-03-13,615.16
1011,PERSISTENT,EQ,N,635.25,587.5,635.25,602.7,630.0,653.45,481142,288886249.15,740.0,468.75,23600,INE262H01013,2020-03-16,600.42
1012,PERSISTENT,EQ,N,601.95,581.0,591.0,595.0,595.0,602.7,127203,75822868.05,740.0,468.75,15891,INE262H01013,2020-03-17,596.08
1013,PERSISTENT,EQ,N,599.9,565.5,599.9,571.75,569.0,595.0,36032,20725797.55,740.0,468.75,5224,INE262H01013,2020-03-18,575.21
1014,PERSISTENT,EQ,N,557.0,507.65,557.0,527.35,528.0,571.75,132424,69407378.2,740.0,468.75,12373,INE262H01013,2020-03-19,524.13
1015,PERSISTENT,EQ,N,555.0,487.9,527.35,510.85,530.0,527.35,46234,24314646.75,740.0,468.75,4140,INE262H01013,2020-03-20,525.9
