,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PFC,EQ,N,114.3,110.1,110.2,111.6,112.4,109.45,11356547,1277130522.05,138.75,90.45,37195,INE134E01011,2020-03-02,112.46
996,PFC,EQ,N,114.85,110.35,112.2,113.25,113.75,111.6,16973247,1921930266.0,138.75,90.45,34286,INE134E01011,2020-03-03,113.23
1000,PFC,EQ,N,114.6,111.05,113.25,113.55,113.5,113.25,9045800,1021283885.85,138.75,90.45,36379,INE134E01011,2020-03-04,112.9
1006,PFC,EQ,N,115.5,112.7,114.0,113.05,113.1,113.55,4899636,559138078.05,138.75,90.45,17202,INE134E01011,2020-03-05,114.12
1007,PFC,EQ,N,112.1,108.0,109.0,110.5,110.5,113.05,7606458,841548407.0,138.75,90.45,36005,INE134E01011,2020-03-06,110.64
1008,PFC,EQ,N,108.35,102.7,107.0,104.3,103.95,110.5,5930234,622156410.2,138.75,90.45,29962,INE134E01011,2020-03-09,104.91
1009,PFC,EQ,N,106.25,102.0,103.0,102.8,102.65,104.3,7329599,763525544.8,138.75,90.45,38146,INE134E01011,2020-03-11,104.17
1010,PFC,EQ,N,98.85,86.5,98.0,90.4,92.0,102.8,7613471,693829253.1,138.75,86.5,37730,INE134E01011,2020-03-12,91.13
1011,PFC,EQ,N,103.95,82.8,84.5,102.45,102.5,90.4,12877904,1231988986.6,138.75,82.8,48324,INE134E01011,2020-03-13,95.67
1012,PFC,EQ,N,97.5,91.45,96.45,92.3,92.5,102.45,4392558,415515780.1,138.75,82.8,33471,INE134E01011,2020-03-16,94.6
1013,PFC,EQ,N,99.2,89.3,92.6,90.25,90.3,92.3,8893656,849020943.5,138.75,82.8,47788,INE134E01011,2020-03-17,95.46
