,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PGHH,EQ,N,11184.15,10902.05,11080.05,10967.35,10960.0,11137.1,12176,133891413.05,12774.9,9725.1,1453,INE179A01014,2020-03-02,10996.34
996,PGHH,EQ,N,11083.3,10751.1,10929.4,10852.0,10850.0,10967.35,4765,51973288.1,12774.9,9725.1,1662,INE179A01014,2020-03-03,10907.3
1001,PGHH,EQ,N,10968.7,10280.0,10852.1,10423.15,10319.0,10852.0,4266,45164970.45,12774.9,9725.1,2023,INE179A01014,2020-03-04,10587.19
1008,PGHH,EQ,N,10556.0,10112.0,10540.0,10298.25,10330.05,10423.15,5875,60609038.45,12774.9,9725.1,2893,INE179A01014,2020-03-05,10316.43
1009,PGHH,EQ,N,10697.95,10012.15,10298.0,10488.5,10579.55,10298.25,8612,88927091.1,12774.9,9725.1,1728,INE179A01014,2020-03-06,10325.95
1010,PGHH,EQ,N,10571.25,10207.5,10438.0,10471.6,10498.0,10488.5,5189,53599341.1,12774.9,9725.1,1789,INE179A01014,2020-03-09,10329.42
1011,PGHH,EQ,N,10685.0,10000.0,10400.0,10057.55,10000.0,10471.6,5478,56075764.3,12774.9,9725.1,2741,INE179A01014,2020-03-11,10236.54
1012,PGHH,EQ,N,10000.0,8899.1,10000.0,9559.65,9699.0,10057.55,13463,125111428.85,12774.9,8899.1,5343,INE179A01014,2020-03-12,9292.98
1013,PGHH,EQ,N,10389.95,8400.0,8959.65,10117.05,10251.0,9559.65,11425,109310448.4,12774.9,8400.0,3938,INE179A01014,2020-03-13,9567.65
1014,PGHH,EQ,N,10488.8,9800.05,10000.0,10089.65,10100.0,10117.05,25807,259739022.15,12774.9,8400.0,2589,INE179A01014,2020-03-16,10064.67
