,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PIIND,EQ,N,1550.0,1435.6,1545.0,1521.95,1539.8,1531.25,103485,158008134.15,1629.0,931.0,8761,INE603J01030,2020-03-02,1526.87
996,PIIND,EQ,N,1580.0,1527.0,1530.0,1548.1,1570.0,1521.95,131783,203406326.0,1629.0,931.0,10729,INE603J01030,2020-03-03,1543.49
1000,PIIND,EQ,N,1578.0,1545.1,1560.0,1575.65,1578.0,1548.1,169828,266426185.25,1629.0,931.0,9471,INE603J01030,2020-03-04,1568.8
1005,PIIND,EQ,N,1589.85,1541.15,1586.0,1562.2,1560.8,1575.65,93190,145333222.25,1629.0,931.0,17597,INE603J01030,2020-03-05,1559.54
1006,PIIND,EQ,N,1586.7,1475.0,1500.0,1574.3,1580.0,1562.2,85764,132603465.65,1629.0,931.0,7265,INE603J01030,2020-03-06,1546.14
1007,PIIND,EQ,N,1565.0,1495.0,1549.0,1521.45,1501.3,1574.3,159708,242957031.2,1629.0,981.5,19601,INE603J01030,2020-03-09,1521.26
1008,PIIND,EQ,N,1537.65,1497.05,1519.7,1509.45,1500.0,1521.45,83862,127382415.2,1629.0,981.5,9486,INE603J01030,2020-03-11,1518.95
1009,PIIND,EQ,N,1489.15,1317.7,1461.0,1348.6,1347.0,1509.45,367579,505777205.95,1629.0,981.5,29130,INE603J01030,2020-03-12,1375.97
1010,PIIND,EQ,N,1363.0,1199.95,1200.0,1350.0,1349.0,1348.6,375163,498700558.7,1629.0,981.5,15204,INE603J01030,2020-03-13,1329.29
1011,PIIND,EQ,N,1345.0,1254.55,1300.0,1302.65,1280.0,1350.0,216229,281152599.65,1629.0,986.0,10052,INE603J01030,2020-03-16,1300.25
1012,PIIND,EQ,N,1360.0,1255.0,1281.0,1274.2,1260.0,1302.65,127641,164612386.75,1629.0,986.0,9972,INE603J01030,2020-03-17,1289.65
1013,PIIND,EQ,N,1351.4,1147.2,1276.0,1261.15,1300.0,1274.2,248278,306419647.8,1629.0,986.0,8677,INE603J01030,2020-03-18,1234.18
1014,PIIND,EQ,N,1244.4,1132.35,1185.25,1192.35,1179.95,1261.15,247951,296470586.9,1629.0,986.0,25216,INE603J01030,2020-03-19,1195.68
1015,PIIND,EQ,N,1272.25,1155.1,1171.15,1200.95,1203.0,1192.35,201821,242674719.2,1629.0,986.0,12526,INE603J01030,2020-03-20,1202.43
1016,PIIND,EQ,N,1179.7,1000.5,1036.05,1063.45,1065.0,1200.95,348808,373168718.8,1629.0,986.0,16264,INE603J01030,2020-03-23,1069.84
1017,PIIND,EQ,N,1106.55,1000.0,1070.0,1010.05,1031.0,1063.45,236961,247703991.75,1629.0,986.0,12223,INE603J01030,2020-03-24,1045.34
1018,PIIND,EQ,N,1107.95,970.1,980.0,1078.75,1085.0,1010.05,172411,179416334.55,1629.0,970.1,20857,INE603J01030,2020-03-25,1040.63
1019,PIIND,EQ,N,1169.0,1062.65,1095.2,1133.55,1131.0,1078.75,232085,259282219.75,1629.0,970.1,24502,INE603J01030,2020-03-26,1117.19
1020,PIIND,EQ,N,1199.0,1070.75,1199.0,1081.9,1090.0,1133.55,215743,240829760.35,1629.0,970.1,28772,INE603J01030,2020-03-27,1116.28
1021,PIIND,EQ,N,1107.35,1010.9,1050.0,1079.1,1065.0,1081.9,274061,291855559.2,1629.0,970.1,13985,INE603J01030,2020-03-30,1064.93
1022,PIIND,EQ,N,1198.7,1071.9,1085.05,1170.05,1181.0,1079.1,435099,483200523.95,1629.0,970.1,13180,INE603J01030,2020-03-31,1110.55
1023,PIIND,EQ,N,1275.0,1168.0,1177.3,1195.15,1183.6,1170.05,284017,345088643.4,1629.0,970.1,24665,INE603J01030,2020-04-01,1215.03
1024,PIIND,EQ,N,1192.0,1153.0,1192.0,1177.8,1179.0,1195.15,82806,96905058.7,1629.0,970.1,12466,INE603J01030,2020-04-03,1170.27
1025,PIIND,EQ,N,1347.8,1202.0,1202.0,1312.55,1305.0,1177.8,153679,199644843.5,1629.0,970.1,16383,INE603J01030,2020-04-07,1299.1
1026,PIIND,EQ,N,1399.0,1271.4,1307.65,1385.4,1385.25,1312.55,234301,320507302.9,1629.0,970.1,12754,INE603J01030,2020-04-08,1367.93
1027,PIIND,EQ,N,1475.0,1376.0,1421.95,1406.7,1376.0,1385.4,158967,228839447.4,1629.0,970.1,28454,INE603J01030,2020-04-09,1439.54
968,PIIND,EQ,N,1397.0,1315.15,1397.0,1361.9,1370.0,1406.7,120244,162167470.15,1629.0,970.1,4786,INE603J01030,2020-04-13,1348.65
969,PIIND,EQ,N,1420.0,1376.0,1376.0,1401.0,1406.0,1361.9,130885,183408779.5,1629.0,970.1,24650,INE603J01030,2020-04-15,1401.3
970,PIIND,EQ,N,1472.9,1355.25,1410.0,1454.1,1460.0,1401.0,172700,247511731.05,1629.0,970.1,25843,INE603J01030,2020-04-16,1433.19
971,PIIND,EQ,N,1498.55,1405.0,1495.0,1418.05,1438.0,1454.1,212978,305217718.1,1629.0,970.1,11560,INE603J01030,2020-04-17,1433.1
972,PIIND,EQ,N,1460.0,1370.0,1370.0,1441.4,1440.0,1418.05,86141,123093576.65,1629.0,970.1,10108,INE603J01030,2020-04-20,1428.98
973,PIIND,EQ,N,1462.0,1387.0,1392.5,1400.2,1400.0,1441.4,200896,281070190.55,1629.0,970.1,14946,INE603J01030,2020-04-21,1399.08
974,PIIND,EQ,N,1490.0,1375.0,1402.0,1476.65,1478.95,1400.2,212556,305797549.85,1629.0,970.1,22078,INE603J01030,2020-04-22,1438.67
975,PIIND,EQ,N,1550.0,1477.3,1489.15,1513.4,1516.0,1476.65,416675,633254730.55,1629.0,970.1,24063,INE603J01030,2020-04-23,1519.78
976,PIIND,EQ,N,1531.9,1461.5,1500.0,1481.05,1476.0,1513.4,79769,120436337.75,1629.0,970.1,9018,INE603J01030,2020-04-24,1509.81
977,PIIND,EQ,N,1540.8,1486.4,1487.0,1503.35,1496.0,1481.05,171994,261694140.8,1629.0,970.1,10434,INE603J01030,2020-04-27,1521.53
978,PIIND,EQ,N,1530.0,1481.05,1522.95,1489.5,1489.45,1503.35,145324,218448027.05,1629.0,970.1,10929,INE603J01030,2020-04-28,1503.18
979,PIIND,EQ,N,1540.35,1499.0,1499.0,1524.75,1532.95,1489.5,167469,254403294.7,1629.0,970.1,8276,INE603J01030,2020-04-29,1519.11
980,PIIND,EQ,N,1604.7,1532.7,1540.95,1589.55,1583.0,1524.75,414142,652343903.0,1629.0,970.1,25812,INE603J01030,2020-04-30,1575.17
981,PIIND,EQ,N,1566.45,1491.2,1550.0,1514.6,1505.0,1589.55,136664,208584437.6,1629.0,970.1,11719,INE603J01030,2020-05-04,1526.26
982,PIIND,EQ,N,1546.6,1514.1,1534.9,1526.1,1530.25,1514.6,94088,143828871.2,1629.0,970.1,9806,INE603J01030,2020-05-05,1528.66
983,PIIND,EQ,N,1574.0,1511.0,1549.0,1544.85,1550.0,1526.1,225054,348956509.4,1629.0,970.1,17105,INE603J01030,2020-05-06,1550.55
984,PIIND,EQ,N,1574.9,1512.0,1544.0,1528.25,1536.0,1544.85,252615,390496105.35,1629.0,970.1,15036,INE603J01030,2020-05-07,1545.82
985,PIIND,EQ,N,1557.55,1527.55,1546.15,1532.1,1536.0,1528.25,113864,175580814.1,1629.0,970.1,3600,INE603J01030,2020-05-08,1542.02
986,PIIND,EQ,N,1554.25,1512.1,1540.0,1519.4,1524.0,1532.1,91880,140929291.65,1629.0,970.1,16106,INE603J01030,2020-05-11,1533.84
987,PIIND,EQ,N,1539.0,1510.0,1524.9,1512.85,1511.0,1519.4,94437,143713796.8,1629.0,970.1,10125,INE603J01030,2020-05-12,1521.8
988,PIIND,EQ,N,1558.0,1505.0,1544.0,1514.25,1517.95,1512.85,221335,336137562.7,1629.0,970.1,6384,INE603J01030,2020-05-13,1518.68
989,PIIND,EQ,N,1550.0,1484.75,1515.05,1531.1,1545.0,1514.25,90492,136717177.4,1629.0,970.1,7796,INE603J01030,2020-05-14,1510.82
990,PIIND,EQ,N,1545.0,1476.0,1545.0,1486.0,1483.75,1531.1,102520,154079602.55,1629.0,970.1,16185,INE603J01030,2020-05-15,1502.92
991,PIIND,EQ,N,1493.75,1425.55,1492.0,1451.95,1450.35,1486.0,190998,276297979.75,1629.0,970.1,13588,INE603J01030,2020-05-18,1446.6
992,PIIND,EQ,N,1509.75,1450.0,1455.2,1473.7,1475.45,1451.95,200544,298212538.9,1629.0,970.1,16740,INE603J01030,2020-05-19,1487.02
993,PIIND,EQ,N,1512.0,1450.05,1482.0,1486.4,1475.0,1473.7,190790,284503909.95,1629.0,970.1,13242,INE603J01030,2020-05-20,1491.19
941,PIIND,EQ,N,1530.0,1475.6,1486.0,1494.0,1495.0,1486.4,122991,185280903.9,1629.0,970.1,12424,INE603J01030,2020-05-21,1506.46
942,PIIND,EQ,N,1521.0,1491.0,1499.0,1512.3,1510.15,1494.0,91594,138308633.0,1629.0,970.1,5440,INE603J01030,2020-05-22,1510.02
943,PIIND,EQ,N,1597.0,1512.5,1514.0,1578.85,1590.25,1512.3,288732,451701616.45,1629.0,970.1,19161,INE603J01030,2020-05-26,1564.43
944,PIIND,EQ,N,1603.95,1527.75,1592.0,1546.95,1554.0,1578.85,228867,357022474.9,1629.0,970.1,33274,INE603J01030,2020-05-27,1559.96
945,PIIND,EQ,N,1603.0,1557.55,1563.0,1586.45,1600.0,1546.95,103424,163315037.7,1629.0,970.1,10856,INE603J01030,2020-05-28,1579.08
946,PIIND,EQ,N,1650.0,1525.2,1592.3,1539.2,1533.85,1586.45,442836,707848367.0,1650.0,970.1,42835,INE603J01030,2020-05-29,1598.44
947,PIIND,EQ,N,1592.4,1553.05,1572.0,1578.9,1584.0,1539.2,199562,314193725.55,1650.0,970.1,26649,INE603J01030,2020-06-01,1574.42
