,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PNB,EQ,N,46.6,42.1,46.3,42.75,42.6,45.05,24375256,1088910688.55,99.9,42.1,45856,INE160A01022,2020-03-02,44.67
996,PNB,EQ,N,45.0,42.75,42.75,44.5,44.65,42.75,30389904,1328679338.4,99.9,42.1,43302,INE160A01022,2020-03-03,43.72
1000,PNB,EQ,N,44.95,43.05,44.75,44.45,44.35,44.5,24911682,1096195626.35,99.9,42.1,38934,INE160A01022,2020-03-04,44.0
1006,PNB,EQ,N,45.95,42.7,44.5,45.0,44.75,44.45,29076191,1298940129.0,99.9,42.1,49993,INE160A01022,2020-03-05,44.67
1007,PNB,EQ,N,43.2,40.95,41.65,42.35,42.4,45.0,23178204,984216434.5,99.9,40.95,41977,INE160A01022,2020-03-06,42.46
1008,PNB,EQ,N,41.5,39.35,41.15,39.75,39.6,42.35,23193524,939891753.75,99.9,39.35,45038,INE160A01022,2020-03-09,40.52
1009,PNB,EQ,N,40.65,37.9,39.75,38.45,38.0,39.75,29800139,1176344366.95,99.9,37.9,55177,INE160A01022,2020-03-11,39.47
1010,PNB,EQ,N,36.3,33.1,35.35,33.75,34.1,38.45,45672411,1587682442.25,99.9,33.1,76464,INE160A01022,2020-03-12,34.76
1011,PNB,EQ,N,38.15,28.05,31.2,37.4,38.0,33.75,46283334,1596479344.45,99.9,28.05,92823,INE160A01022,2020-03-13,34.49
1012,PNB,EQ,N,36.4,34.55,36.0,35.8,35.9,37.4,26751298,954339043.5,99.9,28.05,49150,INE160A01022,2020-03-16,35.67
1013,PNB,EQ,N,37.2,34.95,36.5,35.3,35.5,35.8,28305769,1022876179.25,99.9,28.05,51097,INE160A01022,2020-03-17,36.14
1014,PNB,EQ,N,39.25,33.9,36.0,36.75,37.6,35.3,41813232,1481698133.55,99.9,28.05,58655,INE160A01022,2020-03-18,35.44
1015,PNB,EQ,N,39.4,34.3,35.0,37.2,37.05,36.75,38506335,1433211332.15,99.9,28.05,75460,INE160A01022,2020-03-19,37.22
1016,PNB,EQ,N,39.0,36.7,37.5,38.05,38.2,37.2,34439688,1304194605.55,99.9,28.05,62555,INE160A01022,2020-03-20,37.87
1017,PNB,EQ,N,37.5,34.7,35.95,35.4,36.15,38.05,18562614,669467561.6,99.9,28.05,43794,INE160A01022,2020-03-23,36.07
1018,PNB,EQ,N,37.5,35.4,37.0,36.3,36.3,35.4,26937850,982561627.4,99.9,28.05,45547,INE160A01022,2020-03-24,36.48
1019,PNB,EQ,N,36.35,33.15,36.0,34.3,34.15,36.3,24608412,842920238.15,99.9,28.05,52032,INE160A01022,2020-03-25,34.25
1020,PNB,EQ,N,35.8,33.2,34.55,33.4,33.3,34.3,29588273,1012923899.1,99.9,28.05,74241,INE160A01022,2020-03-26,34.23
1021,PNB,EQ,N,35.95,33.25,34.5,33.45,33.4,33.4,30682531,1055980448.5,99.9,28.05,61785,INE160A01022,2020-03-27,34.42
1022,PNB,EQ,N,33.9,32.35,33.4,32.9,32.9,33.45,16723656,554148731.5,99.9,28.05,38635,INE160A01022,2020-03-30,33.14
1023,PNB,EQ,N,33.7,32.2,33.7,32.35,32.25,32.9,18298389,597805635.4,99.9,28.05,43264,INE160A01022,2020-03-31,32.67
1024,PNB,EQ,N,32.5,30.25,32.5,30.45,30.45,32.35,26646151,821954018.3,99.9,28.05,72350,INE160A01022,2020-04-01,30.85
1025,PNB,EQ,N,30.7,29.25,30.5,29.65,29.6,30.45,20697301,612483261.95,99.9,28.05,52977,INE160A01022,2020-04-03,29.59
1026,PNB,EQ,N,30.5,29.65,30.5,30.05,29.9,29.65,21962474,658218616.65,95.0,28.05,41628,INE160A01022,2020-04-07,29.97
1027,PNB,EQ,N,31.6,29.4,29.9,30.5,30.4,30.05,29666254,910403689.3,95.0,28.05,48745,INE160A01022,2020-04-08,30.69
1028,PNB,EQ,N,31.9,30.6,30.7,31.4,31.45,30.5,23014346,717522846.2,95.0,28.05,43925,INE160A01022,2020-04-09,31.18
968,PNB,EQ,N,31.75,30.3,31.75,31.35,31.45,31.4,16584316,513600338.6,94.45,28.05,30506,INE160A01022,2020-04-13,30.97
969,PNB,EQ,N,32.6,30.6,31.55,31.1,31.1,31.35,22095563,701447482.2,94.45,28.05,44456,INE160A01022,2020-04-15,31.75
970,PNB,EQ,N,31.5,30.55,31.1,31.05,31.2,31.1,19994398,621345007.8,94.45,28.05,40554,INE160A01022,2020-04-16,31.08
971,PNB,EQ,N,32.75,31.0,32.25,31.8,31.85,31.05,28208948,893426641.25,94.45,28.05,45690,INE160A01022,2020-04-17,31.67
972,PNB,EQ,N,33.9,31.4,32.1,32.85,33.0,31.8,41211953,1354431196.65,91.2,28.05,68001,INE160A01022,2020-04-20,32.87
973,PNB,EQ,N,32.35,30.95,32.3,31.1,31.0,32.85,21858220,687716129.25,91.2,28.05,40092,INE160A01022,2020-04-21,31.46
974,PNB,EQ,N,31.25,30.2,31.0,31.1,31.25,31.1,18793922,579117801.65,91.2,28.05,30838,INE160A01022,2020-04-22,30.81
975,PNB,EQ,N,31.75,31.0,31.5,31.2,31.15,31.1,19393369,608368850.0,91.2,28.05,30595,INE160A01022,2020-04-23,31.37
976,PNB,EQ,N,31.1,30.15,30.7,30.2,30.25,31.2,14351047,439200675.25,91.2,28.05,27294,INE160A01022,2020-04-24,30.6
977,PNB,EQ,N,30.9,30.3,30.4,30.75,30.85,30.2,11950763,365558727.65,91.2,28.05,21737,INE160A01022,2020-04-27,30.59
978,PNB,EQ,N,31.35,30.7,30.8,31.25,31.3,30.75,11780170,366529643.35,91.2,28.05,20413,INE160A01022,2020-04-28,31.11
979,PNB,EQ,N,32.5,31.1,31.3,32.3,32.3,31.25,18719199,598396618.55,91.2,28.05,33890,INE160A01022,2020-04-29,31.97
980,PNB,EQ,N,33.7,32.1,32.7,32.3,32.4,32.3,31467001,1034716574.7,91.2,28.05,57094,INE160A01022,2020-04-30,32.88
981,PNB,EQ,N,31.1,29.9,30.9,30.15,30.2,32.3,21841848,664103999.8,91.2,28.05,40010,INE160A01022,2020-05-04,30.41
982,PNB,EQ,N,30.75,29.05,30.5,29.2,29.2,30.15,19121806,572153226.5,91.2,28.05,37420,INE160A01022,2020-05-05,29.92
983,PNB,EQ,N,29.6,28.5,29.2,29.35,29.5,29.2,18005225,523844794.35,91.2,28.05,33415,INE160A01022,2020-05-06,29.09
984,PNB,EQ,N,30.25,28.9,29.15,29.7,29.6,29.35,14841128,441726963.25,91.2,28.05,28936,INE160A01022,2020-05-07,29.76
985,PNB,EQ,N,30.2,29.05,29.85,29.2,29.2,29.7,14358405,425210511.15,91.2,28.05,25415,INE160A01022,2020-05-08,29.61
986,PNB,EQ,N,29.5,28.7,29.4,28.8,28.8,29.2,16325208,473748974.25,91.2,28.05,26633,INE160A01022,2020-05-11,29.02
987,PNB,EQ,N,29.2,27.9,28.5,28.7,28.7,28.8,21778060,618405826.85,91.2,27.9,37967,INE160A01022,2020-05-12,28.4
988,PNB,EQ,N,31.0,29.45,30.3,30.6,30.8,28.7,38941649,1180619605.75,91.2,27.9,52744,INE160A01022,2020-05-13,30.32
989,PNB,EQ,N,30.55,29.1,30.15,29.3,29.4,30.6,22669990,676719982.9,91.2,27.9,36716,INE160A01022,2020-05-14,29.85
990,PNB,EQ,N,29.6,28.6,29.3,28.8,28.8,29.3,18837162,546837490.0,91.2,27.9,31092,INE160A01022,2020-05-15,29.03
991,PNB,EQ,N,28.95,26.75,28.9,27.35,27.45,28.8,28520480,783919405.25,91.2,26.75,56142,INE160A01022,2020-05-18,27.49
992,PNB,EQ,N,27.75,26.5,27.6,26.6,26.6,27.35,25290958,684642501.75,91.2,26.5,47970,INE160A01022,2020-05-19,27.07
993,PNB,EQ,N,26.9,26.3,26.6,26.6,26.55,26.6,17212634,458736183.25,91.2,26.3,29716,INE160A01022,2020-05-20,26.65
941,PNB,EQ,N,27.65,26.3,26.6,27.0,26.9,26.6,26590285,723198837.25,91.2,26.3,46001,INE160A01022,2020-05-21,27.2
942,PNB,EQ,N,27.65,26.4,26.7,26.65,26.65,27.0,27657300,745100228.45,91.2,26.3,45017,INE160A01022,2020-05-22,26.94
943,PNB,EQ,N,27.05,26.45,26.8,26.7,26.7,26.65,17287019,462576830.65,91.2,26.3,27128,INE160A01022,2020-05-26,26.76
944,PNB,EQ,N,27.65,26.55,26.7,27.5,27.5,26.7,27038152,732348412.9,91.2,26.3,36828,INE160A01022,2020-05-27,27.09
945,PNB,EQ,N,27.9,26.6,27.6,26.75,26.8,27.5,41841614,1136248115.2,91.2,26.3,71246,INE160A01022,2020-05-28,27.16
946,PNB,EQ,N,27.35,26.35,26.65,26.75,26.65,26.75,35144094,943275174.25,91.2,26.3,43937,INE160A01022,2020-05-29,26.84
947,PNB,EQ,N,30.1,27.0,27.4,29.2,29.0,26.75,72825432,2082390793.8,83.9,26.3,78887,INE160A01022,2020-06-01,28.59
948,PNB,EQ,N,29.7,28.6,29.3,29.25,29.25,29.2,40252959,1175592630.7,83.9,26.3,52110,INE160A01022,2020-06-02,29.21
949,PNB,EQ,N,31.6,29.6,29.8,30.25,30.2,29.25,86256504,2640656099.9,83.9,26.3,108522,INE160A01022,2020-06-03,30.61
950,PNB,EQ,N,32.6,29.7,29.95,31.0,31.1,30.25,127140495,4002360736.35,83.9,26.3,184024,INE160A01022,2020-06-04,31.48
951,PNB,EQ,N,34.1,31.4,31.5,33.75,34.05,31.0,96121246,3131183861.7,83.9,26.3,128631,INE160A01022,2020-06-05,32.58
952,PNB,EQ,N,35.5,32.25,35.5,32.6,32.6,33.75,103769333,3501556677.25,83.4,26.3,154914,INE160A01022,2020-06-08,33.74
953,PNB,EQ,N,33.5,31.5,33.0,31.8,31.75,32.6,63890506,2076847484.2,83.4,26.3,90210,INE160A01022,2020-06-09,32.51
954,PNB,EQ,N,34.1,31.65,32.0,33.85,34.05,31.8,83661053,2762226083.3,83.4,26.3,125300,INE160A01022,2020-06-10,33.02
955,PNB,EQ,N,35.2,32.55,34.5,32.8,32.8,33.85,97140495,3299232373.75,83.4,26.3,159643,INE160A01022,2020-06-11,33.96
956,PNB,EQ,N,33.2,30.9,31.0,33.05,33.0,32.8,51628669,1659627484.6,83.4,26.3,96015,INE160A01022,2020-06-12,32.15
957,PNB,EQ,N,34.15,32.05,33.0,33.65,33.55,33.05,50674765,1677430779.65,83.4,26.3,91219,INE160A01022,2020-06-15,33.1
958,PNB,EQ,N,34.85,31.9,34.5,33.15,33.15,33.65,62033451,2064972548.2,83.4,26.3,90901,INE160A01022,2020-06-16,33.29
959,PNB,EQ,N,33.9,32.5,32.9,33.15,33.1,33.15,48130067,1599641089.0,83.4,26.3,76206,INE160A01022,2020-06-17,33.24
960,PNB,EQ,N,34.2,32.9,33.1,33.9,34.05,33.15,41943348,1411547487.1,83.4,26.3,93578,INE160A01022,2020-06-18,33.65
961,PNB,EQ,N,34.65,33.9,34.5,34.5,34.5,33.9,47810394,1645011907.0,83.4,26.3,131098,INE160A01022,2020-06-19,34.41
962,PNB,EQ,N,36.0,35.0,35.85,35.8,35.85,34.5,89827765,3185281317.4,83.4,26.3,149133,INE160A01022,2020-06-22,35.46
963,PNB,EQ,N,37.9,35.9,36.0,37.45,37.45,35.8,83932724,3133146538.05,83.4,26.3,156816,INE160A01022,2020-06-23,37.33
964,PNB,EQ,N,38.4,36.25,38.0,36.5,36.5,37.45,70621046,2645435575.0,83.4,26.3,138522,INE160A01022,2020-06-24,37.46
965,PNB,EQ,N,37.6,35.55,36.3,37.1,37.5,36.5,57453358,2094758084.85,83.4,26.3,99162,INE160A01022,2020-06-25,36.46
966,PNB,EQ,N,37.95,36.4,37.65,36.6,36.65,37.1,37646225,1393925615.2,83.4,26.3,85937,INE160A01022,2020-06-26,37.03
967,PNB,EQ,N,36.4,35.15,36.2,35.35,35.3,36.6,29070144,1033959375.05,83.4,26.3,53700,INE160A01022,2020-06-29,35.57
911,PNB,EQ,N,36.15,34.55,35.8,34.75,34.8,35.35,22906506,808157340.9,83.4,26.3,52514,INE160A01022,2020-06-30,35.28
912,PNB,EQ,N,36.55,34.5,35.0,36.4,36.45,34.75,39414255,1409809545.7,83.4,26.3,70268,INE160A01022,2020-07-01,35.77
913,PNB,EQ,N,37.05,36.1,36.6,36.25,36.3,36.4,26984207,985436286.2,83.4,26.3,49536,INE160A01022,2020-07-02,36.52
914,PNB,EQ,N,36.55,35.8,36.5,35.95,35.85,36.25,19474835,702749309.1,83.4,26.3,32698,INE160A01022,2020-07-03,36.08
915,PNB,EQ,N,37.3,36.0,36.25,37.1,37.1,35.95,36393791,1336330442.65,77.95,26.3,54247,INE160A01022,2020-07-06,36.72
