,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
575,POLICYBZR,EQ,N,1248.9,1149.0,1150.0,1202.3,1201.6,980.0,36379065,43327150044.6,1248.9,1149.0,735757,INE417T01026,2021-11-15,1190.99
576,POLICYBZR,EQ,N,1434.0,1210.0,1210.0,1341.9,1334.9,1202.3,14456023,19524665574.9,1434.0,1149.0,480322,INE417T01026,2021-11-16,1350.62
577,POLICYBZR,EQ,N,1470.0,1342.0,1350.0,1447.95,1435.0,1341.9,7068789,9982051128.25,1470.0,1149.0,268488,INE417T01026,2021-11-17,1412.13
578,POLICYBZR,EQ,N,1464.8,1302.55,1440.0,1332.35,1326.95,1447.95,5505748,7541969454.8,1470.0,1149.0,206585,INE417T01026,2021-11-18,1369.84
579,POLICYBZR,EQ,N,1332.0,1190.1,1332.0,1237.55,1247.85,1332.35,3843305,4871336816.2,1470.0,1149.0,119013,INE417T01026,2021-11-22,1267.49
580,POLICYBZR,EQ,N,1279.0,1210.0,1230.0,1214.85,1220.0,1237.55,1275807,1575961920.05,1470.0,1149.0,50248,INE417T01026,2021-11-23,1235.27
581,POLICYBZR,EQ,N,1328.4,1227.0,1228.8,1303.85,1293.0,1214.85,2005083,2601048035.6,1470.0,1149.0,89135,INE417T01026,2021-11-24,1297.23
582,POLICYBZR,EQ,N,1339.0,1245.2,1315.0,1260.65,1262.0,1303.85,1623994,2108164974.0,1470.0,1149.0,110019,INE417T01026,2021-11-25,1298.14
583,POLICYBZR,EQ,N,1308.0,1210.0,1254.0,1273.45,1270.0,1260.65,1075975,1367540613.75,1470.0,1149.0,55054,INE417T01026,2021-11-26,1270.98
584,POLICYBZR,EQ,N,1300.0,1212.0,1251.0,1229.8,1232.0,1273.45,523928,657884656.6,1470.0,1149.0,35641,INE417T01026,2021-11-29,1255.68
585,POLICYBZR,EQ,N,1288.0,1210.0,1244.25,1215.6,1213.6,1229.8,553534,687614548.8,1470.0,1149.0,33512,INE417T01026,2021-11-30,1242.23
586,POLICYBZR,EQ,N,1274.0,1206.3,1247.0,1214.25,1222.9,1215.6,601108,733392423.15,1470.0,1149.0,28493,INE417T01026,2021-12-01,1220.07
547,POLICYBZR,EQ,N,1235.3,1210.0,1224.0,1213.8,1218.0,1214.25,278094,338857672.15,1470.0,1149.0,18170,INE417T01026,2021-12-02,1218.5
548,POLICYBZR,EQ,N,1224.75,1210.0,1215.0,1210.6,1211.0,1213.8,323950,393281900.05,1470.0,1149.0,15043,INE417T01026,2021-12-03,1214.02
549,POLICYBZR,EQ,N,1217.85,1121.3,1214.8,1146.75,1150.0,1210.6,1131799,1356412145.85,1470.0,1121.3,36863,INE417T01026,2021-12-06,1198.46
550,POLICYBZR,EQ,N,1198.0,1163.0,1163.0,1190.6,1191.0,1146.75,1045117,1240966784.0,1470.0,1121.3,36411,INE417T01026,2021-12-07,1187.4
