,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,POLYCAB,EQ,N,1120.0,1036.0,1090.0,1057.5,1072.25,1062.7,322474,348871666.15,1182.0,525.15,15675,INE455K01017,2020-03-02,1081.86
996,POLYCAB,EQ,N,1086.0,1020.0,1077.0,1050.9,1052.0,1057.5,281317,294919716.95,1182.0,525.15,16106,INE455K01017,2020-03-03,1048.35
1000,POLYCAB,EQ,N,1067.0,1000.0,1051.25,1046.55,1052.0,1050.9,296187,305627454.15,1182.0,525.15,14730,INE455K01017,2020-03-04,1031.87
1007,POLYCAB,EQ,N,1063.0,1036.4,1059.0,1052.05,1051.5,1046.55,136221,142995845.05,1182.0,525.15,7541,INE455K01017,2020-03-05,1049.73
1008,POLYCAB,EQ,N,1063.9,986.45,995.0,1030.75,1036.0,1052.05,230695,237482425.8,1182.0,525.15,19783,INE455K01017,2020-03-06,1029.42
1009,POLYCAB,EQ,N,1016.0,982.0,990.2,1010.55,1007.0,1030.75,287344,287515130.5,1182.0,525.15,18637,INE455K01017,2020-03-09,1000.6
1010,POLYCAB,EQ,N,1035.0,988.0,1002.0,1005.05,995.0,1010.55,177758,178728372.2,1182.0,525.15,11810,INE455K01017,2020-03-11,1005.46
1011,POLYCAB,EQ,N,990.0,850.1,966.0,875.25,875.45,1005.05,435592,392740977.5,1182.0,525.15,25441,INE455K01017,2020-03-12,901.63
1012,POLYCAB,EQ,N,1032.8,710.0,806.0,929.3,930.7,875.25,410486,364391675.45,1182.0,525.15,29959,INE455K01017,2020-03-13,887.71
1013,POLYCAB,EQ,N,900.0,809.2,876.1,821.6,820.0,929.3,235769,203835554.1,1182.0,525.15,17149,INE455K01017,2020-03-16,864.56
