,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
920,MAGMA,EQ,N,46.95,41.1,46.95,41.35,41.1,43.5,88014,3816890.5,138.3,35.75,1024,INE511C01022,2020-03-02,43.37
922,MAGMA,EQ,N,45.1,41.8,43.0,42.15,42.05,41.35,68061,2885556.15,138.3,35.75,1619,INE511C01022,2020-03-03,42.4
934,MAGMA,EQ,N,43.0,38.85,42.45,40.7,40.6,42.15,233897,9546836.3,138.3,35.75,2566,INE511C01022,2020-03-04,40.82
935,MAGMA,EQ,N,42.5,39.15,41.75,40.55,40.0,40.7,175534,7037515.7,138.3,35.75,7353,INE511C01022,2020-03-05,40.09
936,MAGMA,EQ,N,40.0,35.0,36.8,38.65,38.5,40.55,389836,14524178.15,138.3,35.0,7344,INE511C01022,2020-03-06,37.26
937,MAGMA,EQ,N,38.0,35.15,38.0,35.65,35.5,38.65,158639,5733616.95,138.3,35.0,10367,INE511C01022,2020-03-09,36.14
938,MAGMA,EQ,N,36.65,33.25,34.9,34.25,34.0,35.65,252716,8866793.8,138.3,33.25,6683,INE511C01022,2020-03-11,35.09
939,MAGMA,EQ,N,33.8,27.75,31.55,28.15,27.95,34.25,604687,17501314.35,138.3,27.75,15778,INE511C01022,2020-03-12,28.94
940,MAGMA,EQ,N,29.8,25.35,26.0,27.95,27.75,28.15,350695,9706701.15,138.3,25.35,1864,INE511C01022,2020-03-13,27.68
941,MAGMA,EQ,N,27.45,25.25,26.45,25.75,25.45,27.95,140985,3673767.6,138.3,25.25,2660,INE511C01022,2020-03-16,26.06
942,MAGMA,EQ,N,26.95,23.2,26.95,23.2,23.2,25.75,369205,9009185.1,138.3,23.2,2196,INE511C01022,2020-03-17,24.4
943,MAGMA,EQ,N,24.35,20.9,24.0,20.9,20.9,23.2,286642,6077213.8,138.3,20.9,2653,INE511C01022,2020-03-18,21.2
944,MAGMA,EQ,N,22.95,18.85,18.85,19.95,20.0,20.9,468482,9495282.75,138.3,18.85,4635,INE511C01022,2020-03-19,20.27
945,MAGMA,EQ,N,20.9,19.0,20.4,20.0,20.0,19.95,430077,8846563.75,138.3,18.85,2704,INE511C01022,2020-03-20,20.57
946,MAGMA,EQ,N,19.65,19.0,19.0,19.1,19.35,20.0,128098,2439506.1,138.3,18.85,558,INE511C01022,2020-03-23,19.04
947,MAGMA,EQ,N,20.05,18.15,19.8,18.15,18.15,19.1,226282,4222393.85,138.3,18.15,783,INE511C01022,2020-03-24,18.66
948,MAGMA,EQ,N,18.0,17.25,18.0,17.6,17.25,18.15,280800,4918762.75,138.3,17.25,834,INE511C01022,2020-03-25,17.52
949,MAGMA,EQ,N,18.45,16.75,18.3,18.25,17.95,17.6,458548,8323351.55,138.3,16.75,2058,INE511C01022,2020-03-26,18.15
950,MAGMA,EQ,N,19.15,17.45,18.9,17.7,17.7,18.25,422438,7704272.9,138.3,16.75,1535,INE511C01022,2020-03-27,18.24
951,MAGMA,EQ,N,18.5,16.85,17.5,17.25,17.25,17.7,182212,3207202.35,138.3,16.75,831,INE511C01022,2020-03-30,17.6
952,MAGMA,EQ,N,17.95,16.5,17.95,17.0,17.0,17.25,371003,6309915.45,138.3,16.5,1085,INE511C01022,2020-03-31,17.01
953,MAGMA,EQ,N,17.8,16.35,17.0,17.0,17.0,17.0,196680,3370403.0,138.3,16.35,837,INE511C01022,2020-04-01,17.14
954,MAGMA,EQ,N,17.3,16.7,17.0,16.9,17.0,17.0,129890,2205715.25,138.3,16.35,817,INE511C01022,2020-04-03,16.98
