,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,PRESTIGE,EQ,N,309.0,292.05,296.55,302.65,303.0,290.35,361534,108903292.35,426.0,200.6,13956,INE811K01011,2020-03-02,301.23
996,PRESTIGE,EQ,N,332.0,305.85,305.9,318.85,321.0,302.65,730470,236433896.95,426.0,200.6,24139,INE811K01011,2020-03-03,323.67
1001,PRESTIGE,EQ,N,325.0,294.05,321.5,307.0,312.05,318.85,279867,86067499.45,426.0,200.6,13902,INE811K01011,2020-03-04,307.53
1007,PRESTIGE,EQ,N,323.9,291.0,315.0,318.25,312.05,307.0,647646,197849305.25,426.0,200.6,40213,INE811K01011,2020-03-05,305.49
1008,PRESTIGE,EQ,N,310.0,291.8,296.05,302.5,302.8,318.25,175254,53069942.5,426.0,200.6,5905,INE811K01011,2020-03-06,302.82
1009,PRESTIGE,EQ,N,310.0,290.0,293.0,299.05,290.4,302.5,232157,69297446.8,426.0,200.6,7332,INE811K01011,2020-03-09,298.49
1010,PRESTIGE,EQ,N,302.1,277.1,298.0,281.85,277.5,299.05,264429,75598364.85,426.0,200.6,13874,INE811K01011,2020-03-11,285.89
1011,PRESTIGE,EQ,N,262.75,225.5,260.6,225.5,225.5,281.85,680341,156570726.4,426.0,200.6,19342,INE811K01011,2020-03-12,230.14
1012,PRESTIGE,EQ,N,264.7,184.95,195.0,252.9,251.0,225.5,725962,167054825.8,426.0,184.95,33261,INE811K01011,2020-03-13,230.12
1013,PRESTIGE,EQ,N,242.7,204.95,242.0,209.55,210.0,252.9,1115006,241459776.4,426.0,184.95,36363,INE811K01011,2020-03-16,216.55
1014,PRESTIGE,EQ,N,220.0,199.55,211.5,210.25,211.0,209.55,495939,105677294.9,426.0,184.95,20173,INE811K01011,2020-03-17,213.09
1015,PRESTIGE,EQ,N,218.75,169.0,218.0,170.1,169.95,210.25,815857,151072689.7,426.0,169.0,22814,INE811K01011,2020-03-18,185.17
1016,PRESTIGE,EQ,N,174.0,153.0,155.0,159.35,162.95,170.1,795564,125383776.25,426.0,153.0,24453,INE811K01011,2020-03-19,157.6
1017,PRESTIGE,EQ,N,170.8,155.35,166.0,157.65,159.0,159.35,562341,90643180.3,426.0,153.0,22042,INE811K01011,2020-03-20,161.19
1018,PRESTIGE,EQ,N,169.55,141.9,141.9,161.4,163.9,157.65,420824,65942555.95,426.0,141.9,24219,INE811K01011,2020-03-23,156.7
1019,PRESTIGE,EQ,N,175.0,160.0,165.15,167.9,168.0,161.4,149709,25266790.1,426.0,141.9,10649,INE811K01011,2020-03-24,168.77
1020,PRESTIGE,EQ,N,178.0,163.0,163.15,172.45,174.6,167.9,615952,105055126.8,426.0,141.9,7297,INE811K01011,2020-03-25,170.56
1021,PRESTIGE,EQ,N,189.65,175.0,179.0,189.65,189.65,172.45,102405,19042246.45,426.0,141.9,3356,INE811K01011,2020-03-26,185.95
1022,PRESTIGE,EQ,N,208.6,180.2,197.0,194.45,198.45,189.65,247024,48206713.85,426.0,141.9,18417,INE811K01011,2020-03-27,195.15
1023,PRESTIGE,EQ,N,190.0,175.05,189.7,176.4,175.05,194.45,162341,29154980.85,426.0,141.9,8775,INE811K01011,2020-03-30,179.59
1024,PRESTIGE,EQ,N,183.0,165.05,183.0,168.2,169.1,176.4,274570,46607317.6,426.0,141.9,15755,INE811K01011,2020-03-31,169.75
1025,PRESTIGE,EQ,N,185.0,163.3,170.0,181.3,181.0,168.2,483143,85436491.45,426.0,141.9,14663,INE811K01011,2020-04-01,176.83
1026,PRESTIGE,EQ,N,189.2,177.05,182.0,182.0,179.95,181.3,155155,28533358.75,426.0,141.9,4965,INE811K01011,2020-04-03,183.9
1027,PRESTIGE,EQ,N,195.3,183.0,183.0,193.65,192.0,182.0,224305,42943536.2,426.0,141.9,10855,INE811K01011,2020-04-07,191.45
1028,PRESTIGE,EQ,N,198.45,181.1,192.0,184.75,184.7,193.65,116864,22200131.35,426.0,141.9,9376,INE811K01011,2020-04-08,189.97
1029,PRESTIGE,EQ,N,193.0,178.0,189.95,181.85,181.5,184.75,274466,50190208.05,426.0,141.9,13646,INE811K01011,2020-04-09,182.86
968,PRESTIGE,EQ,N,181.8,171.0,181.8,172.55,172.1,181.85,110794,19313199.8,426.0,141.9,6178,INE811K01011,2020-04-13,174.32
969,PRESTIGE,EQ,N,183.0,172.3,177.2,174.3,173.35,172.55,533809,95220443.85,426.0,141.9,16282,INE811K01011,2020-04-15,178.38
970,PRESTIGE,EQ,N,180.0,170.0,174.1,176.0,176.5,174.3,466199,81851498.2,426.0,141.9,8559,INE811K01011,2020-04-16,175.57
971,PRESTIGE,EQ,N,188.0,176.3,188.0,181.3,181.1,176.0,466896,84986925.9,426.0,141.9,15796,INE811K01011,2020-04-17,182.03
972,PRESTIGE,EQ,N,189.7,178.05,184.7,184.95,185.25,181.3,818262,152076171.05,426.0,141.9,22298,INE811K01011,2020-04-20,185.85
973,PRESTIGE,EQ,N,181.8,172.05,179.0,178.35,179.1,184.95,948074,167070825.35,426.0,141.9,15784,INE811K01011,2020-04-21,176.22
974,PRESTIGE,EQ,N,188.0,173.4,179.85,182.8,180.8,178.35,1027027,187785886.2,426.0,141.9,19738,INE811K01011,2020-04-22,182.84
975,PRESTIGE,EQ,N,184.95,175.5,183.95,176.3,175.7,182.8,600528,107428394.2,426.0,141.9,27434,INE811K01011,2020-04-23,178.89
976,PRESTIGE,EQ,N,175.45,167.1,175.45,167.95,167.1,176.3,352645,60046060.65,426.0,141.9,17402,INE811K01011,2020-04-24,170.27
977,PRESTIGE,EQ,N,170.75,162.5,169.9,163.45,164.25,167.95,497547,81879882.25,426.0,141.9,17946,INE811K01011,2020-04-27,164.57
978,PRESTIGE,EQ,N,172.9,160.65,165.9,168.2,171.0,163.45,892096,148888275.3,426.0,141.9,21093,INE811K01011,2020-04-28,166.9
979,PRESTIGE,EQ,N,184.9,170.1,171.0,171.75,173.0,168.2,3919935,698196630.8,426.0,141.9,65072,INE811K01011,2020-04-29,178.11
980,PRESTIGE,EQ,N,175.8,172.25,173.95,173.95,173.9,171.75,911204,158747869.8,426.0,141.9,22595,INE811K01011,2020-04-30,174.22
981,PRESTIGE,EQ,N,169.05,162.1,168.0,163.55,164.7,173.95,295692,48686925.0,426.0,141.9,7546,INE811K01011,2020-05-04,164.65
982,PRESTIGE,EQ,N,167.65,162.1,167.0,164.3,164.4,163.55,428982,70591306.1,426.0,141.9,18929,INE811K01011,2020-05-05,164.56
983,PRESTIGE,EQ,N,165.9,157.15,165.3,161.0,161.25,164.3,418665,67287561.5,426.0,141.9,7229,INE811K01011,2020-05-06,160.72
984,PRESTIGE,EQ,N,166.0,161.25,162.9,163.75,164.8,161.0,270858,44297993.25,426.0,141.9,14148,INE811K01011,2020-05-07,163.55
985,PRESTIGE,EQ,N,169.15,154.65,165.0,160.15,161.0,163.75,766336,125657595.45,426.0,141.9,13158,INE811K01011,2020-05-08,163.97
986,PRESTIGE,EQ,N,168.0,158.1,166.25,159.15,158.25,160.15,1165920,188084547.75,426.0,141.9,24443,INE811K01011,2020-05-11,161.32
987,PRESTIGE,EQ,N,158.0,151.25,156.5,153.55,153.7,159.15,578320,88718863.15,426.0,141.9,19274,INE811K01011,2020-05-12,153.41
988,PRESTIGE,EQ,N,162.55,154.1,162.45,155.0,155.3,153.55,755886,118211358.05,426.0,141.9,26378,INE811K01011,2020-05-13,156.39
989,PRESTIGE,EQ,N,158.6,154.25,156.95,157.0,156.75,155.0,444876,69547516.8,426.0,141.9,10580,INE811K01011,2020-05-14,156.33
990,PRESTIGE,EQ,N,163.5,152.5,160.0,153.2,152.95,157.0,1112409,175104885.15,426.0,141.9,23721,INE811K01011,2020-05-15,157.41
991,PRESTIGE,EQ,N,152.9,138.05,151.0,139.0,139.4,153.2,1129643,159158322.8,426.0,138.05,25696,INE811K01011,2020-05-18,140.89
992,PRESTIGE,EQ,N,142.75,133.65,141.0,134.85,134.95,139.0,1126578,154393644.8,426.0,133.65,35362,INE811K01011,2020-05-19,137.05
993,PRESTIGE,EQ,N,140.5,134.1,135.8,137.45,138.2,134.85,858556,118220694.85,426.0,133.65,11762,INE811K01011,2020-05-20,137.7
941,PRESTIGE,EQ,N,144.5,138.1,140.2,141.1,141.5,137.45,891772,126048954.0,426.0,133.65,21760,INE811K01011,2020-05-21,141.35
942,PRESTIGE,EQ,N,142.8,136.2,141.8,139.4,139.9,141.1,570327,80032169.55,426.0,133.65,8378,INE811K01011,2020-05-22,140.33
943,PRESTIGE,EQ,N,141.6,136.75,141.4,136.9,136.95,139.4,454263,62913997.4,426.0,133.65,8165,INE811K01011,2020-05-26,138.5
944,PRESTIGE,EQ,N,144.4,136.1,138.9,140.45,140.7,136.9,741030,104856313.75,426.0,133.65,10353,INE811K01011,2020-05-27,141.5
945,PRESTIGE,EQ,N,146.5,141.1,141.1,145.15,145.15,140.45,756480,109252475.25,426.0,133.65,18659,INE811K01011,2020-05-28,144.42
946,PRESTIGE,EQ,N,159.35,144.0,145.75,156.45,157.0,145.15,1720892,262032767.3,426.0,133.65,23984,INE811K01011,2020-05-29,152.27
947,PRESTIGE,EQ,N,161.15,152.15,157.9,154.3,154.0,156.45,800959,125727266.9,426.0,133.65,16958,INE811K01011,2020-06-01,156.97
948,PRESTIGE,EQ,N,167.25,152.45,155.0,165.1,163.6,154.3,1578609,254305602.15,426.0,133.65,20391,INE811K01011,2020-06-02,161.09
949,PRESTIGE,EQ,N,173.7,163.3,166.0,169.15,169.45,165.1,1295995,218911501.35,426.0,133.65,24948,INE811K01011,2020-06-03,168.91
950,PRESTIGE,EQ,N,173.85,161.5,170.0,163.95,164.45,169.15,566140,93604382.45,426.0,133.65,17571,INE811K01011,2020-06-04,165.34
951,PRESTIGE,EQ,N,173.5,162.75,162.75,170.05,170.0,163.95,1604951,270856030.85,426.0,133.65,20752,INE811K01011,2020-06-05,168.76
952,PRESTIGE,EQ,N,181.9,172.5,172.5,179.1,179.1,170.05,1138913,203211956.35,426.0,133.65,27623,INE811K01011,2020-06-08,178.43
953,PRESTIGE,EQ,N,182.85,176.95,180.6,181.0,180.95,179.1,1284082,232166981.5,426.0,133.65,26153,INE811K01011,2020-06-09,180.8
