,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,RELIANCE,EQ,N,1369.0,1301.1,1355.1,1316.15,1322.0,1328.65,13486634,18117990644.9,1617.55,1095.3,274282,INE002A01018,2020-03-02,1343.4
996,RELIANCE,EQ,N,1353.9,1322.0,1329.7,1342.85,1346.35,1316.15,12525809,16775518803.7,1617.55,1095.3,275521,INE002A01018,2020-03-03,1339.28
1000,RELIANCE,EQ,N,1353.8,1307.9,1352.0,1339.7,1349.0,1342.85,10105782,13453213011.65,1617.55,1095.3,297606,INE002A01018,2020-03-04,1331.24
1005,RELIANCE,EQ,N,1357.95,1306.0,1352.2,1311.15,1309.9,1339.7,13948324,18510367252.8,1617.55,1095.3,319378,INE002A01018,2020-03-05,1327.07
1006,RELIANCE,EQ,N,1288.15,1241.1,1270.0,1271.0,1269.85,1311.15,15422068,19610974599.3,1617.55,1095.3,389652,INE002A01018,2020-03-06,1271.62
1007,RELIANCE,EQ,N,1241.0,1095.0,1240.05,1114.15,1104.5,1271.0,40317808,46105953148.8,1617.55,1095.0,846382,INE002A01018,2020-03-09,1143.56
1008,RELIANCE,EQ,N,1178.45,1108.0,1108.0,1153.55,1152.0,1114.15,27237627,31538987521.1,1617.55,1095.0,490124,INE002A01018,2020-03-11,1157.92
1009,RELIANCE,EQ,N,1101.0,1048.7,1085.0,1063.0,1059.0,1153.55,25588170,27538049024.35,1617.55,1048.7,646095,INE002A01018,2020-03-12,1076.2
1010,RELIANCE,EQ,N,1140.0,942.4,998.0,1105.3,1116.95,1063.0,33509757,35297404438.2,1617.55,942.4,706395,INE002A01018,2020-03-13,1053.35
1011,RELIANCE,EQ,N,1079.7,1005.0,1060.55,1015.7,1012.2,1105.3,17594729,18418745886.0,1617.55,942.4,441083,INE002A01018,2020-03-16,1046.83
1012,RELIANCE,EQ,N,1060.0,1003.2,1047.25,1008.0,1011.5,1015.7,20777442,21497994559.0,1617.55,942.4,463953,INE002A01018,2020-03-17,1034.68
1013,RELIANCE,EQ,N,1035.9,961.0,1025.3,968.5,976.45,1008.0,20450497,20290776263.75,1617.55,942.4,499736,INE002A01018,2020-03-18,992.19
1014,RELIANCE,EQ,N,967.0,892.2,920.1,917.7,917.7,968.5,28072062,25794360273.8,1617.55,892.2,636588,INE002A01018,2020-03-19,918.86
1015,RELIANCE,EQ,N,1034.9,930.0,939.5,1017.95,1028.0,917.7,28967526,28503444361.95,1617.55,892.2,589033,INE002A01018,2020-03-20,983.98
1016,RELIANCE,EQ,N,950.0,875.65,916.2,884.05,891.0,1017.95,18593713,16721615106.25,1617.55,875.65,569206,INE002A01018,2020-03-23,899.32
1017,RELIANCE,EQ,N,970.0,895.8,930.0,943.4,946.0,884.05,20919322,19556500213.85,1617.55,875.65,590891,INE002A01018,2020-03-24,934.85
1018,RELIANCE,EQ,N,1151.55,963.25,963.8,1082.25,1074.0,943.4,33433126,35221338454.85,1617.55,875.65,799060,INE002A01018,2020-03-25,1053.49
1019,RELIANCE,EQ,N,1116.9,1042.35,1095.8,1066.2,1069.0,1082.25,20912934,22480324150.35,1617.55,875.65,592742,INE002A01018,2020-03-26,1074.95
1020,RELIANCE,EQ,N,1107.3,1046.2,1095.0,1065.6,1067.95,1066.2,19044644,20378895930.6,1617.55,875.65,502817,INE002A01018,2020-03-27,1070.06
1021,RELIANCE,EQ,N,1074.8,1020.0,1040.6,1030.45,1031.5,1065.6,13820286,14430304002.65,1617.55,875.65,386770,INE002A01018,2020-03-30,1044.14
1022,RELIANCE,EQ,N,1129.8,1048.0,1073.95,1113.75,1100.0,1030.45,20249909,22140676568.55,1617.55,875.65,506536,INE002A01018,2020-03-31,1093.37
1023,RELIANCE,EQ,N,1124.6,1045.2,1122.25,1080.45,1084.0,1113.75,19017099,20402365414.2,1617.55,875.65,414675,INE002A01018,2020-04-01,1072.84
1024,RELIANCE,EQ,N,1134.45,1056.3,1134.45,1077.45,1088.0,1080.45,18912044,20378095229.65,1617.55,875.65,519365,INE002A01018,2020-04-03,1077.52
1025,RELIANCE,EQ,N,1214.0,1100.0,1102.1,1206.1,1211.0,1077.45,24859057,28867992303.7,1617.55,875.65,556669,INE002A01018,2020-04-07,1161.27
1026,RELIANCE,EQ,N,1229.0,1160.0,1180.0,1192.15,1197.0,1206.1,22803774,27241443067.9,1617.55,875.65,538577,INE002A01018,2020-04-08,1194.6
1027,RELIANCE,EQ,N,1232.8,1193.0,1214.0,1219.95,1217.75,1192.15,15101711,18347214247.3,1617.55,875.65,368355,INE002A01018,2020-04-09,1214.91
968,RELIANCE,EQ,N,1215.0,1180.0,1203.95,1189.15,1192.5,1219.95,10822871,12896993488.1,1617.55,875.65,263593,INE002A01018,2020-04-13,1191.64
969,RELIANCE,EQ,N,1236.0,1143.0,1197.05,1149.85,1157.5,1189.15,16147959,19243981630.6,1617.55,875.65,404270,INE002A01018,2020-04-15,1191.73
970,RELIANCE,EQ,N,1187.45,1145.0,1149.85,1168.05,1170.0,1149.85,17123533,20071955511.5,1617.55,875.65,387003,INE002A01018,2020-04-16,1172.19
971,RELIANCE,EQ,N,1230.0,1192.65,1216.0,1224.0,1229.9,1168.05,15209707,18375116205.0,1617.55,875.65,322391,INE002A01018,2020-04-17,1208.12
972,RELIANCE,EQ,N,1257.0,1202.0,1226.0,1243.8,1248.1,1224.0,16472339,20240404168.15,1617.55,875.65,365965,INE002A01018,2020-04-20,1228.75
973,RELIANCE,EQ,N,1252.0,1164.0,1210.0,1237.35,1251.5,1243.8,28057706,33783478000.15,1617.55,875.65,573205,INE002A01018,2020-04-21,1204.07
974,RELIANCE,EQ,N,1384.9,1300.0,1320.0,1363.6,1359.0,1237.35,65230894,87505942711.4,1617.55,875.65,1194059,INE002A01018,2020-04-22,1341.48
975,RELIANCE,EQ,N,1385.85,1353.3,1367.35,1370.9,1370.15,1363.6,29928331,40974916120.55,1617.55,875.65,612506,INE002A01018,2020-04-23,1369.1
976,RELIANCE,EQ,N,1494.95,1347.2,1350.15,1417.0,1425.8,1370.9,61711388,88350296135.65,1617.55,875.65,1154959,INE002A01018,2020-04-24,1431.67
977,RELIANCE,EQ,N,1475.0,1423.0,1434.0,1429.75,1431.0,1417.0,26736512,38722699504.95,1617.55,875.65,594518,INE002A01018,2020-04-27,1448.31
978,RELIANCE,EQ,N,1455.45,1392.15,1450.0,1428.15,1430.0,1429.75,35866381,50974111340.65,1617.55,875.65,746066,INE002A01018,2020-04-28,1421.22
979,RELIANCE,EQ,N,1453.65,1420.0,1444.9,1426.95,1427.0,1428.15,17141540,24622404116.35,1617.55,875.65,389293,INE002A01018,2020-04-29,1436.42
980,RELIANCE,EQ,N,1494.95,1438.05,1453.95,1466.0,1464.0,1426.95,32617901,47879255960.05,1617.55,875.65,663204,INE002A01018,2020-04-30,1467.88
981,RELIANCE,EQ,N,1465.0,1417.45,1440.0,1435.2,1435.0,1466.0,24439240,35264364750.75,1617.55,875.65,544309,INE002A01018,2020-05-04,1442.94
982,RELIANCE,EQ,N,1479.0,1447.2,1453.7,1460.65,1462.65,1435.2,20528706,30058697949.35,1617.55,875.65,412545,INE002A01018,2020-05-05,1464.23
983,RELIANCE,EQ,N,1484.95,1445.5,1464.0,1460.75,1461.5,1460.65,18510304,27183196663.05,1617.55,875.65,425042,INE002A01018,2020-05-06,1468.54
984,RELIANCE,EQ,N,1513.65,1445.0,1455.0,1506.95,1512.0,1460.75,22871529,33961065996.95,1617.55,875.65,465254,INE002A01018,2020-05-07,1484.86
985,RELIANCE,EQ,N,1579.9,1537.1,1545.0,1561.8,1559.45,1506.95,38522385,60118628770.5,1617.55,875.65,727915,INE002A01018,2020-05-08,1560.62
986,RELIANCE,EQ,N,1615.0,1572.3,1580.0,1576.8,1575.0,1561.8,30670404,48854566347.85,1617.55,875.65,576001,INE002A01018,2020-05-11,1592.89
987,RELIANCE,EQ,N,1568.35,1465.0,1564.8,1479.25,1486.45,1576.8,46029119,69568011663.15,1617.55,875.65,807575,INE002A01018,2020-05-12,1511.39
988,RELIANCE,EQ,N,1527.0,1454.0,1527.0,1496.45,1492.5,1479.25,30658051,45407632804.0,1617.55,875.65,615366,INE002A01018,2020-05-13,1481.1
989,RELIANCE,EQ,N,1496.7,1430.05,1469.0,1435.95,1437.0,1496.45,22736714,33141191470.35,1617.55,875.65,494402,INE002A01018,2020-05-14,1457.61
990,RELIANCE,EQ,N,1466.7,1415.1,1444.0,1459.4,1453.2,1435.95,28683432,41299828010.1,1617.55,875.65,592403,INE002A01018,2020-05-15,1439.85
991,RELIANCE,EQ,N,1482.0,1428.0,1470.0,1440.75,1442.55,1459.4,28981620,42106270200.25,1617.55,875.65,575336,INE002A01018,2020-05-18,1452.86
992,RELIANCE,EQ,N,1461.7,1403.25,1457.0,1408.9,1409.1,1440.75,19529216,28057214575.2,1617.55,875.65,424987,INE002A01018,2020-05-19,1436.68
993,RELIANCE,EQ,N,1446.85,1393.0,1410.0,1433.7,1437.4,1408.9,25530692,36419940581.5,1617.55,875.65,446373,INE002A01018,2020-05-20,1426.52
941,RELIANCE,EQ,N,1461.45,1425.0,1435.0,1441.25,1440.0,1433.7,18077196,26102458753.25,1617.55,875.65,353235,INE002A01018,2020-05-21,1443.94
942,RELIANCE,EQ,N,1458.0,1426.5,1451.8,1431.55,1433.0,1441.25,17458503,25180593225.25,1617.55,875.65,388907,INE002A01018,2020-05-22,1442.31
943,RELIANCE,EQ,N,1449.7,1416.3,1448.15,1424.05,1426.0,1431.55,15330793,21903166112.45,1617.55,875.65,341795,INE002A01018,2020-05-26,1428.7
944,RELIANCE,EQ,N,1454.0,1412.0,1431.0,1445.55,1449.85,1424.05,16460764,23542230514.25,1617.55,875.65,348477,INE002A01018,2020-05-27,1430.2
945,RELIANCE,EQ,N,1479.75,1449.0,1455.0,1472.25,1471.05,1445.55,18519252,27176980636.4,1617.55,875.65,405603,INE002A01018,2020-05-28,1467.5
946,RELIANCE,EQ,N,1472.0,1452.65,1468.0,1464.4,1470.0,1472.25,18471770,27020285851.4,1617.55,875.65,300018,INE002A01018,2020-05-29,1462.79
947,RELIANCE,EQ,N,1538.35,1475.95,1480.0,1520.35,1521.9,1464.4,18434065,27890475620.1,1617.55,875.65,354436,INE002A01018,2020-06-01,1512.99
948,RELIANCE,EQ,N,1540.0,1520.8,1526.0,1535.7,1537.95,1520.35,10224102,15660044883.85,1617.55,875.65,224472,INE002A01018,2020-06-02,1531.68
949,RELIANCE,EQ,N,1560.0,1533.35,1545.0,1541.65,1543.0,1535.7,11713666,18082824556.4,1617.55,875.65,227825,INE002A01018,2020-06-03,1543.74
950,RELIANCE,EQ,N,1589.5,1541.0,1544.0,1579.8,1576.0,1541.65,15784612,24785560880.55,1617.55,875.65,356122,INE002A01018,2020-06-04,1570.24
951,RELIANCE,EQ,N,1618.0,1573.7,1595.0,1581.7,1579.2,1579.8,15270435,24377905391.85,1618.0,875.65,339237,INE002A01018,2020-06-05,1596.41
952,RELIANCE,EQ,N,1618.4,1565.0,1618.4,1569.5,1571.8,1581.7,14498055,23026897486.7,1618.4,875.65,322987,INE002A01018,2020-06-08,1588.27
953,RELIANCE,EQ,N,1583.0,1533.0,1560.3,1537.15,1535.9,1569.5,11934073,18568335407.3,1618.4,875.65,307011,INE002A01018,2020-06-09,1555.91
954,RELIANCE,EQ,N,1579.55,1540.05,1543.1,1572.15,1575.0,1537.15,10214426,15901058050.65,1618.4,875.65,262174,INE002A01018,2020-06-10,1556.73
955,RELIANCE,EQ,N,1567.95,1531.0,1566.0,1537.7,1538.8,1572.15,9408283,14548302924.85,1618.4,875.65,269490,INE002A01018,2020-06-11,1546.33
956,RELIANCE,EQ,N,1593.0,1497.0,1500.0,1588.8,1588.7,1537.7,17790565,27623018097.7,1618.4,875.65,337575,INE002A01018,2020-06-12,1552.68
957,RELIANCE,EQ,N,1626.95,1561.1,1565.0,1614.55,1612.3,1588.8,24509162,39052737198.75,1626.95,875.65,467105,INE002A01018,2020-06-15,1593.39
958,RELIANCE,EQ,N,1648.55,1585.3,1643.0,1617.7,1614.05,1614.55,23623299,38202982642.7,1648.55,875.65,424919,INE002A01018,2020-06-16,1617.17
959,RELIANCE,EQ,N,1635.45,1602.1,1608.25,1615.35,1611.85,1617.7,19282519,31211518938.2,1648.55,875.65,299203,INE002A01018,2020-06-17,1618.64
960,RELIANCE,EQ,N,1665.0,1605.6,1607.0,1655.9,1662.9,1615.35,18677694,30564098282.65,1665.0,875.65,327308,INE002A01018,2020-06-18,1636.4
961,RELIANCE,EQ,N,1788.8,1662.0,1670.0,1759.4,1763.2,1655.9,48828852,84344321446.8,1788.8,875.65,752773,INE002A01018,2020-06-19,1727.35
962,RELIANCE,EQ,N,1804.2,1735.0,1773.4,1746.15,1752.5,1759.4,27781772,49206651889.2,1804.2,875.65,613265,INE002A01018,2020-06-22,1771.18
963,RELIANCE,EQ,N,1763.75,1716.1,1750.0,1720.9,1721.7,1746.15,17521196,30344310521.95,1804.2,875.65,400333,INE002A01018,2020-06-23,1731.86
964,RELIANCE,EQ,N,1772.7,1711.7,1735.9,1727.85,1732.5,1720.9,23808524,41418523475.35,1804.2,875.65,488048,INE002A01018,2020-06-24,1739.65
965,RELIANCE,EQ,N,1749.0,1713.05,1727.0,1717.9,1719.0,1727.85,18312705,31651803892.75,1804.2,875.65,318478,INE002A01018,2020-06-25,1728.41
966,RELIANCE,EQ,N,1752.0,1717.0,1728.8,1741.65,1750.0,1717.9,14270695,24715505750.7,1804.2,875.65,279769,INE002A01018,2020-06-26,1731.91
967,RELIANCE,EQ,N,1739.75,1715.55,1728.05,1723.15,1722.7,1741.65,11825126,20391055541.05,1804.2,875.65,225499,INE002A01018,2020-06-29,1724.38
911,RELIANCE,EQ,N,1741.0,1695.55,1737.0,1704.1,1707.5,1723.15,13973038,24007093966.15,1804.2,875.65,277133,INE002A01018,2020-06-30,1718.1
912,RELIANCE,EQ,N,1749.0,1708.05,1720.0,1737.6,1736.25,1704.1,13136706,22726570310.95,1804.2,875.65,256982,INE002A01018,2020-07-01,1730.01
