,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SAIL,EQ,N,37.2,34.15,36.65,34.9,34.65,35.55,30887100,1117381435.75,60.2,29.55,39275,INE114A01011,2020-03-02,36.18
996,SAIL,EQ,N,36.5,35.1,35.45,36.0,36.15,34.9,25225572,898633185.9,60.2,29.55,37605,INE114A01011,2020-03-03,35.62
1001,SAIL,EQ,N,36.4,34.05,36.15,34.85,34.9,36.0,37654957,1312729719.8,60.2,29.55,36778,INE114A01011,2020-03-04,34.86
1007,SAIL,EQ,N,35.65,34.05,35.3,34.2,34.3,34.85,36583370,1268369814.3,60.2,29.55,36648,INE114A01011,2020-03-05,34.67
1008,SAIL,EQ,N,33.5,31.9,32.8,33.0,33.0,34.2,22839018,747609601.8,60.2,29.55,26622,INE114A01011,2020-03-06,32.73
1009,SAIL,EQ,N,32.1,29.05,32.0,29.8,29.75,33.0,33096753,1013699061.9,60.2,29.05,38508,INE114A01011,2020-03-09,30.63
1010,SAIL,EQ,N,30.4,28.5,29.2,28.75,28.65,29.8,36530555,1079379911.0,60.2,28.5,42290,INE114A01011,2020-03-11,29.55
1011,SAIL,EQ,N,27.35,24.5,27.0,24.7,24.9,28.75,46930409,1196867167.9,60.2,24.5,53435,INE114A01011,2020-03-12,25.5
1012,SAIL,EQ,N,30.45,21.4,22.8,29.55,29.7,24.7,65615251,1745485877.45,60.2,21.4,82780,INE114A01011,2020-03-13,26.6
1013,SAIL,EQ,N,28.6,25.15,27.05,27.25,27.2,29.55,34356130,952438867.85,60.2,21.4,65814,INE114A01011,2020-03-16,27.72
