,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SBIN,EQ,N,312.0,284.05,311.0,287.4,287.6,303.0,66711413,20021133661.15,373.8,244.35,374435,INE062A01020,2020-03-02,300.12
996,SBIN,EQ,N,294.4,285.3,293.0,289.85,290.5,287.4,61949382,17932087255.25,373.8,244.35,351083,INE062A01020,2020-03-03,289.46
1000,SBIN,EQ,N,293.0,275.1,291.8,285.3,284.95,289.85,73675736,20860146300.1,373.8,244.35,369109,INE062A01020,2020-03-04,283.13
1006,SBIN,EQ,N,298.4,270.0,290.9,288.5,287.55,285.3,149245973,42709961201.1,373.8,244.35,705570,INE062A01020,2020-03-05,286.17
1007,SBIN,EQ,N,274.4,253.95,268.0,270.5,269.8,288.5,106043172,28514340665.6,373.8,244.35,538814,INE062A01020,2020-03-06,268.89
1008,SBIN,EQ,N,262.75,251.15,260.05,253.45,252.3,270.5,101294751,25986612245.3,373.8,244.35,539589,INE062A01020,2020-03-09,256.54
1009,SBIN,EQ,N,258.5,243.1,253.0,245.1,244.25,253.45,90847179,22774582918.95,373.8,243.1,473850,INE062A01020,2020-03-11,250.69
1010,SBIN,EQ,N,231.9,208.6,231.9,212.6,215.4,245.1,99770256,22014550023.85,373.8,208.6,582694,INE062A01020,2020-03-12,220.65
1011,SBIN,EQ,N,248.8,184.65,200.0,242.0,244.25,212.6,155703140,35324093331.7,373.8,184.65,908228,INE062A01020,2020-03-13,226.87
1012,SBIN,EQ,N,231.4,220.6,227.9,223.35,223.35,242.0,75584607,17070605991.9,373.8,184.65,520840,INE062A01020,2020-03-16,225.85
1013,SBIN,EQ,N,229.9,212.05,227.2,215.15,213.9,223.35,65414721,14602255592.95,373.8,184.65,437283,INE062A01020,2020-03-17,223.23
1014,SBIN,EQ,N,223.15,200.1,221.0,215.2,215.75,215.15,101405421,21236030167.45,373.8,184.65,627917,INE062A01020,2020-03-18,209.42
1015,SBIN,EQ,N,219.75,198.15,202.95,203.65,203.45,215.2,93535977,19402663475.75,373.8,184.65,617960,INE062A01020,2020-03-19,207.44
1016,SBIN,EQ,N,215.7,200.0,205.55,209.85,208.85,203.65,77393021,16168344317.8,373.8,184.65,470053,INE062A01020,2020-03-20,208.91
1017,SBIN,EQ,N,199.5,180.25,190.0,181.6,181.95,209.85,61751758,11526464685.55,373.8,180.25,613264,INE062A01020,2020-03-23,186.66
1018,SBIN,EQ,N,191.95,173.55,190.95,183.2,185.4,181.6,67492010,12413785195.85,373.8,173.55,512638,INE062A01020,2020-03-24,183.93
1019,SBIN,EQ,N,195.25,176.45,178.0,189.9,190.6,183.2,71568237,13275864829.35,373.8,173.55,512710,INE062A01020,2020-03-25,185.5
1020,SBIN,EQ,N,201.0,185.1,191.55,192.75,193.25,189.9,107260674,20776414217.25,373.8,173.55,622633,INE062A01020,2020-03-26,193.7
1021,SBIN,EQ,N,211.9,195.0,202.0,195.95,195.15,192.75,114746995,23187440587.15,373.8,173.55,777296,INE062A01020,2020-03-27,202.07
