,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SRTRANSFIN,EQ,N,1358.15,1225.0,1225.0,1283.6,1310.0,1196.3,2613993,3327782717.6,1367.0,909.05,94783,INE721A01013,2020-03-02,1273.06
996,SRTRANSFIN,EQ,N,1304.75,1251.0,1285.75,1257.1,1264.0,1283.6,1656709,2116503571.1,1367.0,909.05,45647,INE721A01013,2020-03-03,1277.53
1001,SRTRANSFIN,EQ,N,1269.9,1126.7,1269.9,1165.35,1165.1,1257.1,5194669,6122546973.6,1367.0,909.05,110249,INE721A01013,2020-03-04,1178.62
1006,SRTRANSFIN,EQ,N,1199.0,1127.35,1177.0,1174.65,1170.5,1165.35,3595642,4192481155.55,1367.0,909.05,88942,INE721A01013,2020-03-05,1165.99
1007,SRTRANSFIN,EQ,N,1129.0,998.65,1126.0,1105.3,1104.9,1174.65,3430832,3719377294.4,1367.0,909.05,89284,INE721A01013,2020-03-06,1084.1
1008,SRTRANSFIN,EQ,N,1058.25,977.05,1047.0,987.65,977.05,1105.3,3544596,3589749154.05,1367.0,909.05,95304,INE721A01013,2020-03-09,1012.74
1009,SRTRANSFIN,EQ,N,1015.45,951.3,960.1,988.15,981.0,987.65,2795460,2777147008.1,1367.0,909.05,76238,INE721A01013,2020-03-11,993.45
1010,SRTRANSFIN,EQ,N,958.0,830.6,958.0,841.4,849.0,988.15,3084249,2743960584.65,1367.0,830.6,76045,INE721A01013,2020-03-12,889.67
1011,SRTRANSFIN,EQ,N,878.45,716.85,763.0,826.0,830.0,841.4,2748453,2228623237.15,1367.0,716.85,116759,INE721A01013,2020-03-13,810.86
1012,SRTRANSFIN,EQ,N,853.15,748.85,788.0,763.65,758.15,826.0,3081573,2484527377.5,1367.0,716.85,84969,INE721A01013,2020-03-16,806.25
1013,SRTRANSFIN,EQ,N,829.35,763.0,765.0,776.9,781.65,763.65,3440837,2737568316.5,1367.0,716.85,123349,INE721A01013,2020-03-17,795.61
1014,SRTRANSFIN,EQ,N,799.5,677.1,799.5,687.3,689.0,776.9,3406105,2485246173.15,1367.0,677.1,149863,INE721A01013,2020-03-18,729.64
1015,SRTRANSFIN,EQ,N,731.2,586.0,660.0,622.65,618.1,687.3,3648384,2384871960.8,1367.0,586.0,109448,INE721A01013,2020-03-19,653.68
1016,SRTRANSFIN,EQ,N,664.75,569.8,637.0,580.9,588.0,622.65,4242418,2612626675.85,1367.0,569.8,119653,INE721A01013,2020-03-20,615.83
1017,SRTRANSFIN,EQ,N,550.0,440.0,522.85,452.05,464.2,580.9,2208926,1065747894.4,1367.0,440.0,67919,INE721A01013,2020-03-23,482.47
1018,SRTRANSFIN,EQ,N,518.55,441.05,448.0,484.9,480.2,452.05,3570811,1722686988.5,1367.0,440.0,129379,INE721A01013,2020-03-24,482.44
1019,SRTRANSFIN,EQ,N,580.0,453.4,460.0,567.0,560.0,484.9,2622518,1368071469.7,1367.0,440.0,72592,INE721A01013,2020-03-25,521.66
1020,SRTRANSFIN,EQ,N,680.4,556.0,589.0,651.4,651.0,567.0,3716649,2387320556.75,1367.0,440.0,102895,INE721A01013,2020-03-26,642.33
1021,SRTRANSFIN,EQ,N,814.25,680.2,681.4,725.2,741.0,651.4,3927232,2900202170.7,1367.0,440.0,127425,INE721A01013,2020-03-27,738.49
1022,SRTRANSFIN,EQ,N,695.85,580.2,690.0,609.4,605.4,725.2,3645190,2318550333.4,1367.0,440.0,99187,INE721A01013,2020-03-30,636.06
1023,SRTRANSFIN,EQ,N,670.3,605.0,643.0,660.65,651.0,609.4,3775015,2453233211.8,1367.0,440.0,112621,INE721A01013,2020-03-31,649.86
1024,SRTRANSFIN,EQ,N,668.9,607.05,645.1,621.65,623.9,660.65,2838641,1792782155.35,1367.0,440.0,90438,INE721A01013,2020-04-01,631.56
1025,SRTRANSFIN,EQ,N,634.7,515.0,634.7,520.65,522.0,621.65,5220755,3001780994.25,1367.0,440.0,124986,INE721A01013,2020-04-03,574.97
1026,SRTRANSFIN,EQ,N,564.4,500.1,535.6,538.25,535.5,520.65,6773778,3585561927.55,1367.0,440.0,193638,INE721A01013,2020-04-07,529.33
1027,SRTRANSFIN,EQ,N,609.0,513.2,525.0,595.45,603.05,538.25,5213667,3005605196.65,1367.0,440.0,169446,INE721A01013,2020-04-08,576.49
1028,SRTRANSFIN,EQ,N,680.7,608.05,626.0,675.95,674.5,595.45,3406781,2229161377.4,1367.0,440.0,103918,INE721A01013,2020-04-09,654.33
968,SRTRANSFIN,EQ,N,696.85,620.2,655.95,645.1,644.75,675.95,3088428,2016996004.65,1367.0,440.0,84454,INE721A01013,2020-04-13,653.08
969,SRTRANSFIN,EQ,N,707.0,640.55,651.0,662.75,670.5,645.1,3312255,2247152817.85,1367.0,440.0,121115,INE721A01013,2020-04-15,678.44
970,SRTRANSFIN,EQ,N,699.9,642.9,651.0,681.25,689.0,662.75,4413970,2990653559.8,1367.0,440.0,109187,INE721A01013,2020-04-16,677.54
971,SRTRANSFIN,EQ,N,817.5,705.0,725.0,802.05,817.5,681.25,4459547,3392790054.25,1367.0,440.0,128204,INE721A01013,2020-04-17,760.79
972,SRTRANSFIN,EQ,N,823.0,682.0,810.0,685.05,684.0,802.05,7597909,5480796723.1,1367.0,440.0,233515,INE721A01013,2020-04-20,721.36
973,SRTRANSFIN,EQ,N,674.7,578.3,652.0,588.6,586.0,685.05,7399913,4493484033.9,1367.0,440.0,227133,INE721A01013,2020-04-21,607.23
974,SRTRANSFIN,EQ,N,622.9,566.0,599.0,606.05,613.0,588.6,9173748,5495215727.05,1367.0,440.0,248391,INE721A01013,2020-04-22,599.02
975,SRTRANSFIN,EQ,N,660.0,613.0,613.0,643.6,638.0,606.05,4908292,3157740794.15,1367.0,440.0,160111,INE721A01013,2020-04-23,643.35
976,SRTRANSFIN,EQ,N,699.0,579.25,610.0,668.2,665.0,643.6,12862840,8379516567.75,1367.0,440.0,356718,INE721A01013,2020-04-24,651.45
977,SRTRANSFIN,EQ,N,685.9,637.0,671.0,642.05,645.6,668.2,5905615,3888267768.65,1367.0,440.0,173827,INE721A01013,2020-04-27,658.4
978,SRTRANSFIN,EQ,N,702.0,651.3,659.0,695.3,694.0,642.05,4804312,3250253601.2,1367.0,440.0,109338,INE721A01013,2020-04-28,676.53
979,SRTRANSFIN,EQ,N,716.4,681.95,703.0,697.15,688.8,695.3,4769141,3334145945.95,1367.0,440.0,116889,INE721A01013,2020-04-29,699.11
980,SRTRANSFIN,EQ,N,799.55,710.0,715.1,781.0,790.0,697.15,6777000,5121770011.3,1367.0,440.0,179631,INE721A01013,2020-04-30,755.76
981,SRTRANSFIN,EQ,N,763.9,690.2,740.0,747.4,759.0,781.0,5837828,4230657310.75,1367.0,440.0,138635,INE721A01013,2020-05-04,724.7
982,SRTRANSFIN,EQ,N,787.55,726.1,768.65,739.6,739.65,747.4,5098606,3841675107.05,1367.0,440.0,117664,INE721A01013,2020-05-05,753.48
983,SRTRANSFIN,EQ,N,795.0,721.75,733.95,781.25,780.0,739.6,4975451,3767149725.35,1367.0,440.0,128413,INE721A01013,2020-05-06,757.15
984,SRTRANSFIN,EQ,N,807.0,745.15,771.0,755.6,753.0,781.25,3933507,3069810016.2,1367.0,440.0,95167,INE721A01013,2020-05-07,780.43
985,SRTRANSFIN,EQ,N,789.0,733.35,774.5,744.4,742.7,755.6,3034306,2305048416.3,1367.0,440.0,72773,INE721A01013,2020-05-08,759.66
986,SRTRANSFIN,EQ,N,767.9,726.05,759.8,736.15,738.1,744.4,2682671,1997595073.55,1367.0,440.0,66623,INE721A01013,2020-05-11,744.63
987,SRTRANSFIN,EQ,N,709.35,644.0,709.0,670.1,670.0,736.15,7482260,4996602477.15,1367.0,440.0,200462,INE721A01013,2020-05-12,667.79
988,SRTRANSFIN,EQ,N,722.95,663.6,703.1,671.65,678.25,670.1,6014788,4104391160.4,1367.0,440.0,126471,INE721A01013,2020-05-13,682.38
989,SRTRANSFIN,EQ,N,720.0,642.15,695.05,648.2,648.25,671.65,10127178,6858665373.05,1367.0,440.0,215406,INE721A01013,2020-05-14,677.25
990,SRTRANSFIN,EQ,N,659.9,626.25,641.75,641.35,641.0,648.2,6366393,4113476041.15,1367.0,440.0,158958,INE721A01013,2020-05-15,646.12
991,SRTRANSFIN,EQ,N,644.4,573.6,643.0,576.15,579.2,641.35,7038525,4164567801.2,1367.0,440.0,165227,INE721A01013,2020-05-18,591.68
992,SRTRANSFIN,EQ,N,621.0,576.55,588.0,587.1,587.0,576.15,9139859,5482851324.9,1367.0,440.0,179152,INE721A01013,2020-05-19,599.88
993,SRTRANSFIN,EQ,N,601.95,570.0,587.0,578.8,580.8,587.1,6194444,3605785043.25,1367.0,440.0,134476,INE721A01013,2020-05-20,582.1
941,SRTRANSFIN,EQ,N,595.85,570.2,581.0,575.05,574.0,578.8,4571464,2656641288.85,1367.0,440.0,102056,INE721A01013,2020-05-21,581.14
942,SRTRANSFIN,EQ,N,583.65,527.75,573.0,541.15,543.5,575.05,8729151,4797512845.9,1367.0,440.0,206981,INE721A01013,2020-05-22,549.6
943,SRTRANSFIN,EQ,N,558.8,532.0,550.1,538.0,539.95,541.15,4200368,2289007946.5,1367.0,440.0,114261,INE721A01013,2020-05-26,544.95
944,SRTRANSFIN,EQ,N,566.4,536.7,543.0,555.0,556.1,538.0,6954282,3858254031.75,1367.0,440.0,168468,INE721A01013,2020-05-27,554.8
945,SRTRANSFIN,EQ,N,582.9,559.5,565.0,567.5,564.7,555.0,6997789,3997592560.15,1367.0,440.0,134173,INE721A01013,2020-05-28,571.27
946,SRTRANSFIN,EQ,N,577.3,547.0,566.0,572.3,573.0,567.5,10278240,5794347149.85,1367.0,440.0,169488,INE721A01013,2020-05-29,563.75
947,SRTRANSFIN,EQ,N,604.3,575.5,585.0,579.95,578.55,572.3,9288738,5489252511.25,1367.0,440.0,145289,INE721A01013,2020-06-01,590.96
948,SRTRANSFIN,EQ,N,593.3,563.05,579.95,586.0,584.3,579.95,8552721,4951291137.25,1367.0,440.0,145840,INE721A01013,2020-06-02,578.91
949,SRTRANSFIN,EQ,N,641.0,597.7,601.0,616.85,615.0,586.0,12647740,7912444428.15,1367.0,440.0,237964,INE721A01013,2020-06-03,625.6
950,SRTRANSFIN,EQ,N,636.95,606.25,616.7,613.0,614.0,616.85,8466566,5241775107.05,1367.0,440.0,165530,INE721A01013,2020-06-04,619.11
951,SRTRANSFIN,EQ,N,626.2,600.4,623.4,614.9,617.0,613.0,6669720,4088383189.8,1367.0,440.0,94451,INE721A01013,2020-06-05,612.98
952,SRTRANSFIN,EQ,N,655.0,625.0,625.0,631.75,632.1,614.9,8341910,5350974030.35,1367.0,440.0,140473,INE721A01013,2020-06-08,641.46
953,SRTRANSFIN,EQ,N,650.95,613.0,636.9,619.6,614.0,631.75,6592319,4183412354.6,1367.0,440.0,112592,INE721A01013,2020-06-09,634.59
954,SRTRANSFIN,EQ,N,641.7,612.1,622.6,635.0,636.9,619.6,5741623,3598033038.55,1367.0,440.0,98837,INE721A01013,2020-06-10,626.66
955,SRTRANSFIN,EQ,N,676.0,615.25,615.25,637.9,638.0,635.0,15362637,10018198305.65,1367.0,440.0,261217,INE721A01013,2020-06-11,652.11
956,SRTRANSFIN,EQ,N,693.7,606.0,615.0,684.4,687.0,637.9,12250897,8025936517.2,1367.0,440.0,197223,INE721A01013,2020-06-12,655.13
957,SRTRANSFIN,EQ,N,707.55,664.0,690.0,672.8,670.0,684.4,11356019,7749895599.4,1367.0,440.0,176742,INE721A01013,2020-06-15,682.45
958,SRTRANSFIN,EQ,N,699.0,638.45,698.0,655.45,652.3,672.8,9649020,6417895757.35,1367.0,440.0,159033,INE721A01013,2020-06-16,665.13
959,SRTRANSFIN,EQ,N,665.55,641.0,649.0,648.05,648.0,655.45,6280324,4094061021.4,1367.0,440.0,109044,INE721A01013,2020-06-17,651.89
960,SRTRANSFIN,EQ,N,670.8,641.0,647.95,666.6,665.9,648.05,4044795,2661170669.25,1367.0,440.0,62586,INE721A01013,2020-06-18,657.92
961,SRTRANSFIN,EQ,N,692.15,655.55,667.2,658.85,664.9,666.6,6826245,4599521245.45,1367.0,440.0,114813,INE721A01013,2020-06-19,673.8
962,SRTRANSFIN,EQ,N,686.95,665.5,673.4,672.25,675.0,658.85,4451259,3008705460.3,1367.0,440.0,79293,INE721A01013,2020-06-22,675.92
963,SRTRANSFIN,EQ,N,686.0,670.05,683.0,683.95,683.05,672.25,3451036,2349080407.0,1367.0,440.0,56433,INE721A01013,2020-06-23,680.69
964,SRTRANSFIN,EQ,N,718.6,678.0,690.0,682.25,680.3,683.95,9187903,6457894737.65,1367.0,440.0,153587,INE721A01013,2020-06-24,702.87
965,SRTRANSFIN,EQ,N,694.65,668.0,675.55,690.45,691.5,682.25,4051255,2769800739.3,1367.0,440.0,72182,INE721A01013,2020-06-25,683.69
966,SRTRANSFIN,EQ,N,734.0,698.1,702.0,704.9,706.0,690.45,8976114,6432913600.65,1367.0,440.0,158834,INE721A01013,2020-06-26,716.67
967,SRTRANSFIN,EQ,N,701.75,684.2,699.8,690.6,690.4,704.9,3781753,2610427691.45,1367.0,440.0,67938,INE721A01013,2020-06-29,690.27
911,SRTRANSFIN,EQ,N,708.45,684.55,704.2,689.6,691.0,690.6,2851856,1974021625.3,1367.0,440.0,62795,INE721A01013,2020-06-30,692.19
912,SRTRANSFIN,EQ,N,710.0,685.05,692.65,701.35,701.95,689.6,3733942,2618365066.6,1367.0,440.0,65537,INE721A01013,2020-07-01,701.23
913,SRTRANSFIN,EQ,N,713.5,691.25,707.3,697.95,698.0,701.35,2583516,1808867765.7,1367.0,440.0,48724,INE721A01013,2020-07-02,700.16
914,SRTRANSFIN,EQ,N,708.0,689.05,704.7,696.0,694.35,697.95,2763971,1929716264.55,1367.0,440.0,42697,INE721A01013,2020-07-03,698.17
915,SRTRANSFIN,EQ,N,712.95,691.0,705.5,697.6,696.0,696.0,2593780,1817471753.7,1367.0,440.0,42010,INE721A01013,2020-07-06,700.7
916,SRTRANSFIN,EQ,N,728.65,694.85,700.0,723.85,724.0,697.6,9365691,6674567053.8,1367.0,440.0,178317,INE721A01013,2020-07-07,712.66
917,SRTRANSFIN,EQ,N,784.35,730.0,730.0,757.9,757.0,723.85,13620840,10415539908.3,1367.0,440.0,238251,INE721A01013,2020-07-08,764.68
918,SRTRANSFIN,EQ,N,769.0,714.0,748.0,721.4,722.85,757.9,6184973,4541006593.8,1367.0,440.0,108866,INE721A01013,2020-07-09,734.2
