,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SIEMENS,EQ,N,1355.7,1297.0,1320.0,1310.65,1311.0,1303.75,417758,556579249.8,1717.45,998.5,30333,INE003A01024,2020-03-02,1332.3
996,SIEMENS,EQ,N,1362.75,1301.15,1319.15,1356.45,1357.0,1310.65,556071,740640393.15,1717.45,998.5,37818,INE003A01024,2020-03-03,1331.92
1000,SIEMENS,EQ,N,1369.0,1310.65,1369.0,1333.85,1332.4,1356.45,486589,648310039.65,1717.45,998.5,26331,INE003A01024,2020-03-04,1332.36
1005,SIEMENS,EQ,N,1353.0,1320.0,1336.1,1335.4,1337.75,1333.85,461450,616282216.7,1717.45,998.5,23140,INE003A01024,2020-03-05,1335.53
1006,SIEMENS,EQ,N,1342.75,1290.55,1301.0,1339.0,1337.0,1335.4,381404,505874130.35,1717.45,998.5,25390,INE003A01024,2020-03-06,1326.35
1007,SIEMENS,EQ,N,1319.95,1268.2,1314.8,1286.6,1282.0,1339.0,576565,743949251.95,1717.45,1018.1,21713,INE003A01024,2020-03-09,1290.31
1008,SIEMENS,EQ,N,1295.05,1260.5,1275.0,1285.6,1284.85,1286.6,800870,1024858877.85,1717.45,1018.1,32126,INE003A01024,2020-03-11,1279.68
1009,SIEMENS,EQ,N,1258.0,1150.05,1255.0,1180.25,1190.7,1285.6,782047,932322810.9,1717.45,1018.1,31584,INE003A01024,2020-03-12,1192.16
1010,SIEMENS,EQ,N,1290.0,1003.25,1082.2,1213.65,1230.0,1180.25,578139,675827879.25,1717.45,1003.25,29126,INE003A01024,2020-03-13,1168.97
1011,SIEMENS,EQ,N,1184.05,1139.45,1165.0,1148.25,1142.65,1213.65,677424,789412219.85,1717.45,1003.25,35670,INE003A01024,2020-03-16,1165.31
1012,SIEMENS,EQ,N,1207.8,1125.05,1153.0,1135.95,1136.9,1148.25,466454,545671632.05,1717.45,1003.25,45971,INE003A01024,2020-03-17,1169.83
1013,SIEMENS,EQ,N,1168.4,1084.35,1144.0,1117.95,1124.45,1135.95,596371,667272079.35,1717.45,1003.25,49818,INE003A01024,2020-03-18,1118.89
1014,SIEMENS,EQ,N,1156.8,1041.4,1086.0,1113.2,1113.2,1117.95,379853,419037246.25,1717.45,1003.25,37375,INE003A01024,2020-03-19,1103.16
1015,SIEMENS,EQ,N,1178.8,1085.0,1120.55,1169.55,1165.0,1113.2,468536,534074977.65,1717.45,1003.25,65362,INE003A01024,2020-03-20,1139.88
1016,SIEMENS,EQ,N,1157.45,947.9,1085.0,996.05,1022.05,1169.55,313855,321943210.95,1717.45,947.9,15117,INE003A01024,2020-03-23,1025.77
1017,SIEMENS,EQ,N,1069.9,991.0,991.0,1018.8,1018.85,996.05,320208,331256576.25,1717.45,947.9,50165,INE003A01024,2020-03-24,1034.5
1018,SIEMENS,EQ,N,1066.65,1010.15,1018.8,1049.25,1047.7,1018.8,376688,392036224.3,1717.45,947.9,52931,INE003A01024,2020-03-25,1040.75
1019,SIEMENS,EQ,N,1139.0,1069.9,1070.0,1090.6,1089.0,1049.25,330508,365360213.6,1717.45,947.9,53290,INE003A01024,2020-03-26,1105.45
1020,SIEMENS,EQ,N,1166.8,1031.35,1148.0,1044.15,1060.65,1090.6,334071,363856296.3,1717.45,947.9,52806,INE003A01024,2020-03-27,1089.16
1021,SIEMENS,EQ,N,1093.55,1020.65,1038.45,1080.95,1087.75,1044.15,357389,382265070.65,1717.45,947.9,35495,INE003A01024,2020-03-30,1069.61
1022,SIEMENS,EQ,N,1143.0,1088.9,1095.0,1113.4,1111.0,1080.95,855428,960575658.05,1717.45,947.9,44537,INE003A01024,2020-03-31,1122.92
1023,SIEMENS,EQ,N,1124.8,1065.1,1115.0,1085.2,1089.0,1113.4,283429,308535724.3,1717.45,947.9,29901,INE003A01024,2020-04-01,1088.58
1024,SIEMENS,EQ,N,1096.3,1044.0,1096.3,1051.25,1055.0,1085.2,280441,299360247.55,1717.45,947.9,34365,INE003A01024,2020-04-03,1067.46
1025,SIEMENS,EQ,N,1121.7,1070.6,1092.0,1113.3,1098.6,1051.25,236238,260157143.55,1717.45,947.9,26260,INE003A01024,2020-04-07,1101.25
1026,SIEMENS,EQ,N,1175.0,1093.0,1110.95,1105.75,1102.0,1113.3,364654,410107590.05,1717.45,947.9,46241,INE003A01024,2020-04-08,1124.65
1027,SIEMENS,EQ,N,1180.0,1115.0,1116.0,1154.5,1160.0,1105.75,494729,569934006.0,1717.45,947.9,36848,INE003A01024,2020-04-09,1152.01
968,SIEMENS,EQ,N,1205.0,1125.0,1170.0,1183.25,1178.1,1154.5,664626,780043904.15,1717.45,947.9,46762,INE003A01024,2020-04-13,1173.66
969,SIEMENS,EQ,N,1253.45,1185.0,1185.0,1193.25,1186.65,1183.25,756827,929973188.4,1717.45,947.9,51945,INE003A01024,2020-04-15,1228.78
970,SIEMENS,EQ,N,1228.0,1171.45,1183.2,1210.0,1199.0,1193.25,709225,858770196.35,1717.45,947.9,49794,INE003A01024,2020-04-16,1210.86
971,SIEMENS,EQ,N,1245.0,1180.3,1245.0,1197.65,1196.0,1210.0,390125,468897998.1,1717.45,947.9,27613,INE003A01024,2020-04-17,1201.92
