,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SOLARINDS,EQ,N,1215.0,1140.0,1160.0,1147.7,1151.95,1158.0,6630,7679680.8,1349.0,980.3,1060,INE343H01029,2020-03-02,1158.32
996,SOLARINDS,EQ,N,1169.95,1130.55,1147.7,1139.55,1136.0,1147.7,514553,592889652.8,1349.0,980.3,1121,INE343H01029,2020-03-03,1152.24
1001,SOLARINDS,EQ,N,1155.0,1125.0,1155.0,1130.25,1127.0,1139.55,75918,86141071.9,1349.0,980.3,1268,INE343H01029,2020-03-04,1134.66
1007,SOLARINDS,EQ,N,1179.0,1125.3,1135.9,1139.0,1134.0,1130.25,12808,14818866.4,1349.0,980.3,696,INE343H01029,2020-03-05,1157.0
1008,SOLARINDS,EQ,N,1150.0,1112.55,1130.0,1132.5,1135.0,1139.0,5137,5776952.2,1349.0,980.3,621,INE343H01029,2020-03-06,1124.58
1009,SOLARINDS,EQ,N,1138.1,1083.0,1125.0,1112.9,1110.0,1132.5,82190,90509462.25,1349.0,993.65,2994,INE343H01029,2020-03-09,1101.22
1010,SOLARINDS,EQ,N,1125.0,1090.0,1090.0,1119.0,1120.0,1112.9,13746,15374053.95,1349.0,993.65,1409,INE343H01029,2020-03-11,1118.44
1011,SOLARINDS,EQ,N,1079.95,1025.0,1050.05,1037.05,1065.0,1119.0,57667,59830896.65,1349.0,993.65,6066,INE343H01029,2020-03-12,1037.52
1012,SOLARINDS,EQ,N,1100.0,950.0,1005.0,1071.7,1060.0,1037.05,15650,16221624.75,1349.0,950.0,1371,INE343H01029,2020-03-13,1036.53
1013,SOLARINDS,EQ,N,1065.0,960.0,1064.95,1039.7,1040.0,1071.7,69230,71295031.7,1349.0,950.0,3923,INE343H01029,2020-03-16,1029.83
1014,SOLARINDS,EQ,N,1038.0,995.0,1025.0,1020.25,995.05,1039.7,15874,16148501.35,1349.0,950.0,2297,INE343H01029,2020-03-17,1017.29
1015,SOLARINDS,EQ,N,1024.8,975.0,1010.05,1005.6,987.0,1020.25,32883,32750415.05,1349.0,950.0,3237,INE343H01029,2020-03-18,995.97
1016,SOLARINDS,EQ,N,999.0,948.8,966.0,969.75,989.4,1005.6,24255,23496290.15,1349.0,948.8,1569,INE343H01029,2020-03-19,968.72
1017,SOLARINDS,EQ,N,982.95,922.35,973.0,966.3,980.0,969.75,36960,35208510.1,1349.0,922.35,3014,INE343H01029,2020-03-20,952.61
1018,SOLARINDS,EQ,N,930.0,773.05,930.0,876.05,854.1,966.3,28849,25236223.1,1349.0,773.05,2811,INE343H01029,2020-03-23,874.77
1019,SOLARINDS,EQ,N,959.95,876.05,876.05,908.4,920.0,876.05,23796,21488474.65,1349.0,773.05,2759,INE343H01029,2020-03-24,903.03
