,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SRF,EQ,N,4019.0,3885.45,4000.0,3907.4,3915.1,3893.8,279388,1109650365.75,4260.0,2172.6,16751,INE647A01010,2020-03-02,3971.72
996,SRF,EQ,N,4005.9,3875.0,3944.0,3996.95,3995.0,3907.4,229186,904228401.7,4260.0,2172.6,13331,INE647A01010,2020-03-03,3945.39
999,SRF,EQ,N,4015.95,3889.9,3972.1,3956.75,3976.1,3996.95,256544,1010285892.8,4260.0,2172.6,17991,INE647A01010,2020-03-04,3938.06
1004,SRF,EQ,N,4009.3,3913.05,3978.0,3930.9,3931.0,3956.75,211976,837051379.4,4260.0,2172.6,12991,INE647A01010,2020-03-05,3948.8
1005,SRF,EQ,N,3917.7,3740.15,3850.0,3887.35,3904.0,3930.9,488703,1865611309.7,4260.0,2172.6,30528,INE647A01010,2020-03-06,3817.47
1006,SRF,EQ,N,3845.95,3688.05,3840.0,3726.7,3722.0,3887.35,318940,1195562591.1,4260.0,2172.6,28173,INE647A01010,2020-03-09,3748.55
1007,SRF,EQ,N,3754.7,3640.0,3665.1,3718.2,3723.95,3726.7,294837,1095417251.55,4260.0,2172.6,28344,INE647A01010,2020-03-11,3715.33
1008,SRF,EQ,N,3629.7,3327.6,3598.0,3371.55,3382.45,3718.2,521780,1795372085.8,4260.0,2172.6,34373,INE647A01010,2020-03-12,3440.86
1009,SRF,EQ,N,3591.15,2900.35,3065.0,3557.5,3556.6,3371.55,311755,1070288034.35,4260.0,2172.6,32185,INE647A01010,2020-03-13,3433.11
1010,SRF,EQ,N,3498.05,3125.1,3498.05,3147.95,3140.95,3557.5,306873,1000862111.15,4260.0,2172.6,30596,INE647A01010,2020-03-16,3261.49
