,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SUNDARMFIN,EQ,N,1618.1,1545.0,1580.0,1555.8,1550.0,1578.85,44844,70652366.0,1784.95,1382.2,5316,INE660A01013,2020-03-02,1575.51
996,SUNDARMFIN,EQ,N,1573.2,1486.5,1565.05,1552.05,1550.0,1555.8,32674,50051103.9,1784.95,1382.2,4857,INE660A01013,2020-03-03,1531.83
1000,SUNDARMFIN,EQ,N,1568.0,1504.0,1568.0,1532.15,1534.0,1552.05,44144,67565374.4,1784.95,1382.2,6100,INE660A01013,2020-03-04,1530.57
1006,SUNDARMFIN,EQ,N,1555.0,1510.0,1530.25,1525.7,1526.0,1532.15,14812,22685191.35,1784.95,1382.2,1925,INE660A01013,2020-03-05,1531.54
1007,SUNDARMFIN,EQ,N,1525.0,1472.0,1525.0,1497.65,1498.0,1525.7,65872,98707420.8,1784.95,1382.2,2246,INE660A01013,2020-03-06,1498.47
1008,SUNDARMFIN,EQ,N,1493.0,1425.5,1493.0,1450.45,1453.0,1497.65,54508,78740850.9,1784.95,1382.2,8095,INE660A01013,2020-03-09,1444.57
1009,SUNDARMFIN,EQ,N,1465.0,1430.3,1450.45,1450.1,1450.55,1450.45,25072,36335705.55,1784.95,1382.2,3457,INE660A01013,2020-03-11,1449.25
1010,SUNDARMFIN,EQ,N,1435.05,1350.0,1435.0,1369.1,1352.0,1450.1,63808,87929441.95,1784.95,1350.0,3976,INE660A01013,2020-03-12,1378.03
1011,SUNDARMFIN,EQ,N,1382.8,1300.0,1344.9,1346.25,1335.0,1369.1,59857,79585359.6,1784.95,1300.0,3510,INE660A01013,2020-03-13,1329.59
1012,SUNDARMFIN,EQ,N,1340.0,1266.45,1300.0,1276.85,1276.0,1346.25,67103,86047657.0,1784.95,1266.45,7414,INE660A01013,2020-03-16,1282.32
1013,SUNDARMFIN,EQ,N,1305.0,1244.15,1276.0,1259.05,1297.0,1276.85,31235,39299590.6,1784.95,1244.15,6759,INE660A01013,2020-03-17,1258.19
1014,SUNDARMFIN,EQ,N,1271.55,1172.0,1259.05,1194.65,1199.0,1259.05,81300,97711045.4,1784.95,1172.0,8008,INE660A01013,2020-03-18,1201.86
1015,SUNDARMFIN,EQ,N,1167.55,1024.25,1110.95,1144.7,1140.0,1194.65,53328,59205162.55,1784.95,1024.25,8783,INE660A01013,2020-03-19,1110.21
1016,SUNDARMFIN,EQ,N,1216.95,1105.0,1144.7,1191.6,1198.0,1144.7,84993,100463617.45,1784.95,1024.25,7175,INE660A01013,2020-03-20,1182.02
1017,SUNDARMFIN,EQ,N,1179.8,1050.1,1050.1,1089.05,1142.0,1191.6,315276,353792636.25,1784.95,1024.25,3911,INE660A01013,2020-03-23,1122.17
1018,SUNDARMFIN,EQ,N,1142.0,1035.0,1120.0,1047.9,1070.0,1089.05,21050,22582745.1,1784.95,1024.25,4404,INE660A01013,2020-03-24,1072.81
1019,SUNDARMFIN,EQ,N,1112.45,982.05,1065.0,1069.5,1090.0,1047.9,197291,207323277.35,1784.95,982.05,2331,INE660A01013,2020-03-25,1050.85
1020,SUNDARMFIN,EQ,N,1145.0,1069.5,1069.5,1124.7,1121.0,1069.5,116233,132053630.25,1784.95,982.05,3353,INE660A01013,2020-03-26,1136.11
1021,SUNDARMFIN,EQ,N,1320.0,1110.6,1124.05,1190.75,1240.0,1124.7,19029,22125490.5,1784.95,982.05,3982,INE660A01013,2020-03-27,1162.72
1022,SUNDARMFIN,EQ,N,1209.0,1127.65,1190.75,1193.95,1200.0,1190.75,871281,1045095594.25,1784.95,982.05,4357,INE660A01013,2020-03-30,1199.49
1023,SUNDARMFIN,EQ,N,1256.9,1147.9,1200.0,1203.25,1235.0,1193.95,35930,42449863.65,1784.95,982.05,5358,INE660A01013,2020-03-31,1181.46
1024,SUNDARMFIN,EQ,N,1210.0,1161.05,1203.25,1170.8,1177.0,1203.25,9474,11167094.3,1784.95,982.05,2003,INE660A01013,2020-04-01,1178.71
1025,SUNDARMFIN,EQ,N,1191.0,1150.05,1175.4,1173.2,1170.05,1170.8,31270,36605137.65,1784.95,982.05,3360,INE660A01013,2020-04-03,1170.62
1026,SUNDARMFIN,EQ,N,1249.9,1173.1,1173.2,1230.7,1230.0,1173.2,25860,31353349.0,1784.95,982.05,6228,INE660A01013,2020-04-07,1212.43
1027,SUNDARMFIN,EQ,N,1233.7,1188.2,1222.1,1200.35,1213.0,1230.7,52500,63074798.45,1784.95,982.05,11380,INE660A01013,2020-04-08,1201.42
1028,SUNDARMFIN,EQ,N,1278.0,1185.65,1201.0,1208.05,1217.8,1200.35,32497,39282486.05,1784.95,982.05,4264,INE660A01013,2020-04-09,1208.8
968,SUNDARMFIN,EQ,N,1217.0,1197.0,1210.0,1205.75,1212.95,1208.05,179542,216097520.25,1784.95,982.05,2171,INE660A01013,2020-04-13,1203.6
969,SUNDARMFIN,EQ,N,1369.6,1207.4,1214.0,1318.1,1324.0,1205.75,92823,120653917.7,1784.95,982.05,21839,INE660A01013,2020-04-15,1299.83
970,SUNDARMFIN,EQ,N,1318.0,1240.0,1317.0,1264.6,1261.2,1318.1,26218,33615425.05,1784.95,982.05,8604,INE660A01013,2020-04-16,1282.15
971,SUNDARMFIN,EQ,N,1344.95,1266.0,1266.0,1326.3,1329.0,1264.6,104576,139135270.7,1784.95,982.05,20727,INE660A01013,2020-04-17,1330.47
972,SUNDARMFIN,EQ,N,1354.25,1249.8,1348.0,1271.8,1275.0,1326.3,50175,65483093.15,1784.95,982.05,11113,INE660A01013,2020-04-20,1305.09
973,SUNDARMFIN,EQ,N,1309.95,1211.4,1280.0,1233.75,1239.8,1271.8,29311,36391378.75,1784.95,982.05,5716,INE660A01013,2020-04-21,1241.56
974,SUNDARMFIN,EQ,N,1330.0,1220.95,1233.75,1280.15,1269.5,1233.75,86310,111490952.0,1784.95,982.05,10955,INE660A01013,2020-04-22,1291.75
975,SUNDARMFIN,EQ,N,1312.05,1240.0,1280.15,1248.75,1259.95,1280.15,37738,47718463.45,1784.95,982.05,8429,INE660A01013,2020-04-23,1264.47
976,SUNDARMFIN,EQ,N,1274.4,1211.3,1265.0,1219.65,1225.0,1248.75,215676,265936939.3,1784.95,982.05,9959,INE660A01013,2020-04-24,1233.04
977,SUNDARMFIN,EQ,N,1257.3,1215.0,1224.0,1243.65,1243.0,1219.65,44167,54716522.45,1784.95,982.05,8949,INE660A01013,2020-04-27,1238.86
978,SUNDARMFIN,EQ,N,1260.0,1230.6,1260.0,1241.2,1242.0,1243.65,44283,55149724.2,1784.95,982.05,8361,INE660A01013,2020-04-28,1245.39
979,SUNDARMFIN,EQ,N,1283.95,1225.9,1258.35,1237.45,1240.0,1241.2,26555,33167511.1,1784.95,982.05,4910,INE660A01013,2020-04-29,1249.01
980,SUNDARMFIN,EQ,N,1300.3,1230.0,1254.75,1261.95,1264.0,1237.45,71485,91096194.15,1784.95,982.05,15012,INE660A01013,2020-04-30,1274.34
981,SUNDARMFIN,EQ,N,1291.1,1218.15,1233.0,1251.4,1258.8,1261.95,28219,35327608.25,1784.95,982.05,7221,INE660A01013,2020-05-04,1251.91
982,SUNDARMFIN,EQ,N,1271.35,1229.0,1251.4,1229.9,1230.0,1251.4,21620,26805361.25,1784.95,982.05,5031,INE660A01013,2020-05-05,1239.84
983,SUNDARMFIN,EQ,N,1276.7,1225.85,1248.9,1230.85,1240.0,1229.9,47838,59341541.7,1784.95,982.05,13705,INE660A01013,2020-05-06,1240.47
984,SUNDARMFIN,EQ,N,1253.95,1207.3,1235.45,1221.6,1227.7,1230.85,69160,85134650.9,1784.95,982.05,16485,INE660A01013,2020-05-07,1230.98
985,SUNDARMFIN,EQ,N,1252.15,1230.3,1239.95,1241.8,1250.0,1221.6,30909,38310283.05,1784.95,982.05,8967,INE660A01013,2020-05-08,1239.45
986,SUNDARMFIN,EQ,N,1249.8,1201.5,1230.0,1219.85,1203.0,1241.8,119264,147018608.65,1784.95,982.05,8804,INE660A01013,2020-05-11,1232.72
987,SUNDARMFIN,EQ,N,1221.2,1182.0,1203.05,1215.25,1200.0,1219.85,496518,596412915.4,1784.95,982.05,8713,INE660A01013,2020-05-12,1201.19
988,SUNDARMFIN,EQ,N,1249.95,1194.95,1235.0,1204.1,1200.75,1215.25,214984,258321250.4,1784.95,982.05,6282,INE660A01013,2020-05-13,1201.58
989,SUNDARMFIN,EQ,N,1223.7,1195.3,1209.0,1204.0,1210.0,1204.1,100151,120602903.55,1784.95,982.05,14729,INE660A01013,2020-05-14,1204.21
990,SUNDARMFIN,EQ,N,1224.0,1195.3,1224.0,1203.65,1197.05,1204.0,35598,42855735.15,1784.95,982.05,6125,INE660A01013,2020-05-15,1203.88
991,SUNDARMFIN,EQ,N,1225.0,1191.5,1195.3,1204.5,1218.95,1203.65,627622,764185665.0,1784.95,982.05,12689,INE660A01013,2020-05-18,1217.59
992,SUNDARMFIN,EQ,N,1288.8,1200.25,1225.0,1204.75,1200.25,1204.5,34312,41713489.6,1784.95,982.05,4629,INE660A01013,2020-05-19,1215.71
