,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SUNPHARMA,EQ,N,383.65,363.35,378.0,369.5,372.05,372.9,6915567,2606303340.8,484.25,344.55,72067,INE044A01036,2020-03-02,376.87
996,SUNPHARMA,EQ,N,396.4,373.25,374.0,393.55,396.0,369.5,14474553,5599644850.65,484.25,344.55,167409,INE044A01036,2020-03-03,386.86
1000,SUNPHARMA,EQ,N,412.9,387.35,398.0,405.45,404.5,393.55,26369149,10640594992.05,484.25,344.55,271057,INE044A01036,2020-03-04,403.52
1006,SUNPHARMA,EQ,N,414.8,401.75,409.95,404.9,404.5,405.45,9874059,4031203675.5,484.25,344.55,106590,INE044A01036,2020-03-05,408.26
1007,SUNPHARMA,EQ,N,403.2,390.05,390.05,400.9,400.1,404.9,6500912,2590277927.25,484.25,344.55,81949,INE044A01036,2020-03-06,398.45
1008,SUNPHARMA,EQ,N,403.9,385.55,396.05,393.35,393.0,400.9,13152861,5191013676.8,484.25,344.55,101814,INE044A01036,2020-03-09,394.67
1009,SUNPHARMA,EQ,N,395.25,380.05,394.4,385.95,386.85,393.35,9127364,3532178058.15,484.25,344.55,107037,INE044A01036,2020-03-11,386.99
1010,SUNPHARMA,EQ,N,372.7,346.4,365.5,354.8,357.45,385.95,11663067,4171832530.2,484.25,344.55,126274,INE044A01036,2020-03-12,357.7
1011,SUNPHARMA,EQ,N,402.95,325.0,341.0,384.2,386.0,354.8,15802656,6056719413.0,484.25,325.0,212119,INE044A01036,2020-03-13,383.27
1012,SUNPHARMA,EQ,N,396.4,362.8,376.0,368.55,370.0,384.2,14480706,5460138953.4,484.25,325.0,168078,INE044A01036,2020-03-16,377.06
1013,SUNPHARMA,EQ,N,395.6,364.2,376.0,370.15,371.0,368.55,12903647,4952926425.9,484.25,325.0,193522,INE044A01036,2020-03-17,383.84
1014,SUNPHARMA,EQ,N,386.4,355.1,383.4,362.75,366.75,370.15,12342705,4560217675.35,484.25,325.0,201026,INE044A01036,2020-03-18,369.47
1015,SUNPHARMA,EQ,N,374.45,347.65,351.7,360.4,361.3,362.75,8728105,3161099064.3,484.25,325.0,168016,INE044A01036,2020-03-19,362.17
1016,SUNPHARMA,EQ,N,379.5,362.2,365.2,365.25,363.05,360.4,10631944,3939883268.3,484.25,325.0,159028,INE044A01036,2020-03-20,370.57
1017,SUNPHARMA,EQ,N,354.7,315.05,345.0,324.5,332.0,365.25,8018903,2676357691.35,484.25,315.05,110889,INE044A01036,2020-03-23,333.76
1018,SUNPHARMA,EQ,N,348.0,330.0,330.0,335.15,334.0,324.5,6408587,2180469462.65,484.25,315.05,110071,INE044A01036,2020-03-24,340.24
1019,SUNPHARMA,EQ,N,350.8,329.55,332.0,347.65,343.95,335.15,6174391,2098694157.5,484.25,315.05,105868,INE044A01036,2020-03-25,339.9
1020,SUNPHARMA,EQ,N,368.0,336.1,365.0,338.3,338.8,347.65,11670467,4062946057.8,484.25,315.05,168355,INE044A01036,2020-03-26,348.14
1021,SUNPHARMA,EQ,N,352.5,333.0,347.0,338.25,338.3,338.3,7745785,2644590217.25,484.25,315.05,111490,INE044A01036,2020-03-27,341.42
1022,SUNPHARMA,EQ,N,344.0,312.0,321.65,332.7,332.55,338.25,11648309,3893470175.15,484.25,312.0,143583,INE044A01036,2020-03-30,334.25
1023,SUNPHARMA,EQ,N,355.0,328.25,340.1,352.3,353.25,332.7,9954246,3423744741.4,484.25,312.0,131072,INE044A01036,2020-03-31,343.95
1024,SUNPHARMA,EQ,N,355.25,338.4,353.0,343.55,344.35,352.3,6702259,2309378542.3,484.25,312.0,94680,INE044A01036,2020-04-01,344.57
1025,SUNPHARMA,EQ,N,389.8,340.0,343.95,375.95,376.45,343.55,28550650,10554231364.55,484.25,312.0,338973,INE044A01036,2020-04-03,369.67
1026,SUNPHARMA,EQ,N,422.85,388.3,398.0,417.35,415.55,375.95,29675452,12082876093.15,479.9,312.0,343700,INE044A01036,2020-04-07,407.17
1027,SUNPHARMA,EQ,N,448.75,413.15,419.0,436.7,437.5,417.35,27810987,12126523142.55,479.9,312.0,433126,INE044A01036,2020-04-08,436.03
1028,SUNPHARMA,EQ,N,473.9,443.4,454.4,454.45,452.45,436.7,31863686,14686105866.8,479.9,312.0,408412,INE044A01036,2020-04-09,460.9
968,SUNPHARMA,EQ,N,477.9,443.1,462.95,462.35,463.0,454.45,30510404,14178666669.75,477.9,312.0,361403,INE044A01036,2020-04-13,464.72
969,SUNPHARMA,EQ,N,488.5,444.1,474.9,449.2,450.0,462.35,32508977,15259261040.1,488.5,312.0,427523,INE044A01036,2020-04-15,469.39
970,SUNPHARMA,EQ,N,467.6,449.2,450.0,463.7,466.0,449.2,16933112,7782361760.85,488.5,312.0,236715,INE044A01036,2020-04-16,459.59
971,SUNPHARMA,EQ,N,476.95,448.45,476.95,457.1,457.3,463.7,19774595,9087893401.75,488.5,312.0,231383,INE044A01036,2020-04-17,459.57
972,SUNPHARMA,EQ,N,475.0,450.55,457.35,473.4,474.85,457.1,17894276,8343567565.0,488.5,312.0,198808,INE044A01036,2020-04-20,466.27
973,SUNPHARMA,EQ,N,490.7,464.25,467.85,473.15,470.35,473.4,30022318,14408188549.05,490.7,312.0,354530,INE044A01036,2020-04-21,479.92
974,SUNPHARMA,EQ,N,482.4,469.0,474.95,474.35,475.5,473.15,13336594,6354473105.9,490.7,312.0,195298,INE044A01036,2020-04-22,476.47
975,SUNPHARMA,EQ,N,487.85,474.35,476.95,477.45,478.5,474.35,13748836,6614369526.0,490.7,312.0,179350,INE044A01036,2020-04-23,481.09
976,SUNPHARMA,EQ,N,497.0,473.55,476.95,485.55,485.5,477.45,23394286,11419353958.1,497.0,312.0,270856,INE044A01036,2020-04-24,488.13
977,SUNPHARMA,EQ,N,504.8,487.0,491.0,489.9,489.75,485.55,19311559,9573882063.25,504.8,312.0,256613,INE044A01036,2020-04-27,495.76
978,SUNPHARMA,EQ,N,495.4,470.3,495.0,473.95,475.1,489.9,12847952,6154904852.0,504.8,312.0,168690,INE044A01036,2020-04-28,479.06
979,SUNPHARMA,EQ,N,484.95,473.15,476.0,477.65,478.8,473.95,10166501,4863934540.9,504.8,312.0,121573,INE044A01036,2020-04-29,478.43
980,SUNPHARMA,EQ,N,485.0,458.4,484.0,464.45,466.0,477.65,18471937,8651674740.95,504.8,312.0,248711,INE044A01036,2020-04-30,468.37
981,SUNPHARMA,EQ,N,474.5,458.0,464.45,465.45,466.0,464.45,16097081,7558168770.75,504.8,312.0,218018,INE044A01036,2020-05-04,469.54
982,SUNPHARMA,EQ,N,472.5,454.0,469.8,456.3,457.3,465.45,7852607,3630346217.6,504.8,312.0,105821,INE044A01036,2020-05-05,462.31
983,SUNPHARMA,EQ,N,463.0,448.0,459.6,454.4,456.5,456.3,10829910,4927088357.45,504.8,312.0,181109,INE044A01036,2020-05-06,454.95
984,SUNPHARMA,EQ,N,465.7,450.2,462.0,452.2,453.55,454.4,11216370,5145132335.45,504.8,312.0,155891,INE044A01036,2020-05-07,458.72
985,SUNPHARMA,EQ,N,471.4,454.05,460.0,469.0,470.0,452.2,13693935,6357178311.0,504.8,312.0,201306,INE044A01036,2020-05-08,464.23
986,SUNPHARMA,EQ,N,475.55,461.3,473.7,463.85,465.5,469.0,10294818,4817683071.65,504.8,312.0,182170,INE044A01036,2020-05-11,467.97
987,SUNPHARMA,EQ,N,468.8,455.3,465.0,463.9,464.3,463.85,9507982,4390084052.9,504.8,312.0,127499,INE044A01036,2020-05-12,461.73
988,SUNPHARMA,EQ,N,469.45,450.2,469.0,452.35,453.9,463.9,10010346,4562712128.25,504.8,312.0,163482,INE044A01036,2020-05-13,455.8
989,SUNPHARMA,EQ,N,462.95,448.8,453.0,455.95,456.5,452.35,11764891,5382257481.35,504.8,312.0,164996,INE044A01036,2020-05-14,457.48
990,SUNPHARMA,EQ,N,458.9,445.55,455.95,448.6,446.8,455.95,7863397,3557838994.75,504.8,312.0,96594,INE044A01036,2020-05-15,452.46
991,SUNPHARMA,EQ,N,454.6,434.25,447.0,440.7,440.0,448.6,9067512,4006840195.9,504.8,312.0,149683,INE044A01036,2020-05-18,441.89
992,SUNPHARMA,EQ,N,456.0,438.6,443.8,441.7,443.1,440.7,10126406,4524675093.7,504.8,312.0,160458,INE044A01036,2020-05-19,446.82
993,SUNPHARMA,EQ,N,458.45,437.25,439.9,455.75,456.9,441.7,7967090,3573094726.55,504.8,312.0,111119,INE044A01036,2020-05-20,448.48
941,SUNPHARMA,EQ,N,469.0,453.0,455.5,466.45,467.0,455.75,8988288,4149865269.6,504.8,312.0,161179,INE044A01036,2020-05-21,461.7
942,SUNPHARMA,EQ,N,471.9,458.05,467.0,469.4,469.6,466.45,10194360,4759202348.0,504.8,312.0,133789,INE044A01036,2020-05-22,466.85
943,SUNPHARMA,EQ,N,475.5,457.0,471.0,459.15,460.0,469.4,9801065,4584906415.5,504.8,312.0,143117,INE044A01036,2020-05-26,467.8
944,SUNPHARMA,EQ,N,464.9,443.4,464.9,450.9,450.2,459.15,13253945,6036293521.45,504.8,312.0,198745,INE044A01036,2020-05-27,455.43
945,SUNPHARMA,EQ,N,461.65,444.7,453.9,459.1,459.7,450.9,12633089,5760144532.2,504.8,312.0,156736,INE044A01036,2020-05-28,455.96
946,SUNPHARMA,EQ,N,481.6,458.0,460.0,474.25,476.9,459.1,12663543,5935464135.35,504.8,312.0,170013,INE044A01036,2020-05-29,468.7
947,SUNPHARMA,EQ,N,483.7,458.3,483.5,465.4,465.9,474.25,18563845,8740206995.55,504.8,312.0,213739,INE044A01036,2020-06-01,470.82
948,SUNPHARMA,EQ,N,481.0,468.15,470.0,473.1,473.0,465.4,10978082,5224660445.15,504.8,312.0,148186,INE044A01036,2020-06-02,475.92
949,SUNPHARMA,EQ,N,481.6,473.0,474.95,476.15,474.8,473.1,7768553,3711583243.95,504.8,312.0,106980,INE044A01036,2020-06-03,477.77
950,SUNPHARMA,EQ,N,498.0,472.1,473.0,494.85,496.0,476.15,19100370,9348456565.55,504.8,312.0,240611,INE044A01036,2020-06-04,489.44
951,SUNPHARMA,EQ,N,511.0,492.2,501.0,494.25,494.4,494.85,22798422,11481901490.0,511.0,312.0,250282,INE044A01036,2020-06-05,503.63
