,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,SUPREMEIND,EQ,N,1332.3,1262.6,1311.3,1319.05,1320.0,1319.2,58807,76794056.35,1413.0,946.25,7094,INE195A01028,2020-03-02,1305.87
996,SUPREMEIND,EQ,N,1326.05,1281.35,1300.3,1301.75,1288.8,1319.05,40199,52354961.9,1413.0,946.25,6141,INE195A01028,2020-03-03,1302.39
1001,SUPREMEIND,EQ,N,1304.0,1210.5,1281.6,1235.8,1230.0,1301.75,215012,268466917.95,1413.0,946.25,26803,INE195A01028,2020-03-04,1248.61
1007,SUPREMEIND,EQ,N,1288.85,1221.05,1230.6,1241.15,1248.95,1235.8,44958,55773124.8,1413.0,946.25,7716,INE195A01028,2020-03-05,1240.56
1008,SUPREMEIND,EQ,N,1247.0,1200.0,1200.0,1235.1,1247.0,1241.15,48387,59604991.0,1413.0,946.25,5707,INE195A01028,2020-03-06,1231.84
1009,SUPREMEIND,EQ,N,1233.95,1181.0,1211.05,1202.8,1190.3,1235.1,99818,120662413.1,1413.0,946.25,8670,INE195A01028,2020-03-09,1208.82
1010,SUPREMEIND,EQ,N,1208.5,1185.05,1185.05,1194.85,1197.0,1202.8,67657,81073825.8,1413.0,946.25,12295,INE195A01028,2020-03-11,1198.31
1011,SUPREMEIND,EQ,N,1182.6,1101.3,1165.75,1130.8,1125.15,1194.85,145291,164572790.75,1413.0,946.25,12674,INE195A01028,2020-03-12,1132.71
1012,SUPREMEIND,EQ,N,1133.5,1039.65,1070.2,1115.35,1108.0,1130.8,155993,172045038.85,1413.0,946.25,11874,INE195A01028,2020-03-13,1102.9
1013,SUPREMEIND,EQ,N,1092.95,1045.0,1051.0,1063.05,1075.0,1115.35,92945,99634146.75,1413.0,946.25,16984,INE195A01028,2020-03-16,1071.97
1014,SUPREMEIND,EQ,N,1065.0,982.8,1045.0,1037.45,1040.0,1063.05,166485,171142713.55,1413.0,946.25,13883,INE195A01028,2020-03-17,1027.98
1015,SUPREMEIND,EQ,N,1036.85,975.0,1030.0,987.8,990.05,1037.45,90312,89943219.5,1413.0,946.25,8017,INE195A01028,2020-03-18,995.92
1016,SUPREMEIND,EQ,N,985.0,916.7,975.0,939.35,925.05,987.8,107645,102505785.45,1413.0,916.7,11270,INE195A01028,2020-03-19,952.26
1017,SUPREMEIND,EQ,N,981.35,919.0,940.95,944.1,941.0,939.35,92470,87184584.75,1413.0,916.7,13393,INE195A01028,2020-03-20,942.84
1018,SUPREMEIND,EQ,N,923.9,773.3,910.0,843.6,849.0,944.1,124500,107455337.6,1413.0,773.3,14177,INE195A01028,2020-03-23,863.1
1019,SUPREMEIND,EQ,N,915.0,805.45,855.0,861.0,830.0,843.6,211945,178807595.8,1413.0,773.3,10248,INE195A01028,2020-03-24,843.65
1020,SUPREMEIND,EQ,N,869.7,828.95,830.0,853.0,854.0,861.0,49529,41853078.05,1413.0,773.3,4061,INE195A01028,2020-03-25,845.02
1021,SUPREMEIND,EQ,N,930.0,840.1,870.0,900.65,911.45,853.0,216507,189133985.75,1413.0,773.3,7054,INE195A01028,2020-03-26,873.57
