,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TATACOMM,EQ,N,379.0,350.1,368.9,356.85,360.0,360.9,82200,30143271.15,627.7,337.3,4510,INE151A01013,2020-03-02,366.71
996,TATACOMM,EQ,N,367.45,351.05,364.3,360.55,362.0,356.85,66250,23804046.7,627.7,337.3,2675,INE151A01013,2020-03-03,359.31
1001,TATACOMM,EQ,N,365.95,340.6,364.85,350.5,343.6,360.55,83631,29406727.15,627.7,337.3,6292,INE151A01013,2020-03-04,351.62
1006,TATACOMM,EQ,N,355.95,341.1,352.0,346.85,342.15,350.5,78830,27334397.7,627.7,337.3,4832,INE151A01013,2020-03-05,346.75
1007,TATACOMM,EQ,N,347.7,330.05,339.9,341.55,345.0,346.85,39808,13437752.3,627.7,330.05,2284,INE151A01013,2020-03-06,337.56
1008,TATACOMM,EQ,N,335.0,316.65,330.0,329.2,332.0,341.55,114717,37311566.25,627.7,316.65,6127,INE151A01013,2020-03-09,325.25
1009,TATACOMM,EQ,N,344.0,317.05,334.0,318.55,319.8,329.2,62479,20386542.25,627.7,316.65,5856,INE151A01013,2020-03-11,326.29
1010,TATACOMM,EQ,N,318.5,262.0,318.5,267.8,265.0,318.55,133259,37522615.95,627.7,262.0,9272,INE151A01013,2020-03-12,281.58
1011,TATACOMM,EQ,N,272.9,222.55,227.5,250.55,254.0,267.8,149858,37950039.4,627.7,222.55,10342,INE151A01013,2020-03-13,253.24
1012,TATACOMM,EQ,N,264.9,231.75,250.0,253.75,258.0,250.55,179945,44645478.8,627.7,222.55,6898,INE151A01013,2020-03-16,248.11
1013,TATACOMM,EQ,N,263.9,236.0,256.0,246.55,257.75,253.75,196536,47897870.3,627.7,222.55,11417,INE151A01013,2020-03-17,243.71
