,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TATACONSUM,EQ,N,355.25,333.6,351.05,338.8,338.0,346.15,3837169,1335380992.3,408.0,192.05,48165,INE192A01025,2020-03-02,348.01
996,TATACONSUM,EQ,N,357.7,340.6,340.6,355.3,357.65,338.8,4204156,1476269561.6,408.0,192.05,76287,INE192A01025,2020-03-03,351.15
1000,TATACONSUM,EQ,N,357.6,339.0,356.2,349.2,348.8,355.3,2331888,809151918.25,408.0,192.05,49946,INE192A01025,2020-03-04,346.99
1005,TATACONSUM,EQ,N,357.1,347.0,353.75,348.5,347.15,349.2,1890082,665252992.7,408.0,192.05,52394,INE192A01025,2020-03-05,351.97
1006,TATACONSUM,EQ,N,346.9,334.15,340.0,344.5,342.4,348.5,4469801,1533154944.25,408.0,192.05,63442,INE192A01025,2020-03-06,343.0
1007,TATACONSUM,EQ,N,340.85,319.15,338.0,330.1,325.95,344.5,5653412,1874984979.65,408.0,192.05,47319,INE192A01025,2020-03-09,331.66
1008,TATACONSUM,EQ,N,337.75,325.0,326.85,327.85,327.15,330.1,3475868,1150813147.45,408.0,192.05,28129,INE192A01025,2020-03-11,331.09
1009,TATACONSUM,EQ,N,320.0,297.2,320.0,303.45,305.85,327.85,5405030,1649220111.5,408.0,192.05,76325,INE192A01025,2020-03-12,305.13
1010,TATACONSUM,EQ,N,327.8,258.0,273.55,324.25,326.05,303.45,7428604,2287197412.35,408.0,192.05,67999,INE192A01025,2020-03-13,307.89
1011,TATACONSUM,EQ,N,314.3,296.6,305.3,300.3,305.0,324.25,3695163,1126264804.85,408.0,193.6,98388,INE192A01025,2020-03-16,304.79
1012,TATACONSUM,EQ,N,308.7,282.0,305.0,283.85,285.0,300.3,3307865,965704346.35,408.0,193.6,86334,INE192A01025,2020-03-17,291.94
1013,TATACONSUM,EQ,N,288.6,262.0,285.0,267.45,268.2,283.85,4038726,1091421908.5,408.0,193.6,80378,INE192A01025,2020-03-18,270.24
1014,TATACONSUM,EQ,N,265.5,232.25,258.0,250.75,248.05,267.45,6319923,1574321944.75,408.0,193.6,115205,INE192A01025,2020-03-19,249.1
1015,TATACONSUM,EQ,N,273.4,244.5,247.0,264.2,265.0,250.75,3907691,1016170855.25,408.0,193.6,52348,INE192A01025,2020-03-20,260.04
1016,TATACONSUM,EQ,N,247.9,225.0,240.0,226.5,225.05,264.2,2922955,691207574.45,408.0,193.6,55578,INE192A01025,2020-03-23,236.48
