,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TATASTEEL,EQ,N,394.0,358.0,393.7,364.05,364.0,381.75,20220772,7680564293.85,561.65,320.35,149142,INE081A01012,2020-03-02,379.84
996,TATASTEEL,EQ,N,391.0,370.1,373.5,387.55,388.3,364.05,18648933,7056030398.2,561.65,320.35,170252,INE081A01012,2020-03-03,378.36
1003,TATASTEEL,EQ,N,389.9,365.1,388.05,377.15,375.95,387.55,22937148,8572706132.0,561.65,320.35,191616,INE081A01012,2020-03-04,373.75
1007,TATASTEEL,EQ,N,387.8,374.3,383.95,375.75,374.95,377.15,14628468,5564489039.4,561.65,320.35,121582,INE081A01012,2020-03-05,380.39
1008,TATASTEEL,EQ,N,358.3,346.65,356.95,351.5,351.55,375.75,14848188,5235996665.0,561.65,320.35,131450,INE081A01012,2020-03-06,352.64
1009,TATASTEEL,EQ,N,337.7,319.75,337.5,322.3,323.0,351.5,20423826,6685868769.3,561.65,319.75,205411,INE081A01012,2020-03-09,327.36
1010,TATASTEEL,EQ,N,326.05,296.1,324.0,299.75,297.3,322.3,28693709,8840328886.7,561.65,296.1,251678,INE081A01012,2020-03-11,308.09
1011,TATASTEEL,EQ,N,291.8,267.2,275.0,287.45,291.45,299.75,43767763,12317269147.15,561.65,267.2,314421,INE081A01012,2020-03-12,281.42
1012,TATASTEEL,EQ,N,332.1,255.35,270.0,326.7,329.2,287.45,33842310,10211421110.45,561.65,255.35,270225,INE081A01012,2020-03-13,301.74
1013,TATASTEEL,EQ,N,317.65,287.1,304.0,289.6,291.75,326.7,23606452,7131488009.8,561.65,255.35,291120,INE081A01012,2020-03-16,302.1
1014,TATASTEEL,EQ,N,307.65,280.5,300.0,282.75,282.0,289.6,20654603,6082202960.2,561.65,255.35,241973,INE081A01012,2020-03-17,294.47
1015,TATASTEEL,EQ,N,293.15,275.7,290.0,280.85,282.0,282.75,18772675,5287435067.7,561.65,255.35,193555,INE081A01012,2020-03-18,281.66
1016,TATASTEEL,EQ,N,284.5,260.5,268.95,271.85,272.0,280.85,18723257,5138057805.8,561.65,255.35,198240,INE081A01012,2020-03-19,274.42
1017,TATASTEEL,EQ,N,305.0,274.15,279.7,297.75,296.0,271.85,17307882,4971827314.15,561.65,255.35,176547,INE081A01012,2020-03-20,287.26
1018,TATASTEEL,EQ,N,278.0,253.55,268.0,271.15,272.05,297.75,12100684,3202196946.3,561.65,253.55,149907,INE081A01012,2020-03-23,264.63
1019,TATASTEEL,EQ,N,285.65,258.6,277.05,271.9,271.9,271.15,12928877,3492518886.05,561.65,253.55,160998,INE081A01012,2020-03-24,270.13
1020,TATASTEEL,EQ,N,295.0,267.05,267.05,286.8,288.95,271.9,9442834,2644775539.45,561.65,253.55,140205,INE081A01012,2020-03-25,280.08
1021,TATASTEEL,EQ,N,295.5,280.1,290.0,284.45,281.05,286.8,11493837,3316356966.8,561.65,253.55,139566,INE081A01012,2020-03-26,288.53
1022,TATASTEEL,EQ,N,295.25,274.2,291.0,277.25,276.0,284.45,11184139,3159161558.7,561.65,253.55,123864,INE081A01012,2020-03-27,282.47
1023,TATASTEEL,EQ,N,270.75,250.85,267.0,254.05,255.0,277.25,15853761,4122028384.35,561.65,250.85,218642,INE081A01012,2020-03-30,260.0
1024,TATASTEEL,EQ,N,272.45,259.7,262.25,269.6,270.0,254.05,15787411,4207057234.2,561.65,250.85,185680,INE081A01012,2020-03-31,266.48
1025,TATASTEEL,EQ,N,267.95,258.1,266.0,266.35,266.65,269.6,11965031,3142149954.15,561.65,250.85,142931,INE081A01012,2020-04-01,262.61
1026,TATASTEEL,EQ,N,268.9,251.0,267.7,253.75,254.35,266.35,12528030,3203160554.55,561.65,250.85,174595,INE081A01012,2020-04-03,255.68
1027,TATASTEEL,EQ,N,277.7,261.2,266.05,276.2,275.5,253.75,15956873,4310467411.6,561.65,250.85,166420,INE081A01012,2020-04-07,270.13
1028,TATASTEEL,EQ,N,292.9,266.65,271.0,274.75,273.3,276.2,20435156,5760222351.5,561.65,250.85,215435,INE081A01012,2020-04-08,281.88
1029,TATASTEEL,EQ,N,289.6,277.65,280.5,284.85,284.0,274.75,13855788,3929956073.9,561.65,250.85,150361,INE081A01012,2020-04-09,283.63
968,TATASTEEL,EQ,N,292.0,273.85,285.0,282.55,282.4,284.85,15510598,4359767281.25,561.65,250.85,169856,INE081A01012,2020-04-13,281.08
969,TATASTEEL,EQ,N,295.65,281.9,287.4,285.15,286.0,282.55,20991943,6072528289.45,561.65,250.85,216185,INE081A01012,2020-04-15,289.28
970,TATASTEEL,EQ,N,291.9,276.0,276.0,288.9,290.55,285.15,17248806,4928719772.1,561.65,250.85,159950,INE081A01012,2020-04-16,285.74
971,TATASTEEL,EQ,N,299.7,285.5,297.5,293.35,292.3,288.9,17492884,5096770272.8,561.65,250.85,156395,INE081A01012,2020-04-17,291.36
972,TATASTEEL,EQ,N,295.0,285.1,294.8,286.4,286.5,293.35,11961355,3460143136.05,561.65,250.85,129180,INE081A01012,2020-04-20,289.28
973,TATASTEEL,EQ,N,281.0,263.25,280.05,265.95,266.1,286.4,16925417,4512317904.45,561.65,250.85,286180,INE081A01012,2020-04-21,266.6
974,TATASTEEL,EQ,N,269.9,259.2,266.1,268.35,269.0,265.95,14789857,3926075621.85,561.65,250.85,158776,INE081A01012,2020-04-22,265.46
975,TATASTEEL,EQ,N,279.0,269.0,270.0,270.3,270.35,268.35,15468122,4243125772.4,561.65,250.85,182297,INE081A01012,2020-04-23,274.31
976,TATASTEEL,EQ,N,273.85,264.45,266.3,267.55,268.75,270.3,12383846,3340556827.25,561.65,250.85,120833,INE081A01012,2020-04-24,269.75
977,TATASTEEL,EQ,N,276.9,270.5,274.0,271.65,271.95,267.55,12410812,3393162809.4,561.65,250.85,154370,INE081A01012,2020-04-27,273.4
978,TATASTEEL,EQ,N,275.4,269.55,273.9,273.55,273.7,271.65,8548134,2329381054.0,561.65,250.85,77655,INE081A01012,2020-04-28,272.5
979,TATASTEEL,EQ,N,286.15,271.25,273.0,282.65,282.45,273.55,19876696,5600679856.25,561.65,250.85,215401,INE081A01012,2020-04-29,281.77
980,TATASTEEL,EQ,N,304.5,288.7,289.95,298.3,297.55,282.65,23636082,7026587166.55,561.65,250.85,239510,INE081A01012,2020-04-30,297.28
981,TATASTEEL,EQ,N,286.15,270.1,285.0,273.6,272.7,298.3,12892158,3528725886.7,544.95,250.85,167867,INE081A01012,2020-05-04,273.71
982,TATASTEEL,EQ,N,282.4,271.0,279.0,272.65,274.0,273.6,12182355,3372723173.35,544.95,250.85,120197,INE081A01012,2020-05-05,276.85
983,TATASTEEL,EQ,N,280.45,272.05,274.1,277.75,278.3,272.65,9507731,2633168094.6,544.95,250.85,95963,INE081A01012,2020-05-06,276.95
984,TATASTEEL,EQ,N,282.85,274.65,275.45,275.85,276.15,277.75,8958411,2494364184.9,544.95,250.85,103931,INE081A01012,2020-05-07,278.44
985,TATASTEEL,EQ,N,284.0,272.0,282.8,272.9,272.9,275.85,9878213,2736816388.3,544.95,250.85,108729,INE081A01012,2020-05-08,277.06
986,TATASTEEL,EQ,N,283.0,275.0,275.55,276.2,276.65,272.9,10907408,3043983356.8,518.6,250.85,129049,INE081A01012,2020-05-11,279.07
987,TATASTEEL,EQ,N,276.8,264.5,273.3,273.95,275.25,276.2,15040334,4051062305.45,518.6,250.85,154012,INE081A01012,2020-05-12,269.35
