,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
45,TATATECH,EQ,N,1400.0,1200.0,1200.0,1313.0,1326.7,500.0,46579444,61140706591.45,1400,1200.0,1422692,INE142M01025,2023-11-30,1312.61
46,TATATECH,EQ,N,1348.0,1211.6,1339.3,1220.6,1216.0,1313.0,18681419,23232628471.6,1400,1200.0,693074,INE142M01025,2023-12-01,1243.62
47,TATATECH,EQ,N,1234.0,1151.15,1220.6,1192.65,1189.0,1220.6,14740755,17480447306.6,1400,1151.15,500852,INE142M01025,2023-12-04,1185.86
48,TATATECH,EQ,N,1221.95,1175.0,1192.65,1191.85,1193.75,1192.65,4422358,5338249618.3,1400,1151.15,154041,INE142M01025,2023-12-05,1207.1
49,TATATECH,EQ,N,1207.45,1181.0,1202.0,1188.5,1187.0,1191.85,2735968,3258949213.1,1400,1151.15,114146,INE142M01025,2023-12-06,1191.15
50,TATATECH,EQ,N,1199.0,1180.0,1192.95,1185.7,1184.0,1188.5,1624651,1931838157.55,1400,1151.15,71777,INE142M01025,2023-12-07,1189.08
51,TATATECH,EQ,N,1219.7,1188.25,1189.0,1192.55,1190.5,1185.7,2528210,3038029255.0,1400,1151.15,94314,INE142M01025,2023-12-08,1201.65
52,TATATECH,EQ,N,1269.7,1193.0,1199.0,1237.35,1239.95,1192.55,8017469,9936713623.1,1400,1151.15,241629,INE142M01025,2023-12-11,1239.38
53,TATATECH,EQ,N,1263.05,1230.0,1254.0,1233.25,1233.0,1237.35,2426780,3022634269.75,1400,1151.15,87901,INE142M01025,2023-12-12,1245.53
54,TATATECH,EQ,N,1284.8,1236.15,1244.0,1250.35,1250.1,1233.25,4281933,5413153052.6,1400,1151.15,134764,INE142M01025,2023-12-13,1264.18
55,TATATECH,EQ,N,1275.0,1240.15,1270.0,1243.3,1243.5,1250.35,1992554,2497570154.65,1400,1151.15,72822,INE142M01025,2023-12-14,1253.45
56,TATATECH,EQ,N,1256.7,1240.0,1255.95,1242.2,1243.3,1243.3,1239743,1545373931.7,1400,1151.15,54793,INE142M01025,2023-12-15,1246.53
57,TATATECH,EQ,N,1249.15,1225.6,1245.65,1229.25,1229.95,1242.2,1000620,1233658601.25,1400,1151.15,51083,INE142M01025,2023-12-18,1232.89
58,TATATECH,EQ,N,1259.8,1224.6,1233.0,1241.55,1240.5,1229.25,2086748,2604629214.8,1400,1151.15,76834,INE142M01025,2023-12-19,1248.18
59,TATATECH,EQ,N,1248.75,1198.0,1247.9,1201.15,1204.0,1241.55,1604663,1959265192.2,1400,1151.15,88440,INE142M01025,2023-12-20,1220.98
60,TATATECH,EQ,N,1218.6,1165.25,1165.25,1208.9,1209.0,1201.15,1504596,1808224634.75,1400,1151.15,77950,INE142M01025,2023-12-21,1201.8
61,TATATECH,EQ,N,1222.5,1205.0,1214.7,1208.75,1208.55,1208.9,701235,849952706.45,1400,1151.15,42858,INE142M01025,2023-12-22,1212.08
62,TATATECH,EQ,N,1217.95,1200.5,1210.0,1202.75,1204.9,1208.75,575200,694639223.3,1400,1151.15,39544,INE142M01025,2023-12-26,1207.65
63,TATATECH,EQ,N,1212.9,1196.2,1208.0,1199.6,1199.9,1202.75,656321,789147180.3,1400,1151.15,35135,INE142M01025,2023-12-27,1202.38
64,TATATECH,EQ,N,1201.85,1169.0,1200.0,1175.95,1179.0,1199.6,1913710,2260592585.45,1400,1151.15,130102,INE142M01025,2023-12-28,1181.26
65,TATATECH,EQ,N,1188.0,1170.45,1180.0,1180.15,1182.0,1175.95,974333,1150778263.5,1400,1151.15,54434,INE142M01025,2023-12-29,1181.09
16,TATATECH,EQ,N,1197.9,1180.0,1184.0,1180.45,1180.0,1180.15,794228,941744990.3,1400,1151.15,54162,INE142M01025,2024-01-01,1185.74
17,TATATECH,EQ,N,1188.9,1177.0,1184.0,1181.95,1183.65,1180.45,720393,852528674.0,1400,1151.15,38674,INE142M01025,2024-01-02,1183.42
18,TATATECH,EQ,N,1185.0,1168.0,1180.0,1172.05,1173.75,1181.95,937005,1099621181.05,1400,1151.15,59940,INE142M01025,2024-01-03,1173.55
19,TATATECH,EQ,N,1181.55,1169.45,1175.0,1171.35,1171.45,1172.05,706442,829565173.6,1400,1151.15,49951,INE142M01025,2024-01-04,1174.29
20,TATATECH,EQ,N,1179.35,1170.0,1173.5,1171.35,1171.2,1171.35,824122,967861306.75,1400,1151.15,36485,INE142M01025,2024-01-05,1174.42
21,TATATECH,EQ,N,1179.0,1168.6,1174.7,1171.5,1171.8,1171.35,475513,557412438.9,1400,1151.15,36153,INE142M01025,2024-01-08,1172.23
22,TATATECH,EQ,N,1179.0,1165.0,1178.1,1166.85,1166.7,1171.5,733601,858991054.9,1400,1151.15,49064,INE142M01025,2024-01-09,1170.92
23,TATATECH,EQ,N,1170.1,1156.0,1170.1,1163.25,1163.0,1166.85,626896,728469651.8,1400,1151.15,49219,INE142M01025,2024-01-10,1162.03
24,TATATECH,EQ,N,1169.0,1158.0,1167.95,1159.6,1161.55,1163.25,636047,738210555.0,1400,1151.15,46349,INE142M01025,2024-01-11,1160.62
25,TATATECH,EQ,N,1202.0,1160.1,1163.7,1167.45,1169.3,1159.6,2470848,2918141732.25,1400,1151.15,96862,INE142M01025,2024-01-12,1181.03
26,TATATECH,EQ,N,1184.9,1169.15,1180.0,1171.75,1173.0,1167.45,757174,888911703.1,1400,1151.15,42561,INE142M01025,2024-01-15,1173.99
