,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TECHM,EQ,N,754.45,734.4,742.0,744.55,744.4,744.4,3784522,2819652716.45,846.5,607.15,99512,INE669C01036,2020-03-02,745.05
996,TECHM,EQ,N,757.65,742.1,750.0,752.3,755.2,744.55,2168900,1625039056.6,846.5,607.15,53848,INE669C01036,2020-03-03,749.25
1000,TECHM,EQ,N,774.85,748.0,754.0,771.3,770.0,752.3,2685540,2041752643.3,846.5,607.15,87743,INE669C01036,2020-03-04,760.28
1006,TECHM,EQ,N,784.0,752.35,769.95,756.1,758.15,771.3,2126955,1639063056.3,846.5,607.15,94840,INE669C01036,2020-03-05,770.61
1007,TECHM,EQ,N,749.75,731.4,746.1,740.4,741.2,756.1,2004893,1488833609.75,846.5,607.15,65797,INE669C01036,2020-03-06,742.6
1008,TECHM,EQ,N,730.0,696.55,715.0,704.8,703.75,740.4,3429034,2428157421.05,846.5,607.15,122068,INE669C01036,2020-03-09,708.12
1009,TECHM,EQ,N,713.9,666.0,681.0,708.55,710.8,704.8,4626235,3238694414.15,846.5,607.15,104365,INE669C01036,2020-03-11,700.07
1010,TECHM,EQ,N,690.0,637.1,676.0,649.85,650.0,708.55,3796969,2494693877.05,846.5,607.15,91235,INE669C01036,2020-03-12,657.02
1011,TECHM,EQ,N,670.0,525.9,603.25,655.95,663.25,649.85,4553639,2863925382.8,846.5,525.9,115937,INE669C01036,2020-03-13,628.93
1012,TECHM,EQ,N,634.8,591.0,634.8,603.4,609.9,655.95,6499358,3958056619.55,846.5,525.9,123457,INE669C01036,2020-03-16,608.99
1013,TECHM,EQ,N,617.95,583.3,600.0,595.45,600.0,603.4,3333751,2017728863.4,846.5,525.9,91710,INE669C01036,2020-03-17,605.24
1014,TECHM,EQ,N,611.25,570.65,600.0,579.65,581.0,595.45,3548532,2098833639.55,846.5,525.9,85476,INE669C01036,2020-03-18,591.47
1015,TECHM,EQ,N,577.65,523.0,549.65,530.0,538.8,579.65,4932164,2694861622.75,846.5,523.0,108237,INE669C01036,2020-03-19,546.39
1016,TECHM,EQ,N,595.45,525.1,525.1,576.35,567.0,530.0,6316078,3591614181.9,846.5,523.0,117417,INE669C01036,2020-03-20,568.65
1017,TECHM,EQ,N,542.0,471.4,540.0,487.2,494.9,576.35,2912769,1503732872.85,846.5,471.4,82821,INE669C01036,2020-03-23,516.26
1018,TECHM,EQ,N,533.95,487.0,487.0,503.5,498.0,487.2,4082147,2075254661.7,846.5,471.4,129792,INE669C01036,2020-03-24,508.37
1019,TECHM,EQ,N,542.85,507.05,509.0,526.7,525.0,503.5,3664272,1919732607.7,846.5,471.4,94678,INE669C01036,2020-03-25,523.91
1020,TECHM,EQ,N,564.9,513.0,539.35,515.2,519.9,526.7,5979874,3150274656.5,846.5,471.4,115495,INE669C01036,2020-03-26,526.81
1021,TECHM,EQ,N,538.8,498.0,525.0,504.1,500.5,515.2,4672189,2407767505.9,846.5,471.4,84744,INE669C01036,2020-03-27,515.34
