,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TIINDIA,EQ,N,554.75,530.0,530.0,546.85,543.5,528.0,138872,76162598.0,577.0,325.2,8942,INE974X01010,2020-03-02,548.44
996,TIINDIA,EQ,N,561.45,500.0,560.0,527.8,520.5,546.85,99395,52137892.7,577.0,325.2,5515,INE974X01010,2020-03-03,524.55
1000,TIINDIA,EQ,N,537.85,511.25,535.55,523.95,519.9,527.8,1337821,700955962.55,577.0,325.2,6990,INE974X01010,2020-03-04,523.95
1005,TIINDIA,EQ,N,536.95,522.05,529.8,532.15,532.35,523.95,586881,308751581.85,577.0,325.2,10475,INE974X01010,2020-03-05,526.09
1006,TIINDIA,EQ,N,517.9,496.0,511.0,504.8,505.0,532.15,161585,82003989.55,577.0,325.2,11521,INE974X01010,2020-03-06,507.5
1007,TIINDIA,EQ,N,514.0,497.7,500.0,505.9,505.3,504.8,57378,29005690.2,577.0,325.2,1879,INE974X01010,2020-03-09,505.52
1008,TIINDIA,EQ,N,509.0,497.8,504.0,501.95,501.95,505.9,139397,69930355.4,577.0,325.2,13050,INE974X01010,2020-03-11,501.66
1009,TIINDIA,EQ,N,494.9,465.0,494.9,481.5,480.0,501.95,500724,238816066.05,577.0,325.2,14080,INE974X01010,2020-03-12,476.94
1010,TIINDIA,EQ,N,482.0,400.0,420.55,470.5,474.95,481.5,168541,78693585.4,577.0,325.2,13426,INE974X01010,2020-03-13,466.91
1011,TIINDIA,EQ,N,483.3,423.55,452.55,471.1,467.55,470.5,174182,81476606.15,577.0,325.2,18255,INE974X01010,2020-03-16,467.77
1012,TIINDIA,EQ,N,468.75,439.0,460.0,450.0,450.0,471.1,209476,94888231.8,577.0,325.2,13156,INE974X01010,2020-03-17,452.98
1013,TIINDIA,EQ,N,464.45,412.55,464.45,429.5,441.75,450.0,87432,37654879.9,577.0,325.2,8386,INE974X01010,2020-03-18,430.68
1014,TIINDIA,EQ,N,415.5,376.0,401.75,388.75,384.15,429.5,244572,95261801.0,577.0,325.2,14420,INE974X01010,2020-03-19,389.5
1015,TIINDIA,EQ,N,401.8,377.3,377.3,385.55,380.2,388.75,654309,253311674.55,577.0,325.2,23567,INE974X01010,2020-03-20,387.14
1016,TIINDIA,EQ,N,360.8,309.0,320.0,346.2,347.0,385.55,48491,16186015.35,577.0,309.0,2699,INE974X01010,2020-03-23,333.79
1017,TIINDIA,EQ,N,353.05,284.85,342.1,302.2,293.0,346.2,159901,49662971.1,577.0,284.85,10967,INE974X01010,2020-03-24,310.59
1018,TIINDIA,EQ,N,300.0,285.2,300.0,298.05,287.2,302.2,26142,7811266.75,577.0,284.85,2251,INE974X01010,2020-03-25,298.8
1019,TIINDIA,EQ,N,317.4,270.0,295.1,310.15,311.1,298.05,379089,116337848.75,577.0,270.0,1871,INE974X01010,2020-03-26,306.89
1020,TIINDIA,EQ,N,331.95,304.0,315.0,305.1,304.75,310.15,182754,56842652.4,577.0,270.0,4914,INE974X01010,2020-03-27,311.03
