,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TITAN,EQ,N,1294.0,1228.0,1275.0,1244.15,1248.15,1254.5,2773593,3537295737.1,1389.95,998.0,105276,INE280A01028,2020-03-02,1275.35
996,TITAN,EQ,N,1272.0,1225.0,1248.2,1247.0,1250.0,1244.15,2660100,3305389926.9,1389.95,998.0,123087,INE280A01028,2020-03-03,1242.58
1000,TITAN,EQ,N,1265.65,1217.3,1251.95,1250.95,1252.9,1247.0,3007393,3728343836.75,1389.95,998.0,119632,INE280A01028,2020-03-04,1239.73
1005,TITAN,EQ,N,1265.15,1242.2,1253.5,1259.15,1255.5,1250.95,1555538,1953813106.05,1389.95,998.0,85503,INE280A01028,2020-03-05,1256.04
1006,TITAN,EQ,N,1246.95,1219.7,1229.0,1242.6,1241.9,1259.15,1678642,2074039141.6,1389.95,998.0,81570,INE280A01028,2020-03-06,1235.55
1007,TITAN,EQ,N,1241.85,1175.0,1225.0,1203.45,1208.0,1242.6,2285790,2753789238.0,1389.95,998.0,96508,INE280A01028,2020-03-09,1204.74
1008,TITAN,EQ,N,1213.35,1177.55,1197.95,1187.65,1185.95,1203.45,2314388,2753952055.1,1389.95,998.0,101381,INE280A01028,2020-03-11,1189.93
1009,TITAN,EQ,N,1153.95,1064.65,1150.0,1076.75,1090.0,1187.65,3609158,3946165098.5,1389.95,998.0,144034,INE280A01028,2020-03-12,1093.38
1010,TITAN,EQ,N,1134.7,946.05,1055.6,1084.35,1085.0,1076.75,4337351,4596748334.8,1389.95,946.05,155540,INE280A01028,2020-03-13,1059.81
1011,TITAN,EQ,N,1049.95,983.0,1049.95,1011.35,1008.0,1084.35,3443945,3489176561.1,1389.95,946.05,151290,INE280A01028,2020-03-16,1013.13
1012,TITAN,EQ,N,1038.0,977.8,1005.0,1001.0,1006.75,1011.35,2985174,3020709979.45,1389.95,946.05,161370,INE280A01028,2020-03-17,1011.9
1013,TITAN,EQ,N,1028.0,921.0,1028.0,930.75,927.85,1001.0,5508581,5200966372.7,1389.95,921.0,230234,INE280A01028,2020-03-18,944.16
1014,TITAN,EQ,N,924.4,839.75,879.95,903.5,902.0,930.75,4838553,4298381820.15,1389.95,839.75,196393,INE280A01028,2020-03-19,888.36
1015,TITAN,EQ,N,934.0,866.0,906.1,904.9,905.0,903.5,4407659,3960515855.55,1389.95,839.75,189761,INE280A01028,2020-03-20,898.55
