,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,TORNTPHARM,EQ,N,2183.2,2110.25,2162.0,2127.25,2116.9,2150.3,284021,612296162.8,2287.25,1452.0,22340,INE685A01028,2020-03-02,2155.81
996,TORNTPHARM,EQ,N,2156.85,2090.5,2127.25,2145.75,2141.6,2127.25,394502,840503945.7,2287.25,1452.0,27498,INE685A01028,2020-03-03,2130.54
1001,TORNTPHARM,EQ,N,2204.4,2135.75,2155.75,2183.15,2169.0,2145.75,639835,1393852615.2,2287.25,1452.0,43214,INE685A01028,2020-03-04,2178.46
1007,TORNTPHARM,EQ,N,2245.0,2168.0,2173.15,2213.95,2209.0,2183.15,601063,1334527147.35,2287.25,1452.0,41986,INE685A01028,2020-03-05,2220.28
1008,TORNTPHARM,EQ,N,2227.75,2160.05,2195.0,2196.1,2187.95,2213.95,501486,1103183862.8,2287.25,1452.0,46777,INE685A01028,2020-03-06,2199.83
1009,TORNTPHARM,EQ,N,2197.5,2020.1,2196.1,2099.65,2105.2,2196.1,461888,969390111.75,2287.25,1452.0,62800,INE685A01028,2020-03-09,2098.76
1010,TORNTPHARM,EQ,N,2161.35,2051.0,2099.65,2138.9,2142.0,2099.65,432383,916520390.15,2287.25,1452.0,40048,INE685A01028,2020-03-11,2119.7
1011,TORNTPHARM,EQ,N,2120.0,1956.8,2095.0,1987.9,1994.2,2138.9,333475,672459908.1,2287.25,1452.0,34507,INE685A01028,2020-03-12,2016.52
1012,TORNTPHARM,EQ,N,2140.85,1790.0,1810.0,1978.5,1963.9,1987.9,659496,1283719626.1,2287.25,1452.0,58722,INE685A01028,2020-03-13,1946.52
1013,TORNTPHARM,EQ,N,2024.0,1868.35,1949.7,1960.15,1966.25,1978.5,679253,1347971324.3,2287.25,1452.0,75726,INE685A01028,2020-03-16,1984.49
1014,TORNTPHARM,EQ,N,2026.55,1931.55,1955.0,1986.0,1999.9,1960.15,393923,781995350.8,2287.25,1452.0,40432,INE685A01028,2020-03-17,1985.15
1015,TORNTPHARM,EQ,N,1999.9,1803.05,1979.0,1815.25,1806.65,1986.0,529872,985267096.9,2287.25,1452.0,59713,INE685A01028,2020-03-18,1859.44
1016,TORNTPHARM,EQ,N,1832.4,1583.25,1780.0,1772.1,1785.0,1815.25,383729,666547264.15,2287.25,1452.0,44256,INE685A01028,2020-03-19,1737.03
1017,TORNTPHARM,EQ,N,1936.45,1786.0,1815.0,1893.9,1857.4,1772.1,583576,1102835981.35,2287.25,1452.0,37993,INE685A01028,2020-03-20,1889.79
1018,TORNTPHARM,EQ,N,1833.7,1707.0,1707.0,1796.15,1794.65,1893.9,306205,545007458.7,2287.25,1452.0,18323,INE685A01028,2020-03-23,1779.88
1019,TORNTPHARM,EQ,N,1920.0,1734.6,1830.95,1818.35,1760.0,1796.15,317838,583468697.35,2287.25,1452.0,33637,INE685A01028,2020-03-24,1835.74
1020,TORNTPHARM,EQ,N,1823.75,1711.5,1777.1,1779.25,1755.0,1818.35,334449,588898403.4,2287.25,1452.0,43381,INE685A01028,2020-03-25,1760.8
1021,TORNTPHARM,EQ,N,1849.6,1761.2,1769.95,1815.35,1805.0,1779.25,288574,522170770.95,2287.25,1452.0,49325,INE685A01028,2020-03-26,1809.49
1022,TORNTPHARM,EQ,N,1895.0,1791.0,1828.95,1860.15,1857.2,1815.35,358853,659468406.65,2287.25,1452.0,38199,INE685A01028,2020-03-27,1837.71
1023,TORNTPHARM,EQ,N,1993.15,1812.7,1820.0,1960.1,1948.05,1860.15,454835,877722632.15,2287.25,1452.0,46114,INE685A01028,2020-03-30,1929.76
1024,TORNTPHARM,EQ,N,2008.0,1952.0,1979.7,1971.8,1968.0,1960.1,324803,644302678.05,2287.25,1452.0,38593,INE685A01028,2020-03-31,1983.67
1025,TORNTPHARM,EQ,N,1983.15,1932.0,1978.0,1959.0,1955.5,1971.8,96972,189872171.65,2287.25,1452.0,11378,INE685A01028,2020-04-01,1958.01
1026,TORNTPHARM,EQ,N,2113.0,1950.0,1979.0,2077.0,2090.0,1959.0,1013029,2088740795.55,2287.25,1452.0,86009,INE685A01028,2020-04-03,2061.88
1027,TORNTPHARM,EQ,N,2388.55,2112.3,2159.75,2354.35,2388.55,2077.0,1104575,2533315623.45,2388.55,1452.0,82157,INE685A01028,2020-04-07,2293.48
1028,TORNTPHARM,EQ,N,2644.9,2360.0,2380.0,2537.35,2550.0,2354.35,2038810,5209237703.75,2644.9,1452.0,128237,INE685A01028,2020-04-08,2555.04
1029,TORNTPHARM,EQ,N,2699.0,2425.0,2699.0,2550.35,2543.0,2537.35,1337620,3385612322.75,2699.0,1452.0,130432,INE685A01028,2020-04-09,2531.07
968,TORNTPHARM,EQ,N,2584.0,2336.0,2551.0,2375.3,2373.0,2550.35,1226493,3024343788.25,2699.0,1452.0,128175,INE685A01028,2020-04-13,2465.85
969,TORNTPHARM,EQ,N,2468.95,2250.15,2376.0,2296.45,2306.6,2375.3,1034987,2456342579.55,2699.0,1452.0,88767,INE685A01028,2020-04-15,2373.31
970,TORNTPHARM,EQ,N,2354.25,2242.6,2313.65,2334.85,2345.0,2296.45,986137,2264234207.75,2699.0,1452.0,67798,INE685A01028,2020-04-16,2296.06
971,TORNTPHARM,EQ,N,2403.9,2225.0,2380.0,2246.8,2265.25,2334.85,1219315,2792190397.65,2699.0,1452.0,117811,INE685A01028,2020-04-17,2289.97
972,TORNTPHARM,EQ,N,2395.7,2256.6,2266.0,2331.25,2309.0,2246.8,811360,1898385364.5,2699.0,1452.0,68592,INE685A01028,2020-04-20,2339.76
973,TORNTPHARM,EQ,N,2460.0,2260.0,2268.95,2350.55,2353.55,2331.25,1093085,2624102471.55,2699.0,1452.0,81266,INE685A01028,2020-04-21,2400.64
974,TORNTPHARM,EQ,N,2455.0,2355.0,2368.1,2444.25,2452.45,2350.55,841982,2036348972.75,2699.0,1452.0,74223,INE685A01028,2020-04-22,2418.52
975,TORNTPHARM,EQ,N,2549.0,2403.0,2479.85,2422.65,2435.0,2444.25,855019,2118373839.15,2699.0,1452.0,59114,INE685A01028,2020-04-23,2477.58
976,TORNTPHARM,EQ,N,2488.0,2361.65,2430.0,2430.5,2440.0,2422.65,676697,1646283812.9,2699.0,1452.0,43176,INE685A01028,2020-04-24,2432.82
977,TORNTPHARM,EQ,N,2524.9,2422.55,2475.0,2509.1,2523.3,2430.5,886661,2190827796.9,2699.0,1452.0,37164,INE685A01028,2020-04-27,2470.87
978,TORNTPHARM,EQ,N,2575.0,2460.0,2539.0,2480.65,2489.0,2509.1,693564,1730802915.95,2699.0,1452.0,41532,INE685A01028,2020-04-28,2495.52
979,TORNTPHARM,EQ,N,2534.95,2396.6,2490.0,2420.35,2423.0,2480.65,431182,1052012384.35,2699.0,1452.0,30617,INE685A01028,2020-04-29,2439.83
980,TORNTPHARM,EQ,N,2472.0,2320.45,2460.1,2345.4,2347.0,2420.35,711473,1677791166.75,2699.0,1452.0,68066,INE685A01028,2020-04-30,2358.19
981,TORNTPHARM,EQ,N,2425.0,2322.0,2340.0,2375.85,2371.9,2345.4,1005595,2405235916.0,2699.0,1452.0,56636,INE685A01028,2020-05-04,2391.85
982,TORNTPHARM,EQ,N,2440.0,2352.7,2406.6,2365.85,2364.05,2375.85,571452,1369672711.85,2699.0,1452.0,35210,INE685A01028,2020-05-05,2396.83
983,TORNTPHARM,EQ,N,2397.9,2296.45,2360.0,2320.7,2322.1,2365.85,414431,975468783.9,2699.0,1452.0,29342,INE685A01028,2020-05-06,2353.75
984,TORNTPHARM,EQ,N,2430.0,2331.65,2338.0,2354.6,2365.0,2320.7,516753,1223486094.85,2699.0,1452.0,36972,INE685A01028,2020-05-07,2367.64
985,TORNTPHARM,EQ,N,2450.0,2346.2,2390.0,2438.6,2444.2,2354.6,606554,1462943967.7,2699.0,1452.0,33508,INE685A01028,2020-05-08,2411.89
986,TORNTPHARM,EQ,N,2509.4,2442.95,2455.0,2495.9,2506.0,2438.6,813951,2017848111.8,2699.0,1452.0,48946,INE685A01028,2020-05-11,2479.08
987,TORNTPHARM,EQ,N,2525.0,2398.55,2518.0,2445.3,2440.35,2495.9,657312,1619890293.7,2699.0,1452.0,49285,INE685A01028,2020-05-12,2464.42
988,TORNTPHARM,EQ,N,2501.0,2358.0,2490.0,2404.15,2397.15,2445.3,738126,1770081861.75,2699.0,1452.0,74150,INE685A01028,2020-05-13,2398.08
989,TORNTPHARM,EQ,N,2448.95,2374.2,2398.75,2408.5,2418.6,2404.15,563271,1360653044.65,2699.0,1452.0,60987,INE685A01028,2020-05-14,2415.63
990,TORNTPHARM,EQ,N,2470.0,2416.0,2430.0,2461.45,2460.0,2408.5,929318,2280860662.1,2699.0,1452.0,91198,INE685A01028,2020-05-15,2454.34
991,TORNTPHARM,EQ,N,2529.65,2466.0,2470.0,2497.25,2500.0,2461.45,991837,2484472190.55,2699.0,1452.0,81201,INE685A01028,2020-05-18,2504.92
992,TORNTPHARM,EQ,N,2532.7,2468.0,2510.0,2499.05,2497.7,2497.25,559421,1396498416.75,2699.0,1452.0,41436,INE685A01028,2020-05-19,2496.33
993,TORNTPHARM,EQ,N,2594.1,2489.8,2500.0,2569.55,2585.0,2499.05,716061,1822518768.5,2699.0,1452.0,73740,INE685A01028,2020-05-20,2545.2
941,TORNTPHARM,EQ,N,2633.35,2560.0,2582.0,2618.75,2617.35,2569.55,663661,1725077228.9,2699.0,1452.0,62412,INE685A01028,2020-05-21,2599.33
942,TORNTPHARM,EQ,N,2630.0,2589.3,2614.95,2601.0,2599.4,2618.75,648403,1690838988.15,2699.0,1452.0,56570,INE685A01028,2020-05-22,2607.7
943,TORNTPHARM,EQ,N,2631.0,2555.05,2620.0,2581.55,2579.55,2601.0,1016734,2630482033.45,2699.0,1452.0,107664,INE685A01028,2020-05-26,2587.19
944,TORNTPHARM,EQ,N,2614.0,2372.3,2598.95,2402.55,2405.0,2581.55,2379212,5876828523.0,2699.0,1452.0,159712,INE685A01028,2020-05-27,2470.07
945,TORNTPHARM,EQ,N,2422.5,2331.05,2412.9,2357.95,2357.95,2402.55,1371024,3238332026.95,2699.0,1452.0,107185,INE685A01028,2020-05-28,2361.98
946,TORNTPHARM,EQ,N,2442.1,2281.2,2362.0,2362.55,2298.35,2357.95,8623799,20482719498.05,2699.0,1452.0,359546,INE685A01028,2020-05-29,2375.14
947,TORNTPHARM,EQ,N,2347.0,2296.25,2318.9,2327.0,2324.5,2362.55,1171021,2717384673.35,2699.0,1452.0,58254,INE685A01028,2020-06-01,2320.53
948,TORNTPHARM,EQ,N,2393.35,2310.1,2327.0,2369.45,2371.55,2327.0,749262,1776183050.75,2699.0,1452.0,51917,INE685A01028,2020-06-02,2370.58
949,TORNTPHARM,EQ,N,2407.5,2280.0,2382.2,2307.75,2308.05,2369.45,1609832,3731007103.5,2699.0,1452.0,64524,INE685A01028,2020-06-03,2317.64
950,TORNTPHARM,EQ,N,2379.5,2302.2,2310.0,2365.85,2367.25,2307.75,872170,2055626781.1,2699.0,1452.0,46535,INE685A01028,2020-06-04,2356.91
951,TORNTPHARM,EQ,N,2406.4,2354.35,2385.0,2367.75,2369.65,2365.85,447885,1066067157.7,2699.0,1452.0,22526,INE685A01028,2020-06-05,2380.23
952,TORNTPHARM,EQ,N,2389.0,2330.0,2389.0,2366.25,2360.05,2367.75,480185,1136115498.75,2699.0,1452.0,37039,INE685A01028,2020-06-08,2366.0
953,TORNTPHARM,EQ,N,2444.95,2366.25,2377.9,2376.95,2384.0,2366.25,947363,2288695606.3,2699.0,1452.0,44328,INE685A01028,2020-06-09,2415.86
