,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,UBL,EQ,N,1272.0,1201.0,1255.2,1217.05,1220.0,1245.65,677021,844174190.45,1483.7,1185.0,14727,INE686F01025,2020-03-02,1246.9
996,UBL,EQ,N,1245.0,1205.0,1229.5,1233.55,1236.0,1217.05,291160,356876561.9,1483.7,1185.0,8620,INE686F01025,2020-03-03,1225.71
1000,UBL,EQ,N,1252.95,1181.9,1233.0,1227.45,1235.0,1233.55,708151,863107431.8,1483.7,1181.9,20837,INE686F01025,2020-03-04,1218.82
1006,UBL,EQ,N,1255.4,1225.1,1234.5,1248.0,1238.5,1227.45,301633,374528563.7,1483.7,1181.9,9121,INE686F01025,2020-03-05,1241.67
1007,UBL,EQ,N,1241.0,1204.7,1204.7,1226.75,1220.0,1248.0,287133,352548866.55,1483.7,1181.9,8074,INE686F01025,2020-03-06,1227.82
1008,UBL,EQ,N,1220.0,1180.15,1210.5,1188.25,1195.0,1226.75,595110,711318228.7,1483.7,1180.15,26875,INE686F01025,2020-03-09,1195.27
1009,UBL,EQ,N,1196.2,1132.0,1194.0,1172.95,1167.0,1188.25,759433,879927052.3,1483.7,1132.0,28630,INE686F01025,2020-03-11,1158.66
1010,UBL,EQ,N,1150.0,1017.45,1140.05,1081.95,1090.0,1172.95,857366,941026821.15,1483.7,1017.45,31399,INE686F01025,2020-03-12,1097.58
1011,UBL,EQ,N,1182.95,925.0,1001.0,1048.7,1050.0,1081.95,855802,901786485.45,1483.7,925.0,32872,INE686F01025,2020-03-13,1053.73
1012,UBL,EQ,N,1023.45,965.0,1018.4,975.3,977.15,1048.7,276304,274797726.25,1483.7,925.0,20022,INE686F01025,2020-03-16,994.55
1013,UBL,EQ,N,1012.95,945.05,976.0,955.05,959.5,975.3,753222,743404338.45,1483.7,925.0,28995,INE686F01025,2020-03-17,986.97
1014,UBL,EQ,N,993.2,881.0,965.05,890.95,881.0,955.05,297069,274089155.9,1483.7,881.0,13169,INE686F01025,2020-03-18,922.64
1015,UBL,EQ,N,952.45,749.5,857.7,879.0,868.15,890.95,1131019,967689397.1,1483.7,749.5,41034,INE686F01025,2020-03-19,855.59
1016,UBL,EQ,N,932.95,863.8,870.0,892.45,900.15,879.0,439697,396787841.5,1483.7,749.5,16000,INE686F01025,2020-03-20,902.41
1017,UBL,EQ,N,840.0,765.0,840.0,802.5,801.85,892.45,263423,211343356.8,1483.7,749.5,9185,INE686F01025,2020-03-23,802.3
1018,UBL,EQ,N,882.0,765.0,835.0,832.5,882.0,802.5,400351,328844402.45,1483.7,749.5,18279,INE686F01025,2020-03-24,821.39
1019,UBL,EQ,N,915.3,832.5,832.5,882.4,910.0,832.5,1413012,1241664367.1,1483.7,749.5,48333,INE686F01025,2020-03-25,878.74
1020,UBL,EQ,N,967.95,883.25,890.0,894.65,898.55,882.4,763377,699516488.8,1483.7,749.5,39540,INE686F01025,2020-03-26,916.34
1021,UBL,EQ,N,935.0,895.0,935.0,905.15,905.4,894.65,1043742,942025205.7,1483.7,749.5,37874,INE686F01025,2020-03-27,902.55
1022,UBL,EQ,N,921.8,870.05,905.0,906.1,910.6,905.15,358204,324133030.65,1483.7,749.5,14794,INE686F01025,2020-03-30,904.88
1023,UBL,EQ,N,931.35,899.15,916.1,918.85,917.45,906.1,164142,150110184.8,1483.7,749.5,10494,INE686F01025,2020-03-31,914.51
1024,UBL,EQ,N,938.1,882.7,927.5,889.7,895.0,918.85,357548,321059111.85,1483.7,749.5,26246,INE686F01025,2020-04-01,897.95
1025,UBL,EQ,N,899.25,860.0,895.0,886.95,882.1,889.7,490414,430553191.2,1483.7,749.5,36090,INE686F01025,2020-04-03,877.94
