,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,UCOBANK,EQ,N,13.0,12.25,12.55,12.4,12.5,12.35,452562,5705146.6,22.4,11.4,1721,INE691A01018,2020-03-02,12.61
996,UCOBANK,EQ,N,12.85,12.2,12.85,12.35,12.3,12.4,392657,4885365.9,22.4,11.4,1543,INE691A01018,2020-03-03,12.44
1000,UCOBANK,EQ,N,12.8,12.1,12.35,12.35,12.4,12.35,817490,10150575.85,22.4,11.4,2348,INE691A01018,2020-03-04,12.42
1006,UCOBANK,EQ,N,12.7,12.2,12.4,12.45,12.45,12.35,757672,9468586.15,22.4,11.4,2043,INE691A01018,2020-03-05,12.5
1007,UCOBANK,EQ,N,12.0,11.45,11.8,11.9,12.0,12.45,732552,8661893.6,22.4,11.4,2524,INE691A01018,2020-03-06,11.82
1008,UCOBANK,EQ,N,11.9,11.05,11.9,11.35,11.35,11.9,761222,8686412.35,22.4,11.05,2462,INE691A01018,2020-03-09,11.41
1009,UCOBANK,EQ,N,11.7,11.3,11.55,11.5,11.5,11.35,558432,6417258.05,22.4,11.05,2283,INE691A01018,2020-03-11,11.49
1010,UCOBANK,EQ,N,11.3,10.75,11.3,10.95,10.9,11.5,963438,10543987.55,22.4,10.75,2829,INE691A01018,2020-03-12,10.94
1011,UCOBANK,EQ,N,12.9,9.75,10.0,11.1,11.1,10.95,1296137,14072193.2,22.4,9.75,3672,INE691A01018,2020-03-13,10.86
1012,UCOBANK,EQ,N,10.95,10.2,10.95,10.75,10.9,11.1,643816,6934614.5,22.4,9.75,2212,INE691A01018,2020-03-16,10.77
1013,UCOBANK,EQ,N,11.05,10.65,10.85,10.75,10.7,10.75,658132,7141043.45,22.4,9.75,2990,INE691A01018,2020-03-17,10.85
1014,UCOBANK,EQ,N,10.85,10.1,10.8,10.25,10.35,10.75,785616,8295946.5,22.4,9.75,3232,INE691A01018,2020-03-18,10.56
1015,UCOBANK,EQ,N,10.25,9.75,10.25,9.95,9.9,10.25,952026,9469936.9,22.4,9.75,3743,INE691A01018,2020-03-19,9.95
1016,UCOBANK,EQ,N,10.1,9.6,10.0,9.7,9.75,9.95,1397032,13685185.4,22.4,9.6,2605,INE691A01018,2020-03-20,9.8
1017,UCOBANK,EQ,N,10.75,9.0,9.5,9.2,9.3,9.7,748953,6997832.85,22.4,9.0,2756,INE691A01018,2020-03-23,9.34
1018,UCOBANK,EQ,N,9.65,8.8,9.3,8.95,9.05,9.2,788202,7092209.1,22.4,8.8,2640,INE691A01018,2020-03-24,9.0
1019,UCOBANK,EQ,N,9.05,8.45,9.05,8.55,8.5,8.95,1196993,10247361.8,22.4,8.45,2490,INE691A01018,2020-03-25,8.56
1020,UCOBANK,EQ,N,9.0,8.4,8.65,8.85,8.85,8.55,890067,7871862.55,22.4,8.4,2254,INE691A01018,2020-03-26,8.84
1021,UCOBANK,EQ,N,9.6,9.0,9.3,9.05,9.2,8.85,1547817,14452572.2,22.4,8.4,3959,INE691A01018,2020-03-27,9.34
1022,UCOBANK,EQ,N,9.05,8.7,9.05,9.0,9.0,9.05,316901,2828784.65,22.4,8.4,1570,INE691A01018,2020-03-30,8.93
1023,UCOBANK,EQ,N,9.25,8.9,9.05,9.05,9.05,9.0,463802,4200645.65,22.4,8.4,1891,INE691A01018,2020-03-31,9.06
1024,UCOBANK,EQ,N,9.2,8.8,9.15,9.15,9.2,9.05,376281,3407699.0,22.4,8.4,1430,INE691A01018,2020-04-01,9.06
1025,UCOBANK,EQ,N,9.25,9.0,9.25,9.05,9.1,9.15,351207,3186772.5,22.4,8.4,1529,INE691A01018,2020-04-03,9.07
1026,UCOBANK,EQ,N,9.25,9.05,9.15,9.15,9.15,9.05,330474,3020911.5,22.4,8.4,1481,INE691A01018,2020-04-07,9.14
1027,UCOBANK,EQ,N,9.4,8.9,9.15,9.05,9.05,9.15,710391,6498115.75,22.4,8.4,2422,INE691A01018,2020-04-08,9.15
1028,UCOBANK,EQ,N,9.25,9.05,9.15,9.2,9.25,9.05,644772,5919512.7,22.4,8.4,1932,INE691A01018,2020-04-09,9.18
968,UCOBANK,EQ,N,9.3,9.1,9.25,9.1,9.1,9.2,356180,3252477.6,22.4,8.4,5900,INE691A01018,2020-04-13,9.13
969,UCOBANK,EQ,N,9.45,9.15,9.15,9.3,9.35,9.1,570114,5282083.0,22.4,8.4,7295,INE691A01018,2020-04-15,9.26
