,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ULTRACEMCO,EQ,N,4316.3,4078.55,4255.0,4141.7,4152.0,4219.6,378937,1607462662.95,4904.95,3791.1,33251,INE481G01011,2020-03-02,4242.03
996,ULTRACEMCO,EQ,N,4329.0,4157.55,4179.9,4299.9,4314.0,4141.7,606056,2569192923.35,4904.95,3791.1,55166,INE481G01011,2020-03-03,4239.2
1001,ULTRACEMCO,EQ,N,4325.0,4117.0,4310.05,4172.8,4180.0,4299.9,750952,3152921360.85,4904.95,3791.1,62088,INE481G01011,2020-03-04,4198.57
1006,ULTRACEMCO,EQ,N,4230.0,4151.6,4182.05,4205.55,4195.0,4172.8,450539,1891900109.35,4904.95,3791.1,37854,INE481G01011,2020-03-05,4199.19
1007,ULTRACEMCO,EQ,N,4193.3,4010.0,4092.6,4167.85,4168.0,4205.55,585749,2415309134.35,4904.95,3791.1,56057,INE481G01011,2020-03-06,4123.45
1008,ULTRACEMCO,EQ,N,4164.55,3995.0,4070.0,4097.35,4065.0,4167.85,588288,2414688137.0,4904.95,3791.1,67061,INE481G01011,2020-03-09,4104.6
1009,ULTRACEMCO,EQ,N,4111.85,3962.7,4070.0,3993.4,4000.0,4097.35,776064,3120414640.8,4904.95,3791.1,80483,INE481G01011,2020-03-11,4020.82
1010,ULTRACEMCO,EQ,N,3890.0,3612.5,3890.0,3663.5,3660.0,3993.4,992102,3697638685.85,4904.95,3612.5,95183,INE481G01011,2020-03-12,3727.08
1011,ULTRACEMCO,EQ,N,4011.5,3114.0,3470.3,3788.9,3786.9,3663.5,1378943,5097578850.0,4904.95,3114.0,89556,INE481G01011,2020-03-13,3696.73
1012,ULTRACEMCO,EQ,N,3660.0,3405.0,3650.0,3518.05,3520.0,3788.9,975878,3459002950.95,4904.95,3114.0,95159,INE481G01011,2020-03-16,3544.5
1013,ULTRACEMCO,EQ,N,3575.0,3454.7,3520.0,3470.45,3507.95,3518.05,563725,1980448902.1,4904.95,3114.0,63664,INE481G01011,2020-03-17,3513.15
1014,ULTRACEMCO,EQ,N,3537.9,3270.5,3537.9,3303.55,3302.95,3470.45,790527,2652462109.15,4904.95,3114.0,82155,INE481G01011,2020-03-18,3355.31
1015,ULTRACEMCO,EQ,N,3389.75,2955.6,3139.0,3166.05,3195.0,3303.55,790263,2534948332.9,4904.95,2955.6,68282,INE481G01011,2020-03-19,3207.73
1016,ULTRACEMCO,EQ,N,3656.8,3140.35,3185.0,3573.85,3561.0,3166.05,826169,2826136073.1,4904.95,2955.6,70221,INE481G01011,2020-03-20,3420.77
1017,ULTRACEMCO,EQ,N,3290.4,3037.8,3220.0,3054.85,3054.9,3573.85,883620,2737984057.5,4904.95,2955.6,117405,INE481G01011,2020-03-23,3098.6
1018,ULTRACEMCO,EQ,N,3237.2,2967.45,3100.0,3018.1,3030.0,3054.85,1105711,3417578625.95,4904.95,2955.6,152781,INE481G01011,2020-03-24,3090.84
1019,ULTRACEMCO,EQ,N,3290.0,2910.0,2968.2,3228.6,3155.0,3018.1,874546,2743111792.35,4904.95,2910.0,135197,INE481G01011,2020-03-25,3136.61
1020,ULTRACEMCO,EQ,N,3385.0,3153.6,3230.0,3229.15,3256.0,3228.6,931742,3017758539.9,4904.95,2910.0,97282,INE481G01011,2020-03-26,3238.83
1021,ULTRACEMCO,EQ,N,3390.0,3102.4,3390.0,3143.6,3143.6,3229.15,471397,1512404777.5,4904.95,2910.0,72500,INE481G01011,2020-03-27,3208.35
1022,ULTRACEMCO,EQ,N,3150.0,3070.0,3116.0,3085.9,3089.85,3143.6,507698,1573754728.05,4904.95,2910.0,52736,INE481G01011,2020-03-30,3099.79
1023,ULTRACEMCO,EQ,N,3279.05,3100.0,3140.0,3244.85,3216.0,3085.9,637366,2061174922.7,4904.95,2910.0,106980,INE481G01011,2020-03-31,3233.9
1024,ULTRACEMCO,EQ,N,3259.95,3105.25,3245.0,3140.65,3142.0,3244.85,390613,1232307235.95,4904.95,2910.0,35535,INE481G01011,2020-04-01,3154.8
1025,ULTRACEMCO,EQ,N,3191.0,3025.0,3189.0,3041.6,3032.95,3140.65,406173,1252238930.1,4904.95,2910.0,42250,INE481G01011,2020-04-03,3083.02
1026,ULTRACEMCO,EQ,N,3345.75,3080.25,3184.95,3279.5,3274.0,3041.6,646709,2077550744.5,4904.95,2910.0,66028,INE481G01011,2020-04-07,3212.5
1027,ULTRACEMCO,EQ,N,3384.85,3197.25,3241.0,3256.45,3256.45,3279.5,647503,2127363491.5,4904.95,2910.0,64114,INE481G01011,2020-04-08,3285.49
1028,ULTRACEMCO,EQ,N,3389.8,3258.5,3301.0,3366.05,3347.1,3256.45,501496,1664961061.35,4904.95,2910.0,46539,INE481G01011,2020-04-09,3319.99
968,ULTRACEMCO,EQ,N,3631.25,3290.6,3347.1,3466.1,3486.05,3366.05,1107263,3859682034.15,4904.95,2910.0,87581,INE481G01011,2020-04-13,3485.79
969,ULTRACEMCO,EQ,N,3674.0,3531.5,3560.0,3600.15,3599.8,3466.1,1239945,4466718298.05,4904.95,2910.0,81029,INE481G01011,2020-04-15,3602.35
