,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,MINDAIND,EQ,N,377.95,360.65,373.25,365.95,371.0,373.1,156332,57574845.4,425.9,262.35,4171,INE405E01023,2020-03-02,368.29
996,MINDAIND,EQ,N,370.0,365.0,365.1,367.95,368.85,365.95,158796,58206432.05,425.9,262.35,4254,INE405E01023,2020-03-03,366.55
1003,MINDAIND,EQ,N,365.6,361.05,365.5,362.6,362.0,367.95,66215,24007241.5,425.9,262.35,2465,INE405E01023,2020-03-04,362.57
1008,MINDAIND,EQ,N,365.0,347.3,361.5,357.05,357.0,362.6,176518,62714199.95,425.9,262.35,5822,INE405E01023,2020-03-05,355.29
1009,MINDAIND,EQ,N,352.05,332.95,340.0,347.95,349.9,357.05,170194,58119729.4,425.9,262.35,6987,INE405E01023,2020-03-06,341.49
1010,MINDAIND,EQ,N,344.95,334.0,344.95,338.05,335.0,347.95,137633,46594436.25,425.9,262.35,3804,INE405E01023,2020-03-09,338.54
1011,MINDAIND,EQ,N,343.45,333.3,335.25,338.75,335.0,338.05,123583,41988239.8,425.9,262.35,3697,INE405E01023,2020-03-11,339.76
1012,MINDAIND,EQ,N,334.95,303.25,324.0,329.95,333.0,338.75,222005,69571723.65,425.9,262.35,8651,INE405E01023,2020-03-12,313.38
1013,MINDAIND,EQ,N,334.0,265.6,276.3,324.25,320.0,329.95,181759,56615527.3,425.9,262.35,7485,INE405E01023,2020-03-13,311.49
1014,MINDAIND,EQ,N,315.0,302.0,315.0,309.6,306.5,324.25,114915,35539664.4,425.9,262.35,4334,INE405E01023,2020-03-16,309.27
1015,MINDAIND,EQ,N,308.4,288.05,303.2,293.15,292.0,309.6,159372,47529601.55,425.9,262.35,4926,INE405E01023,2020-03-17,298.23
1016,MINDAIND,EQ,N,309.95,245.0,293.55,257.4,249.4,293.15,224118,61170636.2,425.9,245.0,9772,INE405E01023,2020-03-18,272.94
1017,MINDAIND,EQ,N,263.0,206.25,233.2,252.7,250.0,257.4,363666,85043023.55,425.9,206.25,12895,INE405E01023,2020-03-19,233.85
1018,MINDAIND,EQ,N,292.85,235.3,252.7,266.6,260.0,252.7,200512,53377167.8,425.9,206.25,7483,INE405E01023,2020-03-20,266.2
1019,MINDAIND,EQ,N,258.9,213.3,220.0,214.1,213.5,266.6,274879,60587543.2,425.9,206.25,11485,INE405E01023,2020-03-23,220.42
1020,MINDAIND,EQ,N,244.1,215.0,221.0,229.95,232.1,214.1,103172,23344638.8,425.9,206.25,4038,INE405E01023,2020-03-24,226.27
1021,MINDAIND,EQ,N,251.35,220.0,221.0,246.95,245.55,229.95,167522,41049924.05,425.9,206.25,8142,INE405E01023,2020-03-25,245.04
1022,MINDAIND,EQ,N,250.0,230.0,246.95,242.9,243.05,246.95,231321,56638819.95,425.9,206.25,7572,INE405E01023,2020-03-26,244.85
1023,MINDAIND,EQ,N,279.3,225.0,252.0,235.3,235.0,242.9,205377,48686077.1,425.9,206.25,10208,INE405E01023,2020-03-27,237.06
1024,MINDAIND,EQ,N,234.7,220.0,226.2,226.8,229.3,235.3,234144,52968703.25,425.9,206.25,12239,INE405E01023,2020-03-30,226.22
1025,MINDAIND,EQ,N,255.0,228.0,244.0,240.4,250.0,226.8,66555,15682294.75,425.9,206.25,2555,INE405E01023,2020-03-31,235.63
1026,MINDAIND,EQ,N,247.0,227.2,247.0,233.05,232.0,240.4,113095,26301205.75,425.9,206.25,7935,INE405E01023,2020-04-01,232.56
