,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,UPL,EQ,N,541.6,509.6,527.0,514.35,512.65,519.7,1907596,1008952469.45,1043.75,497.85,29665,INE628A01036,2020-03-02,528.91
996,UPL,EQ,N,526.65,512.55,519.9,521.55,521.25,514.35,2499968,1300487434.8,1043.75,497.85,45621,INE628A01036,2020-03-03,520.2
1001,UPL,EQ,N,533.6,498.1,525.0,511.6,510.25,521.55,4037644,2081939760.4,1043.75,497.85,61101,INE628A01036,2020-03-04,515.63
1006,UPL,EQ,N,529.0,513.0,518.9,516.05,516.0,511.6,2794208,1459692390.05,1043.75,497.85,65897,INE628A01036,2020-03-05,522.4
1007,UPL,EQ,N,516.85,491.35,499.0,513.6,513.35,516.05,3567046,1808304876.25,1043.75,491.35,70373,INE628A01036,2020-03-06,506.95
1008,UPL,EQ,N,519.9,494.65,504.65,513.0,509.45,513.6,4467786,2259475217.15,1043.75,491.35,99364,INE628A01036,2020-03-09,505.73
1009,UPL,EQ,N,523.45,497.6,498.55,516.95,517.0,513.0,5659075,2917817180.6,1043.75,491.35,101584,INE628A01036,2020-03-11,515.6
1010,UPL,EQ,N,520.4,434.8,504.55,443.6,450.0,516.95,8133221,3864114290.15,1043.75,434.8,121804,INE628A01036,2020-03-12,475.1
1011,UPL,EQ,N,438.0,377.1,428.0,410.85,411.9,443.6,9712611,3996013772.2,1043.75,377.1,216029,INE628A01036,2020-03-13,411.43
1012,UPL,EQ,N,394.95,373.5,392.3,376.8,374.8,410.85,5282609,2023752598.6,1043.75,373.5,97972,INE628A01036,2020-03-16,383.1
1013,UPL,EQ,N,379.95,343.1,370.0,350.85,350.55,376.8,9227987,3366197938.45,1043.75,343.1,131877,INE628A01036,2020-03-17,364.78
1014,UPL,EQ,N,363.95,314.6,360.0,321.85,324.7,350.85,5545883,1880426913.75,1043.75,314.6,93308,INE628A01036,2020-03-18,339.07
1015,UPL,EQ,N,313.3,293.0,301.2,296.75,295.0,321.85,7227501,2209085267.6,1043.75,293.0,102275,INE628A01036,2020-03-19,305.65
1016,UPL,EQ,N,320.65,287.0,294.0,300.15,300.0,296.75,7465488,2283201778.4,1043.75,287.0,126524,INE628A01036,2020-03-20,305.83
1017,UPL,EQ,N,283.0,240.15,270.15,254.6,254.45,300.15,3029255,809830578.35,1043.75,240.15,71544,INE628A01036,2020-03-23,267.34
1018,UPL,EQ,N,277.0,249.5,265.5,262.05,263.0,254.6,4168346,1111564262.05,1043.75,240.15,87812,INE628A01036,2020-03-24,266.67
1019,UPL,EQ,N,301.35,252.0,257.0,292.8,292.0,262.05,3838980,1071755380.2,1043.75,240.15,63549,INE628A01036,2020-03-25,279.18
1020,UPL,EQ,N,330.8,290.2,298.0,312.55,310.55,292.8,5887832,1852976397.55,1043.75,240.15,94076,INE628A01036,2020-03-26,314.71
1021,UPL,EQ,N,336.0,315.3,327.6,322.2,324.55,312.55,4833123,1565836510.05,1043.75,240.15,92284,INE628A01036,2020-03-27,323.98
1022,UPL,EQ,N,317.2,293.7,317.2,308.45,309.0,322.2,3121312,956875266.85,1043.75,240.15,53161,INE628A01036,2020-03-30,306.56
1023,UPL,EQ,N,331.75,309.25,315.45,326.5,330.0,308.45,2779879,888423760.8,1043.75,240.15,44458,INE628A01036,2020-03-31,319.59
1024,UPL,EQ,N,328.5,303.0,328.5,305.75,307.0,326.5,2681565,831839634.15,1043.75,240.15,52479,INE628A01036,2020-04-01,310.21
1025,UPL,EQ,N,307.5,295.0,306.15,298.1,300.0,305.75,3265474,985859367.2,1043.75,240.15,59126,INE628A01036,2020-04-03,301.9
1026,UPL,EQ,N,326.0,307.15,311.0,323.65,322.8,298.1,3624533,1150069481.6,1043.75,240.15,80936,INE628A01036,2020-04-07,317.3
1027,UPL,EQ,N,337.5,316.45,320.0,320.2,318.5,323.65,4632236,1512389734.55,1043.75,240.15,95460,INE628A01036,2020-04-08,326.49
1028,UPL,EQ,N,332.4,312.75,330.0,319.0,320.0,320.2,4691012,1503292924.2,1043.75,240.15,75119,INE628A01036,2020-04-09,320.46
968,UPL,EQ,N,334.2,316.5,321.0,324.95,324.95,319.0,4850281,1582381791.5,1043.75,240.15,66425,INE628A01036,2020-04-13,326.25
969,UPL,EQ,N,381.75,329.9,329.95,350.55,351.0,324.95,22250838,8081979019.05,1043.75,240.15,370572,INE628A01036,2020-04-15,363.22
970,UPL,EQ,N,369.0,356.0,356.0,363.2,363.25,350.55,10132741,3682258616.0,1043.75,240.15,201203,INE628A01036,2020-04-16,363.4
971,UPL,EQ,N,379.0,358.25,376.55,363.3,363.95,363.2,5328293,1948756745.5,1043.75,240.15,114386,INE628A01036,2020-04-17,365.74
972,UPL,EQ,N,369.8,352.8,369.8,354.75,354.75,363.3,4741110,1690426499.3,1043.75,240.15,81446,INE628A01036,2020-04-20,356.55
973,UPL,EQ,N,352.9,343.05,348.7,345.95,346.0,354.75,2817261,979861518.6,1043.75,240.15,63065,INE628A01036,2020-04-21,347.81
974,UPL,EQ,N,359.0,336.2,345.0,353.65,358.5,345.95,4105568,1424329674.95,1043.75,240.15,73086,INE628A01036,2020-04-22,346.93
975,UPL,EQ,N,366.4,345.7,359.9,348.9,348.0,353.65,5688683,2038720396.35,1043.75,240.15,118215,INE628A01036,2020-04-23,358.38
976,UPL,EQ,N,347.6,334.2,345.0,335.85,336.2,348.9,2736141,931399796.65,1043.75,240.15,47115,INE628A01036,2020-04-24,340.41
